TITRE;AUTEUR;MOUVEMENT;URL;NOM_FICHIER
"Notre-Dame de Paris";"Victor Hugo";"romantisme";"https://fr.wikisource.org/wiki/Notre-Dame_de_Paris";"notredamedeparis_hugo.txt"
"Les Misérables";"Victor Hugo";"romantisme";"https://fr.wikisource.org/wiki/Les_Mis%C3%A9rables";"lesmiserables_hugo.txt"
"Han d'Islande";"Victor Hugo";"romantisme";"https://fr.wikisource.org/wiki/Han_d%E2%80%99Islande";"handislande_hugo.txt"
"Bug-Jargal";"Victor Hugo";"romantisme";"https://fr.wikisource.org/wiki/Bug-Jargal";"bugjargal_hugo.txt"
"Les Travailleurs de la mer";"Victor Hugo";"romantisme";"https://fr.wikisource.org/wiki/Les_Travailleurs_de_la_mer";"lestravaileursdelamer_hugo.txt"
"L'Homme qui rit";"Victor Hugo";"romantisme";"https://fr.wikisource.org/wiki/L%27Homme_qui_rit";"lhommequirit_hugo.txt"
"Quatre-vingt-treize";"Victor Hugo";"romantisme";"https://fr.wikisource.org/wiki/Quatrevingt-treize";"quatrevingttreize_hugo.txt"
"Le Dernier Jour d'un condamné";"Victor Hugo";"romantisme";"https://fr.wikisource.org/wiki/Le_Dernier_Jour_d%27un_condamn%C3%A9";"ledernierjourduncondamné_hugo.txt"
"Claude Gueux";"Victor Hugo";"romantisme";"https://fr.wikisource.org/wiki/Claude_Gueux";"claudegueux_hugo.txt"
"Les Trois Mousquetaires";"Alexandre Dumas";"romantisme";"https://fr.wikisource.org/wiki/Les_Trois_Mousquetaires";"lestroismousquetaires_dumas.txt"
"Le Comte de Monte-Cristo";"Alexandre Dumas";"romantisme";"https://fr.wikisource.org/wiki/Le_Comte_de_Monte-Cristo";"lecomtedemontécristo_dumas.txt"
"Vingt ans après";"Alexandre Dumas";"romantisme";"https://fr.wikisource.org/wiki/Vingt_ans_apr%C3%A8s";"vingtansaprès_dumas.txt"
"Le Vicomte de Bragelonne";"Alexandre Dumas";"romantisme";"https://fr.wikisource.org/wiki/Le_Vicomte_de_Bragelonne";"levicomtedebragelonne_dumas.txt"
"La Reine Margot";"Alexandre Dumas";"romantisme";"https://fr.wikisource.org/wiki/La_Reine_Margot";"lareïnemargot_dumas.txt"
"La Dame de Monsoreau";"Alexandre Dumas";"romantisme";"https://fr.wikisource.org/wiki/La_Dame_de_Monsoreau";"ladamedemonsoreau_dumas.txt"
"Joseph Balsamo";"Alexandre Dumas";"romantisme";"https://fr.wikisource.org/wiki/M%C3%A9moires_d%27un_m%C3%A9decin_:_Joseph_Balsamo";"josephbalsamo_dumas.txt"
"Le Collier de la Reine";"Alexandre Dumas";"romantisme";"https://fr.wikisource.org/wiki/Le_Collier_de_la_reine";"lecollierdelareine_dumas.txt"
"Indiana";"George Sand";"romantisme";"https://fr.wikisource.org/wiki/Indiana";"indiana_sand.txt"
"Lélia";"George Sand";"romantisme";"https://fr.wikisource.org/wiki/L%C3%A9lia";"lélia_sand.txt"
"Consuelo";"George Sand";"romantisme";"https://fr.wikisource.org/wiki/Consuelo";"consuelo_sand.txt"
"La Mare au diable";"George Sand";"romantisme";"https://fr.wikisource.org/wiki/La_Mare_au_diable";"lamaréaudiable_sand.txt"
"La Petite Fadette";"George Sand";"romantisme";"https://fr.wikisource.org/wiki/La_Petite_Fadette";"lamétitefadette_sand.txt"
"François le Champi";"George Sand";"romantisme";"https://fr.wikisource.org/wiki/Fran%C3%A7ois_le_Champi";"françoislechampi_sand.txt"
"Mauprat";"George Sand";"romantisme";"https://fr.wikisource.org/wiki/Mauprat";"mauprat_sand.txt"
"Cinq-Mars";"Alfred de Vigny";"romantisme";"https://fr.wikisource.org/wiki/Cinq-Mars";"cinqmars_vigny.txt"
"Stello";"Alfred de Vigny";"romantisme";"https://fr.wikisource.org/wiki/Stello";"stello_vigny.txt"
"Servitude et grandeur militaires";"Alfred de Vigny";"romantisme";"https://fr.wikisource.org/wiki/Servitude_et_grandeur_militaires";"servitudeetgrandeurmilitaires_vigny.txt"
"Volupté";"Charles-Augustin Sainte-Beuve";"romantisme";"https://fr.wikisource.org/wiki/Volupt%C3%A9";"volupté_saintebeuve.txt"
"Dominique";"Eugène Fromentin";"romantisme";"https://fr.wikisource.org/wiki/Dominique_(Fromentin)";"dominique_fromentin.txt"
"Sylvie";"Gérard de Nerval";"romantisme";"https://fr.wikisource.org/wiki/Les_Filles_du_feu/Sylvie";"sylvie_nerval.txt"
"Aurélia";"Gérard de Nerval";"romantisme";"https://fr.wikisource.org/wiki/Aur%C3%A9lia";"aurélia_nerval.txt"
"Colomba";"Prosper Mérimée";"romantisme";"https://fr.wikisource.org/wiki/Colomba";"colomba_mérimée.txt"
"Carmen";"Prosper Mérimée";"romantisme";"https://fr.wikisource.org/wiki/Carmen_(M%C3%A9rim%C3%A9e)";"carmen_mérimée.txt"
"La Confession d'un enfant du siècle";"Alfred de Musset";"romantisme";"https://fr.wikisource.org/wiki/La_Confession_d%27un_enfant_du_si%C3%A8cle";"laconfessiondunenfantdusiècle_musset.txt"
