mot; occurrence; frequence
mdcccxxix; 1; 0.0164
1759; 1; 0.0164
werdet; 1; 0.0164
an; 1; 0.0164
xxxiii; 2; 0.0328
n°; 2; 0.0328
imprimerie; 1; 0.0164
libraire; 1; 0.0164
°; 1; 0.0164
jacob; 1; 0.0164
trouvées; 1; 0.0164
24; 1; 0.0164
tome; 3; 0.0492
rue; 3; 0.0492
lequien; 1; 0.0164
grâce; 1; 0.0164
k; 1; 0.0164
ralph; 1; 0.0164
additions; 1; 0.0164
poche; 1; 0.0164
m; 2; 0.0328
docteur; 2; 0.0328
préfaces; 1; 0.0164
romans; 1; 0.0164
6; 1; 0.0164
2o; 1; 0.0164
mourut; 1; 0.0164
i; 1; 0.0164
voltaire; 2; 0.0328
éperon; 1; 0.0164
firmin; 1; 0.0164
paris; 1; 0.0164
beuchot; 1; 0.0164
allemand; 1; 0.0164
optimisme; 2; 0.0328
a; 2; 0.0328
oeuvres; 2; 0.0328
notes; 1; 0.0164
avertissements; 1; 0.0164
battoir; 1; 0.0164
traduit; 1; 0.0164
minden; 1; 0.0164
etc; 1; 0.0164
didot; 1; 0.0164
lefèvre; 1; 0.0164
lorsqu’; 1; 0.0164
fils; 1; 0.0164
candide; 2; 0.0328
