mot;occurrence;frequence
accord;8;0.0002
ont;66;0.0017
action;12;0.0003
enfin;18;0.0005
quatre;32;0.0008
levez;8;0.0002
buvons;9;0.0002
œuvre;13;0.0003
estime;7;0.0002
pourrais;14;0.0004
convenez;10;0.0003
mœurs;18;0.0005
dure;10;0.0003
monte;10;0.0003
étions;13;0.0003
figure;10;0.0003
maris;7;0.0002
aise;13;0.0003
heureuse;6;0.0002
tribunal;6;0.0002
tira;11;0.0003
jeanne;10;0.0003
te;77;0.002
visites;6;0.0002
gai;6;0.0002
homme;190;0.0049
pris;41;0.0011
né;20;0.0005
gens;64;0.0017
eurent;7;0.0002
taire;9;0.0002
différence;6;0.0002
manière;14;0.0004
camarade;35;0.0009
continuer;12;0.0003
fripon;10;0.0003
possible;11;0.0003
apparemment;17;0.0004
arcis;32;0.0008
appris;10;0.0003
assurer;6;0.0002
réussi;6;0.0002
gîte;9;0.0002
appelait;9;0.0002
paix;9;0.0002
sorti;9;0.0002
eut;31;0.0008
hier;6;0.0002
couché;15;0.0004
or;14;0.0004
puisse;12;0.0003
doigt;10;0.0003
avenir;7;0.0002
parrain;10;0.0003
droite;17;0.0004
aime;33;0.0009
debout;8;0.0002
fille;107;0.0028
honneur;32;0.0008
penses;6;0.0002
suzanne;13;0.0003
répond;6;0.0002
tes;29;0.0008
personnages;14;0.0004
chaises;7;0.0002
a;428;0.0111
difficile;12;0.0003
boîtes;6;0.0002
dîner;17;0.0004
chienne;7;0.0002
peuvent;9;0.0002
étant;11;0.0003
presque;34;0.0009
lorsqu’;42;0.0011
cent;21;0.0005
tête;94;0.0024
honte;10;0.0003
valets;17;0.0004
deux;268;0.0069
mot;69;0.0018
avais;63;0.0016
raison;64;0.0017
heures;13;0.0003
pieds;32;0.0008
pauvre;58;0.0015
fable;9;0.0002
voulait;14;0.0004
religieux;11;0.0003
frappe;6;0.0002
multitude;6;0.0002
cavaliers;6;0.0002
remarqué;8;0.0002
femmes;61;0.0016
aimer;7;0.0002
foule;8;0.0002
maîtresse;7;0.0002
mieux;107;0.0028
louis;18;0.0005
allez;34;0.0009
doute;19;0.0005
comédie;7;0.0002
lieues;8;0.0002
descend;6;0.0002
art;7;0.0002
fantaisie;13;0.0003
conseille;6;0.0002
veux;65;0.0017
services;8;0.0002
vieux;29;0.0008
