mot;occurrence;frequence
ont;385;0.0027
quatre;20;0.0001
’;17;0.0001
attache;17;0.0001
veuille;11;0.0001
estime;91;0.0006
vis-à-vis;10;0.0001
saurai;12;0.0001
tirai;6;0.0
laure;47;0.0003
plan;6;0.0
risques;8;0.0001
verger;12;0.0001
torts;9;0.0001
séparait;7;0.0
effacer;24;0.0002
destination;6;0.0
choisi;13;0.0001
homme;502;0.0036
promenades;6;0.0
occupent;6;0.0
confier;13;0.0001
changement;25;0.0002
épreuve;38;0.0003
différence;42;0.0003
imite;6;0.0
écoutée;6;0.0
nuire;9;0.0001
accable;8;0.0001
xiii;12;0.0001
ramener;9;0.0001
vii;11;0.0001
souffrent;6;0.0
agir;19;0.0001
résoudre;26;0.0002
infortunés;16;0.0001
pleurs;52;0.0004
parfaite;20;0.0001
mériter;26;0.0002
tes;239;0.0017
a;1824;0.013
difficile;34;0.0002
semblaient;13;0.0001
joug;10;0.0001
caprice;11;0.0001
deux;352;0.0025
éteindre;22;0.0002
mot;128;0.0009
avais;251;0.0018
nourrit;18;0.0001
pieds;36;0.0003
frères;9;0.0001
remplis;6;0.0
multitude;12;0.0001
cousine;165;0.0012
agite;10;0.0001
apollon;6;0.0
garants;7;0.0
devenus;10;0.0001
frémis;10;0.0001
quiconque;13;0.0001
allez;21;0.0001
poignard;7;0.0
voyant;77;0.0005
retournant;6;0.0
facilement;6;0.0
perd;25;0.0002
art;53;0.0004
puissiez;18;0.0001
vieux;33;0.0002
réplique;9;0.0001
abrégé;6;0.0
considérer;20;0.0001
galant;7;0.0
commençai;11;0.0001
donnés;13;0.0001
instinct;8;0.0001
âme;381;0.0027
nouvelles;58;0.0004
venez;34;0.0002
conviens;21;0.0001
égarer;8;0.0001
lie;8;0.0001
couvre;20;0.0001
trouves;8;0.0001
reconnaissance;21;0.0001
partagez;7;0.0
dignes;29;0.0002
esclaves;7;0.0
environne;13;0.0001
payer;26;0.0002
main;116;0.0008
folle;20;0.0001
repos;61;0.0004
conçu;10;0.0001
fête;18;0.0001
inconcevable;12;0.0001
retrouve;9;0.0001
disant;12;0.0001
demander;41;0.0003
changeant;8;0.0001
épargner;9;0.0001
projet;43;0.0003
prétendre;9;0.0001
laissons;17;0.0001
intègre;6;0.0
chemin;21;0.0001
fûmes;15;0.0001
indifférente;6;0.0
oisifs;6;0.0
trouvai;34;0.0002
indifférence;14;0.0001
cruelle;53;0.0004
pas;2288;0.0163
cruel;33;0.0002
dehors;9;0.0001
expédient;9;0.0001
mouvement;20;0.0001
avez;278;0.002
république;7;0.0
x;11;0.0001
mérite;86;0.0006
effets;19;0.0001
durée;14;0.0001
exiger;10;0.0001
éclat;22;0.0002
lectures;10;0.0001
emporté;8;0.0001
vis;106;0.0008
seras;22;0.0002
tombe;14;0.0001
dépend;34;0.0002
reconnaît;7;0.0
trouvent;16;0.0001
passant;11;0.0001
ennuyés;7;0.0
suit;18;0.0001
établi;8;0.0001
guère;65;0.0005
lentement;10;0.0001
souverain;6;0.0
huit;35;0.0002
rendu;28;0.0002
partout;68;0.0005
murs;6;0.0
qualités;13;0.0001
lecteurs;6;0.0
cause;67;0.0005
davantage;71;0.0005
regret;50;0.0004
généreux;15;0.0001
raffinement;6;0.0
comprendre;20;0.0001
destinées;6;0.0
distinguer;17;0.0001
voulut;34;0.0002
étrangers;27;0.0002
