mot;occurrence;frequence
état;14;0.0023
gaule;8;0.0013
séparer;6;0.001
tyr;6;0.001
ciel;14;0.0023
bord;14;0.0023
empêcher;8;0.0013
inde;12;0.002
force;10;0.0016
noir;9;0.0015
mener;6;0.001
an;13;0.0021
arc;25;0.0041
rencontre;9;0.0015
instruire;9;0.0015
beaucoup;13;0.0021
cœur;12;0.002
siècle;22;0.0036
loin;7;0.0011
esprit;19;0.0031
avancer;7;0.0011
mal;10;0.0016
douleur;10;0.0016
tigre;6;0.001
beal;7;0.0011
auprès;9;0.0015
temple;7;0.0011
singulier;6;0.001
mettre;33;0.0054
homme;76;0.0125
liberté;8;0.0013
agréable;8;0.0013
palestin;10;0.0016
ordonner;11;0.0018
partie;8;0.0013
commencer;9;0.0015
île;8;0.0013
langue;9;0.0015
point;16;0.0026
passion;8;0.0013
parti;6;0.001
vin;16;0.0026
revoir;10;0.0016
envoyer;11;0.0018
départ;7;0.0011
porter;26;0.0043
coutume;6;0.001
entier;9;0.0015
agir;6;0.001
lieu;10;0.0016
chapitre;12;0.002
humain;9;0.0015
soin;6;0.001
loi;11;0.0018
sacrer;6;0.001
fille;44;0.0072
honneur;24;0.0039
page;12;0.002
faire;114;0.0187
travers;6;0.001
mère;13;0.0021
plaisir;11;0.0018
manquer;8;0.0013
former;8;0.0013
aller;52;0.0085
vaisseau;12;0.002
égyptien;7;0.0011
dîner;12;0.002
ensembl;6;0.001
voiture;8;0.0013
trouver;23;0.0038
ici;11;0.0018
préparer;10;0.0016
presque;10;0.0016
climat;9;0.0015
cent;18;0.003
tête;27;0.0044
mot;23;0.0038
fier;6;0.001
manger;14;0.0023
pouvoir;35;0.0057
entretenir;9;0.0015
raison;7;0.0011
druide;6;0.001
apothicaire;6;0.001
parole;11;0.0018
tirer;11;0.0018
nature;17;0.0028
rare;6;0.001
chose;18;0.003
bel;68;0.0112
magnifique;9;0.0015
aimer;20;0.0033
désir;11;0.0018
venir;49;0.008
arrivée;6;0.001
mieux;7;0.0011
maîtresse;6;0.001
amant;24;0.0039
ennemi;6;0.001
jurer;7;0.0011
craindre;6;0.001
doute;8;0.0013
ressusciter;6;0.001
inconnu;15;0.0025
flèche;7;0.0011
goût;7;0.0011
compagnie;8;0.0013
art;10;0.0016
tendre;12;0.002
accompagner;7;0.0011
palais;10;0.0016
pied;23;0.0038
seigneur;8;0.0013
gros;7;0.0011
vieux;16;0.0026
empire;9;0.0015
maison;17;0.0028
non;12;0.002
falloir;23;0.0038
aimable;10;0.0016
rire;8;0.0013
sujet;7;0.0011
répondre;24;0.0039
consulter;11;0.0018
héros;12;0.002
sang;9;0.0015
perdre;6;0.001
marcher;8;0.0013
édition;8;0.0013
conseil;10;0.0016
ancien;12;0.002
amour;20;0.0033
habitant;6;0.001
étonner;11;0.0018
rival;6;0.001
âme;10;0.0016
temps;31;0.0051
sur-le-champ;6;0.001
lettre;9;0.0015
magnificence;6;0.001
dernier;6;0.001
triste;6;0.001
appeler;20;0.0033
aventure;14;0.0023
écrier;11;0.0018
fait;8;0.0013
dormir;6;0.001
étranger;13;0.0021
chambre;15;0.0025
digne;8;0.0013
ailleurs;7;0.0011
quelquefois;6;0.001
coucher;8;0.0013
superbe;6;0.001
blanc;10;0.0016
phénix;59;0.0097
main;21;0.0034
prendre;27;0.0044
aussitôt;7;0.0011
appartenir;6;0.001
couper;8;0.0013
fête;15;0.0025
dieu;17;0.0028
bras;10;0.0016
jeter;7;0.0011
paraître;16;0.0026
offrir;6;0.001
regarder;14;0.0023
albionien;8;0.0013
voyage;14;0.0023
écrire;11;0.0018
terre;46;0.0076
formosante;48;0.0079
malheur;6;0.001
rendre;11;0.0018
tandis;8;0.0013
demander;18;0.003
pays;48;0.0079
devoir;19;0.0031
brillante;7;0.0011
maître;22;0.0036
bien;66;0.0108
vent;7;0.0011
savoir;42;0.0069
scythe;26;0.0043
ensuite;14;0.0023
merveilleux;11;0.0018
passer;33;0.0054
oser;7;0.0011
oisif;8;0.0013
beau;22;0.0036
aujourd’hui;11;0.0018
donner;63;0.0103
donne;14;0.0023
frère;10;0.0016
cour;23;0.0038
prétendre;8;0.0013
affaire;16;0.0026
sublime;6;0.001
vaste;9;0.0015
couvert;7;0.0011
monde;29;0.0048
chemin;16;0.0026
air;13;0.0021
voler;7;0.0011
parler;16;0.0026
heure;13;0.0021
dame;22;0.0036
attendre;11;0.0018
albion;13;0.0021
chapitrer;19;0.0031
