mot;occurrence;frequence
accord;7;0.0001
ont;151;0.0017
action;28;0.0003
vaudrait;6;0.0001
enfin;117;0.0013
baron;28;0.0003
quatre;40;0.0004
levez;6;0.0001
œuvre;11;0.0001
manqua;6;0.0001
ose;6;0.0001
étrangère;13;0.0001
attache;6;0.0001
estime;40;0.0004
deviendra;7;0.0001
rentrer;6;0.0001
pourrais;19;0.0002
mœurs;17;0.0002
vis-à-vis;6;0.0001
précaution;7;0.0001
ordinairement;13;0.0001
tirai;8;0.0001
étions;55;0.0006
regardée;6;0.0001
figure;60;0.0007
infirmités;7;0.0001
véritable;10;0.0001
procureur;7;0.0001
aise;62;0.0007
heureuse;20;0.0002
honoré;6;0.0001
tira;6;0.0001
sœur;59;0.0007
chagrins;16;0.0002
te;36;0.0004
royale;7;0.0001
cœurs;16;0.0002
visites;12;0.0001
prononcer;12;0.0001
homme;302;0.0034
sachiez;6;0.0001
obligation;15;0.0002
pris;93;0.001
signifiait;14;0.0002
posture;7;0.0001
défends;6;0.0001
quitta;15;0.0002
gens;140;0.0016
sensibilité;9;0.0001
pénétrée;15;0.0002
taire;16;0.0002
jetant;14;0.0002
différence;12;0.0001
manière;59;0.0007
coquette;7;0.0001
comprit;6;0.0001
continuer;10;0.0001
mesdames;12;0.0001
possible;42;0.0005
justifier;9;0.0001
apparemment;53;0.0006
verrai;7;0.0001
appris;23;0.0003
causait;6;0.0001
fonctions;7;0.0001
assurer;13;0.0001
repartit;53;0.0006
obligée;27;0.0003
nuire;9;0.0001
laissée;18;0.0002
appelait;19;0.0002
babillarde;6;0.0001
croiriez;7;0.0001
envoyer;27;0.0003
paix;8;0.0001
eut;73;0.0008
hier;28;0.0003
étonnement;21;0.0002
retenir;15;0.0002
trouvera;6;0.0001
eue;12;0.0001
or;14;0.0002
entier;10;0.0001
puisse;24;0.0003
agir;10;0.0001
horrible;8;0.0001
résoudre;17;0.0002
sentez;11;0.0001
échappa;7;0.0001
aime;155;0.0017
pleurs;46;0.0005
disiez;7;0.0001
entièrement;6;0.0001
fille;369;0.0041
honneur;67;0.0008
mériter;8;0.0001
concierge;9;0.0001
difficultés;9;0.0001
ajoutai;30;0.0003
secourir;12;0.0001
extrême;20;0.0002
forme;7;0.0001
riant;14;0.0002
offrait;6;0.0001
a;1198;0.0135
difficile;24;0.0003
semblant;11;0.0001
voisin;7;0.0001
çà;8;0.0001
parlons;9;0.0001
dîner;45;0.0005
france;6;0.0001
peuvent;11;0.0001
dû;22;0.0002
presque;81;0.0009
sentais;27;0.0003
avoué;9;0.0001
repentir;10;0.0001
lorsqu’;16;0.0002
cent;10;0.0001
aimée;25;0.0003
méritais;7;0.0001
sortie;17;0.0002
honte;22;0.0002
deux;202;0.0023
mot;111;0.0012
avais;453;0.0051
tête;80;0.0009
pouvoir;31;0.0003
raison;112;0.0013
heures;50;0.0006
pleurai;8;0.0001
pauvre;51;0.0006
commence;8;0.0001
dîné;8;0.0001
honnêtement;6;0.0001
voulait;53;0.0006
religieux;48;0.0005
remarqué;6;0.0001
pourrai;10;0.0001
tenu;19;0.0002
cousine;8;0.0001
aimer;65;0.0007
embrassai;7;0.0001
persuader;11;0.0001
femmes;47;0.0005
foule;6;0.0001
montrait;10;0.0001
maîtresse;33;0.0004
mieux;180;0.002
gardé;6;0.0001
louis;6;0.0001
trente;6;0.0001
allez;75;0.0008
personnes;66;0.0007
craindre;24;0.0003
doute;72;0.0008
lumières;6;0.0001
suivirent;6;0.0001
promit;6;0.0001
oubliez;7;0.0001
voyant;35;0.0004
dépense;7;0.0001
retournant;12;0.0001
lieues;10;0.0001
perd;6;0.0001
déterminer;7;0.0001
respirer;10;0.0001
fantaisie;7;0.0001
osais;12;0.0001
veux;79;0.0009
pension;34;0.0004
services;8;0.0001
manquez;6;0.0001
prirent;6;0.0001
vieux;15;0.0002
prévu;6;0.0001
abandonnée;10;0.0001
maigre;6;0.0001
baissés;7;0.0001
placée;7;0.0001
furent;24;0.0003
aimez;16;0.0002
satisfait;6;0.0001
revanche;11;0.0001
font;31;0.0003
défauts;9;0.0001
essentiel;6;0.0001
