mot;occurrence;frequence
ont;64;0.0017
action;13;0.0003
enfin;47;0.0012
quatre;32;0.0008
estime;16;0.0004
pourrais;6;0.0002
mœurs;12;0.0003
vis-à-vis;8;0.0002
ordinairement;7;0.0002
étions;23;0.0006
figure;23;0.0006
aise;54;0.0014
tira;10;0.0003
sœur;82;0.0022
te;37;0.001
homme;220;0.0058
obligation;13;0.0003
pris;68;0.0018
signifiait;6;0.0002
posture;9;0.0002
né;11;0.0003
gens;84;0.0022
jetant;7;0.0002
différence;7;0.0002
manière;35;0.0009
camarade;7;0.0002
continuer;6;0.0002
fripon;11;0.0003
possible;12;0.0003
apparemment;29;0.0008
appris;11;0.0003
obligée;9;0.0002
appelait;7;0.0002
envoyer;11;0.0003
paix;9;0.0002
sorti;8;0.0002
eut;21;0.0006
hier;11;0.0003
étonnement;7;0.0002
or;18;0.0005
puisse;7;0.0002
aime;73;0.0019
chrétienne;7;0.0002
debout;8;0.0002
fille;74;0.002
honneur;51;0.0013
acquis;7;0.0002
ajoutai;11;0.0003
secourir;6;0.0002
riant;18;0.0005
tes;8;0.0002
offrait;6;0.0002
a;517;0.0137
tournure;6;0.0002
difficile;14;0.0004
parlons;12;0.0003
dîner;18;0.0005
peuvent;6;0.0002
dû;7;0.0002
presque;35;0.0009
sentais;10;0.0003
aimée;7;0.0002
honte;7;0.0002
sortie;12;0.0003
cherchais;9;0.0002
deux;106;0.0028
mot;53;0.0014
avais;188;0.005
tête;32;0.0008
pouvoir;10;0.0003
raison;36;0.001
heures;38;0.001
persuadé;7;0.0002
pauvre;34;0.0009
honnêtement;9;0.0002
voulait;28;0.0007
dévote;28;0.0007
tenu;9;0.0002
cousine;28;0.0007
aimer;25;0.0007
femmes;30;0.0008
maîtresse;31;0.0008
mieux;73;0.0019
trente;10;0.0003
allez;31;0.0008
personnes;35;0.0009
craindre;9;0.0002
doute;35;0.0009
voyant;12;0.0003
fantaisie;6;0.0002
veux;46;0.0012
vieux;9;0.0002
furent;10;0.0003
aimez;10;0.0003
font;12;0.0003
aimable;31;0.0008
mettait;11;0.0003
répondre;25;0.0007
mois;24;0.0006
galant;7;0.0002
suites;7;0.0002
autrement;7;0.0002
première;16;0.0004
temps;86;0.0023
âme;38;0.001
nouvelles;11;0.0003
venez;20;0.0005
