mot;occurrence;frequence
charmant;6;0.0002
action;28;0.001
pousser;7;0.0002
œuvre;9;0.0003
ose;12;0.0004
divorce;7;0.0002
obscur;6;0.0002
attache;6;0.0002
estime;9;0.0003
rentrer;7;0.0002
transporter;9;0.0003
précaution;6;0.0002
ordinairement;13;0.0005
siècle;21;0.0007
figure;12;0.0004
véritable;14;0.0005
aise;8;0.0003
catholique;10;0.0004
tribunal;13;0.0005
sœur;32;0.0011
famine;8;0.0003
accorder;9;0.0003
prononcer;15;0.0005
homme;352;0.0124
culture;8;0.0003
mosquée;6;0.0002
changement;17;0.0006
confier;14;0.0005
taire;9;0.0003
lxiii;7;0.0002
différence;19;0.0007
langue;13;0.0005
manière;58;0.002
continuer;8;0.0003
labourer;6;0.0002
pape;11;0.0004
conquête;21;0.0007
seroient;8;0.0003
assurer;11;0.0004
envoyer;45;0.0016
paix;10;0.0004
frappé;7;0.0002
1721;12;0.0004
oriental;14;0.0005
hier;19;0.0007
ramener;8;0.0003
but;11;0.0004
retenir;6;0.0002
futur;7;0.0002
espagnol;15;0.0005
entier;32;0.0011
doigt;6;0.0002
agir;18;0.0006
horrible;7;0.0002
avenir;7;0.0002
résoudre;18;0.0006
droite;7;0.0002
entièrement;9;0.0003
voyois;6;0.0002
fille;41;0.0014
honneur;45;0.0016
mériter;10;0.0004
1754;13;0.0005
mahométan;17;0.0006
secourir;7;0.0002
condamner;12;0.0004
important;8;0.0003
forme;15;0.0005
alinéa;6;0.0002
difficile;20;0.0007
voisin;17;0.0006
non-seulement;10;0.0004
christianisme;8;0.0003
presque;63;0.0022
joug;13;0.0005
climat;12;0.0004
caprice;14;0.0005
lorsqu’;52;0.0018
cent;18;0.0006
outrage;6;0.0002
honte;6;0.0002
consister;6;0.0002
traitement;6;0.0002
tête;47;0.0017
mot;31;0.0011
pouvoir;117;0.0041
party;14;0.0005
raison;74;0.0026
pauvre;15;0.0005
rare;9;0.0003
religieux;14;0.0005
user;6;0.0002
festin;6;0.0002
faisoier;17;0.0006
aimer;61;0.0022
désir;20;0.0007
persuader;13;0.0005
solim;7;0.0002
équité;9;0.0003
foule;11;0.0004
maîtresse;15;0.0005
mieux;44;0.0016
voile;8;0.0003
choisir;12;0.0004
châtiment;17;0.0006
craindre;25;0.0009
doute;29;0.001
marteau;14;0.0005
poëte;10;0.0004
voyant;6;0.0002
facilement;8;0.0003
déterminer;12;0.0004
art;32;0.0011
respirer;7;0.0002
fantaisie;16;0.0006
veux;11;0.0004
pension;9;0.0003
saurois;7;0.0002
vieux;27;0.001
connoisser;8;0.0003
zéli;9;0.0003
entreprendre;9;0.0003
aimable;14;0.0005
répondre;35;0.0012
considérer;7;0.0002
mois;36;0.0013
héros;6;0.0002
protestant;7;0.0002
innombrable;10;0.0004
maladie;16;0.0006
déclarer;12;0.0004
esclave;53;0.0019
fonder;10;0.0004
docteur;12;0.0004
zilhagé;11;0.0004
el;7;0.0002
temps;107;0.0038
âme;44;0.0016
funèbre;6;0.0002
couleur;8;0.0003
traiter;17;0.0006
auteur;33;0.0012
soulager;6;0.0002
fait;45;0.0016
plaindre;19;0.0007
talent;15;0.0005
quelquefois;31;0.0011
église;10;0.0004
usage;31;0.0011
intérêt;32;0.0011
fatal;7;0.0002
musulman;10;0.0004
payer;11;0.0004
main;58;0.002
repos;10;0.0004
romain;22;0.0008
instant;29;0.001
étoit;182;0.0064
bras;19;0.0007
occasion;18;0.0006
ange;17;0.0006
naturel;37;0.0013
traître;7;0.0002
rester;14;0.0005
principe;18;0.0006
dervi;12;0.0004
vénérable;6;0.0002
civil;8;0.0003
merveille;7;0.0002
malheur;27;0.001
demander;39;0.0014
pays;92;0.0033
bien;324;0.0114
lier;12;0.0004
passer;95;0.0034
projet;11;0.0004
sorte;33;0.0012
prétendre;10;0.0004
prophèt;9;0.0003
vaste;9;0.0003
témoignage;9;0.0003
obéissance;13;0.0005
chemin;11;0.0004
renverser;7;0.0002
récompense;7;0.0002
feuille;7;0.0002
difficulté;12;0.0004
magicien;6;0.0002
immortel;9;0.0003
vertueux;13;0.0005
sottise;6;0.0002
tome;7;0.0002
trouvai;6;0.0002
fidélité;11;0.0004
unir;6;0.0002
oncle;6;0.0002
extraordinaire;8;0.0003
cruelle;9;0.0003
fort;79;0.0028
prêt;8;0.0003
passé;6;0.0002
cruel;16;0.0006
soudain;11;0.0004
alliance;9;0.0003
gagner;9;0.0003
endroit;19;0.0007
mouvement;16;0.0006
république;31;0.0011
devoit;6;0.0002
mérite;27;0.001
habile;6;0.0002
violence;12;0.0004
justice;58;0.002
pudeur;16;0.0006
fou;7;0.0002
tombe;11;0.0004
rôle;9;0.0003
supplément;22;0.0008
prison;8;0.0003
guère;25;0.0009
vanter;6;0.0002
surprise;6;0.0002
apprendre;39;0.0014
piquant;7;0.0002
souverain;11;0.0004
menace;6;0.0002
violer;12;0.0004
partout;35;0.0012
corriger;6;0.0002
mystérieux;6;0.0002
membre;11;0.0004
excellence;6;0.0002
circonstance;6;0.0002
cause;42;0.0015
service;21;0.0007
davantage;17;0.0006
regret;6;0.0002
louisxiv;7;0.0002
etc;9;0.0003
comprendre;8;0.0003
ordre;31;0.0011
image;11;0.0004
raisonnement;6;0.0002
chasser;7;0.0002
distinguer;7;0.0002
situation;11;0.0004
satisfaction;9;0.0003
tromper;18;0.0006
disputer;12;0.0004
avantage;37;0.0013
exécuter;9;0.0003
supprimer;14;0.0005
impossible;14;0.0005
considérable;9;0.0003
pur;14;0.0005
jamais;164;0.0058
opinion;15;0.0005
placer;12;0.0004
espèce;28;0.001
perte;24;0.0008
observer;21;0.0007
continuel;10;0.0004
devroit;6;0.0002
coupable;10;0.0004
commun;12;0.0004
sensible;7;0.0002
trop;45;0.0016
conséquent;6;0.0002
fond;11;0.0004
mahométisme;7;0.0002
xv;6;0.0002
paroît;16;0.0006
conduite;15;0.0005
désespérer;9;0.0003
oublier;16;0.0006
universel;13;0.0005
court;9;0.0003
admirable;7;0.0002
deuxième;89;0.0031
être;423;0.0149
flatter;8;0.0003
laisser;37;0.0013
directeur;6;0.0002
petit;69;0.0024
haut;15;0.0005
inquisition;7;0.0002
arriver;59;0.0021
tyrannie;11;0.0004
proposer;9;0.0003
proportion;8;0.0003
faudroit;10;0.0004
sort;8;0.0003
injuste;8;0.0003
étoi;13;0.0005
tranquille;20;0.0007
lever;22;0.0008
religion;90;0.0032
monarque;24;0.0008
oreille;10;0.0004
pensée;11;0.0004
exemple;29;0.001
nuit;22;0.0008
doiv;6;0.0002
révolution;7;0.0002
dispute;15;0.0005
apercevoir;12;0.0004
absence;6;0.0002
idée;47;0.0017
ravir;10;0.0004
vue;29;0.001
peine;71;0.0025
carrosse;6;0.0002
cardinal;14;0.0005
mourir;46;0.0016
peupler;12;0.0004
prodigieux;12;0.0004
retourner;7;0.0002
mémoire;9;0.0003
commerce;17;0.0006
parloit;7;0.0002
refuser;13;0.0005
argent;26;0.0009
embrasser;16;0.0006
nourrir;6;0.0002
adresse;6;0.0002
présence;10;0.0004
prise;6;0.0002
marier;12;0.0004
lit;10;0.0004
présenter;20;0.0007
général;39;0.0014
nouvelliste;6;0.0002
effet;13;0.0005
expliquer;6;0.0002
royal;6;0.0002
fils;14;0.0005
abondance;7;0.0002
lecteur;12;0.0004
soir;7;0.0002
inde;6;0.0002
force;35;0.0012
lendemain;12;0.0004
vain;18;0.0006
an;79;0.0028
mener;23;0.0008
cœur;47;0.0017
doux;16;0.0006
accabler;24;0.0008
remplir;18;0.0006
law;7;0.0002
auprès;16;0.0006
dessein;17;0.0006
compte;18;0.0006
singulier;20;0.0007
éloigner;6;0.0002
temple;9;0.0003
métal;6;0.0002
sembloit;14;0.0005
échapper;9;0.0003
politesse;8;0.0003
cas;17;0.0006
liberté;42;0.0015
victoire;10;0.0004
philosophie;9;0.0003
médecin;24;0.0008
sacrifice;7;0.0002
étoier;27;0.001
pourtant;18;0.0006
nécessaire;24;0.0008
laisse;25;0.0009
passion;38;0.0013
affliger;9;0.0003
date;8;0.0003
impatience;6;0.0002
idole;6;0.0002
combat;8;0.0003
trésor;14;0.0005
ressource;9;0.0003
orgueil;8;0.0003
personne;8;0.0003
soumission;9;0.0003
progrès;7;0.0002
attachement;6;0.0002
meilleur;21;0.0007
vendre;23;0.0008
prouver;12;0.0004
loi;109;0.0039
soin;26;0.0009
passage;11;0.0004
innocence;9;0.0003
journal;6;0.0002
espérer;22;0.0008
ambition;8;0.0003
former;28;0.001
mortel;10;0.0004
pouvoient;8;0.0003
souhaiter;14;0.0005
emploi;18;0.0006
curieux;9;0.0003
remettre;9;0.0003
ensembl;6;0.0002
trouver;174;0.0061
montesquieu;12;0.0004
mépris;20;0.0007
là;13;0.0005
demande;16;0.0006
imagination;17;0.0006
succès;10;0.0004
redoutable;15;0.0005
connois;8;0.0003
intéresser;7;0.0002
rappeler;11;0.0004
tirer;25;0.0009
dérober;12;0.0004
avoyer;29;0.001
amant;8;0.0003
gêner;7;0.0002
appliquer;8;0.0003
riche;20;0.0007
avance;6;0.0002
réflexion;24;0.0008
soleil;15;0.0005
obtenir;10;0.0004
tendre;21;0.0007
approcher;7;0.0002
rang;6;0.0002
seigneur;26;0.0009
gros;12;0.0004
rue;11;0.0004
sauroit;14;0.0005
inutile;18;0.0006
produire;26;0.0009
rejeter;6;0.0002
marque;16;0.0006
silence;11;0.0004
maison;50;0.0018
attacher;22;0.0008
falloir;151;0.0053
curiosité;13;0.0005
mutuel;7;0.0002
sujet;77;0.0027
virginité;6;0.0002
voudroit;6;0.0002
sang;7;0.0002
considération;9;0.0003
impiété;16;0.0006
envier;6;0.0002
édition;38;0.0013
consoler;7;0.0002
ignorance;10;0.0004
ancien;41;0.0014
amour;53;0.0019
léger;12;0.0004
charger;17;0.0006
parlement;15;0.0005
exposer;13;0.0005
bataille;10;0.0004
commencement;9;0.0003
européen;19;0.0007
fatalité;6;0.0002
ailleurs;19;0.0007
remède;24;0.0008
coin;6;0.0002
tourne;8;0.0003
finir;10;0.0004
lieux;9;0.0003
établissement;6;0.0002
composer;9;0.0003
