mot;occurrence;frequence
état;9;0.0012
ont;30;0.0039
reste;7;0.0009
enfin;39;0.0051
quatre;8;0.001
qu’;42;0.0054
hercule;7;0.0009
cachet;7;0.0009
siècles;6;0.0008
sentiments;6;0.0008
fallait;8;0.001
lendemain;7;0.0009
commis;9;0.0012
beaucoup;23;0.003
cœur;29;0.0038
esprit;19;0.0025
loin;10;0.0013
sage;6;0.0008
douleur;9;0.0012
mal;15;0.0019
cinq;6;0.0008
sœur;27;0.0035
prit;11;0.0014
chère;10;0.0013
auparavant;6;0.0008
surtout;8;0.001
mettre;11;0.0014
homme;64;0.0083
liberté;14;0.0018
que;24;0.0031
vous;7;0.0009
gens;19;0.0025
trouva;7;0.0009
baptisé;12;0.0016
aimait;11;0.0014
langue;9;0.0012
point;55;0.0071
cinquante;7;0.0009
milieu;6;0.0008
parti;8;0.001
pape;8;0.001
appris;7;0.0009
prieuré;6;0.0008
longtemps;9;0.0012
couvent;13;0.0017
veut;7;0.0009
eut;22;0.0029
personne;20;0.0026
répondit;18;0.0023
alla;10;0.0013
lu;8;0.001
amie;16;0.0021
coup;7;0.0009
était;184;0.0239
lieu;6;0.0008
chapitre;23;0.003
demanda;13;0.0017
loi;10;0.0013
fût;10;0.0013
fille;15;0.0019
honneur;9;0.0012
page;7;0.0009
faire;46;0.006
gordon;34;0.0044
mère;9;0.0012
amitié;6;0.0008
hommes;30;0.0039
plaisir;9;0.0012
ingénu;153;0.0198
aller;12;0.0016
entendu;9;0.0012
a;103;0.0134
filles;6;0.0008
larmes;16;0.0021
saint-malo;6;0.0008
bailli;33;0.0043
avons;6;0.0008
pourquoi;15;0.0019
mons;7;0.0009
trouver;6;0.0008
ici;16;0.0021
france;14;0.0018
garde;12;0.0016
voici;6;0.0008
étant;6;0.0008
là;21;0.0027
presque;13;0.0017
âmes;6;0.0008
lorsqu’;6;0.0008
cent;10;0.0013
tête;10;0.0013
deux;50;0.0065
mot;14;0.0018
avais;6;0.0008
donna;6;0.0008
sommes;7;0.0009
jésuites;8;0.001
pouvoir;12;0.0016
;55;0.0071
raison;10;0.0013
pieds;6;0.0008
pauvre;7;0.0009
vertu;12;0.0016
devait;13;0.0017
faisait;12;0.0016
nature;12;0.0016
abbé;39;0.0051
parlait;7;0.0009
chose;12;0.0016
dévote;8;0.001
abord;6;0.0008
femmes;8;0.001
corps;10;0.0013
venir;15;0.0019
est;191;0.0248
maîtresse;19;0.0025
mieux;7;0.0009
amant;36;0.0047
baptême;13;0.0017
jésuite;19;0.0025
voilà;12;0.0016
réflexion;7;0.0009
lieues;8;0.001
compagnie;21;0.0027
éditions;8;0.001
tendre;9;0.0012
déjà;11;0.0014
veux;12;0.0016
autres;22;0.0029
b;6;0.0008
hurons;11;0.0014
vieux;12;0.0016
capitaine;8;0.001
bonhomme;6;0.0008
furent;8;0.001
maison;13;0.0017
font;14;0.0018
non;14;0.0018
donné;16;0.0021
suis;27;0.0035
écria;9;0.0012
voyez;12;0.0016
amants;7;0.0009
fut;48;0.0062
sang;7;0.0009
répliqua;7;0.0009
autre;29;0.0038
canada;7;0.0009
mademoiselle;13;0.0017
m;22;0.0029
tout;75;0.0097
changé;6;0.0008
saint-pouange;23;0.003
amour;15;0.0019
arrive;9;0.0012
temps;22;0.0029
âme;26;0.0034
premier;14;0.0018
première;6;0.0008
sont;48;0.0062
encore;39;0.0051
lettre;16;0.0021
grande;16;0.0021
aventures;6;0.0008
lumière;6;0.0008
auteur;9;0.0012
peut;19;0.0025
fait;64;0.0083
épouser;11;0.0014
chambre;11;0.0014
scène;6;0.0008
quelquefois;8;0.001
horreur;7;0.0009
serait;17;0.0022
pleurait;7;0.0009
crédit;7;0.0009
sais;6;0.0008
peu;31;0.004
êtes;11;0.0014
mit;8;0.001
main;10;0.0013
prendre;6;0.0008
ai;55;0.0071
très;30;0.0039
si;7;0.0009
cris;8;0.001
ayant;15;0.0019
paraît;6;0.0008
dieu;27;0.0035
bras;6;0.0008
jusqu’;8;0.001
grands;11;0.0014
naturel;8;0.001
monseigneur;7;0.0009
donc;29;0.0038
voyage;6;0.0008
voulez;6;0.0008
aussi;27;0.0035
terre;13;0.0017
malheur;15;0.0019
rendre;10;0.0013
tandis;7;0.0009
pu;12;0.0016
demander;6;0.0008
province;9;0.0012
savait;15;0.0019
pays;21;0.0027
devoir;6;0.0008
bien;71;0.0092
prix;6;0.0008
savoir;8;0.001
consolation;6;0.0008
courage;8;0.001
toujours;35;0.0045
donner;6;0.0008
donne;8;0.001
frère;37;0.0048
cour;16;0.0021
trois;7;0.0009
jours;8;0.001
—;11;0.0014
monde;20;0.0026
dit;100;0.013
chemin;10;0.0013
»;54;0.007
efficace;7;0.0009
air;7;0.0009
parler;17;0.0022
heure;6;0.0008
lettres;6;0.0008
mlle;61;0.0079
tome;7;0.0009
ministre;8;0.001
conversation;6;0.0008
brave;6;0.0008
ainsi;25;0.0032
cependant;6;0.0008
avait;151;0.0196
oncle;26;0.0034
étaient;27;0.0035
été;46;0.006
eh;8;0.001
français;13;0.0017
heureux;6;0.0008
comment;28;0.0036
faut;24;0.0031
vieillard;7;0.0009
fort;23;0.003
messieurs;7;0.0009
toutes;20;0.0026
porte;12;0.0016
disait;31;0.004
guerre;9;0.0012
mariage;7;0.0009
pas;158;0.0205
passé;7;0.0009
paroles;16;0.0021
espérance;6;0.0008
même;35;0.0045
mme;7;0.0009
eu;14;0.0018
avez;24;0.0031
avoir;35;0.0045
père;14;0.0018
ami;8;0.001
tuer;6;0.0008
révérend;9;0.0012
eau;8;0.001
voir;20;0.0026
six;6;0.0008
regardait;6;0.0008
bonne;18;0.0023
tant;31;0.004
jour;17;0.0022
ait;15;0.0019
tous;58;0.0075
tendres;6;0.0008
prison;8;0.001
sentiment;6;0.0008
révérence;6;0.0008
bas-breton;7;0.0009
grandes;7;0.0009
vu;8;0.001
patron;6;0.0008
apprendre;6;0.0008
avaient;21;0.0027
firent;6;0.0008
grand;27;0.0035
neveu;31;0.004
bon;23;0.003
saint;13;0.0017
abacaba;7;0.0009
livre;15;0.0019
saint-yves;122;0.0158
mort;15;0.0019
vérité;13;0.0017
vint;6;0.0008
cause;8;0.001
mille;10;0.0013
promesses;6;0.0008
famille;6;0.0008
anglais;27;0.0035
ordre;7;0.0009
souvent;7;0.0009
yeux;23;0.003
prieur;60;0.0078
pense;8;0.001
tante;19;0.0025
versailles;17;0.0022
nom;15;0.0019
ne;416;0.054
jeunesse;6;0.0008
réflexions;6;0.0008
p;26;0.0034
souper;9;0.0012
délivrer;7;0.0009
tendresse;7;0.0009
jamais;39;0.0051
cher;18;0.0023
