mot;occurrence;frequence
parole;8;0.007
savoir;24;0.021
matière;11;0.0096
jamais;15;0.0131
sentir;8;0.007
passer;11;0.0096
nature;15;0.0131
chose;17;0.0149
beau;7;0.0061
donner;8;0.007
espèce;8;0.007
an;9;0.0079
venir;9;0.0079
trop;9;0.0079
beaucoup;11;0.0096
monde;8;0.007
sens;8;0.007
fois;13;0.0114
doute;7;0.0061
esprit;15;0.0131
monsieur;6;0.0052
mal;7;0.0061
roi;6;0.0052
parler;9;0.0079
heure;7;0.0061
soleil;10;0.0087
toise;6;0.0052
chapitrer;7;0.0061
mettre;15;0.0131
étoile;9;0.0079
homme;19;0.0166
pied;22;0.0192
penser;9;0.0079
non;9;0.0079
lune;8;0.007
falloir;16;0.014
sirien;12;0.0105
point;6;0.0052
fort;25;0.0219
être;35;0.0306
vouloir;8;0.007
répondre;9;0.0079
ongle;7;0.0061
petit;50;0.0437
haut;8;0.007
arriver;7;0.0061
édition;17;0.0149
nombre;7;0.0061
habitant;13;0.0114
microscope;8;0.007
temps;8;0.007
âme;12;0.0105
avoir;17;0.0149
planète;8;0.007
substance;6;0.0052
lieue;6;0.0052
ouvrage;6;0.0052
porter;7;0.0061
voir;28;0.0245
tour;6;0.0052
apercevoir;7;0.0061
dire;6;0.0052
philosophe;18;0.0157
idée;6;0.0052
croire;19;0.0166
poindre;6;0.0052
apprendre;7;0.0061
peine;8;0.007
faire;37;0.0323
main;8;0.007
prendre;12;0.0105
grand;25;0.0219
voyageur;12;0.0105
globe;25;0.0219
compter;7;0.0061
bon;11;0.0096
forme;6;0.0052
livre;10;0.0087
aller;9;0.0079
atome;10;0.0087
animal;16;0.014
nain;18;0.0157
vaisseau;9;0.0079
paraître;13;0.0114
entendre;11;0.0096
trouver;16;0.014
ici;12;0.0105
voyage;7;0.0061
presque;6;0.0052
secrétaire;7;0.0061
cent;11;0.0096
terre;14;0.0122
deviner;6;0.0052
pays;8;0.007
bien;39;0.0341
