mot;occurrence;frequence
ont;117;0.0057
aimoit;6;0.0003
divinité;6;0.0003
action;7;0.0003
enfin;35;0.0017
quatre;16;0.0008
mœurs;7;0.0003
scene;8;0.0004
planches;7;0.0003
étions;9;0.0004
heureuse;15;0.0007
célebres;6;0.0003
sœur;13;0.0006
homme;78;0.0038
pris;9;0.0004
orient;9;0.0004
humaines;7;0.0003
remplissoit;6;0.0003
foibles;8;0.0004
sensibilité;8;0.0004
canal;10;0.0005
gens;38;0.0018
épreuve;6;0.0003
possible;7;0.0003
poitrine;7;0.0003
appris;10;0.0005
rouge;8;0.0004
eut;10;0.0005
homere;7;0.0003
françaises;6;0.0003
or;11;0.0005
afrique;7;0.0003
puisse;16;0.0008
avenir;8;0.0004
cieux;21;0.001
case;15;0.0007
droite;6;0.0003
aime;14;0.0007
ames;6;0.0003
rocher;25;0.0012
astres;9;0.0004
honneur;8;0.0004
fille;49;0.0024
large;7;0.0003
artistes;17;0.0008
globe;20;0.001
forme;12;0.0006
tes;8;0.0004
personnages;6;0.0003
a;301;0.0146
objets;13;0.0006
forêts;15;0.0007
voisin;11;0.0005
çà;13;0.0006
maniere;10;0.0005
noire;14;0.0007
france;39;0.0019
peuvent;6;0.0003
étant;19;0.0009
presque;21;0.001
lorsqu’;11;0.0005
tête;25;0.0012
deux;118;0.0057
mot;7;0.0003
hémisphere;9;0.0004
pouvoir;15;0.0007
raison;20;0.001
heures;15;0.0007
pieds;31;0.0015
pauvre;17;0.0008
remplis;7;0.0003
multitude;7;0.0003
femmes;21;0.001
aimer;6;0.0003
foule;11;0.0005
mieux;18;0.0009
voile;9;0.0004
profondes;7;0.0003
craindre;7;0.0003
doute;28;0.0014
voyant;15;0.0007
lieues;20;0.001
art;8;0.0004
continents;6;0.0003
veux;9;0.0004
zônes;7;0.0003
vieux;19;0.0009
sombres;9;0.0004
furent;7;0.0003
font;21;0.001
aimable;12;0.0006
mois;19;0.0009
esclave;10;0.0005
isles;7;0.0003
siecles;18;0.0009
temps;102;0.0049
guere;9;0.0004
nouvelles;16;0.0008
forte;7;0.0003
maîtres;7;0.0003
européens;6;0.0003
auteur;12;0.0006
grace;16;0.0008
fait;79;0.0038
plaindre;13;0.0006
dignes;8;0.0004
quelquefois;28;0.0014
église;11;0.0005
usage;21;0.001
intérêt;12;0.0006
esclaves;7;0.0003
mettoit;8;0.0004
mit;15;0.0007
main;23;0.0011
appeloit;10;0.0005
vallon;6;0.0003
repos;14;0.0007
instant;7;0.0003
étoit;223;0.0108
monument;9;0.0004
bras;26;0.0013
tenant;6;0.0003
grands;48;0.0023
occasion;8;0.0004
mélancolie;6;0.0003
naturel;8;0.0004
portions;6;0.0003
longue;18;0.0009
malheur;22;0.0011
disant;7;0.0003
venoit;13;0.0006
derniere;8;0.0004
demander;11;0.0005
caractere;8;0.0004
pays;33;0.0016
bien;140;0.0068
morne;6;0.0003
inscription;7;0.0003
passer;26;0.0013
saint-géran;8;0.0004
sorte;11;0.0005
nourriture;6;0.0003
vaste;9;0.0004
voulois;6;0.0003
fleur;11;0.0005
dit;106;0.0051
chemin;14;0.0007
océan;24;0.0012
trouvai;7;0.0003
océans;6;0.0003
ainsi;62;0.003
fort;30;0.0015
seconde;7;0.0003
prêt;6;0.0003
pas;217;0.0105
noires;7;0.0003
passé;6;0.0003
déja;31;0.0015
mouvement;13;0.0006
avez;51;0.0025
