mot;occurrence;frequence
attache;18;0.0002
estime;18;0.0002
prostitution;7;0.0001
transporter;9;0.0001
vis-à-vis;11;0.0001
foyer;7;0.0001
plan;19;0.0002
tribunal;11;0.0001
homme;733;0.0076
aliment;7;0.0001
confier;33;0.0003
changement;18;0.0002
différence;27;0.0003
revêtir;16;0.0002
imite;6;0.0001
extravagance;20;0.0002
légitimer;10;0.0001
ider;13;0.0001
nuire;25;0.0003
ramener;20;0.0002
brutalité;13;0.0001
agir;138;0.0014
résoudre;20;0.0002
mériter;22;0.0002
condamner;64;0.0007
crim;11;0.0001
occasionner;16;0.0002
tournure;11;0.0001
difficile;36;0.0004
voisin;21;0.0002
joug;8;0.0001
caprice;56;0.0006
consister;14;0.0001
sortie;6;0.0001
éteindre;20;0.0002
mot;142;0.0015
multitude;18;0.0002
fouteuse;6;0.0001
allez;9;0.0001
poignard;22;0.0002
titillation;6;0.0001
voyant;39;0.0004
assouvir;11;0.0001
facilement;18;0.0002
art;22;0.0002
ganymède;12;0.0001
vieux;80;0.0008
encourir;7;0.0001
capitaine;8;0.0001
satisfait;11;0.0001
considérer;24;0.0002
instinct;6;0.0001
âme;164;0.0017
sphère;8;0.0001
égarer;20;0.0002
reconnaissance;57;0.0006
téter;6;0.0001
répondi;20;0.0002
environne;7;0.0001
payer;42;0.0004
main;315;0.0033
soufflet;15;0.0002
repos;26;0.0003
couper;25;0.0003
fête;12;0.0001
fil;13;0.0001
écart;30;0.0003
traître;9;0.0001
masse;31;0.0003
pénitence;10;0.0001
inconcevable;12;0.0001
demander;83;0.0009
surpasser;8;0.0001
est-il;8;0.0001
épargner;12;0.0001
lier;50;0.0005
projet;92;0.001
prétendre;51;0.0005
égorger;27;0.0003
chemin;35;0.0004
conjurer;17;0.0002
lestemer;6;0.0001
vicieux;17;0.0002
imprimer;25;0.0003
indifférence;12;0.0001
oncle;61;0.0006
cruelle;32;0.0003
dresser;6;0.0001
cruel;110;0.0011
mouvement;120;0.0012
