mot;occurrence;frequence
état;8;0.0008
ont;13;0.0012
reste;11;0.001
froid;6;0.0006
enfin;25;0.0024
baron;17;0.0016
ciel;9;0.0009
soir;6;0.0006
united;15;0.0014
violente;8;0.0008
that;15;0.0014
utilité;7;0.0007
confiance;11;0.001
sentiments;24;0.0023
force;15;0.0014
distribution;6;0.0006
estime;6;0.0006
lendemain;10;0.001
vain;6;0.0006
an;6;0.0006
liaison;11;0.001
aurais;38;0.0036
plaisirs;6;0.0006
efforts;14;0.0013
beaucoup;21;0.002
souffre;6;0.0006
doux;8;0.0008
époque;14;0.0013
éprouvé;6;0.0006
loin;16;0.0015
étions;6;0.0006
esprit;24;0.0023
mal;15;0.0014
douleur;30;0.0029
law;7;0.0007
heureuse;9;0.0009
auprès;14;0.0013
trouvais;7;0.0007
étais;90;0.0086
*;93;0.0088
éloigner;7;0.0007
semble;10;0.001
homme;37;0.0035
pris;12;0.0011
liberté;8;0.0008
and;68;0.0065
que;29;0.0028
partie;14;0.0013
gens;9;0.0009
médecin;6;0.0006
tellement;8;0.0008
sacrifice;10;0.001
détails;7;0.0007
résolution;12;0.0011
aimait;8;0.0008
pourtant;6;0.0006
faits;6;0.0006
manière;9;0.0009
parlai;7;0.0007
point;38;0.0036
malheureuse;7;0.0007
nécessaire;7;0.0007
milieu;18;0.0017
devint;7;0.0007
affliger;6;0.0006
rompre;15;0.0014
possible;8;0.0008
impatience;15;0.0014
license;17;0.0016
charme;11;0.001
longtemps;26;0.0025
liens;17;0.0016
lutte;6;0.0006
such;6;0.0006
affection;14;0.0013
personne;17;0.0016
étonnement;9;0.0009
répondit;9;0.0009
but;14;0.0013
départ;7;0.0007
retenir;6;0.0006
humeur;7;0.0007
aimé;9;0.0009
or;6;0.0006
coup;18;0.0017
était;178;0.0169
attachement;7;0.0007
avenir;6;0.0006
libre;13;0.0012
unique;6;0.0006
éprouver;7;0.0007
chapitre;20;0.0019
fureur;7;0.0007
tôt;7;0.0007
aime;6;0.0006
with;45;0.0043
be;8;0.0008
près;18;0.0017
devoirs;7;0.0007
faire;34;0.0032
located;7;0.0007
distribute;6;0.0006
amitié;10;0.001
hommes;33;0.0031
plaisir;20;0.0019
at;11;0.001
aller;6;0.0006
parut;7;0.0007
a;140;0.0133
trouvé;6;0.0006
objets;9;0.0009
larmes;14;0.0013
éprouvais;10;0.001
faiblesse;16;0.0015
pourquoi;11;0.001
peindre;9;0.0009
it;8;0.0008
coeur;68;0.0065
trouver;12;0.0011
dix;9;0.0009
ici;16;0.0015
archive;13;0.0012
under;6;0.0006
sombre;7;0.0007
work;45;0.0043
croyais;12;0.0011
dû;9;0.0009
là;15;0.0014
sentais;12;0.0011
presque;17;0.0016
the;188;0.0179
aimée;7;0.0007
tête;12;0.0011
deux;28;0.0027
mot;14;0.0013
avais;94;0.0089
espérances;6;0.0006
imagination;7;0.0007
calcul;6;0.0006
succès;18;0.0017
pouvoir;8;0.0008
profonde;7;0.0007
;42;0.004
calme;11;0.001
raison;8;0.0008
heures;24;0.0023
pieds;7;0.0007
devait;7;0.0007
faisait;10;0.001
nature;16;0.0015
preuves;7;0.0007
voulait;7;0.0007
mêmes;13;0.0012
chose;17;0.0016
secret;12;0.0011
semblait;19;0.0018
émotion;7;0.0007
abord;8;0.0008
femmes;22;0.0021
désir;14;0.0013
foule;7;0.0007
est;129;0.0123
maîtresse;7;0.0007
mieux;14;0.0013
engagement;6;0.0006
refund;10;0.001
doute;11;0.001
avance;6;0.0006
fièvre;6;0.0006
facilement;6;0.0006
respirer;6;0.0006
trouvait;6;0.0006
tendre;6;0.0006
déjà;14;0.0013
indifférents;6;0.0006
autres;29;0.0028
veux;9;0.0009
habitude;7;0.0007
livrer;6;0.0006
by;19;0.0018
disposition;6;0.0006
silence;16;0.0015
paragraph;10;0.001
maison;7;0.0007
non;21;0.002
have;7;0.0007
terreur;8;0.0008
curiosité;8;0.0008
tard;8;0.0008
you;65;0.0062
suis;20;0.0019
laissé;7;0.0007
causer;7;0.0007
fut;28;0.0027
mois;17;0.0016
considération;8;0.0008
dévouement;10;0.001
autre;24;0.0023
do;7;0.0007
édition;6;0.0006
m;16;0.0015
tout;91;0.0087
other;17;0.0016
tourmenté;6;0.0006
amour;70;0.0067
comply;6;0.0006
première;12;0.0011
temps;37;0.0035
âme;28;0.0027
not;28;0.0027
vit;7;0.0007
sont;32;0.003
encore;50;0.0048
lettre;23;0.0022
écrivis;6;0.0006
for;21;0.002
copy;11;0.001
triste;11;0.001
amis;8;0.0008
grande;18;0.0017
reconnaissance;6;0.0006
réponse;10;0.001
voulu;23;0.0022
peut;15;0.0014
plaindre;6;0.0006
fait;39;0.0037
étranger;13;0.0012
chambre;11;0.001
pitié;15;0.0014
ailleurs;10;0.001
quelquefois;18;0.0017
about;8;0.0008
trouble;10;0.001
usage;9;0.0009
intérêt;16;0.0015
conseils;6;0.0006
uns;7;0.0007
serait;11;0.001
phrase;8;0.0008
reconnaissant;6;0.0006
finir;6;0.0006
sais;17;0.0016
immobile;7;0.0007
section;7;0.0007
are;21;0.002
êtes;14;0.0013
peu;25;0.0024
main;14;0.0013
remords;7;0.0007
ai;77;0.0073
matin;6;0.0006
très;11;0.001
telle;9;0.0009
si;11;0.001
repos;8;0.0008
ayant;19;0.0018
instant;18;0.0017
combien;8;0.0008
bras;14;0.0013
crainte;7;0.0007
agree;9;0.0009
entière;9;0.0009
aveu;7;0.0007
this;47;0.0045
inquiétude;9;0.0009
carrière;13;0.0012
donc;16;0.0015
rester;7;0.0007
voulez;6;0.0006
aussi;19;0.0018
terre;10;0.001
longue;6;0.0006
voulais;10;0.001
circonstances;9;0.0009
project;88;0.0084
années;13;0.0012
all;17;0.0016
pu;23;0.0022
isolement;8;0.0008
malheur;14;0.0013
fatigue;9;0.0009
adolphe;29;0.0028
pologne;8;0.0008
pays;8;0.0008
devoir;11;0.001
bien;46;0.0044
obstacle;12;0.0011
rendre;12;0.0011
prix;7;0.0007
nécessité;8;0.0008
intérêts;8;0.0008
devais;7;0.0007
permission;7;0.0007
elle;21;0.002
literary;13;0.0012
fortune;16;0.0015
passer;7;0.0007
toujours;46;0.0044
instants;6;0.0006
sorte;18;0.0017
donner;11;0.001
impression;12;0.0011
will;7;0.0007
trois;8;0.0008
jours;20;0.0019
monde;35;0.0033
dit;46;0.0044
air;11;0.001
provide;7;0.0007
vanité;11;0.001
maintenant;8;0.0008
parler;19;0.0018
heure;12;0.0011
set;8;0.0008
croyait;9;0.0009
tel;12;0.0011
as;9;0.0009
to;25;0.0024
plaisanteries;9;0.0009
lettres;14;0.0013
noble;8;0.0008
contrainte;6;0.0006
associated;7;0.0007
tort;6;0.0006
travail;6;0.0006
timide;6;0.0006
ellénore;216;0.0205
using;6;0.0006
conversation;14;0.0013
full;13;0.0012
trouvai;6;0.0006
souffrance;6;0.0006
ainsi;25;0.0024
cependant;12;0.0011
manières;6;0.0006
format;8;0.0008
pénible;6;0.0006
avait;170;0.0162
étaient;35;0.0033
indifférence;8;0.0008
terme;6;0.0006
été;33;0.0031
destinée;6;0.0006
in;61;0.0058
heureux;11;0.001
comment;6;0.0006
souffert;6;0.0006
faut;14;0.0013
fort;12;0.0011
toutes;37;0.0035
porte;9;0.0009
