mot;occurrence;frequence
oeil;32;0.0043
puissance;6;0.0008
état;6;0.0008
céleste;9;0.0012
lecteur;7;0.0009
reste;9;0.0012
séparer;7;0.0009
pousser;8;0.0011
ciel;31;0.0041
bord;19;0.0025
soir;9;0.0012
profond;6;0.0008
empêcher;6;0.0008
force;8;0.0011
lendemain;8;0.0011
vain;7;0.0009
an;7;0.0009
arc;7;0.0009
natchez;9;0.0012
beaucoup;12;0.0016
cœur;54;0.0072
style;7;0.0009
siècle;8;0.0011
loin;12;0.0016
désirer;6;0.0008
remplir;11;0.0015
mal;16;0.0021
douleur;31;0.0041
esprit;16;0.0021
véritable;7;0.0009
avancer;9;0.0012
auprès;16;0.0021
dessein;7;0.0009
arbre;34;0.0046
éloigner;9;0.0012
sœur;18;0.0024
échapper;9;0.0012
époux;11;0.0015
prononcer;10;0.0013
mettre;27;0.0036
homme;108;0.0145
ombre;15;0.002
orient;6;0.0008
couche;18;0.0024
rouler;7;0.0009
partie;11;0.0015
numérique;9;0.0012
commencer;13;0.0017
sacrifice;12;0.0016
mutiler;6;0.0008
obliger;7;0.0009
langue;7;0.0009
point;23;0.0031
flambeau;9;0.0012
raconter;8;0.0011
colombe;6;0.0008
passion;35;0.0047
milieu;28;0.0037
parti;6;0.0008
vase;7;0.0009
revoir;6;0.0008
rouge;7;0.0009
paix;13;0.0017
hutte;9;0.0012
exil;8;0.0011
retenir;7;0.0009
porter;17;0.0023
contempler;9;0.0012
coutume;8;0.0011
espagnol;6;0.0008
entier;9;0.0012
coup;15;0.002
lieu;24;0.0032
nord;7;0.0009
éprouver;7;0.0009
écorce;8;0.0011
humain;8;0.0011
flamme;8;0.0011
rocher;9;0.0012
vallée;7;0.0009
soin;9;0.0012
abîme;6;0.0008
sacrer;7;0.0009
passage;8;0.0011
fille;55;0.0074
espérer;6;0.0008
faire;68;0.0091
travers;10;0.0013
mère;59;0.0079
permettre;6;0.0008
briser;6;0.0008
forme;7;0.0009
plaisir;8;0.0011
simple;7;0.0009
serpent;7;0.0009
manquer;7;0.0009
former;15;0.002
aller;22;0.0029
bouche;10;0.0013
christianisme;16;0.0021
peindre;13;0.0017
ensembl;6;0.0008
trouver;32;0.0043
ici;21;0.0028
indienne;7;0.0009
garde;6;0.0008
emporter;10;0.0013
préparer;13;0.0017
presque;9;0.0012
savane;10;0.0013
lorsqu’;9;0.0012
tête;25;0.0033
mêler;12;0.0016
prisonnier;11;0.0015
imagination;8;0.0011
mot;22;0.0029
éteindre;8;0.0011
plonger;7;0.0009
pouvoir;37;0.005
