mot;occurrence;frequence
bénédiction;8;0.0001
accord;17;0.0003
charmant;30;0.0005
divinité;31;0.0005
action;46;0.0008
surnaturel;9;0.0001
honorer;12;0.0002
œuvre;42;0.0007
obscur;16;0.0003
lave;11;0.0002
estime;9;0.0001
rentrer;25;0.0004
transporter;14;0.0002
opposition;7;0.0001
prédicateur;9;0.0001
rive;8;0.0001
pavé;9;0.0001
siècle;48;0.0008
plan;7;0.0001
éclatant;7;0.0001
figure;56;0.0009
véritable;48;0.0008
aise;9;0.0001
austère;6;0.0001
effacer;21;0.0003
sœur;64;0.0011
accorder;38;0.0006
prononcer;75;0.0012
extrémité;14;0.0002
homme;395;0.0065
gai;9;0.0001
and;67;0.0011
aspect;47;0.0008
sensibilité;32;0.0005
confier;24;0.0004
canal;16;0.0003
changement;10;0.0002
taire;30;0.0005
us;8;0.0001
différence;17;0.0003
langue;36;0.0006
revêtir;15;0.0002
manière;160;0.0026
pèr;11;0.0002
espace;6;0.0001
irritation;8;0.0001
continuer;33;0.0005
incendie;8;0.0001
réfléchir;28;0.0005
pape;8;0.0001
justifier;7;0.0001
poitrine;8;0.0001
désarmer;6;0.0001
assurer;23;0.0004
nuire;6;0.0001
thérésine;15;0.0002
envoyer;15;0.0002
inventer;11;0.0002
paix;15;0.0002
frappé;10;0.0002
oriental;6;0.0001
hier;13;0.0002
étonnement;16;0.0003
ramener;11;0.0002
but;44;0.0007
retenir;26;0.0004
entier;69;0.0011
avenir;32;0.0005
agir;22;0.0004
amer;14;0.0002
horrible;9;0.0001
résoudre;35;0.0006
étroit;6;0.0001
contraste;22;0.0004
aime;10;0.0002
entièrement;30;0.0005
rocher;7;0.0001
impatient;7;0.0001
where;6;0.0001
fille;101;0.0017
honneur;40;0.0007
mériter;16;0.0003
large;6;0.0001
extrême;13;0.0002
condamner;21;0.0003
empreindre;9;0.0001
héroïque;6;0.0001
dessiner;7;0.0001
riant;8;0.0001
important;6;0.0001
actuel;18;0.0003
forme;58;0.001
orageux;6;0.0001
at;11;0.0002
thermes;6;0.0001
difficile;19;0.0003
voisin;12;0.0002
égyptien;7;0.0001
non-seulement;8;0.0001
christianisme;12;0.0002
dîner;12;0.0002
généralement;8;0.0001
under;6;0.0001
presque;139;0.0023
climat;30;0.0005
pittoresque;20;0.0003
repentir;14;0.0002
imiter;18;0.0003
secrètement;6;0.0001
braver;8;0.0001
serein;6;0.0001
consister;18;0.0003
enchanteur;6;0.0001
tête;68;0.0011
mot;168;0.0028
éteindre;15;0.0002
délicieux;10;0.0002
ressembl;7;0.0001
pénétrer;46;0.0008
réveiller;23;0.0004
prospérité;6;0.0001
pouvoir;245;0.0041
raison;71;0.0012
pauvre;29;0.0005
enceint;6;0.0001
rare;24;0.0004
religieux;49;0.0008
user;9;0.0001
multitude;15;0.0002
aimer;293;0.0049
désir;71;0.0012
fiction;10;0.0002
persuader;24;0.0004
foule;36;0.0006
jadi;7;0.0001
napolitain;10;0.0002
maîtresse;20;0.0003
mieux;89;0.0015
voile;11;0.0002
élancer;11;0.0002
choisir;31;0.0005
craindre;91;0.0015
doute;78;0.0013
poignard;9;0.0001
comédie;14;0.0002
poëte;52;0.0009
voyant;29;0.0005
facilement;21;0.0003
art;110;0.0018
respirer;31;0.0005
ardent;15;0.0002
veux;8;0.0001
pria;7;0.0001
barrière;7;0.0001
vieux;17;0.0003
capitaine;7;0.0001
enivrer;8;0.0001
paragraph;12;0.0002
rigoureux;7;0.0001
mélodie;7;0.0001
attentivement;6;0.0001
amusement;11;0.0002
supérieur;25;0.0004
aimable;43;0.0007
répondre;99;0.0016
considérer;42;0.0007
renfermer;11;0.0002
puiser;8;0.0001
mois;37;0.0006
héros;15;0.0002
idéal;14;0.0002
maladie;29;0.0005
facilité;8;0.0001
déclarer;15;0.0002
esclave;12;0.0002
fonder;6;0.0001
délicatesse;24;0.0004
copie;8;0.0001
