mot;occurrence;frequence
ont;336;0.0025
jusques;9;0.0001
quatre;26;0.0002
revenez;7;0.0001
poursuivi;6;0.0
attache;14;0.0001
veuille;6;0.0
estime;70;0.0005
saurai;16;0.0001
torts;58;0.0004
effacer;10;0.0001
tribunal;13;0.0001
visites;6;0.0
choisi;15;0.0001
homme;340;0.0025
noviciat;11;0.0001
foibles;11;0.0001
ébranlée;6;0.0
changement;19;0.0001
confier;42;0.0003
épreuve;7;0.0001
différence;16;0.0001
17;17;0.0001
événemens;40;0.0003
obligée;11;0.0001
nuire;13;0.0001
xiii;14;0.0001
ramener;22;0.0002
vii;12;0.0001
espagnol;7;0.0001
14;22;0.0002
agir;11;0.0001
tut;11;0.0001
résoudre;19;0.0001
infortunés;16;0.0001
échappa;8;0.0001
pleurs;31;0.0002
voyois;43;0.0003
parfaite;57;0.0004
mériter;14;0.0001
glacé;6;0.0
condamner;18;0.0001
tes;51;0.0004
a;1902;0.0141
difficile;22;0.0002
joug;13;0.0001
sortie;11;0.0001
deux;178;0.0013
mot;127;0.0009
connoissez;25;0.0002
pieds;51;0.0004
remplis;13;0.0001
fermée;6;0.0
cousine;33;0.0002
agite;7;0.0001
essayez;8;0.0001
frémis;14;0.0001
allez;21;0.0002
voyant;50;0.0004
retournant;17;0.0001
facilement;26;0.0002
perd;10;0.0001
croirois;9;0.0001
art;26;0.0002
puissiez;6;0.0
répétai;12;0.0001
vieux;9;0.0001
paragraph;10;0.0001
satisfait;8;0.0001
considérer;18;0.0001
arrêté;7;0.0001
âme;420;0.0031
nouvelles;41;0.0003
venez;33;0.0002
conviens;15;0.0001
dignes;9;0.0001
mettoit;7;0.0001
main;140;0.001
singulière;12;0.0001
repos;71;0.0005
fête;31;0.0002
delphine;1079;0.008
inconcevable;7;0.0001
retrouve;14;0.0001
project;88;0.0007
disant;20;0.0001
demander;72;0.0005
épargner;14;0.0001
lier;11;0.0001
entraînée;14;0.0001
projet;43;0.0003
cherchai;7;0.0001
chemin;11;0.0001
fûmes;10;0.0001
conjurer;13;0.0001
associated;7;0.0001
relevant;10;0.0001
trouvai;25;0.0002
indifférence;15;0.0001
levai;12;0.0001
cruelle;52;0.0004
pas;2529;0.0188
cruel;60;0.0004
mouvement;108;0.0008
avez;391;0.0029
ressenti;6;0.0
x;12;0.0001
mérite;25;0.0002
consacrer;19;0.0001
effets;7;0.0001
durée;8;0.0001
exiger;20;0.0001
most;6;0.0
éclat;46;0.0003
vis;72;0.0005
dépend;12;0.0001
tombe;27;0.0002
seras;9;0.0001
solennel;10;0.0001
irai;22;0.0002
trouvent;7;0.0001
habituelle;13;0.0001
passant;11;0.0001
relativement;7;0.0001
lentement;10;0.0001
huit;37;0.0003
rendu;33;0.0002
partout;10;0.0001
works;32;0.0002
éprouvois;47;0.0003
qualités;85;0.0006
cause;125;0.0009
circonstance;36;0.0003
davantage;44;0.0003
regret;21;0.0002
généreux;57;0.0004
comprendre;28;0.0002
destinées;9;0.0001
distinguer;8;0.0001
voulut;32;0.0002
étrangers;16;0.0001
souffroit;12;0.0001
déchirer;9;0.0001
informer;13;0.0001
impossible;91;0.0007
29;9;0.0001
délivrer;11;0.0001
appuyant;7;0.0001
pur;29;0.0002
jamais;562;0.0042
certainement;18;0.0001
perte;31;0.0002
oblige;8;0.0001
intéressante;6;0.0
continuel;10;0.0001
raconta;7;0.0001
repousse;10;0.0001
fond;89;0.0007
profonds;8;0.0001
involontairement;6;0.0
véritablement;19;0.0001
tressaillit;8;0.0001
anxiété;9;0.0001
hais;7;0.0001
meurt;6;0.0
avions;13;0.0001
malheurs;55;0.0004
être;635;0.0047
laisser;57;0.0004
petit;10;0.0001
bellerive;100;0.0007
change;11;0.0001
supérieurs;9;0.0001
blesser;13;0.0001
sort;185;0.0014
deviendrai;6;0.0
lever;16;0.0001
nouvelle;65;0.0005
bal;24;0.0002
effrayée;8;0.0001
irréparable;14;0.0001
courageux;7;0.0001
sait;65;0.0005
indifférens;10;0.0001
révolution;23;0.0002
malveillance;9;0.0001
soutenue;9;0.0001
forces;59;0.0004
agreement;18;0.0001
inspirer;53;0.0004
idée;216;0.0016
8;20;0.0001
ravir;8;0.0001
repose;8;0.0001
retourner;27;0.0002
agitée;21;0.0002
afflige;6;0.0
servi;12;0.0001
infâme;6;0.0
ému;13;0.0001
tourment;7;0.0001
juré;9;0.0001
montre;12;0.0001
pût;50;0.0004
marier;15;0.0001
séductions;7;0.0001
geôlier;6;0.0
renfermée;6;0.0
expliquer;30;0.0002
honore;7;0.0001
xxix;10;0.0001
seule;263;0.002
précipitamment;14;0.0001
leçons;9;0.0001
occupation;10;0.0001
consenti;18;0.0001
force;184;0.0014
commis;6;0.0
vain;40;0.0003
écrite;8;0.0001
cherchois;14;0.0001
efforts;61;0.0005
habituellement;9;0.0001
époque;15;0.0001
law;8;0.0001
arbre;6;0.0
compte;27;0.0002
sembloit;60;0.0004
politesse;10;0.0001
touchée;20;0.0001
élevée;14;0.0001
peintre;8;0.0001
xxx;10;0.0001
conseiller;13;0.0001
tellement;49;0.0004
petites;11;0.0001
prétextes;10;0.0001
résolution;84;0.0006
passion;63;0.0005
devint;7;0.0001
parens;28;0.0002
décembre;39;0.0003
chargé;7;0.0001
extérieur;10;0.0001
9;6;0.0
conduisit;9;0.0001
aurons;6;0.0
lu;12;0.0001
progrès;6;0.0
était;7;0.0001
demanda;27;0.0002
mars;18;0.0001
magie;6;0.0
espérer;16;0.0001
mortel;12;0.0001
dévotes;6;0.0
levant;12;0.0001
rendit;6;0.0
durable;8;0.0001
commandé;6;0.0
petits;8;0.0001
délire;24;0.0002
retomba;7;0.0001
commune;8;0.0001
espérances;35;0.0003
écrivant;12;0.0001
plaisoit;10;0.0001
reçu;66;0.0005
connois;38;0.0003
ravissante;6;0.0
véritables;8;0.0001
autrefois;30;0.0002
tien;6;0.0
abord;92;0.0007
mourra;7;0.0001
altéré;10;0.0001
délices;19;0.0001
naturels;10;0.0001
passai;11;0.0001
voilà;46;0.0003
réflexion;38;0.0003
soyez;44;0.0003
sévères;10;0.0001
tendre;55;0.0004
semblent;8;0.0001
rang;11;0.0001
ajouta;30;0.0002
charles;11;0.0001
venu;36;0.0003
inutile;17;0.0001
xxviii;10;0.0001
marque;6;0.0
sujet;61;0.0005
inspiration;9;0.0001
édition;6;0.0
vide;8;0.0001
intentions;9;0.0001
culte;18;0.0001
exposer;23;0.0002
croyoit;45;0.0003
peines;136;0.001
tourmens;14;0.0001
pressée;7;0.0001
onze;6;0.0
inquiétudes;27;0.0002
établissement;6;0.0
illusion;27;0.0002
albémar;530;0.0039
foiblesse;50;0.0004
passa;14;0.0001
si;66;0.0005
telle;78;0.0006
plutôt;28;0.0002
arrêter;23;0.0002
faisois;21;0.0002
nécessaires;20;0.0001
crainte;74;0.0006
envoyé;10;0.0001
rougir;16;0.0001
terre;140;0.001
marchoit;9;0.0001
défense;17;0.0001
jouer;9;0.0001
brillantes;7;0.0001
nécessité;25;0.0002
insister;8;0.0001
passoit;20;0.0001
intention;35;0.0003
toujours;321;0.0024
venois;20;0.0001
languedoc;18;0.0001
réfléchissant;7;0.0001
trois;57;0.0004
douloureux;34;0.0003
avançai;6;0.0
ressemble;10;0.0001
fenêtre;24;0.0002
as;38;0.0003
dira;19;0.0001
timide;6;0.0
using;6;0.0
entraînement;10;0.0001
iii;14;0.0001
insu;12;0.0001
xi;11;0.0001
comment;106;0.0008
solennelle;7;0.0001
placé;12;0.0001
porte;108;0.0008
servir;52;0.0004
entraîné;10;0.0001
momens;73;0.0005
vôtre;30;0.0002
soi;30;0.0002
avoir;459;0.0034
affranchir;12;0.0001
prenez;9;0.0001
campagne;22;0.0002
cru;47;0.0003
compagne;11;0.0001
parlât;8;0.0001
moindre;69;0.0005
mystère;12;0.0001
animé;8;0.0001
firent;14;0.0001
réel;8;0.0001
voudrez;8;0.0001
bon;51;0.0004
reine;6;0.0
manquoit;6;0.0
hiver;16;0.0001
monter;7;0.0001
mille;90;0.0007
lue;6;0.0
ferme;28;0.0002
saviez;9;0.0001
soumis;6;0.0
laws;10;0.0001
bienfaiteur;7;0.0001
jeunesse;61;0.0005
nécessairement;17;0.0001
semblables;17;0.0001
cruellement;21;0.0002
moins;256;0.0019
observations;15;0.0001
savez;127;0.0009
of;72;0.0005
gloire;36;0.0003
ajouté;6;0.0
voix;140;0.001
is;10;0.0001
tu;195;0.0014
laissois;7;0.0001
motifs;62;0.0005
renoncer;37;0.0003
passe;33;0.0002
plein;18;0.0001
occupoit;13;0.0001
mélange;18;0.0001
reproche;23;0.0002
rayons;10;0.0001
perfidie;15;0.0001
étonné;10;0.0001
attend;12;0.0001
dévotion;15;0.0001
appellent;8;0.0001
xxiii;10;0.0001
ah;234;0.0017
questions;17;0.0001
paris;281;0.0021
attendrir;10;0.0001
saluer;7;0.0001
intérieure;14;0.0001
humilier;7;0.0001
salle;13;0.0001
attention;31;0.0002
demain;73;0.0005
besoin;173;0.0013
secrets;13;0.0001
douloureusement;11;0.0001
pensant;10;0.0001
séparés;17;0.0001
employer;7;0.0001
partir;65;0.0005
éclairer;13;0.0001
déchirante;9;0.0001
réuni;8;0.0001
céleste;21;0.0002
lui;41;0.0003
confiance;89;0.0007
empêcher;27;0.0002
goûter;27;0.0002
forcée;18;0.0001
loin;112;0.0008
singulièrement;27;0.0002
incapable;13;0.0001
colère;24;0.0002
volonté;48;0.0004
