mot;occurrence;frequence
ont;45;0.0032
action;9;0.0006
enfin;45;0.0032
quatre;11;0.0008
œuvre;8;0.0006
pierry;6;0.0004
vis-à-vis;9;0.0006
monte;6;0.0004
siècle;10;0.0007
étions;16;0.0011
figure;14;0.001
heureuse;11;0.0008
tribunal;10;0.0007
te;10;0.0007
prisonniers;6;0.0004
homme;56;0.0039
pris;14;0.001
and;67;0.0047
né;7;0.0005
gens;26;0.0018
détails;8;0.0006
manière;16;0.0011
camarade;7;0.0005
espace;6;0.0004
possible;17;0.0012
license;17;0.0012
liens;6;0.0004
eut;10;0.0007
précipite;8;0.0006
but;10;0.0007
illuminés;13;0.0009
or;10;0.0007
espagnol;6;0.0004
puisse;6;0.0004
avenir;7;0.0005
fille;16;0.0011
honneur;10;0.0007
forme;20;0.0014
répond;10;0.0007
tes;11;0.0008
at;11;0.0008
a;260;0.0183
france;17;0.0012
under;6;0.0004
peuvent;9;0.0006
dû;8;0.0006
semblaient;8;0.0006
étant;9;0.0006
presque;19;0.0013
tête;32;0.0022
deux;60;0.0042
mot;19;0.0013
avais;44;0.0031
pouvoir;19;0.0013
raison;23;0.0016
heures;9;0.0006
pieds;14;0.001
voulait;6;0.0004
femmes;21;0.0015
aimer;8;0.0006
foule;10;0.0007
mieux;22;0.0015
trente;7;0.0005
allez;12;0.0008
personnes;6;0.0004
doute;15;0.0011
voyant;6;0.0004
lieues;6;0.0004
veux;19;0.0013
vieux;7;0.0005
paragraph;10;0.0007
font;8;0.0006
scévole;7;0.0005
mois;8;0.0006
comply;6;0.0004
première;25;0.0018
temps;49;0.0034
âme;19;0.0013
not;28;0.002
nouvelles;7;0.0005
venez;9;0.0006
auteur;24;0.0017
fait;93;0.0065
talent;8;0.0006
église;9;0.0006
servait;6;0.0004
section;7;0.0005
are;21;0.0015
main;27;0.0019
repos;8;0.0006
instant;14;0.001
venise;15;0.0011
paraît;9;0.0006
bras;18;0.0013
grands;16;0.0011
biondetta;93;0.0065
naturel;7;0.0005
jésus;8;0.0006
project;88;0.0062
malheur;10;0.0007
demander;10;0.0007
bien;87;0.0061
connaissez;8;0.0006
passer;15;0.0011
sorte;14;0.001
livrée;6;0.0004
dit;83;0.0058
chemin;10;0.0007
set;8;0.0006
quant;7;0.0005
associated;7;0.0005
spectacle;6;0.0004
auberge;10;0.0007
ainsi;18;0.0013
extraordinaire;11;0.0008
fort;14;0.001
seconde;10;0.0007
gaieté;6;0.0004
pas;282;0.0198
passé;8;0.0006
endroit;10;0.0007
che;7;0.0005
mouvement;19;0.0013
avez;39;0.0027
regards;20;0.0014
copies;7;0.0005
justice;6;0.0004
most;6;0.0004
éclat;8;0.0006
six;8;0.0006
vis;11;0.0008
tant;17;0.0012
tombe;8;0.0006
ait;11;0.0008
tous;71;0.005
effrayer;6;0.0004
prison;6;0.0004
es;6;0.0004
maravillas;6;0.0004
je;10;0.0007
rendu;6;0.0004
partout;6;0.0004
membres;6;0.0004
works;32;0.0022
service;15;0.0011
davantage;7;0.0005
etc;7;0.0005
ordre;10;0.0007
without;8;0.0006
access;10;0.0007
situation;9;0.0006
réflexions;11;0.0008
impossible;10;0.0007
entends;6;0.0004
jamais;35;0.0025
espèce;19;0.0013
retour;7;0.0005
trop;29;0.002
sensible;8;0.0006
marcos;9;0.0006
fond;17;0.0012
mencia;8;0.0006
use;12;0.0008
conduite;9;0.0006
including;8;0.0006
être;80;0.0056
route;12;0.0008
petit;17;0.0012
haut;8;0.0006
journée;6;0.0004
arriver;11;0.0008
sort;16;0.0011
connaissance;9;0.0006
religion;6;0.0004
vive;10;0.0007
allons;12;0.0008
states;19;0.0013
front;6;0.0004
nouvelle;8;0.0006
nuit;16;0.0011
crois;9;0.0006
mission;6;0.0004
sait;11;0.0008
révolution;10;0.0007
connaissances;9;0.0006
forces;9;0.0006
agreement;18;0.0013
apparition;7;0.0005
idée;16;0.0011
information;8;0.0006
vue;22;0.0015
peine;20;0.0014
can;10;0.0007
servi;7;0.0005
refuser;6;0.0004
argent;14;0.001
mets;7;0.0005
adresse;6;0.0004
faisant;9;0.0006
ebooks;7;0.0005
lit;20;0.0014
effet;18;0.0013
dernière;6;0.0004
seule;12;0.0008
terms;22;0.0015
fils;13;0.0009
mis;20;0.0014
alors;38;0.0027
appelle;11;0.0008
101;6;0.0004
soir;7;0.0005
that;15;0.0011
aurais;8;0.0006
force;23;0.0016
