mot;occurrence;frequence
charmant;6;0.0004
action;16;0.0011
pousser;12;0.0008
œuvre;7;0.0005
transporter;6;0.0004
figure;10;0.0007
sœur;19;0.0013
homme;114;0.0076
and;65;0.0043
usurier;9;0.0006
us;8;0.0005
manière;16;0.0011
continuer;18;0.0012
incendie;7;0.0005
pèdre;11;0.0007
assurer;14;0.0009
envoyer;7;0.0005
but;6;0.0004
retenir;6;0.0004
espagnol;22;0.0015
entier;7;0.0005
agir;6;0.0004
horrible;6;0.0004
résoudre;13;0.0009
fille;98;0.0065
honneur;33;0.0022
mériter;11;0.0007
extrême;8;0.0005
forme;6;0.0004
at;11;0.0007
voisin;13;0.0009
under;6;0.0004
presque;9;0.0006
cent;8;0.0005
tête;18;0.0012
mot;29;0.0019
pouvoir;69;0.0046
raison;22;0.0015
pauvre;8;0.0005
religieux;6;0.0004
user;10;0.0007
aimer;35;0.0023
désir;11;0.0007
persuader;14;0.0009
maîtresse;33;0.0022
mieux;26;0.0017
choisir;9;0.0006
craindre;23;0.0015
doute;19;0.0013
gouvernante;20;0.0013
poëte;8;0.0005
voyant;7;0.0005
dépense;9;0.0006
veux;7;0.0005
vieux;46;0.0031
capitaine;16;0.0011
paragraph;12;0.0008
satisfait;6;0.0004
attentivement;6;0.0004
aimable;9;0.0006
répondre;70;0.0047
considérer;16;0.0011
mois;10;0.0007
galant;25;0.0017
déclarer;7;0.0005
docteur;6;0.0004
copie;7;0.0005
el;8;0.0005
mander;6;0.0004
temps;49;0.0033
âme;7;0.0005
not;25;0.0017
traiter;8;0.0005
reconnaissance;10;0.0007
auteur;20;0.0013
fait;19;0.0013
plaindre;9;0.0006
quelquefois;6;0.0004
église;17;0.0011
usage;12;0.0008
intérêt;16;0.0011
payer;11;0.0007
section;8;0.0005
are;15;0.001
traduction;6;0.0004
main;48;0.0032
asmodé;10;0.0007
repos;22;0.0015
fête;8;0.0005
bras;13;0.0009
promptement;6;0.0004
occasion;20;0.0013
naturel;6;0.0004
rester;6;0.0004
project;26;0.0017
malheur;20;0.0013
demander;36;0.0024
bien;184;0.0123
épargner;6;0.0004
passer;72;0.0048
projet;7;0.0005
sorte;16;0.0011
prétendre;12;0.0008
chemin;9;0.0006
récompense;10;0.0007
magicien;8;0.0005
gentilhomme;8;0.0005
associated;6;0.0004
spectacle;10;0.0007
auberge;7;0.0005
oncle;6;0.0004
cruelle;6;0.0004
cousin;8;0.0005
inconnue;9;0.0006
fort;62;0.0041
prêt;13;0.0009
cruel;13;0.0009
gagner;7;0.0005
endroit;16;0.0011
mouvement;11;0.0007
mérite;10;0.0007
habile;6;0.0004
violence;6;0.0004
justice;26;0.0017
laisson;7;0.0005
fou;31;0.0021
prison;14;0.0009
