mot;occurrence;frequence
1;16;0.0002
ont;305;0.0047
jusques;12;0.0002
divinité;28;0.0004
action;16;0.0002
enfin;136;0.0021
pousser;6;0.0001
soutenait;6;0.0001
ose;14;0.0002
injustement;6;0.0001
estime;14;0.0002
mœurs;38;0.0006
pluton;17;0.0003
lucaniens;8;0.0001
monte;12;0.0002
étions;15;0.0002
ornée;6;0.0001
figure;18;0.0003
aise;7;0.0001
heureuse;22;0.0003
véritable;28;0.0004
austère;9;0.0001
effacer;7;0.0001
te;31;0.0005
prisonniers;7;0.0001
cœurs;33;0.0005
extrémité;6;0.0001
homme;226;0.0035
pris;37;0.0006
culture;6;0.0001
orient;11;0.0002
and;67;0.001
né;19;0.0003
gens;52;0.0008
changement;7;0.0001
confier;11;0.0002
eurent;9;0.0001
taire;14;0.0002
rameurs;14;0.0002
langue;6;0.0001
manière;9;0.0001
comprit;11;0.0002
conquête;9;0.0001
verrai;9;0.0001
poitrine;6;0.0001
appris;24;0.0004
connaissent;8;0.0001
libres;6;0.0001
pointes;7;0.0001
assurer;10;0.0002
fertile;13;0.0002
license;17;0.0003
appelait;10;0.0002
accable;7;0.0001
envoyer;14;0.0002
paix;132;0.002
temples;6;0.0001
sorti;7;0.0001
pyliens;6;0.0001
eut;48;0.0007
précipite;7;0.0001
étonnement;16;0.0002
absolue;6;0.0001
but;12;0.0002
ramener;9;0.0001
retenir;21;0.0003
or;64;0.001
chariots;7;0.0001
entier;7;0.0001
puisse;28;0.0004
principaux;14;0.0002
avenir;10;0.0002
horrible;18;0.0003
résoudre;13;0.0002
injustes;13;0.0002
aime;35;0.0005
entièrement;7;0.0001
rocher;24;0.0004
impatient;11;0.0002
tartare;14;0.0002
fausses;6;0.0001
honneur;31;0.0005
astres;7;0.0001
mériter;6;0.0001
poussant;6;0.0001
difficultés;7;0.0001
acquis;12;0.0002
tiennent;7;0.0001
fille;14;0.0002
extrême;7;0.0001
secourir;18;0.0003
condamner;6;0.0001
appliqué;6;0.0001
riant;6;0.0001
flatterie;24;0.0004
minos;33;0.0005
forme;13;0.0002
tes;20;0.0003
at;12;0.0002
a;666;0.0102
difficile;10;0.0002
semblant;13;0.0002
voisin;18;0.0003
forêts;18;0.0003
artificieux;9;0.0001
non-seulement;11;0.0002
tache;6;0.0001
noire;13;0.0002
under;6;0.0001
étant;47;0.0007
fraude;7;0.0001
peuvent;40;0.0006
sentais;11;0.0002
flatteuses;6;0.0001
désirs;15;0.0002
presque;70;0.0011
semblaient;15;0.0002
secrètement;12;0.0002
tête;48;0.0007
honte;50;0.0008
serein;8;0.0001
piéges;6;0.0001
deux;126;0.0019
éteindre;6;0.0001
mot;15;0.0002
troyens;13;0.0002
délicieux;14;0.0002
avais;76;0.0012
dû;6;0.0001
imiter;7;0.0001
prospérité;22;0.0003
pouvoir;48;0.0007
épaisse;6;0.0001
navire;13;0.0002
nourrit;8;0.0001
raison;33;0.0005
heures;8;0.0001
joug;7;0.0001
cent;20;0.0003
pieds;32;0.0005
pauvre;13;0.0002
frères;7;0.0001
commencèrent;6;0.0001
éloignait;6;0.0001
commence;10;0.0002
diomède;19;0.0003
voulait;41;0.0006
multitude;15;0.0002
remarqué;6;0.0001
femmes;25;0.0004
désir;16;0.0002
aimer;33;0.0005
persuader;10;0.0002
citoyens;7;0.0001
foule;29;0.0004
montrait;12;0.0002
apollon;27;0.0004
mieux;60;0.0009
voile;6;0.0001
louis;11;0.0002
choisir;16;0.0002
allez;21;0.0003
personnes;8;0.0001
craindre;55;0.0008
doute;28;0.0004
profondes;11;0.0002
oubliez;6;0.0001
voyant;36;0.0006
dépense;9;0.0001
facilement;15;0.0002
art;20;0.0003
respirer;8;0.0001
veux;21;0.0003
services;8;0.0001
vulcain;6;0.0001
vieux;13;0.0002
sombres;14;0.0002
capitaine;6;0.0001
furent;38;0.0006
paragraph;10;0.0002
aimez;9;0.0001
font;51;0.0008
hautain;6;0.0001
entreprendre;6;0.0001
défauts;24;0.0004
horribles;10;0.0002
aimable;20;0.0003
répondre;17;0.0003
sourd;7;0.0001
héros;34;0.0005
grèce;51;0.0008
arrêté;8;0.0001
innombrable;11;0.0002
esclave;11;0.0002
délicatesse;9;0.0001
fonder;10;0.0002
phénicie;12;0.0002
déserts;6;0.0001
comply;6;0.0001
première;17;0.0003
temps;127;0.0019
âme;20;0.0003
éclatait;6;0.0001
not;28;0.0004
couleur;10;0.0002
voulurent;8;0.0001
nouvelles;25;0.0004
venez;8;0.0001
pâris;6;0.0001
traiter;7;0.0001
portent;12;0.0002
maîtres;7;0.0001
forte;10;0.0002
couvre;9;0.0001
soins;21;0.0003
reconnaissance;9;0.0001
auteur;10;0.0002
revenaient;7;0.0001
soulager;13;0.0002
côtés;24;0.0004
plaindre;13;0.0002
néoptolème;19;0.0003
gras;6;0.0001
fait;277;0.0042
irrités;16;0.0002
dignes;8;0.0001
quelquefois;23;0.0004
peintes;7;0.0001
usage;13;0.0002
intérêt;28;0.0004
mauvaise;22;0.0003
servait;8;0.0001
esclaves;25;0.0004
environne;6;0.0001
surpasse;8;0.0001
dites;14;0.0002
section;7;0.0001
mit;15;0.0002
are;21;0.0003
main;83;0.0013
folle;11;0.0002
craignez;22;0.0003
repos;19;0.0003
malades;6;0.0001
ligue;8;0.0001
instant;14;0.0002
donnait;18;0.0003
paraît;31;0.0005
fuite;8;0.0001
bras;26;0.0004
tenant;10;0.0002
promptement;11;0.0002
savent;13;0.0002
grands;68;0.001
occasion;14;0.0002
naturel;20;0.0003
enfuit;8;0.0001
tombent;9;0.0001
rapide;6;0.0001
trahison;14;0.0002
admiration;8;0.0001
vives;6;0.0001
abîmes;9;0.0001
longue;30;0.0005
fidèles;9;0.0001
malheur;60;0.0009
disant;31;0.0005
project;88;0.0013
demander;20;0.0003
pays;102;0.0016
bien;239;0.0037
tombait;6;0.0001
osa;7;0.0001
connaissez;11;0.0002
prenant;7;0.0001
carnage;8;0.0001
passer;27;0.0004
bacchus;9;0.0001
éprouve;7;0.0001
sorte;17;0.0003
hippias;48;0.0007
nourriture;15;0.0002
printemps;12;0.0002
vaste;9;0.0001
joues;7;0.0001
assemble;6;0.0001
fleur;21;0.0003
commença;16;0.0002
dit;204;0.0031
chemin;20;0.0003
virgile;6;0.0001
fûmes;7;0.0001
servent;17;0.0003
renverser;17;0.0003
récompense;16;0.0002
lemnos;6;0.0001
set;8;0.0001
croyait;29;0.0004
poison;15;0.0002
flotte;8;0.0001
vertueux;21;0.0003
associated;7;0.0001
asie;13;0.0002
spectacle;12;0.0002
médiocre;8;0.0001
capables;9;0.0001
bourgogne;10;0.0002
attendri;6;0.0001
trouvai;7;0.0001
égale;8;0.0001
ainsi;187;0.0029
fidélité;11;0.0002
remarqua;8;0.0001
ionie;7;0.0001
colonnes;14;0.0002
cruelle;36;0.0006
pénélope;23;0.0004
tâchait;13;0.0002
souffert;17;0.0003
îles;15;0.0002
fort;29;0.0004
penchant;7;0.0001
seconde;8;0.0001
agriculture;16;0.0002
privée;6;0.0001
seront;33;0.0005
prêt;21;0.0003
pas;506;0.0077
noires;6;0.0001
passé;20;0.0003
reconnus;6;0.0001
alliance;12;0.0002
cruel;31;0.0005
gagner;15;0.0002
découvrit;6;0.0001
dehors;6;0.0001
endroit;18;0.0003
polydamas;15;0.0002
pousse;8;0.0001
mouvement;8;0.0001
avez;130;0.002
regards;14;0.0002
copies;7;0.0001
mérite;19;0.0003
habile;6;0.0001
campagnes;15;0.0002
violence;19;0.0003
guerres;12;0.0002
vol;13;0.0002
inhumanité;9;0.0001
justice;49;0.0007
most;6;0.0001
éclat;22;0.0003
utiles;10;0.0002
regardait;23;0.0004
pudeur;6;0.0001
vis;14;0.0002
écrie;8;0.0001
avançait;8;0.0001
tombe;16;0.0002
seras;6;0.0001
dépend;6;0.0001
tant;221;0.0034
tous;549;0.0084
reconnaît;8;0.0001
nuits;10;0.0002
tendres;16;0.0002
trouvent;8;0.0001
prison;6;0.0001
défiances;6;0.0001
destiné;7;0.0001
ait;20;0.0003
ivoire;8;0.0001
es;6;0.0001
ferez;7;0.0001
punis;9;0.0001
guère;19;0.0003
offre;14;0.0002
sacrifier;6;0.0001
je;9;0.0001
songea;6;0.0001
apprendre;27;0.0004
surprise;10;0.0002
oracle;15;0.0002
principales;8;0.0001
fruits;47;0.0007
menace;9;0.0001
cherchait;17;0.0003
violer;7;0.0001
rendu;11;0.0002
corriger;14;0.0002
partout;33;0.0005
peur;28;0.0004
membres;15;0.0002
works;32;0.0005
chefs;35;0.0005
murs;7;0.0001
qualités;11;0.0002
côtes;16;0.0002
portes;13;0.0002
parfums;14;0.0002
aperçoit;11;0.0002
vint;17;0.0003
notes;6;0.0001
cause;41;0.0006
service;8;0.0001
promesses;6;0.0001
davantage;11;0.0002
généreux;8;0.0001
espérant;7;0.0001
comprendre;9;0.0001
ordre;37;0.0006
image;11;0.0002
infiniment;6;0.0001
without;8;0.0001
destinées;10;0.0002
chasser;7;0.0001
access;10;0.0002
hazaël;19;0.0003
pourra;11;0.0002
ensemble;33;0.0005
bûcher;11;0.0002
voulut;30;0.0005
étrangers;44;0.0007
moindres;17;0.0003
tromper;28;0.0004
misères;7;0.0001
cambrai;6;0.0001
situation;6;0.0001
déchirer;6;0.0001
errant;10;0.0002
exécuter;8;0.0001
lion;15;0.0002
feux;10;0.0002
rendus;6;0.0001
avantage;12;0.0002
promontoire;6;0.0001
délivrer;13;0.0002
pur;8;0.0001
arrivâmes;7;0.0001
patience;19;0.0003
jamais;276;0.0042
abandonné;15;0.0002
vénus;37;0.0006
fleurir;7;0.0001
premiers;16;0.0002
furies;8;0.0001
espèce;15;0.0002
retour;21;0.0003
laissait;18;0.0003
perte;28;0.0004
observer;10;0.0002
arrivé;17;0.0003
raconta;6;0.0001
dons;12;0.0002
rives;10;0.0002
supporter;13;0.0002
terres;51;0.0008
commun;8;0.0001
sensible;13;0.0002
ridé;7;0.0001
souriant;11;0.0002
lait;14;0.0002
trop;116;0.0018
fond;47;0.0007
moisson;6;0.0001
engagé;7;0.0001
profonds;10;0.0002
use;14;0.0002
vivants;7;0.0001
mortels;25;0.0004
véritablement;11;0.0002
téméraire;10;0.0002
conduite;29;0.0004
inconnues;7;0.0001
oublier;12;0.0002
humaine;13;0.0002
témoins;6;0.0001
sésostris;24;0.0004
sévèrement;8;0.0001
court;20;0.0003
polycrate;7;0.0001
vîmes;7;0.0001
innombrables;10;0.0002
monstrueux;6;0.0001
including;8;0.0001
commander;18;0.0003
bocage;6;0.0001
exacte;7;0.0001
avions;9;0.0001
malheurs;72;0.0011
insensé;10;0.0002
divers;14;0.0002
être;278;0.0043
flatter;13;0.0002
touche;13;0.0002
affaires;39;0.0006
laboureur;9;0.0001
petit;19;0.0003
laisser;37;0.0006
haut;21;0.0003
habits;22;0.0003
ayez;18;0.0003
arriver;9;0.0001
dard;16;0.0002
tyrannie;6;0.0001
proportion;7;0.0001
sort;18;0.0003
injuste;18;0.0003
tranquille;24;0.0004
amours;8;0.0001
religion;10;0.0002
combattants;12;0.0002
vive;16;0.0002
oreille;9;0.0001
allons;8;0.0001
pensée;9;0.0001
cou;11;0.0002
exemple;32;0.0005
front;11;0.0002
nouvelle;25;0.0004
crois;11;0.0002
nuit;56;0.0009
brutale;9;0.0001
states;19;0.0003
aurore;11;0.0002
colonies;7;0.0001
sert;11;0.0002
crut;15;0.0002
mettez;8;0.0001
ida;6;0.0001
courageux;6;0.0001
sait;37;0.0006
mission;6;0.0001
archipel;6;0.0001
bornes;8;0.0001
remplit;7;0.0001
quoi;21;0.0003
suspects;6;0.0001
forces;17;0.0003
agreement;18;0.0003
parjure;7;0.0001
empressés;7;0.0001
plaie;12;0.0002
absence;15;0.0002
superflu;6;0.0001
nécessités;6;0.0001
nobles;7;0.0001
gardez;13;0.0002
prenait;11;0.0002
information;8;0.0001
vue;35;0.0005
peine;148;0.0023
attaque;11;0.0002
mourir;38;0.0006
demeurer;9;0.0001
mémoire;7;0.0001
can;10;0.0002
retourner;22;0.0003
volupté;8;0.0001
commerce;50;0.0008
infâme;6;0.0001
servi;15;0.0002
ému;11;0.0002
refuser;10;0.0002
richesses;49;0.0007
argent;35;0.0005
embrasser;12;0.0002
mets;7;0.0001
nourrir;16;0.0002
adresse;11;0.0002
présence;13;0.0002
montre;14;0.0002
souffrez;13;0.0002
confus;15;0.0002
prise;10;0.0002
claire;7;0.0001
pût;15;0.0002
enivré;6;0.0001
faisant;11;0.0002
las;7;0.0001
ebooks;7;0.0001
contrée;6;0.0001
lit;7;0.0001
verras;7;0.0001
branches;7;0.0001
reconnais;9;0.0001
ressentiment;13;0.0002
beaux;27;0.0004
viennent;17;0.0003
effet;14;0.0002
vaisseaux;35;0.0005
périls;19;0.0003
répondait;27;0.0004
commencé;7;0.0001
avis;13;0.0002
puni;6;0.0001
dernière;14;0.0002
désire;7;0.0001
ithaque;83;0.0013
oiseau;6;0.0001
tranquillement;12;0.0002
mis;42;0.0006
abondance;36;0.0006
seule;34;0.0005
glace;9;0.0001
terms;22;0.0003
fruit;15;0.0002
fils;218;0.0033
abusé;6;0.0001
alors;70;0.0011
appelle;14;0.0002
golfe;10;0.0002
aristonoüs;26;0.0004
zéphyrs;8;0.0001
soir;7;0.0001
violente;8;0.0001
siècles;13;0.0002
that;15;0.0002
aurais;7;0.0001
force;67;0.001
distribution;6;0.0001
lendemain;7;0.0001
esclavage;6;0.0001
mener;9;0.0001
an;7;0.0001
arc;13;0.0002
vain;31;0.0005
raisons;9;0.0001
amollir;7;0.0001
disent;10;0.0002
efforts;18;0.0003
cœur;196;0.003
doux;92;0.0014
laboureurs;9;0.0001
accabler;6;0.0001
remplir;8;0.0001
têtes;8;0.0001
law;7;0.0001
fallu;8;0.0001
auprès;64;0.001
dessein;21;0.0003
arbre;13;0.0002
étais;55;0.0008
compte;16;0.0002
temple;27;0.0004
éloigner;7;0.0001
majesté;15;0.0002
marbre;14;0.0002
surtout;32;0.0005
blessure;8;0.0001
cruelles;11;0.0002
cas;6;0.0001
courent;6;0.0001
liberté;51;0.0008
commençaient;7;0.0001
victoire;38;0.0006
épaule;6;0.0001
vous;28;0.0004
ignore;7;0.0001
sobriété;7;0.0001
trouva;15;0.0002
neptune;36;0.0006
don;8;0.0001
sacrifice;17;0.0003
impitoyable;7;0.0001
prétextes;8;0.0001
défier;13;0.0002
petites;9;0.0001
raconte;11;0.0002
éloquence;10;0.0002
nécessaire;30;0.0005
laisse;39;0.0006
vigueur;20;0.0003
passion;37;0.0006
raconter;14;0.0002
mirent;8;0.0001
devint;9;0.0001
arrache;6;0.0001
impatience;13;0.0002
chargé;9;0.0001
combat;32;0.0005
in-16;7;0.0001
mourant;6;0.0001
trésor;7;0.0001
gardes;7;0.0001
ressource;14;0.0002
veut;57;0.0009
conduisit;6;0.0001
tempêtes;14;0.0002
pages;9;0.0001
orgueil;16;0.0002
personne;37;0.0006
poussière;18;0.0003
aura;31;0.0005
hautes;15;0.0002
alla;12;0.0002
grâces;32;0.0005
permettent;7;0.0001
leur;7;0.0001
furieux;11;0.0002
fertiles;10;0.0002
renvoyer;8;0.0001
était;599;0.0092
armés;9;0.0001
venait;29;0.0004
enfuir;6;0.0001
meilleur;16;0.0002
entraînent;6;0.0001
demanda;19;0.0003
mars;11;0.0002
croit;27;0.0004
with;45;0.0007
fleuris;6;0.0001
craigne;6;0.0001
soin;43;0.0007
passage;7;0.0001
innocence;11;0.0002
pleines;11;0.0002
espérer;25;0.0004
sanglier;8;0.0001
naissante;11;0.0002
mourons;6;0.0001
grecs;56;0.0009
justes;36;0.0006
manquaient;8;0.0001
phénicien;15;0.0002
ambition;38;0.0006
idalie;6;0.0001
vaincus;6;0.0001
hommes;426;0.0065
bas;13;0.0002
located;7;0.0001
venons;7;0.0001
mortel;18;0.0003
parut;32;0.0005
trouvé;12;0.0002
tourments;7;0.0001
flottants;7;0.0001
vont;14;0.0002
aceste;15;0.0002
apprend;10;0.0002
assure;6;0.0001
avons;41;0.0006
syrie;6;0.0001
former;8;0.0001
larmes;76;0.0012
levant;9;0.0001
rendit;6;0.0001
it;8;0.0001
genoux;16;0.0002
parla;11;0.0002
trouver;66;0.001
oublia;6;0.0001
regardent;6;0.0001
work;45;0.0007
lois;76;0.0012
sincérité;10;0.0002
voici;22;0.0003
mépris;19;0.0003
là;84;0.0013
rends;8;0.0001
petits;15;0.0002
voyait;61;0.0009
récompenser;7;0.0001
demande;22;0.0003
imagination;9;0.0001
commune;6;0.0001
envoyés;7;0.0001
sommes;18;0.0003
ennemis;75;0.0011
montrez;6;0.0001
succès;20;0.0003
reçu;17;0.0003
rappeler;7;0.0001
profonde;22;0.0003
calme;7;0.0001
oh;6;0.0001
phéaciens;7;0.0001
ornées;7;0.0001
redoutable;7;0.0001
tirer;25;0.0004
dérober;7;0.0001
admiré;7;0.0001
quelque;18;0.0003
suivi;13;0.0002
fend;9;0.0001
véritables;14;0.0002
autrefois;26;0.0004
jouet;10;0.0002
abord;63;0.001
charon;8;0.0001
sophronyme;26;0.0004
éclater;6;0.0001
délices;28;0.0004
est;1222;0.0187
naturels;6;0.0001
sages;59;0.0009
éleva;9;0.0001
vivent;7;0.0001
songes;11;0.0002
baléazar;16;0.0002
riche;13;0.0002
saurais;8;0.0001
épais;14;0.0002
prennent;9;0.0001
avance;19;0.0003
voilà;73;0.0011
soleil;29;0.0004
exposé;11;0.0002
embrasse;8;0.0001
soyez;16;0.0002
assemblés;17;0.0003
semblent;6;0.0001
tendre;38;0.0006
déjà;114;0.0017
rang;15;0.0002
autres;230;0.0035
approcher;8;0.0001
venu;25;0.0004
ajouta;11;0.0002
demandait;10;0.0002
gros;7;0.0001
by;17;0.0003
inutile;13;0.0002
méchants;42;0.0006
silence;34;0.0005
lacédémoniens;6;0.0001
maison;28;0.0004
nouveaux;18;0.0003
moissons;9;0.0001
mains;90;0.0014
curiosité;17;0.0003
rigueurs;7;0.0001
sortes;11;0.0002
sujet;8;0.0001
voyez;49;0.0007
amants;16;0.0002
fut;134;0.002
sang;93;0.0014
partit;11;0.0002
other;17;0.0003
changé;12;0.0002
consoler;19;0.0003
voyons;6;0.0001
amour;100;0.0015
échappé;9;0.0001
laborieuse;7;0.0001
ancien;6;0.0001
furieuse;7;0.0001
arrive;12;0.0002
oisiveté;8;0.0001
regardaient;7;0.0001
attendait;13;0.0002
sont;376;0.0058
protésilas;63;0.001
exposer;6;0.0001
vases;6;0.0001
for;21;0.0003
odieuse;6;0.0001
divinités;12;0.0002
grande;78;0.0012
surpris;29;0.0004
amis;26;0.0004
aventures;40;0.0006
engager;6;0.0001
craint;39;0.0006
ailleurs;27;0.0004
couvrent;6;0.0001
peines;41;0.0006
finir;15;0.0002
uns;34;0.0005
inutilement;9;0.0001
calypso;60;0.0009
lieux;25;0.0004
établissement;6;0.0001
remords;9;0.0001
êtes;78;0.0012
apparence;9;0.0001
ferait;6;0.0001
demeure;18;0.0003
neige;14;0.0002
prendre;37;0.0006
fameux;17;0.0003
inclination;6;0.0001
très;30;0.0005
passa;6;0.0001
si;45;0.0007
telle;9;0.0001
cris;31;0.0005
plutôt;35;0.0005
arrêter;13;0.0002
faisais;8;0.0001
licence;6;0.0001
faite;13;0.0002
nécessaires;25;0.0004
éclairs;6;0.0001
crainte;44;0.0007
jeter;13;0.0002
agree;9;0.0001
this;45;0.0007
mienne;8;0.0001
paraître;17;0.0003
confie;10;0.0002
mariages;8;0.0001
faibles;18;0.0003
donc;100;0.0015
voisinage;8;0.0001
avoue;15;0.0002
envoyé;9;0.0001
harmonie;6;0.0001
offrir;11;0.0002
immenses;8;0.0001
voyage;13;0.0002
tyrannique;7;0.0001
rend;26;0.0004
jetait;9;0.0001
terre;193;0.003
derniers;15;0.0002
défendre;19;0.0003
nations;23;0.0004
tandis;8;0.0001
continuait;6;0.0001
jouer;11;0.0002
agréables;6;0.0001
semblable;50;0.0008
fussent;9;0.0001
attendez;6;0.0001
cherché;9;0.0001
devoir;13;0.0002
nécessité;15;0.0002
consolation;15;0.0002
intérêts;19;0.0003
elle;11;0.0002
literary;13;0.0002
marche;7;0.0001
louanges;32;0.0005
juge;10;0.0002
merveilleux;7;0.0001
toujours;163;0.0025
tenait;17;0.0003
trompez;6;0.0001
murailles;6;0.0001
anciens;9;0.0001
trois;18;0.0003
négligée;8;0.0001
où;6;0.0001
génération;7;0.0001
ressemble;8;0.0001
faisaient;33;0.0005
suivait;8;0.0001
règne;18;0.0003
maintenant;48;0.0007
reprocher;7;0.0001
pouvaient;28;0.0004
infernales;6;0.0001
idoménée;195;0.003
as;28;0.0004
lettres;7;0.0001
noble;19;0.0003
charmes;20;0.0003
tort;13;0.0002
autels;15;0.0002
perçants;7;0.0001
amère;13;0.0002
using;6;0.0001
irritée;6;0.0001
cheval;11;0.0002
aliments;8;0.0001
élève;20;0.0003
manières;6;0.0001
horizon;6;0.0001
sortit;8;0.0001
découvrir;31;0.0005
conquérant;8;0.0001
capable;16;0.0002
géants;7;0.0001
laërte;8;0.0001
avait;513;0.0078
douter;8;0.0001
été;180;0.0028
répand;11;0.0002
tiens;7;0.0001
éternelle;13;0.0002
comment;35;0.0005
connais;8;0.0001
légère;10;0.0002
conquérants;8;0.0001
gouvernent;7;0.0001
porte;35;0.0005
possède;8;0.0001
osait;19;0.0003
vaincu;16;0.0002
servir;43;0.0007
furie;6;0.0001
plupart;10;0.0002
réussir;7;0.0001
pauvreté;17;0.0003
venus;11;0.0002
histoires;6;0.0001
division;8;0.0001
obscure;7;0.0001
siége;30;0.0005
même;361;0.0055
monts;6;0.0001
couvrait;8;0.0001
trône;21;0.0003
étonne;7;0.0001
soi;15;0.0002
écriai;9;0.0001
choses;84;0.0013
ressemblait;6;0.0001
avoir;207;0.0032
puissant;10;0.0002
genre;16;0.0002
toi;38;0.0006
campagne;35;0.0005
cru;24;0.0004
attendant;6;0.0001
répandait;12;0.0002
principes;7;0.0001
attachés;16;0.0002
celles;8;0.0001
tire;6;0.0001
coups;17;0.0003
pensées;11;0.0002
armée;63;0.001
moindre;23;0.0004
ulysse;188;0.0029
régner;45;0.0007
avouer;7;0.0001
affreuses;9;0.0001
trompeuse;13;0.0002
rage;20;0.0003
adoucir;13;0.0002
grandes;47;0.0007
lasser;6;0.0001
saisi;13;0.0002
vu;59;0.0009
narbal;43;0.0007
cacher;25;0.0004
entreprises;8;0.0001
firent;17;0.0003
fatigués;6;0.0001
rendait;9;0.0001
teint;8;0.0001
laissez;21;0.0003
anneau;13;0.0002
which;7;0.0001
bon;48;0.0007
corrompu;9;0.0001
perfection;9;0.0001
profiter;10;0.0002
anime;6;0.0001
livre;64;0.001
disaient;20;0.0003
charge;9;0.0001
ingrats;9;0.0001
mena;7;0.0001
vérité;74;0.0011
hiver;8;0.0001
pauvres;10;0.0002
mille;19;0.0003
péril;20;0.0003
tels;10;0.0002
empoisonner;7;0.0001
auriez;9;0.0001
nymphe;9;0.0001
