mot;occurrence;frequence
accord;7;0.0001
charmant;24;0.0005
divinité;9;0.0002
action;33;0.0007
honorer;12;0.0002
œuvre;29;0.0006
ose;36;0.0007
attache;10;0.0002
estime;18;0.0004
rentrer;27;0.0006
ingénieux;7;0.0001
vis-à-vis;25;0.0005
noirceur;7;0.0001
précaution;17;0.0004
siècle;26;0.0005
figure;37;0.0008
véritable;30;0.0006
recueil;12;0.0002
aise;23;0.0005
austère;9;0.0002
accorder;33;0.0007
prononcer;19;0.0004
homme;145;0.003
and;66;0.0014
sensibilité;10;0.0002
changement;8;0.0002
confier;19;0.0004
taire;12;0.0002
us;6;0.0001
différence;11;0.0002
manière;24;0.0005
continuer;32;0.0007
réfléchir;16;0.0003
à;6;0.0001
justifier;35;0.0007
apparemment;15;0.0003
assurer;96;0.002
nuire;21;0.0004
croiriez;6;0.0001
envoyer;46;0.001
supplie;6;0.0001
hier;95;0.002
étonnement;9;0.0002
ramener;22;0.0005
but;14;0.0003
retenir;26;0.0005
entier;40;0.0008
avenir;13;0.0003
agir;18;0.0004
résoudre;14;0.0003
aime;9;0.0002
entièrement;38;0.0008
fille;136;0.0028
honneur;75;0.0016
mériter;34;0.0007
secourir;12;0.0002
extrême;12;0.0002
condamner;7;0.0001
important;25;0.0005
forme;11;0.0002
répond;7;0.0001
at;12;0.0002
difficile;35;0.0007
dîner;15;0.0003
under;6;0.0001
presque;60;0.0012
imiter;6;0.0001
caprice;12;0.0002
repentir;11;0.0002
lorsqu’;7;0.0001
surmonter;6;0.0001
honte;17;0.0004
sortie;7;0.0001
tête;72;0.0015
mot;106;0.0022
éteindre;6;0.0001
ivresse;14;0.0003
délicieux;22;0.0005
pénétrer;16;0.0003
réveiller;11;0.0002
pouvoir;324;0.0067
raison;131;0.0027
pauvre;21;0.0004
rare;22;0.0005
religieux;8;0.0002
user;17;0.0004
peiner;10;0.0002
justification;8;0.0002
aimer;226;0.0047
désir;79;0.0016
persuader;26;0.0005
foule;11;0.0002
maîtresse;44;0.0009
mieux;123;0.0026
voile;6;0.0001
choisir;32;0.0007
craindre;129;0.0027
doute;132;0.0027
caresse;7;0.0001
voyant;8;0.0002
facilement;22;0.0005
finie;6;0.0001
fantaisie;18;0.0004
veux;12;0.0002
vieux;24;0.0005
enivrer;6;0.0001
aimez;15;0.0003
paragraph;12;0.0002
satisfait;6;0.0001
rigoureux;8;0.0002
supérieur;9;0.0002
aimable;45;0.0009
répondre;118;0.0025
considérer;9;0.0002
renfermer;8;0.0002
mois;19;0.0004
héros;12;0.0002
galant;6;0.0001
maladie;14;0.0003
difficilement;6;0.0001
facilité;18;0.0004
déclarer;13;0.0003
esclave;6;0.0001
fonder;8;0.0002
délicatesse;27;0.0006
copie;13;0.0003
mander;23;0.0005
avant-hier;10;0.0002
temps;218;0.0045
âme;54;0.0011
not;25;0.0005
oubli;10;0.0002
traiter;23;0.0005
égarer;15;0.0003
reconnaissance;26;0.0005
auteur;29;0.0006
fait;57;0.0012
plaindre;73;0.0015
talent;23;0.0005
quelquefois;58;0.0012
serrer;17;0.0004
espère;6;0.0001
fatal;9;0.0002
usage;53;0.0011
intérêt;54;0.0011
payer;20;0.0004
différer;17;0.0004
section;8;0.0002
are;15;0.0003
atteindre;6;0.0001
main;85;0.0018
refus;29;0.0006
craignez;8;0.0002
repos;24;0.0005
instant;27;0.0006
bras;41;0.0009
humiliation;10;0.0002
occasion;68;0.0014
carrière;9;0.0002
ange;10;0.0002
naturel;16;0.0003
rester;89;0.0019
principe;26;0.0005
séduction;8;0.0002
trahison;6;0.0001
inconcevable;6;0.0001
avocat;8;0.0002
project;25;0.0005
scélérat;6;0.0001
malheur;69;0.0014
passager;7;0.0001
demander;107;0.0022
surpasser;8;0.0002
bien;900;0.0187
rosemonde;9;0.0002
lier;8;0.0002
passer;147;0.0031
projet;78;0.0016
complaisance;14;0.0003
sorte;35;0.0007
prétendre;30;0.0006
emparer;8;0.0002
chemin;10;0.0002
récompense;8;0.0002
difficulté;10;0.0002
appuyer;6;0.0001
vertueux;9;0.0002
collection;7;0.0001
associated;6;0.0001
spectacle;19;0.0004
trouvai;9;0.0002
unir;10;0.0002
indifférence;9;0.0002
humble;17;0.0004
extraordinaire;6;0.0001
cruelle;12;0.0002
fort;102;0.0021
prêt;19;0.0004
gaieté;11;0.0002
assurément;13;0.0003
cruel;37;0.0008
gagner;26;0.0005
tiers;10;0.0002
mouvement;24;0.0005
agrément;12;0.0002
mérite;48;0.001
consacrer;12;0.0002
justice;30;0.0006
exiger;29;0.0006
éclat;20;0.0004
