mot;occurrence;frequence
vent;12;0.0068
parole;6;0.0034
savoir;18;0.0102
oeil;12;0.0068
jamais;15;0.0085
sentir;13;0.0074
passer;16;0.0091
ciel;18;0.0102
religieux;8;0.0046
nature;8;0.0046
chose;14;0.008
bord;7;0.004
projet;6;0.0034
sorte;7;0.004
secret;13;0.0074
sortir;6;0.0034
presser;6;0.0034
frère;21;0.0119
bois;10;0.0057
jouir;6;0.0034
force;8;0.0046
aimer;7;0.004
asseoir;11;0.0063
donner;12;0.0068
présent;6;0.0034
bientôt;6;0.0034
venir;20;0.0114
monde;20;0.0114
cœur;25;0.0142
ensevelir;6;0.0034
caractère;6;0.0034
fois;11;0.0063
remplir;6;0.0034
fond;9;0.0051
fenêtre;6;0.0034
mal;8;0.0046
douleur;12;0.0068
feuille;6;0.0034
heure;7;0.004
arbre;6;0.0034
soleil;7;0.004
voix;8;0.0046
sœur;27;0.0154
monastère;10;0.0057
connaître;8;0.0046
mettre;8;0.0046
homme;33;0.0188
flot;6;0.0034
pied;13;0.0074
solitude;8;0.0046
vieux;9;0.0051
regard;6;0.0034
numérique;9;0.0051
long;6;0.0034
silence;14;0.008
attacher;7;0.004
sembler;9;0.0051
sacrifice;6;0.0034
commencer;8;0.0046
lune;7;0.004
falloir;9;0.0051
orage;6;0.0034
chercher;8;0.0046
vieillard;9;0.0051
désert;14;0.008
être;42;0.0239
mur;6;0.0034
répondre;6;0.0034
vouloir;11;0.0063
tombeau;7;0.004
passion;9;0.0051
milieu;11;0.0063
existence;6;0.0034
retraite;6;0.0034
élever;6;0.0034
perdre;8;0.0046
arriver;6;0.0034
édition;6;0.0034
cloche;8;0.0046
autel;6;0.0034
lever;6;0.0034
mouvement;8;0.0046
religion;14;0.008
temps;12;0.0068
âme;19;0.0108
avoir;16;0.0091
pensée;11;0.0063
sauvage;7;0.004
père;24;0.0137
paternel;6;0.0034
lettre;11;0.0063
dernier;18;0.0102
prêtre;8;0.0046
nuit;10;0.0057
ami;11;0.0063
enfant;7;0.004
joie;12;0.0068
prier;6;0.0034
voir;22;0.0125
souvenir;7;0.004
étranger;7;0.004
patrie;6;0.0034
coup;11;0.0063
tombe;6;0.0034
jour;32;0.0182
lieu;12;0.0068
moment;15;0.0085
quelquefois;8;0.0046
résoudre;6;0.0034
bruit;11;0.0063
apercevoir;12;0.0068
sentiment;10;0.0057
trouble;6;0.0034
tour;8;0.0046
idée;8;0.0046
croire;12;0.0068
poindre;14;0.008
peine;12;0.0068
mourir;6;0.0034
faire;17;0.0097
grand;16;0.0091
prendre;16;0.0091
malheureux;8;0.0046
amitié;9;0.0051
retirer;10;0.0057
jeune;15;0.0085
partout;6;0.0034
saint;9;0.0051
autour;6;0.0034
livre;9;0.0051
amélie;6;0.0034
côté;6;0.0034
aller;10;0.0057
bras;12;0.0068
vivre;6;0.0034
mort;13;0.0074
jeter;6;0.0034
histoire;6;0.0034
vaisseau;6;0.0034
bonheur;11;0.0063
paraître;8;0.0046
tempête;7;0.004
entendre;23;0.0131
ouvrir;7;0.004
trouver;15;0.0085
sachem;6;0.0034
ici;9;0.0051
regarder;6;0.0034
larme;14;0.008
troubler;7;0.004
devenir;9;0.0051
tête;7;0.004
terre;16;0.0091
couler;8;0.0046
enfance;7;0.004
vie;46;0.0262
malheur;12;0.0068
recevoir;12;0.0068
solitaire;6;0.0034
pouvoir;15;0.0085
rappeler;7;0.004
bien;14;0.008
fils;9;0.0051
raison;6;0.0034
devoir;11;0.0063
quitter;12;0.0068
