mot;occurrence;frequence
bacbucien;1;0.0
bienfaiser;30;0.0
âr;1;0.0
feu(29;1;0.0
scintiller;1;0.0
oblique;5;0.0
éploré;4;0.0
tableal;3;0.0
pleine.—cela;1;0.0
académicien;12;0.0
apparois;1;0.0
null;1;0.0
verron;9;0.0
délibération;20;0.0
cinglon;10;0.0
daunien;46;0.0
carême;7;0.0
injustement;16;0.0
attache;137;0.0001
occasion;—elle;1;0.0
estime;357;0.0004
vérité[5;1;0.0
méchan;15;0.0
ardenne;1;0.0
accusois;2;0.0
bâtit;1;0.0
operata;1;0.0
progression;12;0.0
effacer;191;0.0002
combatton;2;0.0
tribunal;78;0.0001
il;4;0.0
marot;2;0.0
choisi;2;0.0
assouvissent;2;0.0
sobre;26;0.0
tendois;1;0.0
emprisonn;1;0.0
confier;329;0.0003
changement;176;0.0002
canal;50;0.0
november;1;0.0
puiseroit;1;0.0
revêtir;82;0.0001
indépender;27;0.0
enfonça;2;0.0
methods;9;0.0
dédaigneux;20;0.0
ismène;1;0.0
opiniâtrement;3;0.0
vaill;3;0.0
https://ebooks-bnr.com/;2;0.0
ensemble.—il;1;0.0
irritoier;2;0.0
timbré;2;0.0
comparaître;9;0.0
ider;56;0.0001
livre:—il;1;0.0
nuire;171;0.0002
famer;1;0.0
mousseux;2;0.0
calabre;2;0.0
brutalité;37;0.0
lui:—mon;1;0.0
instants.—oh;1;0.0
espagnol;79;0.0001
badine;15;0.0
rebattre;3;0.0
farce;8;0.0
grelot;1;0.0
calme.—eh;1;0.0
interrogeât;2;0.0
servir?—seigneur;1;0.0
flibustier;1;0.0
pesanter;1;0.0
chalumeau;4;0.0
éman;5;0.0
alphée;1;0.0
dénombrement;4;0.0
colibri;2;0.0
mériter;316;0.0003
ajoutai;1;0.0
épanoui;1;0.0
pélerinage;2;0.0
pot;20;0.0
êtesvou;1;0.0
bagne;2;0.0
goitreux;2;0.0
enthousiasme:—ah;1;0.0
rectitude;3;0.0
exhorter;30;0.0
mêlass;1;0.0
replacement;36;0.0
entrevoyois;1;0.0
a;13;0.0
inconnuer;1;0.0
difficile;368;0.0004
vibration;10;0.0
soir?—elle;1;0.0
graduellemer;2;0.0
paler;1;0.0
chapelet;8;0.0
particular;18;0.0
censurer;3;0.0
incrédulité;10;0.0
médire;7;0.0
rapportai;2;0.0
sonnant;1;0.0
savane;10;0.0
voyoi;10;0.0
frémisson;1;0.0
bouclier*;1;0.0
tranquillité!—ah;1;0.0
sortie;50;0.0
hécate*;1;0.0
déduction;1;0.0
éteindre;192;0.0002
délasser;27;0.0
apprendron;2;0.0
édits[5;1;0.0
nourrit;22;0.0
imagin;3;0.0
exile;3;0.0
frott;4;0.0
épousâte;1;0.0
bruir;6;0.0
baiserent;1;0.0
débauch;10;0.0
dégagé;9;0.0
échevelé;3;0.0
copalme;2;0.0
changemer;2;0.0
allassiez;1;0.0
souffletâme;2;0.0
atteindroit;1;0.0
écartant;1;0.0
crystau;1;0.0
apollon;3;0.0
environna;1;0.0
suggestion;1;0.0
velan;1;0.0
peu-à-peu;1;0.0
préféreroi;1;0.0
fustigée;2;0.0
censeur;13;0.0
remplaça;3;0.0
pardonnera;1;0.0
poëte;95;0.0001
scyller;1;0.0
voudroier;3;0.0
limpidité;2;0.0
calmant;1;0.0
conseille;5;0.0
domicilié;1;0.0
répétai;4;0.0
solennellemer;3;0.0
déifique;2;0.0
cicéron;1;0.0
solidité;11;0.0
déplaisant;5;0.0
saule;11;0.0
xi.comment;1;0.0
réplique;6;0.0
sumac;1;0.0
scévole;3;0.0
succombant;1;0.0
négromant;1;0.0
considérer;317;0.0003
énergiquemer;4;0.0
tombeal;4;0.0
dissoudre;8;0.0
rebande;2;0.0
commençai;11;0.0
gazetier;2;0.0
coclè;1;0.0
m.goldoni;1;0.0
abreuver;14;0.0
exercois;1;0.0
instinct;74;0.0001
connoîtront;1;0.0
chicaneur;2;0.0
m.degernande;2;0.0
quelques-un;13;0.0
languissanter;1;0.0
épigraphe;4;0.0
arrosèrent;2;0.0
suiv;9;0.0
chronique;9;0.0
mettez.—et;1;0.0
pressant;15;0.0
affirmation;1;0.0
petit-méandre;1;0.0
écrivit;32;0.0
téter;13;0.0
apperçoivent;1;0.0
femm;14;0.0
matelot;32;0.0
boursoufle;2;0.0
unissoier;1;0.0
messager;11;0.0
official;28;0.0
mettoit;18;0.0
capitole;12;0.0
main;2157;0.0022
tolérante;1;0.0
solliciter;55;0.0001
satisferez;3;0.0
fosser;2;0.0
inculper;2;0.0
scandalise;2;0.0
extrait;12;0.0
delphine;120;0.0001
écart;90;0.0001
contrebalancer;1;0.0
aquilin;5;0.0
copiez;3;0.0
préservon;2;0.0
écrivai;2;0.0
pénitence;43;0.0
volute;2;0.0
déjeunon;2;0.0
elevez;1;0.0
abattoit;1;0.0
