mot;occurrence;frequence
ont;24;0.0013
enfin;63;0.0034
quatre;10;0.0005
révélait;6;0.0003
œuvre;41;0.0022
tiède;12;0.0007
mœurs;7;0.0004
éprouvait;6;0.0003
siècle;47;0.0026
laure;6;0.0003
figure;15;0.0008
aise;8;0.0004
véritable;7;0.0004
catholique;16;0.0009
homme;65;0.0035
pris;12;0.0007
pensait;11;0.0006
poèmes;15;0.0008
orient;10;0.0005
aspect;10;0.0005
gens;41;0.0022
jetant;6;0.0003
langue;71;0.0039
manière;7;0.0004
existait;18;0.001
possible;18;0.001
poitrine;7;0.0004
pointes;7;0.0004
parfois;12;0.0007
rouge;23;0.0012
appelait;6;0.0003
eut;18;0.001
but;9;0.0005
mallarmé;7;0.0004
or;29;0.0016
boue;7;0.0004
puisse;7;0.0004
avenir;9;0.0005
droite;6;0.0003
chrétienne;10;0.0005
gris;11;0.0006
longuement;12;0.0007
debout;8;0.0004
fille;14;0.0008
large;7;0.0004
artistes;7;0.0004
extrême;7;0.0004
forme;36;0.002
personnages;12;0.0007
a;80;0.0043
saveur;6;0.0003
objets;12;0.0007
analyse;9;0.0005
çà;10;0.0005
dîner;6;0.0003
noire;11;0.0006
france;7;0.0004
restreint;6;0.0003
étant;6;0.0003
peuvent;6;0.0003
désirs;10;0.0005
presque;67;0.0036
semblaient;12;0.0007
dû;9;0.0005
joug;6;0.0003
lorsqu’;19;0.001
tête;44;0.0024
deux;62;0.0034
mot;14;0.0008
pénétrer;6;0.0003
jésuites;7;0.0004
pouvoir;10;0.0005
raison;10;0.0005
heures;29;0.0016
pieds;14;0.0008
pots;6;0.0003
rare;6;0.0003
religieux;12;0.0007
voulait;11;0.0006
femmes;34;0.0018
désir;14;0.0008
période;8;0.0004
foule;8;0.0004
mieux;16;0.0009
gardé;8;0.0004
doute;19;0.001
lumières;6;0.0003
voyant;8;0.0004
ordonnance;8;0.0004
art;40;0.0022
détermina;6;0.0003
vieux;41;0.0022
furent;10;0.0005
satisfait;6;0.0003
rappelait;11;0.0006
mettait;6;0.0003
sourd;6;0.0003
mois;13;0.0007
idéal;10;0.0005
maladie;11;0.0006
vivait;10;0.0005
première;10;0.0005
temps;89;0.0048
âme;54;0.0029
couleur;36;0.002
nouvelles;19;0.001
tempérament;14;0.0008
maîtres;21;0.0011
lampes;6;0.0003
soins;7;0.0004
auteur;18;0.001
fait;49;0.0027
devenaient;6;0.0003
talent;16;0.0009
cauchemar;7;0.0004
église;57;0.0031
usage;9;0.0005
intérêt;7;0.0004
servait;6;0.0003
orgue;7;0.0004
pieux;6;0.0003
mit;6;0.0003
atteindre;7;0.0004
main;12;0.0007
singulière;6;0.0003
telles;12;0.0007
repos;11;0.0006
bras;22;0.0012
fil;6;0.0003
tenant;9;0.0005
grands;10;0.0005
joies;9;0.0005
écart;6;0.0003
rester;7;0.0004
catholiques;9;0.0005
paysage;7;0.0004
admiration;10;0.0005
longue;7;0.0004
disant;7;0.0004
tas;6;0.0003
demander;8;0.0004
décidément;10;0.0005
pessimisme;8;0.0004
pays;11;0.0006
bien;108;0.0059
substances;8;0.0004
sorte;39;0.0021
morceaux;8;0.0004
vestibule;6;0.0003
joues;11;0.0006
fleur;22;0.0012
dit;29;0.0016
chemin;8;0.0004
pièces;24;0.0013
regarda;6;0.0003
feuille;7;0.0004
mystiques;9;0.0005
quant;8;0.0004
sottise;7;0.0004
collection;8;0.0004
verre;9;0.0005
spectacle;7;0.0004
rues;8;0.0004
ainsi;125;0.0068
parvenait;6;0.0003
extraordinaire;7;0.0004
fort;6;0.0003
seconde;6;0.0003
poète;12;0.0007
pas;215;0.0117
passé;6;0.0003
soudain;7;0.0004
exception;6;0.0003
chine;7;0.0004
spleen;6;0.0003
habile;6;0.0003
tertullien;7;0.0004
effets;8;0.0004
vol;6;0.0003
atmosphère;14;0.0008
éclat;6;0.0003
regardait;9;0.0005
lectures;8;0.0004
nuits;8;0.0004
tant;15;0.0008
brune;7;0.0004
rôle;9;0.0005
ait;9;0.0005
fou;6;0.0003
tous;81;0.0044
vierge;10;0.0005
poésies;7;0.0004
guère;10;0.0005
voitures;6;0.0003
lentement;13;0.0007
peur;15;0.0008
membres;6;0.0003
murs;18;0.001
mystérieux;10;0.0005
portes;7;0.0004
parfums;21;0.0011
vint;10;0.0005
cause;12;0.0007
davantage;9;0.0005
comprendre;8;0.0004
ordre;7;0.0004
image;12;0.0007
anglais;8;0.0004
ensemble;9;0.0005
teintes;14;0.0008
réflexions;15;0.0008
communs;6;0.0003
feux;9;0.0005
paupières;7;0.0004
impossible;7;0.0004
jamais;50;0.0027
premiers;7;0.0004
retour;11;0.0006
laissait;6;0.0003
symptômes;7;0.0004
arrivé;7;0.0004
supporter;7;0.0004
commun;10;0.0005
trop;25;0.0014
fond;35;0.0019
huile;10;0.0005
humaine;19;0.001
larges;6;0.0003
court;6;0.0003
flaubert;9;0.0005
façon;19;0.001
poème;19;0.001
admirable;8;0.0004
être;72;0.0039
touche;7;0.0004
route;14;0.0008
laisser;12;0.0007
petit;28;0.0015
haut;19;0.001
barbe;6;0.0003
vert;22;0.0012
tranquille;7;0.0004
lueurs;14;0.0008
amours;10;0.0005
religion;17;0.0009
vive;7;0.0004
allons;6;0.0003
pensée;18;0.001
cou;9;0.0005
gouttes;11;0.0006
front;7;0.0004
nouvelle;21;0.0011
nuit;17;0.0009
exemple;10;0.0005
profane;6;0.0003
prenait;7;0.0004
silencieux;6;0.0003
possédait;10;0.0005
forces;10;0.0005
idée;12;0.0007
queue;12;0.0007
vue;46;0.0025
peine;19;0.001
prodigieux;6;0.0003
mémoire;10;0.0005
tournures;6;0.0003
argent;27;0.0015
rebours;23;0.0012
montre;7;0.0004
claire;7;0.0004
pût;8;0.0004
faisant;6;0.0003
las;6;0.0003
lit;18;0.001
barbey;11;0.0006
prêtres;9;0.0005
jaune;12;0.0007
croisée;6;0.0003
effet;45;0.0024
expliquer;7;0.0004
avis;7;0.0004
caresses;8;0.0004
dernière;11;0.0006
seule;18;0.001
fils;10;0.0005
mis;11;0.0006
alors;102;0.0055
glace;9;0.0005
lecteur;6;0.0003
lassitude;7;0.0004
soir;12;0.0007
siècles;23;0.0012
représentait;6;0.0003
bouquet;11;0.0006
force;22;0.0012
tableaux;11;0.0006
puisqu’;6;0.0003
écrite;6;0.0003
efforts;9;0.0005
fine;7;0.0004
cœur;20;0.0011
doux;10;0.0005
époque;27;0.0015
œuvres;42;0.0023
fallu;9;0.0005
compte;14;0.0008
singulier;6;0.0003
échapper;6;0.0003
surtout;26;0.0014
résolument;6;0.0003
cas;13;0.0007
villiers;6;0.0003
peintre;6;0.0003
plafond;6;0.0003
résolut;8;0.0004
médecin;17;0.0009
train;8;0.0004
petites;6;0.0003
pourtant;32;0.0017
lacordaire;6;0.0003
basse;9;0.0005
nécessaire;10;0.0005
chaleur;6;0.0003
passion;11;0.0006
devint;6;0.0003
goutte;9;0.0005
rome;7;0.0004
conviction;6;0.0003
thé;6;0.0003
suivaient;6;0.0003
simplement;7;0.0004
pages;20;0.0011
êtres;12;0.0007
affection;6;0.0003
personne;9;0.0005
jean;7;0.0004
grâces;7;0.0004
modèle;6;0.0003
préciser;6;0.0003
minutes;7;0.0004
était;435;0.0236
influence;9;0.0005
appartenait;7;0.0004
fabriqué;6;0.0003
demanda;7;0.0004
marches;6;0.0003
vallée;6;0.0003
passage;7;0.0004
journal;6;0.0003
ouvrait;8;0.0004
nuées;6;0.0003
hommes;13;0.0007
bas;37;0.002
parut;10;0.0005
larmes;9;0.0005
tenta;7;0.0004
volumes;15;0.0008
curieux;6;0.0003
genoux;7;0.0004
mépris;11;0.0006
là;64;0.0035
petits;16;0.0009
voyait;8;0.0004
cerveau;14;0.0008
succès;6;0.0003
gauche;6;0.0003
quelque;13;0.0007
véritables;8;0.0004
autrefois;8;0.0004
demeuraient;6;0.0003
abord;19;0.001
est;171;0.0093
avance;9;0.0005
voilà;8;0.0004
fièvre;9;0.0005
soleil;16;0.0009
tenue;7;0.0004
déjà;35;0.0019
autres;89;0.0048
venu;11;0.0006
gros;8;0.0004
rue;30;0.0016
village;8;0.0004
silence;7;0.0004
maison;26;0.0014
nouveaux;10;0.0005
mains;18;0.001
curiosité;9;0.0005
sujet;10;0.0005
pâte;7;0.0004
goncourt;7;0.0004
fut;42;0.0023
sang;24;0.0013
laissaient;7;0.0004
amour;13;0.0007
vide;15;0.0008
ouvrit;10;0.0005
latine;18;0.001
attendait;6;0.0003
sont;50;0.0027
grande;14;0.0008
cloisons;8;0.0004
ailleurs;26;0.0014
coin;12;0.0007
ventre;13;0.0007
uns;11;0.0006
décadence;7;0.0004
lieux;6;0.0003
apparence;8;0.0004
demeure;6;0.0003
prendre;8;0.0004
illusion;11;0.0006
boudoir;8;0.0004
très;27;0.0015
telle;19;0.001
si;6;0.0003
lecture;15;0.0008
cris;6;0.0003
théorie;7;0.0004
cadre;7;0.0004
bleus;6;0.0003
particulièrement;6;0.0003
donc;28;0.0015
immenses;6;0.0003
voyage;9;0.0005
ecclésiastiques;7;0.0004
moines;11;0.0006
terre;27;0.0015
derniers;6;0.0003
tandis;15;0.0008
jouer;6;0.0003
semblable;6;0.0003
fussent;7;0.0004
estomac;14;0.0008
marche;9;0.0005
merveilleux;8;0.0004
toujours;23;0.0012
tenait;11;0.0006
aujourd’hui;9;0.0005
anciens;9;0.0005
trois;18;0.001
tapis;10;0.0005
douloureux;8;0.0004
vision;9;0.0005
faisaient;8;0.0004
»;10;0.0005
fenêtre;10;0.0005
maintenant;72;0.0039
lettres;21;0.0011
horizon;7;0.0004
élève;7;0.0004
empreinte;6;0.0003
avait;383;0.0208
été;61;0.0033
lune;9;0.0005
comment;8;0.0004
flancs;6;0.0003
porte;21;0.0011
servir;6;0.0003
appétit;6;0.0003
plupart;12;0.0007
même;221;0.012
escalier;6;0.0003
soi;8;0.0004
choses;15;0.0008
avoir;48;0.0026
avant;7;0.0004
genre;10;0.0005
somme;37;0.002
campagne;13;0.0007
aide;10;0.0005
pensées;25;0.0014
coups;18;0.001
rage;8;0.0004
malles;6;0.0003
dents;15;0.0008
parfum;7;0.0004
écrit;9;0.0005
grandes;7;0.0004
faces;6;0.0003
haine;10;0.0005
bon;13;0.0007
poë;10;0.0005
exquise;10;0.0005
livre;42;0.0023
―;6;0.0003
vérité;9;0.0005
pauvres;9;0.0005
tels;23;0.0012
objet;7;0.0004
phrases;15;0.0008
souffle;9;0.0005
rose;21;0.0011
jeunesse;7;0.0004
public;8;0.0004
points;9;0.0005
nerfs;14;0.0008
semblables;12;0.0007
titre;7;0.0004
excès;6;0.0003
moins;68;0.0037
beauté;8;0.0004
moyen;17;0.0009
étendre;6;0.0003
entrailles;7;0.0004
peuple;7;0.0004
compliquées;6;0.0003
leva;6;0.0003
peut-être;22;0.0012
observations;7;0.0004
pierreries;11;0.0006
dos;7;0.0004
gloire;6;0.0003
pièce;29;0.0016
cri;6;0.0003
voix;15;0.0008
ville;9;0.0005
finit;6;0.0003
doctrines;6;0.0003
esseintes;219;0.0119
signe;6;0.0003
hasard;7;0.0004
repas;9;0.0005
tu;8;0.0004
grâce;26;0.0014
idées;56;0.003
atroce;7;0.0004
sol;9;0.0005
plein;19;0.001
flammes;12;0.0007
nullement;8;0.0004
sensations;10;0.0005
jadis;24;0.0013
cloche;6;0.0003
dépit;9;0.0005
encens;9;0.0005
revue;7;0.0004
rayons;15;0.0008
revenait;6;0.0003
courant;9;0.0005
songeait;7;0.0004
nouveau;21;0.0011
bizarres;7;0.0004
buvait;6;0.0003
assez;24;0.0013
table;26;0.0014
ah;14;0.0008
moment;25;0.0014
dire;26;0.0014
visions;10;0.0005
dessus;7;0.0004
refusait;9;0.0005
paris;41;0.0022
doit;6;0.0003
magique;6;0.0003
contraire;12;0.0007
salle;25;0.0014
attention;7;0.0004
verts;9;0.0005
troubles;6;0.0003
enfants;9;0.0005
besoin;15;0.0008
mots;23;0.0012
pensant;7;0.0004
malheureusement;9;0.0005
allait;12;0.0007
café;7;0.0004
état;24;0.0013
reste;16;0.0009
froid;20;0.0011
ciel;23;0.0012
lui;6;0.0003
rhétorique;6;0.0003
plaisirs;10;0.0005
empêcher;8;0.0004
fallait;18;0.001
noir;23;0.0012
papier;15;0.0008
beaucoup;8;0.0004
pareil;9;0.0005
style;48;0.0026
loin;45;0.0024
douleur;12;0.0007
jeta;6;0.0003
singulièrement;9;0.0005
encre;6;0.0003
bête;8;0.0004
mettre;12;0.0007
verlaine;7;0.0004
incapable;9;0.0005
guise;12;0.0007
bibliothèque;20;0.0011
ombre;17;0.0009
modernes;8;0.0004
partie;11;0.0006
volonté;18;0.001
néanmoins;7;0.0004
aimait;10;0.0005
naturalisme;7;0.0004
milieu;41;0.0022
parti;10;0.0005
étrange;13;0.0007
humanité;9;0.0005
volume;12;0.0007
papiers;8;0.0004
musique;19;0.001
longtemps;13;0.0007
romans;7;0.0004
besoins;7;0.0004
sourire;9;0.0005
nerveux;12;0.0007
barbares;6;0.0003
unique;11;0.0006
éprouver;6;0.0003
parfaitement;7;0.0004
arome;7;0.0004
près;38;0.0021
fût;17;0.0009
faire;33;0.0018
travers;17;0.0009
mère;14;0.0008
permettre;6;0.0003
plaisir;6;0.0003
aller;11;0.0006
filles;8;0.0004
plaintes;6;0.0003
pierres;18;0.001
bouche;20;0.0011
auguste;11;0.0006
péchés;9;0.0005
étoffes;7;0.0004
dix;6;0.0003
croix;7;0.0004
sombre;8;0.0004
préparer;6;0.0003
arbres;6;0.0003
maisons;13;0.0007
lourps;7;0.0004
bain;8;0.0004
intelligence;8;0.0004
bœuf;7;0.0004
manger;19;0.001
étranges;8;0.0004
blancs;12;0.0007
rêves;9;0.0005
littéraire;7;0.0004
vertu;6;0.0003
faisait;26;0.0014
carreaux;7;0.0004
mêmes;23;0.0012
fin;19;0.001
chose;11;0.0006
catholicisme;11;0.0006
saints;7;0.0004
inconnu;8;0.0004
put;8;0.0004
parvenu;7;0.0004
instrument;6;0.0003
étoffe;7;0.0004
goût;14;0.0008
artiste;19;0.001
champ;6;0.0003
pied;10;0.0005
pleine;17;0.0009
non;24;0.0013
laissant;8;0.0004
expressions;7;0.0004
longues;10;0.0005
suis;10;0.0005
chair;16;0.0009
autre;53;0.0029
m;8;0.0004
tout;162;0.0088
bout;26;0.0014
regardant;12;0.0007
créature;6;0.0003
nuances;13;0.0007
vraiment;14;0.0008
certain;17;0.0009
vit;8;0.0004
science;12;0.0007
encore;106;0.0058
devaient;6;0.0003
logis;7;0.0004
apercevait;6;0.0003
verte;8;0.0004
chambre;22;0.0012
phrase;9;0.0005
serait;20;0.0011
écrivain;20;0.0011
parties;11;0.0006
peu;111;0.006
études;9;0.0005
aussitôt;20;0.0011
sadisme;6;0.0003
folies;10;0.0005
peinture;13;0.0007
dieu;32;0.0017
meubles;10;0.0005
glaces;8;0.0004
voie;6;0.0003
jambes;14;0.0008
rares;11;0.0006
scènes;7;0.0004
années;23;0.0012
rendre;12;0.0007
cave;6;0.0003
savait;6;0.0003
poètes;11;0.0006
maître;17;0.0009
vent;8;0.0004
tempes;7;0.0004
courage;6;0.0003
beau;13;0.0007
exprimer;6;0.0003
reprit;6;0.0003
impression;8;0.0004
comparaison;7;0.0004
jours;33;0.0018
—;6;0.0003
air;41;0.0022
série;20;0.0011
face;18;0.001
vagues;8;0.0004
française;7;0.0004
espoir;8;0.0004
réalité;13;0.0007
madame;11;0.0006
souffrance;7;0.0004
douce;7;0.0004
ordinaire;6;0.0003
vieille;14;0.0008
choix;8;0.0004
étaient;106;0.0058
cabinet;19;0.001
connaissait;7;0.0004
note;6;0.0003
toutes;68;0.0037
domestique;26;0.0014
lèvres;14;0.0008
disparu;6;0.0003
disait;15;0.0008
ardente;6;0.0003
suivant;18;0.001
naguère;9;0.0005
rêve;18;0.001
dégoût;7;0.0004
peau;18;0.001
latin;9;0.0005
tortue;8;0.0004
composé;8;0.0004
douceur;6;0.0003
toilette;8;0.0004
voir;14;0.0008
entrer;6;0.0003
eau;45;0.0024
certaine;9;0.0005
bonne;17;0.0009
ouvrages;16;0.0009
boîte;7;0.0004
malade;8;0.0004
mortes;6;0.0003
sentiment;6;0.0003
pouvant;7;0.0004
grand;40;0.0022
ton;20;0.0011
saint;31;0.0017
chapitres;6;0.0003
littérature;39;0.0021
atteint;8;0.0004
feuilles;15;0.0008
couleurs;22;0.0012
longs;6;0.0003
pourpre;7;0.0004
anciennes;8;0.0004
neuves;6;0.0003
poils;8;0.0004
famille;12;0.0007
souvent;23;0.0012
naître;6;0.0003
yeux;75;0.0041
poudre;6;0.0003
évoquait;6;0.0003
nom;24;0.0013
ne;632;0.0343
matière;8;0.0004
gigantesque;7;0.0004
bois;17;0.0009
bientôt;11;0.0006
admettait;6;0.0003
monsieur;8;0.0004
tons;18;0.001
doigts;12;0.0007
presse;7;0.0004
traits;9;0.0005
blanche;11;0.0006
au-dessus;9;0.0005
douleurs;7;0.0004
ans;14;0.0008
affreux;12;0.0007
quand;7;0.0004
odeur;18;0.001
fini;9;0.0005
pluie;15;0.0008
morte;7;0.0004
faux;12;0.0007
certes;7;0.0004
existence;27;0.0015
plus;469;0.0255
préférence;7;0.0004
fumet;7;0.0004
pères;10;0.0005
formes;6;0.0003
âge;27;0.0015
année;7;0.0004
arrivait;7;0.0004
analogie;6;0.0003
exclusivement;8;0.0004
psychologie;7;0.0004
jouissance;6;0.0003
pierre;6;0.0003
impressions;6;0.0003
chrétien;9;0.0005
au-delà;6;0.0003
joie;14;0.0008
évêque;8;0.0004
salomé;9;0.0005
autant;9;0.0005
bruit;10;0.0005
moderne;9;0.0005
cervelle;19;0.001
livres;47;0.0026
belle;9;0.0005
esprits;7;0.0004
inutiles;6;0.0003
hérode;6;0.0003
aurait;11;0.0006
subitement;10;0.0005
vivre;7;0.0004
histoire;13;0.0007
femme;52;0.0028
fontenay;22;0.0012
odorat;6;0.0003
sus;8;0.0004
éternel;6;0.0003
propre;7;0.0004
sec;11;0.0006
taillés;6;0.0003
chaise;8;0.0004
chairs;6;0.0003
vrai;15;0.0008
puissance;7;0.0004
écrivains;17;0.0009
qu’;79;0.0043
mettant;10;0.0005
gustave;8;0.0004
profond;6;0.0003
vif;6;0.0003
bêtise;7;0.0004
château;7;0.0004
seins;6;0.0003
factice;9;0.0005
esprit;45;0.0024
examina;6;0.0003
œil;15;0.0008
mal;31;0.0017
expression;8;0.0004
prit;10;0.0005
verres;6;0.0003
semble;8;0.0004
occident;6;0.0003
que;20;0.0011
évidemment;6;0.0003
cuisine;8;0.0004
faits;7;0.0004
point;89;0.0048
immense;19;0.001
vin;16;0.0009
crime;6;0.0003
ténèbres;7;0.0004
nombre;10;0.0005
charme;9;0.0005
senteur;9;0.0005
question;10;0.0005
brusquement;9;0.0005
fer;20;0.0011
santé;10;0.0005
terrible;13;0.0007
vieilles;10;0.0005
arrêta;10;0.0005
départ;10;0.0005
foi;20;0.0011
coup;35;0.0019
pleins;6;0.0003
lieu;12;0.0007
