mot;occurrence;frequence
nu;10;0.0001
ont;55;0.0008
enfin;189;0.0028
baron;65;0.001
quatre;84;0.0012
équipe;7;0.0001
œuvre;9;0.0001
chiffons;7;0.0001
liénard;29;0.0004
ruissellement;7;0.0001
rentrer;11;0.0002
dure;11;0.0002
éprouvait;9;0.0001
pavé;25;0.0004
mécanisme;7;0.0001
figure;18;0.0003
effaré;10;0.0001
aise;19;0.0003
heureuse;23;0.0003
taisait;7;0.0001
véritable;9;0.0001
causa;10;0.0001
emportait;15;0.0002
te;23;0.0003
sœur;25;0.0004
fortes;9;0.0001
trottoirs;12;0.0002
prononcer;7;0.0001
gai;10;0.0001
homme;156;0.0023
pris;46;0.0007
quitta;7;0.0001
gens;38;0.0006
taire;10;0.0001
détails;8;0.0001
jetant;7;0.0001
soufflait;13;0.0002
flanc;6;0.0001
centimes;14;0.0002
langue;6;0.0001
zinc;6;0.0001
central;12;0.0002
manière;13;0.0002
camarade;15;0.0002
dut;44;0.0007
comprit;11;0.0002
mesdames;7;0.0001
affecta;9;0.0001
existait;8;0.0001
incendie;11;0.0002
publique;6;0.0001
conquête;8;0.0001
possible;35;0.0005
poitrine;21;0.0003
appris;8;0.0001
causait;25;0.0004
achats;13;0.0002
achevaient;6;0.0001
parfois;39;0.0006
croissante;6;0.0001
rouge;48;0.0007
appelait;11;0.0002
envoyer;6;0.0001
émeute;6;0.0001
paix;6;0.0001
sorti;7;0.0001
eut;150;0.0022
oriental;12;0.0002
hier;16;0.0002
étonnement;7;0.0001
baisse;10;0.0001
but;6;0.0001
flair;7;0.0001
retenir;8;0.0001
or;41;0.0006
entier;21;0.0003
boue;9;0.0001
avenir;7;0.0001
arrêtait;16;0.0002
étroit;14;0.0002
trous;6;0.0001
droite;49;0.0007
aime;36;0.0005
gris;12;0.0002
magasins;81;0.0012
besogne;33;0.0005
debout;76;0.0011
fille;249;0.0037
chapeaux;9;0.0001
honneur;29;0.0004
poussant;8;0.0001
accompagnée;6;0.0001
large;24;0.0004
soldes;6;0.0001
payé;10;0.0001
soies;38;0.0006
riant;17;0.0003
cahier;7;0.0001
tes;8;0.0001
assises;6;0.0001
offrait;8;0.0001
a;266;0.0039
manche;14;0.0002
chaises;13;0.0002
difficile;6;0.0001
brutal;10;0.0001
boîtes;7;0.0001
voisin;12;0.0002
baudu;145;0.0021
comptoirs;62;0.0009
bile;6;0.0001
dîner;25;0.0004
prunaire;11;0.0002
noire;35;0.0005
france;11;0.0002
bouleversé;8;0.0001
étant;12;0.0002
révoltée;6;0.0001
désirs;9;0.0001
presque;26;0.0004
semblaient;25;0.0004
dû;50;0.0007
caprice;13;0.0002
lorsqu’;109;0.0016
promenant;10;0.0001
tête;175;0.0026
honte;19;0.0003
sortie;12;0.0002
ranger;6;0.0001
deux;308;0.0046
mot;40;0.0006
avais;18;0.0003
cent;70;0.001
discret;8;0.0001
pouvoir;14;0.0002
épaisse;8;0.0001
raison;39;0.0006
heures;106;0.0016
samedi;10;0.0001
ouvraient;13;0.0002
pieds;36;0.0005
tirait;10;0.0001
frères;29;0.0004
caissier;18;0.0003
pauvre;58;0.0009
réfectoire;10;0.0001
finissaient;7;0.0001
voulait;73;0.0011
peignée;9;0.0001
locataires;6;0.0001
remarqué;9;0.0001
femmes;97;0.0014
cédant;11;0.0002
désir;42;0.0006
aimer;14;0.0002
cousine;13;0.0002
foule;72;0.0011
montrait;21;0.0003
maîtresse;16;0.0002
mieux;62;0.0009
laide;7;0.0001
gardé;6;0.0001
trente;29;0.0004
allez;24;0.0004
personnes;13;0.0002
craindre;7;0.0001
doute;85;0.0013
caresse;8;0.0001
suivirent;7;0.0001
satisfaite;7;0.0001
caves;7;0.0001
étalait;9;0.0001
voyant;32;0.0005
dépense;12;0.0002
retournant;7;0.0001
rez-de-chaussée;29;0.0004
art;14;0.0002
cravates;17;0.0003
fantaisie;17;0.0003
négoce;10;0.0001
ardent;6;0.0001
pension;11;0.0002
fiche;7;0.0001
services;10;0.0001
veux;42;0.0006
étalages;21;0.0003
cédait;9;0.0001
vieux;76;0.0011
sombres;10;0.0001
maigre;13;0.0002
escaliers;16;0.0002
registre;6;0.0001
furent;18;0.0003
aimez;13;0.0002
entrez;7;0.0001
robes;21;0.0003
affectant;7;0.0001
allongeait;6;0.0001
font;10;0.0001
économies;8;0.0001
rappelait;10;0.0001
aimable;24;0.0004
mettait;28;0.0004
répondre;27;0.0004
balbutia;23;0.0003
citait;6;0.0001
sourd;11;0.0002
écrasé;9;0.0001
mois;67;0.001
devrais;6;0.0001
arrêté;6;0.0001
rentrait;15;0.0002
couverts;7;0.0001
galant;7;0.0001
causaient;15;0.0002
vivait;17;0.0003
poches;7;0.0001
tourmenté;8;0.0001
exposition;19;0.0003
augmentait;6;0.0001
autrement;9;0.0001
instinct;6;0.0001
cravate;18;0.0003
première;90;0.0013
joinville;11;0.0002
vêtements;25;0.0004
âme;9;0.0001
couleur;14;0.0002
temps;52;0.0008
éclatait;9;0.0001
madeleine;6;0.0001
nouvelles;21;0.0003
venez;11;0.0002
refusa;6;0.0001
bénéfices;8;0.0001
forte;24;0.0004
ameublement;8;0.0001
inquiétait;9;0.0001
lampes;9;0.0001
reconnaissance;6;0.0001
revenaient;9;0.0001
fait;134;0.002
côtés;6;0.0001
magasin;124;0.0018
sou;20;0.0003
devenaient;10;0.0001
gras;13;0.0002
clarté;18;0.0003
église;6;0.0001
intérêt;16;0.0002
tremblante;11;0.0002
mauvaise;20;0.0003
sembla;7;0.0001
