mot;occurrence;frequence
froid;7;0.0033
soir;22;0.0103
force;8;0.0038
noir;8;0.0038
rentrer;6;0.0028
mener;6;0.0028
an;10;0.0047
mal;12;0.0056
mettre;20;0.0094
homme;9;0.0042
pourtant;7;0.0033
point;7;0.0033
vin;22;0.0103
bureau;15;0.007
préférer;6;0.0028
coup;16;0.0075
lieu;7;0.0033
hôte;8;0.0038
fille;7;0.0033
ennui;6;0.0028
faire;34;0.016
concierge;7;0.0033
mère;9;0.0042
aller;16;0.0075
bouche;10;0.0047
dîner;18;0.0085
trouver;10;0.0047
ici;8;0.0038
là;10;0.0047
presque;7;0.0033
tête;6;0.0028
manger;9;0.0042
pouvoir;6;0.0028
pauvre;8;0.0038
bouillon;9;0.0042
fin;7;0.0033
chose;11;0.0052
faim;7;0.0033
aimer;8;0.0038
venir;17;0.008
mieux;8;0.0038
goût;8;0.0038
fréquenter;6;0.0028
pied;14;0.0066
rue;25;0.0117
vieux;21;0.0099
maison;11;0.0052
falloir;21;0.0099
tard;6;0.0028
consulter;6;0.0028
mois;8;0.0038
poche;6;0.0028
apporter;6;0.0028
perdre;8;0.0038
m;125;0.0587
bout;7;0.0033
ancien;8;0.0038
chapeau;7;0.0033
temps;28;0.0132
lettre;7;0.0033
souvenir;9;0.0042
magasin;7;0.0033
chambre;14;0.0066
pain;10;0.0047
fauteuil;7;0.0033
ailleurs;10;0.0047
coin;7;0.0033
finir;7;0.0033
blanc;13;0.0061
main;8;0.0038
prendre;13;0.0061
matin;8;0.0038
jeter;6;0.0028
ouvrir;6;0.0028
rester;10;0.0047
regarder;8;0.0038
nez;6;0.0028
devoir;12;0.0056
bien;44;0.0207
reprendre;8;0.0038
prix;7;0.0033
pâtissier;8;0.0038
savoir;7;0.0033
regretter;6;0.0028
feu;11;0.0052
passer;9;0.0042
donner;7;0.0033
monde;6;0.0028
air;13;0.0061
heure;23;0.0108
dame;6;0.0028
attendre;6;0.0028
verre;11;0.0052
long;14;0.0066
fuir;6;0.0028
semaine;7;0.0033
heureux;6;0.0028
porte;14;0.0066
appétit;8;0.0038
plat;16;0.0075
escalier;6;0.0028
avoir;18;0.0085
ami;6;0.0028
enfant;12;0.0056
eau;17;0.008
voir;11;0.0052
occuper;7;0.0033
jour;26;0.0122
boîte;7;0.0033
tour;7;0.0033
songer;7;0.0033
marchand;13;0.0061
grand;21;0.0099
bon;28;0.0132
livre;10;0.0047
côté;6;0.0028
écouter;6;0.0028
hiver;7;0.0033
avaler;6;0.0028
conserver;7;0.0033
devenir;11;0.0052
quitter;6;0.0028
épuiser;6;0.0028
jeunesse;8;0.0038
soupirer;6;0.0028
jamais;12;0.0056
sentir;9;0.0042
cher;7;0.0033
viande;16;0.0075
asseoir;10;0.0047
quartier;10;0.0047
essayer;6;0.0028
trop;11;0.0052
fois;17;0.008
fond;9;0.0042
monsieur;21;0.0099
assiette;12;0.0056
pièce;12;0.0056
restaurant;11;0.0052
voix;7;0.0033
tomber;7;0.0033
boutique;9;0.0042
connaître;9;0.0042
plaire;7;0.0033
exister;6;0.0028
odeur;6;0.0028
penser;9;0.0042
sembler;6;0.0028
chercher;7;0.0033
plein;8;0.0038
être;37;0.0174
vouloir;13;0.0061
existence;10;0.0047
petit;28;0.0132
journée;6;0.0028
arriver;13;0.0061
garçon;8;0.0038
sauce;9;0.0042
âge;6;0.0028
année;7;0.0033
lever;7;0.0033
dimanche;6;0.0028
nouveau;8;0.0038
soirée;6;0.0028
mauvais;8;0.0038
table;25;0.0117
bruit;6;0.0028
moment;8;0.0038
apercevoir;7;0.0033
dire;11;0.0052
idée;6;0.0028
répéter;6;0.0028
descendre;7;0.0033
vue;9;0.0042
œuf;7;0.0033
demeurer;10;0.0047
retourner;6;0.0028
jeune;6;0.0028
place;17;0.008
argent;6;0.0028
salle;10;0.0047
vivre;9;0.0042
montre;6;0.0028
femme;34;0.016
part;9;0.0042
lit;7;0.0033
jaune;7;0.0033
intérieur;6;0.0028
vie;26;0.0122
café;8;0.0038
tenir;9;0.0042
oeil;13;0.0061
