mot;occurrence;frequence
charmant;9;0.0004
pousser;21;0.0009
œuvre;19;0.0008
rentrer;26;0.0011
précaution;6;0.0003
pavé;6;0.0003
plan;7;0.0003
figure;21;0.0009
aise;16;0.0007
effacer;9;0.0004
jeanne;58;0.0025
homme;134;0.0058
taire;24;0.001
langue;12;0.0005
manière;8;0.0003
camarade;24;0.001
continuer;32;0.0014
canne;7;0.0003
réfléchir;12;0.0005
à;6;0.0003
justifier;7;0.0003
poitrine;6;0.0003
tailler;7;0.0003
assurer;12;0.0005
rouge;38;0.0016
envoyer;8;0.0003
inventer;6;0.0003
paix;6;0.0003
ramener;8;0.0003
but;8;0.0003
retenir;14;0.0006
couché;6;0.0003
entier;9;0.0004
doigt;49;0.0021
agir;10;0.0004
résoudre;13;0.0006
droite;20;0.0009
gris;9;0.0004
longuement;16;0.0007
besogne;8;0.0003
fille;90;0.0039
concierge;28;0.0012
large;23;0.001
pot;16;0.0007
dessiner;6;0.0003
forme;8;0.0003
mou;9;0.0004
tournure;7;0.0003
manche;11;0.0005
difficile;6;0.0003
voisin;11;0.0005
entamer;7;0.0003
dîner;42;0.0018
tache;8;0.0003
fromage;6;0.0003
économie;6;0.0003
presque;67;0.0029
lorsqu’;49;0.0021
tête;89;0.0038
honte;14;0.0006
ranger;11;0.0005
éteindre;8;0.0003
mot;33;0.0014
discret;8;0.0003
réveiller;17;0.0007
pouvoir;60;0.0026
raison;27;0.0012
samedi;6;0.0003
pauvre;36;0.0015
rare;8;0.0003
user;10;0.0004
aimer;37;0.0016
désir;13;0.0006
période;10;0.0004
jadi;11;0.0005
foule;10;0.0004
maîtresse;40;0.0017
mieux;44;0.0019
pantalon;8;0.0003
craindre;17;0.0007
doute;31;0.0013
caresse;8;0.0003
voyant;9;0.0004
dépense;11;0.0005
respirer;7;0.0003
veux;9;0.0004
pension;8;0.0003
fillette;8;0.0003
vieux;63;0.0027
maigre;10;0.0004
aimable;6;0.0003
répondre;46;0.002
considérer;14;0.0006
mois;35;0.0015
idéal;9;0.0004
maladie;13;0.0006
déclarer;22;0.0009
instinct;8;0.0003
cravate;8;0.0003
temps;76;0.0033
âme;16;0.0007
couleur;25;0.0011
traiter;6;0.0003
admettre;10;0.0004
soulager;6;0.0003
tremper;7;0.0003
magasin;17;0.0007
plaindre;17;0.0007
sou;9;0.0004
fait;7;0.0003
gras;10;0.0004
talent;8;0.0003
serrer;21;0.0009
intérêt;13;0.0006
sembla;8;0.0003
remonter;9;0.0004
payer;21;0.0009
rêver;12;0.0005
atteindre;14;0.0006
main;88;0.0038
bec;14;0.0006
lointain;8;0.0003
repos;7;0.0003
instant;15;0.0006
couper;19;0.0008
bras;68;0.0029
fil;14;0.0006
soulever;7;0.0003
occasion;7;0.0003
mélancolie;6;0.0003
rester;53;0.0023
chat;21;0.0009
secoua;6;0.0003
balayer;6;0.0003
malheur;15;0.0006
tas;15;0.0006
demander;48;0.0021
adopter;6;0.0003
bien;287;0.0123
lier;6;0.0003
souffler;14;0.0006
passer;46;0.002
sorte;33;0.0014
prétendre;10;0.0004
nourriture;11;0.0005
fleur;20;0.0009
indécis;8;0.0003
chemin;7;0.0003
renverser;10;0.0004
difficulté;7;0.0003
feuille;7;0.0003
voler;7;0.0003
appuyer;15;0.0006
rumeur;6;0.0003
taper;11;0.0005
sottise;6;0.0003
verre;53;0.0023
oncle;23;0.001
annonce;6;0.0003
fort;19;0.0008
étage;17;0.0007
dresser;17;0.0007
prêt;11;0.0005
gaieté;8;0.0003
soudain;18;0.0008
gagner;18;0.0008
paletot;10;0.0004
endroit;11;0.0005
rapidement;8;0.0003
traîner;12;0.0005
mouvement;7;0.0003
sucre;8;0.0003
atmosphère;6;0.0003
éclat;7;0.0003
fou;11;0.0005
tombe;7;0.0003
rôle;7;0.0003
passant;8;0.0003
reposer;8;0.0003
guère;10;0.0004
tacher;6;0.0003
vanter;8;0.0003
lentement;17;0.0007
apprendre;15;0.0006
baiser;14;0.0006
déshabiller;6;0.0003
relation;7;0.0003
faïence;8;0.0003
peur;29;0.0012
partout;6;0.0003
cause;10;0.0004
service;11;0.0005
davantage;7;0.0003
regret;6;0.0003
comprend;7;0.0003
déjeuner;12;0.0005
comprendre;31;0.0013
ordre;13;0.0006
image;13;0.0006
avaler;8;0.0003
anglais;7;0.0003
chasser;11;0.0005
précéder;7;0.0003
ensemble;12;0.0005
situation;11;0.0005
tromper;14;0.0006
stupide;10;0.0004
épuiser;6;0.0003
avantage;7;0.0003
exécuter;8;0.0003
impossible;10;0.0004
angoisse;12;0.0005
jamais;57;0.0025
certainement;10;0.0004
allumer;19;0.0008
opinion;12;0.0005
placer;16;0.0007
presser;13;0.0006
patte;8;0.0003
espèce;6;0.0003
chance;16;0.0007
viande;12;0.0005
supporter;9;0.0004
commun;10;0.0004
lait;6;0.0003
trop;40;0.0017
fond;40;0.0017
restaurant;14;0.0006
reculer;8;0.0003
oublier;23;0.001
court;15;0.0006
commander;11;0.0005
moustache;13;0.0006
courir;14;0.0006
être;197;0.0085
route;10;0.0004
argument;8;0.0003
laisser;54;0.0023
petit;168;0.0072
haut;43;0.0018
barbe;8;0.0003
journée;14;0.0006
arriver;51;0.0022
proposer;15;0.0006
sort;10;0.0004
emporta;6;0.0003
buffet;10;0.0004
atelier;14;0.0006
vert;10;0.0004
connaissance;6;0.0003
lever;45;0.0019
tranquille;12;0.0005
oreille;21;0.0009
pensée;31;0.0013
cou;16;0.0007
exemple;27;0.0012
front;17;0.0007
régulièrement;9;0.0004
nuit;35;0.0015
bal;8;0.0003
crise;14;0.0006
frais;14;0.0006
débiter;13;0.0006
leçon;6;0.0003
silencieux;12;0.0005
dispute;6;0.0003
apercevoir;32;0.0014
absence;9;0.0004
