mot;occurrence;frequence
nu;6;0.0003
charmant;9;0.0004
baron;7;0.0003
pousser;21;0.001
œuvre;23;0.0011
obscur;8;0.0004
rentrer;37;0.0017
tiède;6;0.0003
siècle;8;0.0004
foyer;10;0.0005
éclatant;10;0.0005
figure;38;0.0018
aise;6;0.0003
effacer;7;0.0003
prononcer;7;0.0003
homme;147;0.0068
taire;17;0.0008
ténor;7;0.0003
manière;9;0.0004
continuer;27;0.0012
annette;106;0.0049
réfléchir;15;0.0007
poitrine;10;0.0005
maigrir;8;0.0004
assurer;8;0.0004
rouge;16;0.0007
envoyer;13;0.0006
paix;10;0.0005
hier;8;0.0004
étonnement;6;0.0003
ramener;11;0.0005
retenir;15;0.0007
entier;23;0.0011
écho;6;0.0003
doigt;29;0.0013
horrible;7;0.0003
droite;7;0.0003
aime;12;0.0006
gris;12;0.0006
fille;150;0.0069
large;11;0.0005
épanoui;6;0.0003
forme;13;0.0006
saveur;6;0.0003
brutal;6;0.0003
voisin;12;0.0006
dîner;40;0.0018
presque;76;0.0035
caprice;6;0.0003
lorsqu’;20;0.0009
tête;63;0.0029
mot;33;0.0015
ivresse;10;0.0005
discret;7;0.0003
pénétrer;11;0.0005
réveiller;8;0.0004
pouvoir;39;0.0018
raison;17;0.0008
pauvre;34;0.0016
rare;11;0.0005
aimer;130;0.006
désir;45;0.0021
foule;12;0.0006
maîtresse;10;0.0005
mieux;46;0.0021
élancer;6;0.0003
choisir;14;0.0006
doute;22;0.001
caresse;8;0.0004
bertin;22;0.001
voyant;14;0.0006
respirer;11;0.0005
fantaisie;7;0.0003
ardent;7;0.0003
fillette;14;0.0006
vieux;34;0.0016
duchesse;78;0.0036
maigre;11;0.0005
satisfait;7;0.0003
répondre;63;0.0029
balbutia;7;0.0003
considérer;6;0.0003
mois;15;0.0007
idéal;7;0.0003
innombrable;6;0.0003
déclarer;7;0.0003
instinct;11;0.0005
inexprimable;8;0.0004
temps;84;0.0039
âme;51;0.0024
traiter;10;0.0005
cadeau;9;0.0004
fait;18;0.0008
gras;6;0.0003
talent;8;0.0004
serrer;31;0.0014
clarté;7;0.0003
église;7;0.0003
intérêt;9;0.0004
sembla;6;0.0003
député;11;0.0005
remonter;7;0.0003
payer;7;0.0003
rêver;8;0.0004
main;125;0.0058
boulevard;20;0.0009
lointain;16;0.0007
repos;6;0.0003
instant;34;0.0016
fête;8;0.0004
bras;43;0.002
sensation;16;0.0007
soulever;13;0.0006
mélancolie;6;0.0003
naturel;10;0.0005
rester;51;0.0024
séduction;6;0.0003
rapide;22;0.001
admiration;7;0.0003
alerte;13;0.0006
malheur;12;0.0006
demander;80;0.0037
bien;214;0.0099
passer;100;0.0046
projet;9;0.0004
sorte;42;0.0019
vaste;9;0.0004
printemps;6;0.0003
fleur;21;0.001
chemin;12;0.0006
préoccupation;7;0.0003
feuille;17;0.0008
appuyer;6;0.0003
verre;11;0.0005
unir;6;0.0003
indifférence;7;0.0003
fort;55;0.0025
seconde;15;0.0007
poète;7;0.0003
dresser;6;0.0003
prêt;14;0.0006
passé;8;0.0004
cruel;7;0.0003
soudain;41;0.0019
gagner;9;0.0004
endroit;10;0.0005
avenue;7;0.0003
traîner;14;0.0006
mouvement;35;0.0016
république;6;0.0003
vol;6;0.0003
habituer;9;0.0004
éclat;8;0.0004
fou;21;0.001
rôle;6;0.0003
détresse;6;0.0003
passant;6;0.0003
reposer;10;0.0005
guère;12;0.0006
vanter;8;0.0004
lentement;9;0.0004
surprise;16;0.0007
baiser;23;0.0011
apprendre;9;0.0004
peur;22;0.001
partout;13;0.0006
mystérieux;10;0.0005
membre;6;0.0003
cause;13;0.0006
service;8;0.0004
davantage;8;0.0004
déjeuner;27;0.0012
comprendre;61;0.0028
ordre;9;0.0004
image;8;0.0004
séance;12;0.0006
raisonnement;6;0.0003
chasser;9;0.0004
radieux;7;0.0003
distinguer;9;0.0004
ensemble;10;0.0005
situation;15;0.0007
tromper;14;0.0006
maman;6;0.0003
déchirer;12;0.0006
obsession;7;0.0003
impossible;8;0.0004
angoisse;14;0.0006
jamais;69;0.0032
opinion;16;0.0007
placer;6;0.0003
presser;13;0.0006
émouvoir;13;0.0006
trop;65;0.003
pelouse;7;0.0003
fond;36;0.0017
oublier;25;0.0012
flot;6;0.0003
court;20;0.0009
folie;6;0.0003
moustache;6;0.0003
courir;16;0.0007
être;260;0.012
route;8;0.0004
argument;9;0.0004
laisser;56;0.0026
petit;162;0.0075
haut;14;0.0006
journée;11;0.0005
arriver;37;0.0017
atelier;28;0.0013
tranquille;11;0.0005
lever;57;0.0026
oreille;15;0.0007
pensée;58;0.0027
agitation;8;0.0004
exemple;10;0.0005
front;12;0.0006
nuit;27;0.0012
irrésistible;22;0.001
miroir;8;0.0004
crise;16;0.0007
frais;16;0.0007
silencieux;7;0.0003
apercevoir;41;0.0019
inspirer;6;0.0003
idée;42;0.0019
souci;16;0.0007
vue;15;0.0007
peine;44;0.002
mourir;17;0.0008
passionner;12;0.0006
demeurer;41;0.0019
retourner;34;0.0016
mémoire;10;0.0005
ému;7;0.0003
argent;6;0.0003
embrasser;21;0.001
adresse;12;0.0006
présence;15;0.0007
égal;6;0.0003
confus;9;0.0004
tordre;7;0.0003
las;6;0.0003
marier;11;0.0005
allée;9;0.0004
lit;27;0.0012
présenter;11;0.0005
général;6;0.0003
jaune;7;0.0003
rond;8;0.0004
expliquer;10;0.0005
drôle;8;0.0004
veille;14;0.0006
oiseau;6;0.0003
glace;15;0.0007
soir;65;0.003
bouquet;6;0.0003
force;26;0.0012
bougie;7;0.0003
lendemain;21;0.001
an;48;0.0022
rencontre;16;0.0007
fine;11;0.0005
cœur;95;0.0044
doux;18;0.0008
apparut;7;0.0003
accabler;8;0.0004
auprès;13;0.0006
arbre;14;0.0006
compte;6;0.0003
éloigner;12;0.0006
marbre;6;0.0003
échapper;11;0.0005
liberté;7;0.0003
peintre;79;0.0036
épaule;17;0.0008
rouler;10;0.0005
médecin;12;0.0006
train;8;0.0004
résolution;6;0.0003
promenade;13;0.0006
pourtant;17;0.0008
emplir;6;0.0003
raconter;15;0.0007
laisse;12;0.0006
passion;8;0.0004
chaleur;12;0.0006
discussion;6;0.0003
goutte;7;0.0003
impatience;13;0.0006
conviction;11;0.0005
thé;8;0.0004
simplement;8;0.0004
lutte;8;0.0004
affection;21;0.001
grandir;10;0.0005
personne;9;0.0004
redouter;10;0.0005
modèle;10;0.0005
contempler;15;0.0007
amie;21;0.001
influence;7;0.0003
meilleur;10;0.0005
crisper;7;0.0003
prouver;6;0.0003
apparaître;12;0.0006
soin;9;0.0004
passage;6;0.0003
journal;7;0.0003
espérer;14;0.0006
bas;8;0.0004
peindre;17;0.0008
curieux;7;0.0003
tiroir;7;0.0003
remettre;28;0.0013
ensembl;7;0.0003
trouver;88;0.0041
poussée;6;0.0003
là;31;0.0014
oppresser;6;0.0003
demande;10;0.0005
musadieu;18;0.0008
succès;15;0.0007
redoutable;6;0.0003
rappeler;22;0.001
intéresser;13;0.0006
profonde;6;0.0003
calme;6;0.0003
oh;27;0.0012
tirer;6;0.0003
sauter;7;0.0003
éléger;6;0.0003
cercle;20;0.0009
mondain;17;0.0008
amant;7;0.0003
gêner;7;0.0003
épais;6;0.0003
riche;6;0.0003
échanger;6;0.0003
avance;7;0.0003
fièvre;10;0.0005
soleil;21;0.001
élégance;7;0.0003
tendre;39;0.0018
approcher;16;0.0007
ajouta;6;0.0003
gros;19;0.0009
rue;38;0.0018
griser;7;0.0003
inutile;6;0.0003
rejeter;7;0.0003
silence;21;0.001
gracieux;7;0.0003
maison;43;0.002
attacher;11;0.0005
mine;6;0.0003
falloir;59;0.0027
cueillir;8;0.0004
curiosité;7;0.0003
sujet;23;0.0011
inspiration;6;0.0003
sang;12;0.0006
envier;18;0.0008
ancien;24;0.0011
léger;33;0.0015
vide;17;0.0008
amour;55;0.0025
chapeau;13;0.0006
charger;7;0.0003
hâter;6;0.0003
exposer;7;0.0003
dormir;19;0.0009
ailleurs;33;0.0015
coin;19;0.0009
finir;30;0.0014
baisser;8;0.0004
ventre;7;0.0003
apparence;7;0.0003
prendre;117;0.0054
menu;9;0.0004
lent;12;0.0006
galerie;7;0.0003
arrêter;23;0.0011
allure;8;0.0004
crainte;10;0.0005
jeter;53;0.0024
paraître;29;0.0013
déposer;6;0.0003
offrir;15;0.0007
genou;18;0.0008
mouchoir;9;0.0004
fatigue;13;0.0006
terre;16;0.0007
défendre;8;0.0004
agiter;23;0.0011
tandis;21;0.001
jouer;19;0.0009
tenace;6;0.0003
vou;13;0.0006
devoir;71;0.0033
marche;8;0.0004
aujourd’hui;32;0.0015
tapis;8;0.0004
douloureux;6;0.0003
vision;6;0.0003
prévoir;11;0.0005
appartement;13;0.0006
fenêtre;21;0.001
reprocher;7;0.0003
comtesse;182;0.0084
précipiter;6;0.0003
découvrir;17;0.0008
cheval;19;0.0009
sortit;7;0.0003
vivement;7;0.0003
été;8;0.0004
semaine;16;0.0007
matériel;9;0.0004
lune;6;0.0003
esquisse;6;0.0003
porte;46;0.0021
mariage;21;0.001
servir;10;0.0005
appétit;7;0.0003
brûler;8;0.0004
boire;22;0.001
escalier;16;0.0007
événement;12;0.0006
évocation;8;0.0004
avoir;140;0.0065
efforcer;11;0.0005
cocher;6;0.0003
campagne;15;0.0007
avouer;8;0.0004
disparaître;12;0.0006
parfum;6;0.0003
bouleverser;7;0.0003
compliment;8;0.0004
torturer;6;0.0003
songer;44;0.002
chagrin;24;0.0011
poindre;38;0.0018
inquiet;12;0.0006
cacher;17;0.0008
nuance;15;0.0007
accent;6;0.0003
teint;9;0.0004
attitude;10;0.0005
bon;47;0.0022
livre;17;0.0008
vérité;8;0.0004
monter;19;0.0009
minuit;6;0.0003
murmurant;7;0.0003
entrée;13;0.0006
toucher;19;0.0009
larme;23;0.0011
tourmenter;7;0.0003
conserver;6;0.0003
poignée;8;0.0004
souffle;18;0.0008
couler;15;0.0007
rose;9;0.0004
jeunesse;14;0.0006
public;11;0.0005
guilleroy;72;0.0033
titre;6;0.0003
beauté;20;0.0009
