mot;occurrence;frequence
grelottait;8;0.0001
ont;54;0.0007
invités;7;0.0001
quatre;101;0.0013
équipe;7;0.0001
tribune;7;0.0001
estime;6;0.0001
planches;15;0.0002
plan;25;0.0003
séparait;8;0.0001
homme;258;0.0034
canal;32;0.0004
sourds;9;0.0001
baraque;23;0.0003
baisse;6;0.0001
ramener;6;0.0001
papa;6;0.0001
agir;11;0.0001
tut;9;0.0001
bouteloup;29;0.0004
échappa;6;0.0001
gris;10;0.0001
glacé;8;0.0001
bagne;6;0.0001
tes;9;0.0001
a;263;0.0035
voisin;6;0.0001
sonnant;6;0.0001
semblaient;19;0.0003
sortie;20;0.0003
deux;446;0.0059
éteindre;13;0.0002
mot;44;0.0006
avais;21;0.0003
pieds;71;0.0009
frères;14;0.0002
philomène;35;0.0005
chaudières;16;0.0002
devenus;6;0.0001
allez;21;0.0003
étalait;7;0.0001
voyant;24;0.0003
gâchis;9;0.0001
fiche;19;0.0003
vieux;145;0.0019
capitaine;21;0.0003
allongeait;12;0.0002
arrêté;11;0.0001
galant;13;0.0002
levèrent;6;0.0001
augmentait;16;0.0002
instinct;7;0.0001
croisaient;6;0.0001
âme;7;0.0001
nouvelles;24;0.0003
venez;6;0.0001
revenaient;13;0.0002
magasin;7;0.0001
devenaient;12;0.0002
germait;6;0.0001
payer;24;0.0003
pleuraient;7;0.0001
main;87;0.0012
folle;8;0.0001
repos;7;0.0001
couper;7;0.0001
fête;6;0.0001
parurent;6;0.0001
entendaient;9;0.0001
traître;6;0.0001
alzire;47;0.0006
masse;25;0.0003
trouverait;8;0.0001
disant;29;0.0004
demander;13;0.0002
légumes;9;0.0001
vestibule;9;0.0001
couchée;6;0.0001
remontait;7;0.0001
chemin;51;0.0007
tartaret;7;0.0001
briques;41;0.0005
comprenaient;6;0.0001
retournaient;8;0.0001
millions;12;0.0002
moulin;6;0.0001
chétive;8;0.0001
étage;10;0.0001
fâchait;11;0.0001
aveuglé;6;0.0001
dresser;6;0.0001
pas;1201;0.0159
noires;19;0.0003
dehors;17;0.0002
mouvement;16;0.0002
avez;23;0.0003
oubliait;13;0.0002
dormait;23;0.0003
baquet;9;0.0001
sucre;8;0.0001
vol;6;0.0001
exiger;6;0.0001
éclat;7;0.0001
regardait;78;0.001
emporté;8;0.0001
hâtait;6;0.0001
avançait;14;0.0002
lointains;12;0.0002
tombant;6;0.0001
passant;11;0.0001
guère;39;0.0005
lentement;37;0.0005
huit;33;0.0004
rendu;7;0.0001
partout;22;0.0003
déranger;7;0.0001
murs;31;0.0004
endormie;7;0.0001
cause;24;0.0003
davantage;68;0.0009
regret;13;0.0002
enfermée;6;0.0001
travaillaient;6;0.0001
comprendre;24;0.0003
avaler;8;0.0001
voulut;32;0.0004
étrangers;7;0.0001
misères;6;0.0001
feux;15;0.0002
impossible;10;0.0001
angoisse;15;0.0002
pur;6;0.0001
écoutaient;6;0.0001
jamais;129;0.0017
baissaient;6;0.0001
concession;10;0.0001
certainement;10;0.0001
grévistes;23;0.0003
continuel;10;0.0001
fesses;6;0.0001
fond;173;0.0023
pressait;8;0.0001
tressaillit;7;0.0001
plateau;6;0.0001
pareils;10;0.0001
gaillards;7;0.0001
court;9;0.0001
remettait;7;0.0001
déclara;18;0.0002
saleté;9;0.0001
malheurs;7;0.0001
deuxième;8;0.0001
être;238;0.0032
laisser;39;0.0005
petit;96;0.0013
directeur;50;0.0007
mineur;39;0.0005
sort;14;0.0002
