mot;occurrence;frequence
ont;20;0.0008
enfin;28;0.0012
quatre;26;0.0011
pavé;9;0.0004
figure;39;0.0016
heureuse;10;0.0004
sœur;30;0.0013
chagrins;7;0.0003
te;49;0.002
homme;88;0.0037
pris;23;0.001
pensait;9;0.0004
gens;37;0.0015
jetant;6;0.0003
langue;7;0.0003
poitrine;13;0.0005
plaignait;9;0.0004
parfois;7;0.0003
obligée;13;0.0005
rouge;20;0.0008
appelait;9;0.0004
eut;46;0.0019
or;13;0.0005
avenir;6;0.0003
horrible;11;0.0005
arrêtait;16;0.0007
droite;7;0.0003
aime;20;0.0008
gris;10;0.0004
longuement;7;0.0003
debout;7;0.0003
fille;102;0.0043
honneur;9;0.0004
large;8;0.0003
crémière;17;0.0007
tes;17;0.0007
a;132;0.0055
semblant;7;0.0003
çà;6;0.0003
dîner;26;0.0011
noire;20;0.0008
dû;6;0.0003
semblaient;12;0.0005
presque;56;0.0023
lorsqu’;12;0.0005
cent;9;0.0004
tête;84;0.0035
honte;16;0.0007
sortie;11;0.0005
deux;136;0.0057
mot;27;0.0011
avais;17;0.0007
raison;7;0.0003
heures;58;0.0024
pieds;25;0.001
pauvre;38;0.0016
voulait;55;0.0023
cimetière;8;0.0003
femmes;66;0.0028
cousine;16;0.0007
aimer;15;0.0006
désir;13;0.0005
foule;6;0.0003
montrait;7;0.0003
maîtresse;51;0.0021
mieux;20;0.0008
allez;9;0.0004
personnes;7;0.0003
doute;6;0.0003
voyant;17;0.0007
veux;26;0.0011
pension;9;0.0004
dettes;10;0.0004
barrière;8;0.0003
vieux;22;0.0009
sombres;6;0.0003
maigre;8;0.0003
font;14;0.0006
robes;9;0.0004
allongeait;6;0.0003
rappelait;11;0.0005
mettait;28;0.0012
mois;38;0.0016
rentrait;10;0.0004
maladie;17;0.0007
vivait;9;0.0004
première;17;0.0007
temps;90;0.0038
âme;21;0.0009
couleur;15;0.0006
forte;8;0.0003
maîtres;8;0.0003
soins;6;0.0003
fait;104;0.0044
côtés;6;0.0003
sou;9;0.0004
quelquefois;13;0.0005
église;7;0.0003
draps;9;0.0004
mauvaise;12;0.0005
servait;9;0.0004
remonter;6;0.0003
dites;6;0.0003
payer;16;0.0007
mit;48;0.002
main;53;0.0022
boulevard;9;0.0004
folle;11;0.0005
instant;23;0.001
fête;6;0.0003
donnait;19;0.0008
bras;61;0.0026
grands;20;0.0008
joies;8;0.0003
rester;12;0.0005
germinie;365;0.0153
longue;11;0.0005
malheur;19;0.0008
disant;9;0.0004
demander;17;0.0007
pays;7;0.0003
bien;162;0.0068
tombait;13;0.0005
épaules;7;0.0003
prenant;7;0.0003
varandeuil;104;0.0044
passer;29;0.0012
sorte;17;0.0007
couchée;6;0.0003
colères;6;0.0003
joues;6;0.0003
dit;146;0.0061
chemin;14;0.0006
ouverte;11;0.0005
feuille;6;0.0003
regarda;13;0.0005
pièces;6;0.0003
voler;6;0.0003
croyait;14;0.0006
marchande;7;0.0003
verre;19;0.0008
spectacle;7;0.0003
rues;8;0.0003
partait;6;0.0003
ainsi;34;0.0014
fort;19;0.0008
étage;6;0.0003
repoussait;6;0.0003
seconde;11;0.0005
gaieté;14;0.0006
pas;477;0.02
noires;11;0.0005
passé;20;0.0008
endroit;8;0.0003
mouvement;15;0.0006
avez;13;0.0005
regards;8;0.0003
justice;7;0.0003
six;15;0.0006
regardait;22;0.0009
nuits;9;0.0004
pudeur;6;0.0003
quarante;12;0.0005
fou;7;0.0003
tombe;15;0.0006
ait;6;0.0003
tant;32;0.0013
tous;79;0.0033
poule;7;0.0003
tombant;6;0.0003
passant;11;0.0005
es;11;0.0005
guère;9;0.0004
lentement;11;0.0005
huit;12;0.0005
cherchait;11;0.0005
peur;33;0.0014
partout;9;0.0004
membres;7;0.0003
murs;10;0.0004
portes;7;0.0003
vint;13;0.0005
cause;6;0.0003
service;22;0.0009
déjeuner;10;0.0004
image;6;0.0003
distraction;7;0.0003
voulut;14;0.0006
misères;9;0.0004
assise;13;0.0005
maman;9;0.0004
impossible;13;0.0005
parlent;7;0.0003
jamais;55;0.0023
demoiselle;11;0.0005
espèce;8;0.0003
chance;7;0.0003
retour;7;0.0003
laissait;36;0.0015
manquait;8;0.0003
trop;48;0.002
lait;7;0.0003
fond;35;0.0015
folie;10;0.0004
façon;15;0.0006
courir;7;0.0003
être;107;0.0045
route;9;0.0004
affaires;13;0.0005
laisser;21;0.0009
petit;57;0.0024
haut;26;0.0011
journée;25;0.001
essayait;7;0.0003
arriver;6;0.0003
sort;9;0.0004
vert;7;0.0003
connaissance;8;0.0003
lever;10;0.0004
amours;7;0.0003
religion;9;0.0004
vive;8;0.0003
oreille;11;0.0005
allons;16;0.0007
pensée;33;0.0014
mllede;78;0.0033
cou;11;0.0005
exemple;9;0.0004
front;8;0.0003
nouvelle;14;0.0006
nuit;48;0.002
crois;9;0.0004
bal;13;0.0005
prenait;21;0.0009
sait;6;0.0003
révolution;11;0.0005
forces;7;0.0003
idée;38;0.0016
retenait;6;0.0003
vue;14;0.0006
peine;28;0.0012
mourir;30;0.0013
m.de;22;0.0009
