mot;occurrence;frequence
nu;8;0.0003
accord;7;0.0003
surnaturel;10;0.0004
baron;6;0.0003
pousser;20;0.0009
œuvre;32;0.0014
ose;6;0.0003
obscur;10;0.0004
souple;7;0.0003
rentrer;26;0.0011
tiède;12;0.0005
incube;13;0.0006
monte;6;0.0003
siècle;36;0.0015
figure;14;0.0006
véritable;18;0.0008
aise;9;0.0004
effacer;9;0.0004
sombrer;6;0.0003
tribunal;15;0.0006
catholique;8;0.0003
feuilleter;6;0.0003
jeanne;16;0.0007
prononcer;13;0.0006
homme;136;0.0058
diabolique;8;0.0003
taire;26;0.0011
confesser;10;0.0004
langue;16;0.0007
revêtir;7;0.0003
manière;10;0.0004
formule;6;0.0003
border;6;0.0003
continuer;22;0.0009
fluide;10;0.0004
réfléchir;8;0.0003
poitrine;9;0.0004
tailler;7;0.0003
assurer;19;0.0008
rouge;24;0.001
envoyer;15;0.0006
inventer;10;0.0004
supplie;8;0.0003
hier;10;0.0004
ramener;10;0.0004
but;12;0.0005
retenir;6;0.0003
xvesiècle;7;0.0003
entier;12;0.0005
boue;6;0.0003
doigt;29;0.0012
agir;17;0.0007
horrible;11;0.0005
avenir;9;0.0004
résoudre;9;0.0004
succube;13;0.0006
gris;14;0.0006
fille;25;0.0011
honneur;6;0.0003
concierge;14;0.0006
large;8;0.0003
pot;9;0.0004
condamner;11;0.0005
forme;29;0.0012
actuel;22;0.0009
difficile;13;0.0006
çà;17;0.0007
dîner;20;0.0009
occultiste;6;0.0003
presque;55;0.0024
lorsqu’;53;0.0023
cent;6;0.0003
surmonter;7;0.0003
tête;66;0.0028
relier;8;0.0003
mot;35;0.0015
éteindre;8;0.0003
pénétrer;10;0.0004
pouvoir;77;0.0033
hanche;6;0.0003
party;9;0.0004
raison;36;0.0015
liqueur;7;0.0003
pauvre;48;0.0021
rare;16;0.0007
religieux;9;0.0004
user;16;0.0007
aimer;53;0.0023
désir;11;0.0005
foule;9;0.0004
jadi;6;0.0003
maîtresse;9;0.0004
mieux;44;0.0019
voile;6;0.0003
élancer;7;0.0003
choisir;9;0.0004
craindre;7;0.0003
doute;50;0.0021
caresse;7;0.0003
voyant;12;0.0005
art;7;0.0003
ardent;12;0.0005
sorcier;14;0.0006
sonneur;32;0.0014
vieux;64;0.0027
supérieur;9;0.0004
répondre;52;0.0022
considérer;9;0.0004
opération;8;0.0003
mois;18;0.0008
idéal;8;0.0003
maladie;19;0.0008
déclarer;27;0.0012
lanterne;9;0.0004
docteur;11;0.0005
incroyable;7;0.0003
chœur;6;0.0003
instinct;6;0.0003
bronze;9;0.0004
temps;108;0.0046
âme;89;0.0038
couleur;11;0.0005
traiter;12;0.0005
admettre;26;0.0011
auteur;6;0.0003
fait;23;0.001
plaindre;12;0.0005
gras;6;0.0003
quelquefois;12;0.0005
serrer;28;0.0012
église;56;0.0024
usage;6;0.0003
intérêt;9;0.0004
curé;7;0.0003
remonter;11;0.0005
payer;7;0.0003
rêver;12;0.0005
pieux;8;0.0003
atteindre;20;0.0009
main;83;0.0036
fauve;8;0.0003
repos;7;0.0003
instant;19;0.0008
couper;10;0.0004
fête;6;0.0003
bras;33;0.0014
sensation;6;0.0003
soulever;15;0.0006
ange;13;0.0006
écart;7;0.0003
révéler;24;0.001
rester;34;0.0015
masse;6;0.0003
chat;23;0.001
principe;7;0.0003
omnibus;6;0.0003
récemment;6;0.0003
civil;6;0.0003
scélérat;7;0.0003
opérer;9;0.0004
chimiste;6;0.0003
tas;7;0.0003
demander;43;0.0018
décidément;12;0.0005
pays;8;0.0003
bien;305;0.0131
souffler;13;0.0006
passer;66;0.0028
hystérique;6;0.0003
xviesiècle;6;0.0003
sorte;40;0.0017
exhausser;6;0.0003
prétendre;14;0.0006
égorger;8;0.0003
fleur;8;0.0003
emparer;7;0.0003
chemin;6;0.0003
renverser;8;0.0003
feuille;12;0.0005
regarda;6;0.0003
magicien;9;0.0004
poison;7;0.0003
verre;29;0.0012
médiocre;12;0.0005
exécrer;9;0.0004
extraordinaire;18;0.0008
humble;8;0.0003
inconnue;13;0.0006
fort;30;0.0013
poète;6;0.0003
dresser;18;0.0008
prêt;14;0.0006
cruel;6;0.0003
soudain;11;0.0005
gagner;9;0.0004
consacrer;12;0.0005
vol;7;0.0003
justice;9;0.0004
exiger;9;0.0004
atmosphère;6;0.0003
fou;30;0.0013
tombe;7;0.0003
rôle;14;0.0006
solennel;10;0.0004
détresse;9;0.0004
vierge;13;0.0006
renseignement;13;0.0006
apprendre;23;0.001
baiser;17;0.0007
déshabiller;6;0.0003
relation;12;0.0005
maléfice;15;0.0006
violer;12;0.0005
peur;22;0.0009
partout;13;0.0006
mystérieux;7;0.0003
membre;7;0.0003
cause;27;0.0012
service;7;0.0003
comprendre;31;0.0013
ordre;21;0.0009
anglais;7;0.0003
avaler;6;0.0003
image;17;0.0007
séance;7;0.0003
durtal;158;0.0068
chasser;10;0.0004
ensemble;8;0.0003
situation;6;0.0003
tromper;9;0.0004
abri;6;0.0003
épuiser;10;0.0004
attester;13;0.0006
invraisemblable;6;0.0003
impossible;15;0.0006
pur;7;0.0003
jamais;65;0.0028
certainement;16;0.0007
allumer;24;0.001
placer;7;0.0003
presser;8;0.0003
patte;6;0.0003
viande;8;0.0003
espèce;7;0.0003
observer;9;0.0004
coupable;8;0.0003
commun;9;0.0004
lait;6;0.0003
trop;45;0.0019
conséquent;10;0.0004
fond;45;0.0019
viol;7;0.0003
reculer;9;0.0004
matérialisme;6;0.0003
oublier;24;0.001
huile;9;0.0004
court;6;0.0003
folie;15;0.0006
moustache;7;0.0003
courir;11;0.0005
être;286;0.0123
route;9;0.0004
laisser;33;0.0014
petit;102;0.0044
haut;44;0.0019
barbe;7;0.0003
arriver;34;0.0015
sort;11;0.0005
vert;12;0.0005
connaissance;8;0.0003
lever;46;0.002
religion;6;0.0003
fourneau;9;0.0004
oreille;7;0.0003
pensée;16;0.0007
rejoindre;8;0.0003
cou;9;0.0004
exemple;28;0.0012
front;12;0.0005
nuit;38;0.0016
crise;7;0.0003
plaie;9;0.0004
bijou;6;0.0003
frais;12;0.0005
débiter;6;0.0003
silencieux;11;0.0005
apercevoir;26;0.0011
idée;43;0.0018
ravir;6;0.0003
vue;17;0.0007
peine;23;0.001
queue;7;0.0003
cardinal;9;0.0004
attaque;8;0.0003
mourir;18;0.0008
demeurer;28;0.0012
retourner;15;0.0006
infâme;6;0.0003
issu;7;0.0003
refuser;19;0.0008
argent;24;0.001
singulièremer;10;0.0004
embrasser;17;0.0007
plomb;7;0.0003
égal;14;0.0006
présence;7;0.0003
semence;6;0.0003
montre;11;0.0005
parcourir;13;0.0006
tordre;7;0.0003
marier;10;0.0004
las;11;0.0005
lit;37;0.0016
présenter;7;0.0003
glacer;7;0.0003
rond;8;0.0003
bretagne;8;0.0003
effet;6;0.0003
expliquer;45;0.0019
drôle;6;0.0003
veille;6;0.0003
grain;6;0.0003
fils;19;0.0008
oiseau;7;0.0003
glace;6;0.0003
désigner;17;0.0007
écriture;8;0.0003
soir;51;0.0022
force;23;0.001
bougie;7;0.0003
lendemain;18;0.0008
vain;7;0.0003
an;44;0.0019
mener;9;0.0004
rencontre;6;0.0003
cœur;11;0.0005
doux;16;0.0007
époque;25;0.0011
remplir;7;0.0003
auprès;17;0.0007
arbre;10;0.0004
compte;17;0.0007
singulier;7;0.0003
éloigner;9;0.0004
métal;20;0.0009
échapper;9;0.0004
cas;43;0.0018
couche;9;0.0004
épaule;17;0.0007
rouler;16;0.0007
ignore;9;0.0004
plafond;8;0.0003
médecin;16;0.0007
sacrifice;15;0.0006
pourtant;49;0.0021
ménage;16;0.0007
nécessaire;10;0.0004
raconter;23;0.001
laisse;10;0.0004
passion;15;0.0006
devint;6;0.0003
discussion;6;0.0003
goutte;12;0.0005
linge;10;0.0004
simplement;14;0.0006
lutte;8;0.0003
orgueil;11;0.0005
affection;8;0.0003
personne;10;0.0004
poussière;7;0.0003
enfoncer;10;0.0004
contempler;10;0.0004
amie;8;0.0003
thaumaturge;6;0.0003
lueur;15;0.0006
influence;6;0.0003
enfuir;8;0.0003
vendre;8;0.0003
prouver;11;0.0005
sacrilège;40;0.0017
emballer;7;0.0003
apparaître;10;0.0004
soin;10;0.0004
loi;13;0.0006
entasser;6;0.0003
passage;7;0.0003
magie;25;0.0011
journal;13;0.0006
espérer;17;0.0007
pendre;11;0.0005
bas;17;0.0007
former;8;0.0003
souhaiter;7;0.0003
peindre;10;0.0004
curieux;14;0.0006
remettre;13;0.0006
trouver;52;0.0022
là;48;0.0021
mépris;7;0.0003
cerveau;11;0.0005
abominable;14;0.0006
demande;14;0.0006
centre;7;0.0003
rappeler;21;0.0009
intéresser;15;0.0006
ecclésiastique;14;0.0006
oh;16;0.0007
tirer;23;0.001
sauter;11;0.0005
autrefois;6;0.0003
identique;6;0.0003
cercle;16;0.0007
conclure;16;0.0007
enquête;6;0.0003
riche;13;0.0006
avance;9;0.0004
fièvre;8;0.0003
réflexion;11;0.0005
pipe;10;0.0004
obtenir;13;0.0006
occulte;10;0.0004
tendre;11;0.0005
approcher;17;0.0007
ajouta;6;0.0003
gros;25;0.0011
seigneur;10;0.0004
rue;51;0.0022
village;7;0.0003
inutile;8;0.0003
produire;7;0.0003
rejeter;12;0.0005
silence;31;0.0013
attacher;6;0.0003
maison;29;0.0012
supplier;10;0.0004
mine;7;0.0003
falloir;95;0.0041
curiosité;6;0.0003
sujet;25;0.0011
pâte;6;0.0003
vêtir;8;0.0003
logement;6;0.0003
sang;45;0.0019
envier;10;0.0004
incarner;6;0.0003
ancien;43;0.0018
amour;22;0.0009
vide;19;0.0008
sentence;7;0.0003
chapeau;9;0.0004
liquide;6;0.0003
chimère;6;0.0003
culte;9;0.0004
bataille;6;0.0003
recette;12;0.0005
ailleurs;11;0.0005
remède;6;0.0003
retrousser;7;0.0003
coin;20;0.0009
finir;53;0.0023
ventre;24;0.001
office;12;0.0005
remords;6;0.0003
composer;15;0.0006
demeure;7;0.0003
neige;7;0.0003
prendre;76;0.0033
menu;6;0.0003
trou;8;0.0003
lecture;7;0.0003
arrêter;15;0.0006
théorie;15;0.0006
messe;33;0.0014
allure;6;0.0003
cadre;8;0.0003
crainte;7;0.0003
jeter;27;0.0012
paraître;45;0.0019
déposer;6;0.0003
méfait;7;0.0003
offrir;11;0.0005
figurer;19;0.0008
genou;16;0.0007
terre;21;0.0009
inouï;6;0.0003
défendre;12;0.0005
agiter;8;0.0003
tandis;44;0.0019
jouer;15;0.0006
semblable;12;0.0005
vou;14;0.0006
devoir;67;0.0029
juge;13;0.0006
marche;13;0.0006
aujourd’hui;21;0.0009
aube;7;0.0003
tapis;10;0.0004
douloureux;10;0.0004
vision;12;0.0005
plainte;10;0.0004
bague;8;0.0003
règne;8;0.0003
fenêtre;15;0.0006
manteau;6;0.0003
reprocher;9;0.0004
découvrir;24;0.001
brave;9;0.0004
élève;9;0.0004
diabolisme;12;0.0005
débauche;7;0.0003
procès;19;0.0008
douter;18;0.0008
lune;6;0.0003
nue;6;0.0003
cendre;13;0.0006
hermie;175;0.0075
porte;72;0.0031
servir;32;0.0014
désillusion;7;0.0003
plupart;15;0.0006
son;15;0.0006
brûler;11;0.0005
réussir;10;0.0004
interrompre;12;0.0005
boire;18;0.0008
cité;7;0.0003
escalier;22;0.0009
événement;8;0.0003
citer;13;0.0006
évocation;11;0.0005
avoir;122;0.0052
puissant;7;0.0003
somme;51;0.0022
campagne;15;0.0006
aide;15;0.0006
lasser;6;0.0003
rage;9;0.0004
avouer;44;0.0019
spirite;6;0.0003
disparaître;14;0.0006
mystère;15;0.0006
parfum;6;0.0003
songer;42;0.0018
poindre;39;0.0017
cacher;13;0.0006
carreau;6;0.0003
haine;8;0.0003
nuance;6;0.0003
poing;6;0.0003
réel;7;0.0003
bon;106;0.0045
livre;59;0.0025
vérité;12;0.0005
incubat;12;0.0005
hurler;6;0.0003
monter;22;0.0009
hiver;7;0.0003
empoisonner;6;0.0003
entrée;6;0.0003
toucher;8;0.0003
larme;24;0.001
objet;7;0.0003
conserver;7;0.0003
rose;16;0.0007
soupirer;10;0.0004
public;10;0.0004
duc;10;0.0004
titre;8;0.0003
excès;6;0.0003
moyen;64;0.0027
droit;20;0.0009
sortir;23;0.001
assistant;6;0.0003
étendre;22;0.0009
leva;6;0.0003
peuple;23;0.001
peut-être;39;0.0017
dos;13;0.0006
délaisser;6;0.0003
gloire;7;0.0003
prunelle;10;0.0004
pièce;52;0.0022
ajouter;19;0.0008
cri;19;0.0008
voix;53;0.0023
ville;19;0.0008
meurtre;15;0.0006
précieux;7;0.0003
signe;8;0.0003
pratiquer;11;0.0005
hasard;9;0.0004
repas;8;0.0003
crier;19;0.0008
tuyau;6;0.0003
accepter;8;0.0003
grâce;16;0.0007
atroce;13;0.0006
sembler;23;0.001
sol;11;0.0005
plein;14;0.0006
reproche;6;0.0003
inexplicable;7;0.0003
refermer;7;0.0003
onde;6;0.0003
forfait;12;0.0005
retard;7;0.0003
traverser;10;0.0004
bouger;7;0.0003
document;13;0.0006
jadis;6;0.0003
moitié;7;0.0003
cloche;85;0.0036
garçon;14;0.0006
dépit;8;0.0003
déboucher;6;0.0003
détail;16;0.0007
inquiéter;7;0.0003
dr;25;0.0011
discuter;8;0.0003
courant;11;0.0005
débarrasser;9;0.0004
nouveau;30;0.0013
travailler;14;0.0006
chanter;6;0.0003
table;41;0.0018
corne;6;0.0003
moment;51;0.0022
dire;72;0.0031
jambe;21;0.0009
formidable;9;0.0004
démontrer;7;0.0003
constater;19;0.0008
contraire;19;0.0008
magique;6;0.0003
chaude;7;0.0003
saver;6;0.0003
chauffer;7;0.0003
forêt;7;0.0003
assister;21;0.0009
reconnaître;13;0.0006
éveiller;8;0.0003
apprêter;8;0.0003
salle;18;0.0008
parfaire;6;0.0003
couvrir;6;0.0003
épître;7;0.0003
demain;11;0.0005
besoin;21;0.0009
songe;6;0.0003
lame;6;0.0003
visite;11;0.0005
susciter;7;0.0003
partir;16;0.0007
aider;12;0.0005
promettre;12;0.0005
café;13;0.0006
éclairer;25;0.0011
état;28;0.0012
raser;7;0.0003
froid;23;0.001
surgir;6;0.0003
ciel;20;0.0009
célèbre;7;0.0003
rateau;10;0.0004
empêcher;12;0.0005
noir;57;0.0024
célébrer;13;0.0006
goûter;7;0.0003
papier;11;0.0005
beaucoup;14;0.0006
pareil;12;0.0005
style;9;0.0004
loin;48;0.0021
désirer;18;0.0008
évangile;6;0.0003
sage;6;0.0003
douleur;13;0.0006
vagabonder;6;0.0003
chère;6;0.0003
trembler;7;0.0003
bête;22;0.0009
mettre;71;0.003
incapable;12;0.0005
bibliothèque;11;0.0005
ombre;14;0.0006
immondice;7;0.0003
partie;24;0.001
volonté;10;0.0004
murmurer;18;0.0008
bottine;6;0.0003
doucement;16;0.0007
éviter;6;0.0003
billet;6;0.0003
naturalisme;12;0.0005
mur;34;0.0015
milieu;14;0.0006
étrange;11;0.0005
arranger;8;0.0003
volume;11;0.0005
édifier;6;0.0003
revoir;14;0.0006
possession;8;0.0003
ordure;12;0.0005
musique;6;0.0003
école;6;0.0003
cheveu;8;0.0003
dominer;6;0.0003
terminer;19;0.0008
blond;7;0.0003
répondit;14;0.0006
hostie;15;0.0006
sourire;21;0.0009
nerveux;6;0.0003
exclamer;8;0.0003
jus;6;0.0003
valoir;19;0.0008
libre;7;0.0003
débat;7;0.0003
unique;8;0.0003
éprouver;14;0.0006
humain;19;0.0008
flamme;12;0.0005
parfaitement;9;0.0004
fût;16;0.0007
calice;9;0.0004
robuste;6;0.0003
manuscrit;8;0.0003
dur;17;0.0007
faire;166;0.0071
travers;9;0.0004
mère;19;0.0008
médecine;12;0.0005
permettre;11;0.0005
savant;9;0.0004
plaisir;6;0.0003
manquer;10;0.0004
sacerdoce;6;0.0003
aller;72;0.0031
bouche;26;0.0011
ténèbre;11;0.0005
ressembler;10;0.0004
garde;9;0.0004
sombre;12;0.0005
préparer;20;0.0009
visiter;9;0.0004
jugement;8;0.0003
mêler;10;0.0004
bain;6;0.0003
bœuf;11;0.0005
manger;15;0.0006
vertu;12;0.0005
vénéfice;8;0.0003
taille;11;0.0005
geste;15;0.0006
abbé;34;0.0015
fin;42;0.0018
allonger;6;0.0003
fixer;10;0.0004
chose;51;0.0022
secret;19;0.0008
âm;20;0.0009
réduire;8;0.0003
nuage;7;0.0003
venir;99;0.0042
arrivée;6;0.0003
catholicisme;8;0.0003
bourgeois;13;0.0006
ennemi;6;0.0003
jurer;10;0.0004
ennuyer;9;0.0004
inconnu;25;0.0011
établir;8;0.0003
étoffe;7;0.0003
goût;15;0.0006
artiste;21;0.0009
utile;7;0.0003
champ;9;0.0004
fréquenter;13;0.0006
pied;43;0.0018
pleine;6;0.0003
satisfaire;11;0.0005
prie;6;0.0003
pencher;11;0.0005
effusion;7;0.0003
non;142;0.0061
voi;9;0.0004
bouquin;6;0.0003
désert;6;0.0003
rire;41;0.0018
causer;12;0.0005
chair;32;0.0014
réclamer;7;0.0003
marcher;11;0.0005
pratique;8;0.0003
perdre;38;0.0016
m;7;0.0003
bout;15;0.0006
texte;6;0.0003
battant;6;0.0003
créature;10;0.0004
étonner;14;0.0006
vraiment;30;0.0013
replier;6;0.0003
science;40;0.0017
lettre;61;0.0026
logis;6;0.0003
appeler;31;0.0013
aventure;8;0.0003
réponse;12;0.0005
pleurer;18;0.0008
chambre;54;0.0023
phrase;8;0.0003
borner;6;0.0003
retirer;15;0.0006
aussitôt;15;0.0006
charité;7;0.0003
charnel;18;0.0008
rapprocher;9;0.0004
élixir;6;0.0003
spirituel;10;0.0004
dieu;11;0.0005
diriger;8;0.0003
subir;12;0.0005
venue;8;0.0003
voie;12;0.0005
exaspérer;11;0.0005
hérésie;6;0.0003
branle;6;0.0003
arracher;6;0.0003
salon;19;0.0008
dessert;7;0.0003
joindre;8;0.0003
battre;7;0.0003
rendre;27;0.0012
cave;7;0.0003
larve;11;0.0005
sauver;17;0.0007
maître;28;0.0012
reprendre;96;0.0041
vent;14;0.0006
adresser;21;0.0009
ensuite;9;0.0004
poisson;8;0.0003
vice;16;0.0007
beau;11;0.0005
mercure;8;0.0003
frère;6;0.0003
cour;18;0.0008
reprit;20;0.0009
affaire;14;0.0006
interdire;6;0.0003
criminel;6;0.0003
couvert;13;0.0006
annoncer;9;0.0004
souffrir;18;0.0008
air;30;0.0013
enfermer;6;0.0003
face;37;0.0016
série;8;0.0003
cidre;8;0.0003
supposer;7;0.0003
ficher;7;0.0003
exact;8;0.0003
conversation;16;0.0007
réalité;13;0.0006
convenir;8;0.0003
souffrance;8;0.0003
ordinaire;9;0.0004
terme;6;0.0003
cabinet;16;0.0007
étonnant;7;0.0003
heureux;7;0.0003
soutenir;15;0.0006
note;12;0.0005
laid;6;0.0003
exorcisme;6;0.0003
monstre;7;0.0003
chef;7;0.0003
rêve;17;0.0007
dégoût;7;0.0003
peau;13;0.0006
ami;63;0.0027
tuer;10;0.0004
mélancolique;7;0.0003
toilette;10;0.0004
muet;7;0.0003
voir;119;0.0051
entrer;27;0.0012
eau;37;0.0016
frapper;11;0.0005
revenir;33;0.0014
malade;22;0.0009
fondre;6;0.0003
dent;13;0.0006
adorer;10;0.0004
bref;7;0.0003
forcer;9;0.0004
grand;81;0.0035
verser;9;0.0004
trait;15;0.0006
diviser;8;0.0003
couverture;9;0.0004
examiner;8;0.0003
saint;65;0.0028
littérature;9;0.0004
signer;6;0.0003
suite;11;0.0005
cure;10;0.0004
ignorer;21;0.0009
famille;13;0.0006
devenir;57;0.0024
troupe;12;0.0005
naître;10;0.0004
quart;7;0.0003
poudre;15;0.0006
recevoir;23;0.001
statue;8;0.0003
nom;46;0.002
quitter;17;0.0007
récit;7;0.0003
élan;11;0.0005
matière;13;0.0006
parent;7;0.0003
sentir;37;0.0016
cher;8;0.0003
résultat;9;0.0004
bois;26;0.0011
cérémonie;10;0.0004
asseoir;38;0.0016
preuve;10;0.0004
bientôt;9;0.0004
essayer;13;0.0006
divin;15;0.0006
épervier;7;0.0003
réfugier;7;0.0003
monsieur;61;0.0026
dégager;11;0.0005
roi;24;0.001
envoûtement;12;0.0005
coiffé;6;0.0003
au-dessus;27;0.0012
connaître;72;0.0031
fabriquer;9;0.0004
affreux;17;0.0007
plaire;14;0.0006
odeur;18;0.0008
aigu;6;0.0003
prétexte;10;0.0004
paraclet;14;0.0006
vouloir;139;0.006
cheminée;14;0.0006
faux;15;0.0006
agenouiller;8;0.0003
existence;12;0.0005
tarir;7;0.0003
clou;8;0.0003
avènement;6;0.0003
piquer;8;0.0003
clergé;18;0.0008
prêter;6;0.0003
âge;20;0.0009
autel;21;0.0009
année;25;0.0011
soigner;7;0.0003
pierre;32;0.0014
supplice;8;0.0003
chrétien;7;0.0003
au-delà;7;0.0003
joie;17;0.0007
soirée;7;0.0003
évêque;28;0.0012
autant;19;0.0008
mauvais;16;0.0007
dolent;6;0.0003
imaginer;24;0.001
bruit;13;0.0006
moderne;17;0.0007
drap;6;0.0003
système;7;0.0003
répéter;9;0.0004
découverte;6;0.0003
cervelle;11;0.0005
découper;6;0.0003
suivre;14;0.0006
laver;6;0.0003
malheureux;6;0.0003
chantelouve;61;0.0026
lèvre;24;0.001
nul;7;0.0003
subitement;18;0.0008
vivre;26;0.0011
histoire;40;0.0017
bonheur;8;0.0003
décider;12;0.0005
énorme;19;0.0008
complice;7;0.0003
femme;218;0.0093
aboutir;8;0.0003
prélat;6;0.0003
dépasser;6;0.0003
intérieur;11;0.0005
victime;14;0.0006
humilité;8;0.0003
propre;18;0.0008
sec;19;0.0008
neuf;25;0.0011
chaise;15;0.0006
tenir;51;0.0022
justement;6;0.0003
vrai;38;0.0016
puissance;8;0.0003
démence;7;0.0003
midi;9;0.0004
bord;9;0.0004
vif;8;0.0003
sérieux;8;0.0003
juger;13;0.0006
liaison;13;0.0006
qualité;7;0.0003
château;36;0.0015
pis;6;0.0003
consentir;6;0.0003
oui;17;0.0007
esprit;52;0.0022
doctrine;14;0.0006
œil;18;0.0008
mal;69;0.003
avancer;18;0.0008
expression;10;0.0004
poste;8;0.0003
diocèse;9;0.0004
sai;9;0.0004
réunir;10;0.0004
parfumer;6;0.0003
rendez-vous;13;0.0006
facile;13;0.0006
élevé;12;0.0005
évidemment;15;0.0006
ordonner;8;0.0003
commencer;26;0.0011
parvenir;11;0.0005
obliger;8;0.0003
point;61;0.0026
immense;11;0.0005
mensonge;6;0.0003
paysan;7;0.0003
renouveler;6;0.0003
succubat;10;0.0004
vase;7;0.0003
toile;6;0.0003
vin;19;0.0008
crime;41;0.0018
promesse;6;0.0003
nombre;10;0.0004
entra;8;0.0003
couvent;14;0.0006
retrouver;19;0.0008
question;42;0.0018
santé;8;0.0003
fer;15;0.0006
diable;24;0.001
rein;7;0.0003
terrible;17;0.0007
sel;6;0.0003
accuser;11;0.0005
porter;18;0.0008
foi;12;0.0005
souiller;7;0.0003
coup;56;0.0024
satanique;19;0.0008
visible;6;0.0003
lieu;23;0.001
nord;6;0.0003
chapitre;28;0.0012
ennui;6;0.0003
page;17;0.0007
probe;6;0.0003
décrire;6;0.0003
acte;13;0.0006
contenir;7;0.0003
briser;8;0.0003
simple;30;0.0013
complet;12;0.0005
pointe;12;0.0005
chanoine;40;0.0017
ici;58;0.0025
évoquer;20;0.0009
maréchal;7;0.0003
accordant;7;0.0003
acheter;7;0.0003
métier;9;0.0004
plonger;7;0.0003
appel;7;0.0003
absolument;20;0.0009
poêle;10;0.0004
réserver;10;0.0004
nature;14;0.0006
commettre;16;0.0007
corps;49;0.0021
fendre;6;0.0003
gorge;8;0.0003
démon;16;0.0007
mesure;10;0.0004
démoniaque;12;0.0005
intéressant;7;0.0003
furieusement;6;0.0003
meuble;9;0.0004
créer;11;0.0005
habitude;11;0.0005
