mot;occurrence;frequence
accord;8;0.0001
ont;20;0.0004
enfin;129;0.0023
quatre;47;0.0008
pousser;17;0.0003
équipe;20;0.0004
œuvre;7;0.0001
cendrier;7;0.0001
averse;6;0.0001
rentrer;19;0.0003
tiède;15;0.0003
opposition;7;0.0001
dure;9;0.0002
rails;16;0.0003
éprouvait;14;0.0002
planches;10;0.0002
disparut;8;0.0001
foyer;16;0.0003
figure;15;0.0003
effaré;7;0.0001
procureur;9;0.0002
heureuse;22;0.0004
aise;11;0.0002
véritable;12;0.0002
tira;8;0.0001
te;49;0.0009
sœur;13;0.0002
avancement;6;0.0001
emportait;26;0.0005
homme;207;0.0036
pris;62;0.0011
livide;6;0.0001
pensait;13;0.0002
inconsciente;6;0.0001
quitta;9;0.0002
bagages;6;0.0001
gens;22;0.0004
traînait;12;0.0002
changement;13;0.0002
eurent;9;0.0002
taire;7;0.0001
détails;11;0.0002
jetant;6;0.0001
soufflait;13;0.0002
flanc;6;0.0001
dut;26;0.0005
zinc;12;0.0002
camarade;14;0.0002
lancé;10;0.0002
comprit;15;0.0003
continuer;6;0.0001
espace;7;0.0001
incendie;8;0.0001
distinctement;7;0.0001
possible;25;0.0004
poitrine;16;0.0003
causait;13;0.0002
penché;7;0.0001
libres;7;0.0001
assurer;8;0.0001
parfois;29;0.0005
croissante;10;0.0002
rouge;41;0.0007
laissée;7;0.0001
appelait;6;0.0001
paix;15;0.0003
sorti;12;0.0002
précis;9;0.0002
eut;154;0.0027
hier;9;0.0002
étonnement;8;0.0001
absolue;17;0.0003
but;7;0.0001
retenir;9;0.0002
couché;21;0.0004
eue;6;0.0001
or;20;0.0004
entier;18;0.0003
boue;6;0.0001
ivre;11;0.0002
posa;9;0.0002
avenir;10;0.0002
doigt;9;0.0002
agir;6;0.0001
tut;7;0.0001
arrêtait;9;0.0002
étroit;8;0.0001
droite;32;0.0006
aime;24;0.0004
gris;6;0.0001
longuement;11;0.0002
rocher;13;0.0002
besogne;18;0.0003
debout;69;0.0012
fille;57;0.001
honneur;7;0.0001
large;23;0.0004
glacé;7;0.0001
extrême;10;0.0002
éperdument;6;0.0001
riant;10;0.0002
assises;6;0.0001
a;282;0.0049
manche;13;0.0002
closes;6;0.0001
fardier;12;0.0002
tache;8;0.0001
dîner;10;0.0002
noire;42;0.0007
croyant;11;0.0002
bouleversé;9;0.0002
étant;32;0.0006
chargeait;7;0.0001
presque;37;0.0006
semblaient;13;0.0002
frise;13;0.0002
dû;40;0.0007
lorsqu’;127;0.0022
cent;8;0.0001
tête;147;0.0026
honte;12;0.0002
sortie;9;0.0002
aimée;9;0.0002
deux;314;0.0055
éteindre;6;0.0001
mot;24;0.0004
avais;31;0.0005
interrogatoire;11;0.0002
pouvoir;28;0.0005
épaisse;18;0.0003
retrouvé;7;0.0001
raison;24;0.0004
heures;213;0.0037
samedi;9;0.0002
tirait;6;0.0001
pieds;27;0.0005
caissier;6;0.0001
pauvre;28;0.0005
philomène;43;0.0008
finissaient;8;0.0001
voulait;60;0.0011
remarqué;6;0.0001
femmes;35;0.0006
cédant;8;0.0001
désir;53;0.0009
aimer;21;0.0004
impuissante;6;0.0001
foule;27;0.0005
montrait;19;0.0003
maîtresse;22;0.0004
mieux;49;0.0009
express;63;0.0011
gardé;9;0.0002
trente;21;0.0004
allez;13;0.0002
personnes;7;0.0001
craindre;6;0.0001
doute;80;0.0014
caresse;13;0.0002
marteau;10;0.0002
roubaud;252;0.0044
voyant;26;0.0005
lieues;12;0.0002
ardent;9;0.0002
veux;48;0.0008
