mot;occurrence;frequence
belle-sœur;9;0.0002
ont;24;0.0005
charmant;12;0.0003
emplit;6;0.0001
enfin;68;0.0015
baron;49;0.0011
quatre;33;0.0008
pousser;11;0.0003
spéculations;8;0.0002
œuvre;14;0.0003
chiffons;6;0.0001
ruissellement;9;0.0002
rentrer;13;0.0003
tiède;11;0.0003
rozan;24;0.0005
trente-six;6;0.0001
silencieuse;6;0.0001
planches;6;0.0001
éprouvait;12;0.0003
laure;45;0.001
pavé;7;0.0002
plan;20;0.0005
disparut;7;0.0002
figure;18;0.0004
aise;17;0.0004
heureuse;18;0.0004
véritable;12;0.0003
saint-jacques;8;0.0002
tira;9;0.0002
te;31;0.0007
sœur;28;0.0006
fortes;9;0.0002
trottoirs;15;0.0003
sylvia;24;0.0005
emportait;8;0.0002
homme;184;0.0042
pris;26;0.0006
pensait;10;0.0002
ennuie;6;0.0001
allumaient;7;0.0002
quitta;7;0.0002
gens;36;0.0008
traînait;9;0.0002
aimaient;6;0.0001
eurent;11;0.0003
détails;12;0.0003
jetant;10;0.0002
dut;18;0.0004
camarade;6;0.0001
comprit;10;0.0002
possible;12;0.0003
poitrine;16;0.0004
causait;12;0.0003
tracé;6;0.0001
traversant;6;0.0001
parfois;34;0.0008
obligée;8;0.0002
rouge;37;0.0008
réussi;9;0.0002
appelait;12;0.0003
envoyer;9;0.0002
délicatement;9;0.0002
paix;8;0.0002
eut;114;0.0026
hier;12;0.0003
étonnement;8;0.0002
absolue;10;0.0002
couché;7;0.0002
financier;8;0.0002
brutalité;9;0.0002
or;77;0.0018
entier;6;0.0001
écho;26;0.0006
voluptés;7;0.0002
avenir;9;0.0002
doigt;14;0.0003
tut;7;0.0002
étroit;11;0.0003
trous;9;0.0002
curiosités;7;0.0002
droite;26;0.0006
aime;22;0.0005
gris;22;0.0005
longuement;7;0.0002
législatif;6;0.0001
debout;29;0.0007
fille;78;0.0018
large;30;0.0007
glacé;8;0.0002
suzanne;18;0.0004
payé;9;0.0002
forme;7;0.0002
riant;19;0.0004
mou;7;0.0002
tes;12;0.0003
personnages;10;0.0002
chaises;12;0.0003
a;135;0.0031
brutal;11;0.0003
voisin;6;0.0001
çà;11;0.0003
tache;10;0.0002
dîner;13;0.0003
noire;25;0.0006
croyant;9;0.0002
étant;6;0.0001
désirs;18;0.0004
presque;39;0.0009
semblaient;19;0.0004
dû;29;0.0007
caprice;7;0.0002
causeuse;8;0.0002
lorsqu’;54;0.0012
tête;141;0.0032
honte;19;0.0004
sortie;15;0.0003
cent;76;0.0017
deux;259;0.0059
mot;35;0.0008
avais;21;0.0005
ivresse;8;0.0002
discret;7;0.0002
pépinière;14;0.0003
pouvoir;14;0.0003
raison;12;0.0003
heures;44;0.001
tirait;7;0.0002
ouvraient;13;0.0003
pieds;40;0.0009
pauvre;46;0.001
charrier;33;0.0008
rare;6;0.0001
voulait;42;0.001
creusait;9;0.0002
locataires;7;0.0002
cavaliers;8;0.0002
femmes;91;0.0021
désir;23;0.0005
aimer;7;0.0002
foule;19;0.0004
montrait;14;0.0003
maîtresse;15;0.0003
mieux;22;0.0005
louis;12;0.0003
trente;8;0.0002
allez;18;0.0004
personnes;9;0.0002
choisir;6;0.0001
doute;34;0.0008
comédie;6;0.0001
étalait;12;0.0003
voyant;14;0.0003
rez-de-chaussée;8;0.0002
art;7;0.0002
veux;49;0.0011
dettes;7;0.0002
vieux;29;0.0007
duchesse;13;0.0003
maigre;9;0.0002
furent;20;0.0005
demi-jour;9;0.0002
clartés;13;0.0003
robes;18;0.0004
allongeait;11;0.0003
rappelait;13;0.0003
aimable;9;0.0002
mettait;32;0.0007
répondre;13;0.0003
balbutia;8;0.0002
sourd;6;0.0001
opération;8;0.0002
mois;45;0.001
arrêté;8;0.0002
galant;10;0.0002
causaient;6;0.0001
vivait;15;0.0003
poches;12;0.0003
trot;11;0.0003
instinct;6;0.0001
mauve;6;0.0001
première;19;0.0004
temps;49;0.0011
madeleine;8;0.0002
couleur;22;0.0005
nouvelles;13;0.0003
groupes;11;0.0003
céda;6;0.0001
bénéfices;12;0.0003
forte;17;0.0004
verdures;12;0.0003
inquiétait;7;0.0002
cadeau;6;0.0001
fait;112;0.0025
côtés;8;0.0002
magasin;8;0.0002
sou;11;0.0003
étonnante;8;0.0002
devenaient;6;0.0001
rondeurs;6;0.0001
impératrice;6;0.0001
bleuâtre;10;0.0002
clarté;14;0.0003
mauvaise;8;0.0002
sembla;7;0.0002
député;8;0.0002
sidonie;41;0.0009
michelin;32;0.0007
dites;8;0.0002
payer;13;0.0003
mit;41;0.0009
roulement;10;0.0002
main;100;0.0023
boulevard;58;0.0013
folle;18;0.0004
géante;6;0.0001
singulière;8;0.0002
instant;30;0.0007
approcha;9;0.0002
donnait;31;0.0007
fête;6;0.0001
crépuscule;12;0.0003
bras;94;0.0021
tenant;13;0.0003
emplissait;20;0.0005
sensation;6;0.0001
grands;60;0.0014
occasion;8;0.0002
joies;18;0.0004
rester;13;0.0003
masse;6;0.0001
rapide;9;0.0002
paysage;10;0.0002
remit;9;0.0002
admiration;13;0.0003
goûtait;7;0.0002
vives;13;0.0003
longue;25;0.0006
disant;36;0.0008
demander;16;0.0004
décidément;7;0.0002
traitait;8;0.0002
pays;6;0.0001
bien;204;0.0046
tombait;20;0.0005
tendus;9;0.0002
épaules;66;0.0015
prenant;12;0.0003
connaissez;9;0.0002
grimace;6;0.0001
tapage;13;0.0003
tuileries;14;0.0003
parlaient;9;0.0002
passer;21;0.0005
malaise;7;0.0002
sorte;21;0.0005
dossier;8;0.0002
vestibule;10;0.0002
vaste;11;0.0003
ambassade;6;0.0001
couchée;6;0.0001
joues;14;0.0003
fleur;17;0.0004
traversait;7;0.0002
livrée;10;0.0002
dit;220;0.005
flamboiement;6;0.0001
chemin;10;0.0002
ouverte;10;0.0002
voler;6;0.0001
regarda;34;0.0008
pièces;52;0.0012
croyait;18;0.0004
quant;13;0.0003
huissier;7;0.0002
sottise;6;0.0001
habitait;8;0.0002
verre;13;0.0003
spectacle;8;0.0002
rues;11;0.0003
millions;23;0.0005
ainsi;50;0.0011
colonnes;9;0.0002
mondaine;6;0.0001
indifférence;6;0.0001
fort;39;0.0009
étage;12;0.0003
seconde;12;0.0003
pont;9;0.0002
boulevards;12;0.0003
gaieté;15;0.0003
couples;9;0.0002
pas;666;0.0152
noires;11;0.0003
passé;10;0.0002
roulaient;8;0.0002
prêt;7;0.0002
gagner;9;0.0002
achevait;9;0.0002
entaille;7;0.0002
endroit;7;0.0002
avenue;11;0.0003
légers;9;0.0002
mouvement;17;0.0004
avez;31;0.0007
oubliait;11;0.0003
dormait;6;0.0001
regards;23;0.0005
habile;6;0.0001
vol;9;0.0002
éclat;14;0.0003
six;18;0.0004
regardait;62;0.0014
nuits;11;0.0003
avançait;8;0.0002
brune;8;0.0002
rôle;17;0.0004
tant;34;0.0008
fou;13;0.0003
tous;81;0.0018
mmede;7;0.0002
vierge;6;0.0001
fixement;6;0.0001
bah;7;0.0002
nappes;6;0.0001
es;9;0.0002
gardait;13;0.0003
guère;14;0.0003
offre;8;0.0002
voitures;33;0.0008
songea;11;0.0003
lentement;24;0.0005
gênée;8;0.0002
baiser;8;0.0002
surprise;16;0.0004
fruits;6;0.0001
huit;19;0.0004
cherchait;17;0.0004
voluptueux;7;0.0002
peur;27;0.0006
partout;10;0.0002
remonta;8;0.0002
