mot;occurrence;frequence
détour;7;0.0002
nu;52;0.0013
charmant;6;0.0001
pousser;98;0.0024
œuvre;6;0.0001
rir;33;0.0008
tribune;6;0.0001
questionner;7;0.0002
souple;18;0.0004
averse;10;0.0002
ruissellement;10;0.0002
rentrer;24;0.0006
tiède;21;0.0005
lapin;23;0.0006
rive;8;0.0002
précaution;8;0.0002
siècle;8;0.0002
sournoisement;6;0.0001
figure;21;0.0005
verger;17;0.0004
luire;11;0.0003
véritable;8;0.0002
aise;14;0.0003
effacer;9;0.0002
écurie;18;0.0004
sœur;30;0.0007
emportait;6;0.0001
prononcer;9;0.0002
gai;7;0.0002
homme;82;0.002
confier;11;0.0003
taire;37;0.0009
flanc;10;0.0002
confesser;9;0.0002
lavande;6;0.0001
langue;14;0.0003
camarade;6;0.0001
continuer;63;0.0015
incendie;8;0.0002
poitrine;49;0.0012
assurer;19;0.0005
rouge;56;0.0014
envoyer;17;0.0004
inventer;7;0.0002
paix;35;0.0009
chardon;8;0.0002
hier;9;0.0002
ricaner;8;0.0002
ramener;11;0.0003
retenir;16;0.0004
nuée;7;0.0002
entier;45;0.0011
boue;6;0.0001
farce;7;0.0002
doigt;48;0.0012
étroit;16;0.0004
case;6;0.0001
droite;37;0.0009
aime;26;0.0006
gris;30;0.0007
désespérémer;6;0.0001
longuement;11;0.0003
besogne;8;0.0002
rocher;12;0.0003
fille;111;0.0027
large;58;0.0014
canard;13;0.0003
femelle;7;0.0002
effronté;7;0.0002
mou;10;0.0002
manche;8;0.0002
voisin;12;0.0003
tache;30;0.0007
dîner;7;0.0002
noire;8;0.0002
éclabousser;6;0.0001
presque;35;0.0009
caprice;6;0.0001
lorsqu’;86;0.0021
tête;182;0.0045
honte;13;0.0003
ranger;6;0.0001
serein;11;0.0003
éteindre;11;0.0003
mot;42;0.001
ivresse;6;0.0001
délicieux;8;0.0002
discret;10;0.0002
pénétrer;7;0.0002
réveiller;10;0.0002
pouvoir;69;0.0017
hanche;8;0.0002
rudesse;6;0.0001
raison;15;0.0004
pauvre;25;0.0006
rare;6;0.0001
religieux;8;0.0002
cimetière;31;0.0008
aimer;141;0.0035
désir;37;0.0009
foule;14;0.0003
maîtresse;8;0.0002
mieux;43;0.0011
voile;20;0.0005
craindre;13;0.0003
boucher;13;0.0003
cabriolet;18;0.0004
caresse;37;0.0009
doute;19;0.0005
voyant;16;0.0004
adosser;8;0.0002
respirer;18;0.0004
ardent;32;0.0008
veux;13;0.0003
battement;12;0.0003
chasuble;13;0.0003
barrière;8;0.0002
vieux;66;0.0016
maigre;11;0.0003
rafraîchir;7;0.0002
saule;17;0.0004
supérieur;6;0.0001
répondre;74;0.0018
balbutia;17;0.0004
sourd;13;0.0003
mois;19;0.0005
maladie;10;0.0002
séve;16;0.0004
esclave;7;0.0002
docteur;53;0.0013
temps;48;0.0012
âme;17;0.0004
couleur;18;0.0004
égarer;9;0.0002
soulager;14;0.0003
tremper;18;0.0004
plaindre;6;0.0001
fait;11;0.0003
prolonger;7;0.0002
gras;22;0.0005
serrer;46;0.0011
clarté;19;0.0005
église;150;0.0037
usage;8;0.0002
curé;108;0.0027
remonter;15;0.0004
mentir;9;0.0002
rêver;27;0.0007
orgue;6;0.0001
pieux;7;0.0002
vêtement;14;0.0003
atteindre;7;0.0002
main;255;0.0063
bec;14;0.0003
fauve;13;0.0003
lointain;11;0.0003
pétale;9;0.0002
repos;8;0.0002
instant;62;0.0015
couper;34;0.0008
fête;6;0.0001
crépuscule;15;0.0004
fouet;9;0.0002
bras;165;0.0041
napp;8;0.0002
fouiller;11;0.0003
sensation;11;0.0003
stupeur;6;0.0001
soulever;22;0.0005
ange;15;0.0004
naturel;16;0.0004
jésus;21;0.0005
rester;169;0.0042
masse;12;0.0003
chat;8;0.0002
muscle;7;0.0002
muraill;8;0.0002
balayer;7;0.0002
admiration;6;0.0001
disant;7;0.0002
tas;32;0.0008
demander;69;0.0017
échappée;9;0.0002
pays;36;0.0009
bien;296;0.0073
tapage;10;0.0002
lier;9;0.0002
souffler;35;0.0009
passer;127;0.0031
malaise;8;0.0002
sorte;15;0.0004
prétendre;8;0.0002
paille;17;0.0004
vaste;14;0.0003
printemps;10;0.0002
barrer;12;0.0003
fleur;124;0.003
abomination;7;0.0002
chemin;51;0.0013
violemment;17;0.0004
renverser;36;0.0009
feuille;73;0.0018
regarda;11;0.0003
voler;23;0.0006
appuyer;12;0.0003
taper;35;0.0009
fraise;6;0.0001
verre;14;0.0003
cime;6;0.0001
oncle;38;0.0009
extraordinaire;18;0.0004
gonfler;6;0.0001
inonder;7;0.0002
fort;94;0.0023
ramper;9;0.0002
dresser;14;0.0003
prêt;7;0.0002
gaieté;18;0.0004
interminable;7;0.0002
passé;6;0.0001
gagner;10;0.0002
pouce;7;0.0002
endroit;13;0.0003
traîner;24;0.0006
pousse;7;0.0002
mouvement;7;0.0002
violence;9;0.0002
prairie;20;0.0005
vol;21;0.0005
éclat;15;0.0004
fou;15;0.0004
tombe;10;0.0002
solennel;6;0.0001
effrayer;9;0.0002
poule;51;0.0013
vierge;51;0.0013
califourchon;6;0.0001
reposer;10;0.0002
guère;9;0.0002
tacher;11;0.0003
apprendre;21;0.0005
lentement;46;0.0011
surprise;11;0.0003
baiser;83;0.002
souverain;12;0.0003
peur;66;0.0016
partout;31;0.0008
mousse;11;0.0003
déranger;16;0.0004
membre;59;0.0014
sérénité;15;0.0004
tonsure;8;0.0002
davantage;41;0.001
regret;6;0.0001
déjeuner;19;0.0005
comprendre;25;0.0006
ordre;7;0.0002
image;21;0.0005
avaler;7;0.0002
dou;11;0.0003
odorant;10;0.0002
chasser;13;0.0003
distinguer;13;0.0003
ensemble;14;0.0003
tromper;8;0.0002
tempe;12;0.0003
albine;112;0.0028
angoisse;17;0.0004
pur;19;0.0005
répéta;6;0.0001
jamais;117;0.0029
exhaler;13;0.0003
ras;7;0.0002
coq;16;0.0004
certainement;9;0.0002
fleurir;8;0.0002
allumer;23;0.0006
quarantaine;8;0.0002
murmure;14;0.0003
presser;8;0.0002
patte;24;0.0006
futaie;17;0.0004
coupable;7;0.0002
arbuste;7;0.0002
pelouse;6;0.0001
souriant;6;0.0001
lait;19;0.0005
trop;81;0.002
basse-cour;35;0.0009
fond;117;0.0029
païen;7;0.0002
désespérer;11;0.0003
attendrissement;9;0.0002
reculer;15;0.0004
oublier;38;0.0009
flot;15;0.0004
court;22;0.0005
folie;6;0.0001
monstrueux;7;0.0002
portée;8;0.0002
saleté;8;0.0002
courir;49;0.0012
rosée;6;0.0001
être;261;0.0064
route;39;0.001
immaculé;7;0.0002
laisser;133;0.0033
petit;225;0.0055
haut;77;0.0019
journée;34;0.0008
barbe;10;0.0002
allégresse;7;0.0002
duvet;9;0.0002
moineal;6;0.0001
arriver;67;0.0016
blesser;7;0.0002
vert;26;0.0006
tranquille;25;0.0006
lever;101;0.0025
religion;7;0.0002
oreille;47;0.0012
pensée;21;0.0005
rejoindre;9;0.0002
cou;71;0.0017
front;33;0.0008
nuit;76;0.0019
