mot;occurrence;frequence
glace;6;0.0007
nu;7;0.0008
état;12;0.0014
sexe;8;0.0009
froid;8;0.0009
séparer;6;0.0007
pousser;9;0.001
ciel;12;0.0014
soir;11;0.0013
chemise;8;0.0009
bouquet;7;0.0008
force;10;0.0011
lendemain;8;0.0009
rentrer;7;0.0008
mener;6;0.0007
prostitution;19;0.0022
an;16;0.0018
noir;42;0.0048
papier;16;0.0018
beaucoup;9;0.001
cœur;20;0.0023
pareil;7;0.0008
promener;12;0.0014
pavé;8;0.0009
oui;9;0.001
loin;15;0.0017
remplir;6;0.0007
œil;11;0.0013
figure;14;0.0016
sage;17;0.0019
douleur;8;0.0009
mal;15;0.0017
esprit;8;0.0009
auprès;6;0.0007
avancer;10;0.0011
arbre;16;0.0018
sœur;31;0.0035
bête;9;0.001
échapper;8;0.0009
immobilité;6;0.0007
mettre;53;0.006
homme;94;0.0107
ombre;13;0.0015
colère;14;0.0016
épaule;7;0.0008
volonté;8;0.0009
médecin;6;0.0007
commencer;21;0.0024
résolution;6;0.0007
promenade;11;0.0013
mur;30;0.0034
raconter;7;0.0008
continuer;8;0.0009
passion;6;0.0007
milieu;52;0.0059
paysan;6;0.0007
vin;9;0.001
étrange;7;0.0008
humanité;6;0.0007
contact;9;0.001
témoigner;6;0.0007
nombre;9;0.001
rouge;20;0.0023
linge;13;0.0015
cheveu;14;0.0016
madras;6;0.0007
retrouver;10;0.0011
terminer;6;0.0007
banquette;6;0.0007
fer;17;0.0019
enfoncer;6;0.0007
retenir;8;0.0009
accuser;6;0.0007
porter;22;0.0025
foi;7;0.0008
furieux;6;0.0007
entier;8;0.0009
coup;52;0.0059
militaire;10;0.0011
lueur;10;0.0011
doigt;19;0.0022
lieu;23;0.0026
libre;7;0.0008
éprouver;9;0.001
étroit;7;0.0008
droite;10;0.0011
humain;17;0.0019
vendre;6;0.0007
gris;11;0.0013
longuement;7;0.0008
apparaître;8;0.0009
passage;11;0.0013
fille;97;0.0111
ennui;6;0.0007
faire;116;0.0132
travers;13;0.0015
acte;7;0.0008
mère;50;0.0057
condamner;18;0.0021
permettre;10;0.0011
plaisir;16;0.0018
bas;9;0.001
aller;32;0.0036
continu;7;0.0008
bouche;27;0.0031
voisin;7;0.0008
ténèbre;9;0.001
banc;9;0.001
peindre;9;0.001
voiture;8;0.0009
trouver;46;0.0052
profession;7;0.0008
ici;10;0.0011
garde;7;0.0008
emporter;9;0.001
là;7;0.0008
presque;25;0.0028
cerveau;8;0.0009
sac;6;0.0007
mêler;11;0.0013
sortie;14;0.0016
tête;61;0.007
imagination;11;0.0013
mot;22;0.0025
métier;17;0.0019
ivresse;7;0.0008
manger;15;0.0017
réveiller;6;0.0007
prisonnier;24;0.0027
pouvoir;15;0.0017
rappeler;12;0.0014
oh;10;0.0011
raison;8;0.0009
pauvre;12;0.0014
parole;53;0.006
tirer;10;0.0011
gauche;6;0.0007
remarquer;6;0.0007
nature;17;0.0019
geste;16;0.0018
rare;7;0.0008
religieux;7;0.0008
fin;15;0.0017
chose;60;0.0068
secret;16;0.0018
bel;9;0.001
cimetière;8;0.0009
aimer;26;0.003
désir;7;0.0008
corps;51;0.0058
venir;43;0.0049
arrivée;6;0.0007
maîtresse;10;0.0011
amant;14;0.0016
bourgeois;6;0.0007
pantalon;6;0.0007
caresse;12;0.0014
inconnu;6;0.0007
soleil;10;0.0011
obtenir;10;0.0011
compagnie;6;0.0007
tendre;8;0.0009
approcher;7;0.0008
champ;8;0.0009
habitude;18;0.0021
police;11;0.0013
pied;17;0.0019
gros;18;0.0021
rue;34;0.0039
fillette;6;0.0007
barrière;11;0.0013
village;9;0.001
vieux;51;0.0058
produire;7;0.0008
pencher;6;0.0007
coude;7;0.0008
silence;23;0.0026
attacher;10;0.0011
maison;103;0.0117
non;19;0.0022
terreur;6;0.0007
falloir;17;0.0019
curiosité;9;0.001
supérieur;18;0.0021
tard;7;0.0008
rire;14;0.0016
sujet;9;0.001
répondre;9;0.001
mois;24;0.0027
sang;12;0.0014
chair;13;0.0015
maladie;11;0.0013
marcher;13;0.0015
rayon;6;0.0007
apporter;18;0.0021
déclarer;7;0.0008
perdre;19;0.0022
pâle;13;0.0015
numéro;16;0.0018
bout;31;0.0035
envie;6;0.0007
vide;11;0.0013
ancien;21;0.0024
chapeau;11;0.0013
créature;18;0.0021
amour;38;0.0043
étonner;6;0.0007
