mot;occurrence;frequence
nu;14;0.0003
pousser;55;0.0013
œuvre;11;0.0003
rir;7;0.0002
questionner;6;0.0001
souple;6;0.0001
rentrer;42;0.001
tiède;14;0.0003
rive;8;0.0002
courrier;6;0.0001
précaution;7;0.0002
pavé;8;0.0002
siècle;10;0.0002
plan;15;0.0004
figure;13;0.0003
effaré;10;0.0002
luire;10;0.0002
véritable;10;0.0002
aise;12;0.0003
effacer;8;0.0002
sœur;14;0.0003
prononcer;17;0.0004
extrémité;6;0.0001
homme;324;0.0078
confier;10;0.0002
taire;21;0.0005
confesser;6;0.0001
langue;11;0.0003
camarade;19;0.0005
pèr;7;0.0002
comprit;6;0.0001
continuer;64;0.0015
réfléchir;10;0.0002
tulette;6;0.0001
poitrine;20;0.0005
tailler;8;0.0002
assurer;16;0.0004
nuire;6;0.0001
rouge;54;0.0013
envoyer;32;0.0008
inventer;13;0.0003
paix;19;0.0005
précis;6;0.0001
hier;6;0.0001
étonnement;12;0.0003
ricaner;7;0.0002
ramener;17;0.0004
retenir;18;0.0004
seau;8;0.0002
futur;7;0.0002
entier;43;0.001
ivre;6;0.0001
épouvanter;7;0.0002
écho;10;0.0002
doigt;23;0.0006
agir;19;0.0005
avenir;6;0.0001
résoudre;8;0.0002
étroit;14;0.0003
sinistre;10;0.0002
droite;26;0.0006
gris;14;0.0003
longuement;16;0.0004
besogne;25;0.0006
endormi;8;0.0002
fille;115;0.0028
honneur;13;0.0003
large;47;0.0011
bagne;10;0.0002
condamner;6;0.0001
héroïque;7;0.0002
forme;11;0.0003
mou;9;0.0002
difficile;8;0.0002
brutal;8;0.0002
voisin;37;0.0009
bataillon;12;0.0003
tache;17;0.0004
dîner;19;0.0005
presque;37;0.0009
lorsqu’;61;0.0015
cent;21;0.0005
secrètement;9;0.0002
tête;172;0.0041
honte;22;0.0005
ranger;11;0.0003
mot;53;0.0013
éteindre;7;0.0002
délicieux;7;0.0002
ivresse;8;0.0002
discret;12;0.0003
pénétrer;19;0.0005
réveiller;16;0.0004
justin;14;0.0003
pouvoir;125;0.003
raison;27;0.0006
pauvre;87;0.0021
rare;16;0.0004
religieux;7;0.0002
user;17;0.0004
cimetière;21;0.0005
aimer;62;0.0015
désir;30;0.0007
foule;33;0.0008
maîtresse;12;0.0003
mieux;53;0.0013
choisir;15;0.0004
grotesque;8;0.0002
craindre;25;0.0006
doute;48;0.0012
caresse;13;0.0003
marteau;14;0.0003
voyant;33;0.0008
ardent;23;0.0006
veux;8;0.0002
vieux;134;0.0032
maigre;14;0.0003
terrifier;6;0.0001
saule;6;0.0001
supérieur;8;0.0002
répondre;74;0.0018
balbutia;6;0.0001
sourd;24;0.0006
conservateur;14;0.0003
mois;35;0.0008
puiser;6;0.0001
héros;15;0.0004
déclarer;26;0.0006
lanterne;6;0.0001
légitimiste;8;0.0002
délicatesse;7;0.0002
instinct;15;0.0004
temps;80;0.0019
âme;8;0.0002
forçat;6;0.0001
couleur;8;0.0002
traiter;28;0.0007
tempérament;10;0.0002
égarer;10;0.0002
soulager;6;0.0001
fait;16;0.0004
plaindre;14;0.0003
sou;18;0.0004
gras;21;0.0005
colonel;9;0.0002
négociant;7;0.0002
serrer;47;0.0011
silvère;10;0.0002
clarté;32;0.0008
intérêt;16;0.0004
sembla;9;0.0002
remonter;13;0.0003
carrémer;7;0.0002
payer;24;0.0006
mentir;8;0.0002
rêver;37;0.0009
vêtement;18;0.0004
roulement;8;0.0002
main;179;0.0043
atteindre;8;0.0002
fauve;6;0.0001
lointain;12;0.0003
poulie;6;0.0001
