mot;occurrence;frequence
ont;24;0.0005
action;11;0.0002
enfin;128;0.0024
quatre;37;0.0007
pousser;10;0.0002
soutenait;6;0.0001
loulou;8;0.0002
œuvre;20;0.0004
responsabilité;6;0.0001
rentrer;14;0.0003
précaution;8;0.0002
éprouvait;27;0.0005
planches;14;0.0003
monte;10;0.0002
plan;7;0.0001
figure;13;0.0002
effaré;6;0.0001
taisait;7;0.0001
véritable;7;0.0001
heureuse;25;0.0005
aise;8;0.0002
emportait;28;0.0005
sœur;8;0.0002
te;73;0.0014
secoué;6;0.0001
gamine;16;0.0003
prononcer;6;0.0001
gai;9;0.0002
homme;128;0.0024
subvention;8;0.0002
pris;51;0.001
livide;9;0.0002
promenades;9;0.0002
pensait;8;0.0002
supplications;7;0.0001
traînait;10;0.0002
gens;43;0.0008
taire;18;0.0003
soufflait;15;0.0003
détails;19;0.0004
dut;30;0.0006
langue;14;0.0003
camarade;6;0.0001
coquette;7;0.0001
comprit;6;0.0001
continuer;6;0.0001
tourmal;7;0.0001
possible;38;0.0007
poitrine;17;0.0003
causait;7;0.0001
plaignait;11;0.0002
parfois;35;0.0007
laissée;7;0.0001
croissante;11;0.0002
rouge;31;0.0006
appelait;11;0.0002
envoyer;10;0.0002
paix;26;0.0005
sorti;8;0.0002
eut;129;0.0025
supplie;9;0.0002
hier;15;0.0003
couché;8;0.0002
retenir;12;0.0002
or;6;0.0001
posa;9;0.0002
entier;18;0.0003
papa;11;0.0002
avenir;13;0.0002
agir;9;0.0002
arrêtait;7;0.0001
étroit;9;0.0002
droite;22;0.0004
échappa;6;0.0001
aime;24;0.0005
longuement;11;0.0002
besogne;13;0.0002
debout;43;0.0008
parfaite;6;0.0001
thibaudier;8;0.0002
honneur;8;0.0002
fille;163;0.0031
poussant;7;0.0001
accès;23;0.0004
large;20;0.0004
canard;6;0.0001
riant;16;0.0003
comptes;14;0.0003
tes;18;0.0003
a;227;0.0043
difficile;8;0.0002
dîner;28;0.0005
noire;21;0.0004
croyant;11;0.0002
bouleversé;8;0.0002
dû;27;0.0005
semblaient;15;0.0003
presque;18;0.0003
lorsqu’;121;0.0023
cent;35;0.0007
promenant;6;0.0001
aimée;7;0.0001
honte;24;0.0005
sortie;8;0.0002
tête;148;0.0028
deux;203;0.0039
mot;38;0.0007
avais;30;0.0006
néant;13;0.0002
réveiller;7;0.0001
pouvoir;19;0.0004
raison;37;0.0007
heures;111;0.0021
samedi;25;0.0005
tirait;6;0.0001
pieds;44;0.0008
pauvre;75;0.0014
voulait;55;0.001
cimetière;10;0.0002
femmes;24;0.0005
cousine;38;0.0007
aimer;19;0.0004
cédant;7;0.0001
désir;28;0.0005
montrait;18;0.0003
maîtresse;10;0.0002
mieux;56;0.0011
voile;7;0.0001
gardé;7;0.0001
trente;13;0.0002
allez;21;0.0004
choisir;6;0.0001
boucher;8;0.0002
cabriolet;14;0.0003
caresse;12;0.0002
doute;62;0.0012
voyant;22;0.0004
ordonnance;6;0.0001
veux;86;0.0016
pension;10;0.0002
vieux;46;0.0009
sombres;6;0.0001
maigre;8;0.0002
abandonnée;6;0.0001
furent;28;0.0005
