mot;occurrence;frequence
oblique;7;0.0001
nu;14;0.0003
charmant;12;0.0002
action;139;0.0028
pousser;45;0.0009
œuvre;60;0.0012
rir;11;0.0002
obscur;9;0.0002
questionner;7;0.0001
averse;6;0.0001
rentrer;38;0.0008
opposition;8;0.0002
culbuter;9;0.0002
pavé;21;0.0004
siècle;18;0.0004
projeter;7;0.0001
éclatant;6;0.0001
plan;29;0.0006
figure;19;0.0004
véritable;24;0.0005
procureur;7;0.0001
aise;13;0.0003
effacer;13;0.0003
catholique;23;0.0005
tribunal;7;0.0001
écurie;9;0.0002
sœur;30;0.0006
emportait;6;0.0001
prononcer;9;0.0002
gai;20;0.0004
homme;257;0.0053
huret;16;0.0003
obligation;6;0.0001
livide;6;0.0001
canal;6;0.0001
confier;14;0.0003
taire;20;0.0004
différence;18;0.0004
confesser;8;0.0002
langue;10;0.0002
central;10;0.0002
manière;7;0.0001
camarade;7;0.0001
récrier;6;0.0001
continuer;79;0.0016
incendie;6;0.0001
réfléchir;18;0.0004
travailleur;6;0.0001
pape;18;0.0004
conquête;17;0.0003
poitrine;6;0.0001
tracé;6;0.0001
assurer;39;0.0008
augmentation;18;0.0004
rouge;29;0.0006
envoyer;43;0.0009
inventer;6;0.0001
légendaire;6;0.0001
paix;16;0.0003
frappé;6;0.0001
hier;9;0.0002
étonnement;6;0.0001
baisse;36;0.0007
ramener;12;0.0002
but;18;0.0004
flair;15;0.0003
retenir;7;0.0001
financier;37;0.0008
brutalité;6;0.0001
dividende;9;0.0002
nuée;6;0.0001
futur;6;0.0001
entier;53;0.0011
boue;27;0.0006
papa;15;0.0003
centaine;14;0.0003
doigt;22;0.0005
agir;29;0.0006
avenir;24;0.0005
résoudre;18;0.0004
étroit;12;0.0002
droite;15;0.0003
gris;7;0.0001
longuement;7;0.0001
entièrement;8;0.0002
besogne;22;0.0005
fille;137;0.0028
honneur;16;0.0003
concierge;7;0.0001
accès;8;0.0002
large;38;0.0008
extrême;11;0.0002
condamner;16;0.0003
déclaration;6;0.0001
héroïque;6;0.0001
important;7;0.0001
forme;12;0.0002
actuel;7;0.0001
difficile;13;0.0003
brutal;10;0.0002
voisin;42;0.0009
entamer;7;0.0001
dîner;15;0.0003
tache;8;0.0002
éperdre;6;0.0001
économie;19;0.0004
presque;30;0.0006
caprice;6;0.0001
lorsqu’;91;0.0019
cent;126;0.0026
tête;113;0.0023
honte;17;0.0003
ranger;9;0.0002
relier;6;0.0001
mot;73;0.0015
pourrir;11;0.0002
délicieux;9;0.0002
discret;8;0.0002
pénétrer;16;0.0003
prospérité;14;0.0003
pouvoir;118;0.0024
raison;46;0.0009
pauvre;88;0.0018
terreau;6;0.0001
rare;12;0.0002
religieux;7;0.0001
user;10;0.0002
aimer;63;0.0013
janvier;7;0.0001
désir;32;0.0007
foule;37;0.0008
inscrire;13;0.0003
maîtresse;20;0.0004
mieux;34;0.0007
effondrement;10;0.0002
botte;6;0.0001
choisir;10;0.0002
craindre;15;0.0003
boucher;10;0.0002
fonctionner;6;0.0001
caresse;8;0.0002
doute;83;0.0017
censeur;7;0.0001
voyant;17;0.0003
dépense;10;0.0002
rez-de-chaussée;15;0.0003
coteur;6;0.0001
ardent;21;0.0004
fiche;28;0.0006
véreux;6;0.0001
bonbon;6;0.0001
fillette;11;0.0002
vieux;69;0.0014
maigre;15;0.0003
capitaine;20;0.0004
solidité;8;0.0002
revanche;6;0.0001
entreprendre;7;0.0001
supérieur;7;0.0001
aimable;21;0.0004
répondre;47;0.001
sourd;10;0.0002
considérer;6;0.0001
opération;40;0.0008
mois;98;0.002
galant;6;0.0001
maladie;7;0.0001
déclarer;36;0.0007
fonder;14;0.0003
numéro;7;0.0001
exposition;15;0.0003
temps;87;0.0018
âme;16;0.0003
couleur;8;0.0002
final;12;0.0002
traiter;19;0.0004
immédiat;10;0.0002
admettre;10;0.0002
reconnaissance;17;0.0003
cadeau;12;0.0002
soulager;11;0.0002
fait;48;0.001
magasin;7;0.0001
sou;30;0.0006
gras;9;0.0002
spéculateur;15;0.0003
serrer;40;0.0008
clarté;8;0.0002
fatal;13;0.0003
usage;6;0.0001
intérêt;36;0.0007
député;19;0.0004
remonter;33;0.0007
payer;107;0.0022
mentir;12;0.0002
rêver;18;0.0004
vêtement;6;0.0001
atteindre;15;0.0003
main;188;0.0039
boulevard;16;0.0003
lointain;10;0.0002
héritage;11;0.0002
singulière;6;0.0001
instant;58;0.0012
couper;13;0.0003
maintenir;6;0.0001
fête;18;0.0004
code;7;0.0001
fuite;9;0.0002
monument;8;0.0002
bras;38;0.0008
fil;7;0.0001
fouiller;13;0.0003
sensation;20;0.0004
stupeur;7;0.0001
soulever;13;0.0003
occasion;12;0.0002
naturel;15;0.0003
rester;162;0.0033
masse;11;0.0002
principe;8;0.0002
rapide;21;0.0004
trahison;10;0.0002
balayer;15;0.0003
admiration;12;0.0002
opérer;8;0.0002
malheur;20;0.0004
tas;22;0.0005
demander;78;0.0016
décidément;10;0.0002
pays;20;0.0004
