mot;occurrence;frequence
nu;15;0.0002
roulé;7;0.0001
belle-sœur;7;0.0001
invités;9;0.0001
ont;40;0.0005
pendaient;6;0.0001
enfin;157;0.0021
quatre;123;0.0016
pousser;15;0.0002
’;8;0.0001
averse;8;0.0001
rentrer;22;0.0003
tiède;7;0.0001
lapin;12;0.0002
dure;9;0.0001
trente-six;6;0.0001
centaines;6;0.0001
éprouvait;7;0.0001
planches;6;0.0001
pavé;39;0.0005
comprenant;6;0.0001
sournoisement;7;0.0001
plan;6;0.0001
figure;69;0.0009
travaille;6;0.0001
aise;23;0.0003
heureuse;26;0.0003
taisait;6;0.0001
clémence;76;0.001
causa;8;0.0001
tira;9;0.0001
te;42;0.0006
sœur;36;0.0005
emportait;6;0.0001
trottoirs;19;0.0003
lavoir;34;0.0005
gamine;13;0.0002
supplia;8;0.0001
cœurs;6;0.0001
gai;7;0.0001
homme;170;0.0023
pris;59;0.0008
cassée;13;0.0002
pensait;11;0.0001
fripouille;7;0.0001
torchons;10;0.0001
allumaient;6;0.0001
ménages;9;0.0001
quitta;6;0.0001
gens;72;0.001
buvaient;7;0.0001
traînait;19;0.0003
eurent;17;0.0002
mangerait;7;0.0001
taire;9;0.0001
détails;15;0.0002
jetant;10;0.0001
soufflait;18;0.0002
allongée;6;0.0001
dut;34;0.0005
langue;16;0.0002
zinc;15;0.0002
manière;12;0.0002
camarade;21;0.0003
comprit;11;0.0001
continuer;9;0.0001
incendie;6;0.0001
baquets;9;0.0001
baraque;10;0.0001
réfléchir;6;0.0001
forgeron;30;0.0004
possible;29;0.0004
poitrine;24;0.0003
causait;19;0.0003
penché;7;0.0001
plaignait;10;0.0001
parfois;18;0.0002
réussi;6;0.0001
rouge;42;0.0006
boulons;15;0.0002
appelait;35;0.0005
envoyer;15;0.0002
paix;24;0.0003
eut;130;0.0017
hier;14;0.0002
sous;7;0.0001
but;10;0.0001
retenir;6;0.0001
couché;7;0.0001
seau;15;0.0002
or;102;0.0014
suie;7;0.0001
extérieurs;12;0.0002
seaux;9;0.0001
entier;7;0.0001
boue;13;0.0002
farce;16;0.0002
papa;20;0.0003
posa;17;0.0002
avenir;8;0.0001
doigt;18;0.0002
arrêtait;13;0.0002
étroit;13;0.0002
parrain;6;0.0001
trous;17;0.0002
droite;55;0.0007
aime;29;0.0004
gris;23;0.0003
besogne;35;0.0005
debout;51;0.0007
obliques;8;0.0001
fille;81;0.0011
chapeaux;7;0.0001
honneur;15;0.0002
poussant;13;0.0002
concierge;32;0.0004
repasser;9;0.0001
large;23;0.0003
croque;15;0.0002
globe;6;0.0001
chapelier;58;0.0008
pot;18;0.0002
payé;9;0.0001
façades;10;0.0001
forme;6;0.0001
riant;24;0.0003
comptes;6;0.0001
tes;13;0.0002
offrait;12;0.0002
chaises;28;0.0004
a;328;0.0044
manche;11;0.0001
parbleu;7;0.0001
pochards;8;0.0001
difficile;7;0.0001
boîtes;8;0.0001
voisin;12;0.0002
tache;13;0.0002
dîner;35;0.0005
rangées;7;0.0001
fromage;9;0.0001
noire;51;0.0007
queues;9;0.0001
croyant;14;0.0002
dédèle;8;0.0001
étant;13;0.0002
chargeait;6;0.0001
économie;8;0.0001
presque;26;0.0003
semblaient;19;0.0003
dû;45;0.0006
lorsqu’;101;0.0014
cent;25;0.0003
tête;245;0.0033
honte;16;0.0002
sortie;9;0.0001
trempées;6;0.0001
deux;435;0.0058
mot;51;0.0007
avais;19;0.0003
ivresse;6;0.0001
réveiller;8;0.0001
pouvoir;14;0.0002
épaisse;10;0.0001
chaîniste;11;0.0001
raison;25;0.0003
heures;144;0.0019
samedi;24;0.0003
tirait;19;0.0003
pieds;76;0.001
moustaches;9;0.0001
pots;10;0.0001
boulon;9;0.0001
pauvre;32;0.0004
anisette;6;0.0001
finissaient;9;0.0001
putois;37;0.0005
