mot;occurrence;frequence
détour;6;0.0001
nu;33;0.0006
farceur;13;0.0002
accord;26;0.0005
oblique;17;0.0003
pousser;111;0.002
œuvre;10;0.0002
rir;18;0.0003
vexer;8;0.0001
questionner;6;0.0001
averse;9;0.0002
rentrer;85;0.0015
tiède;15;0.0003
porcher;9;0.0002
lapin;14;0.0003
culbuter;21;0.0004
siècle;26;0.0005
laure;10;0.0002
plan;8;0.0001
figure;12;0.0002
luire;10;0.0002
causa;6;0.0001
javelle;6;0.0001
aise;11;0.0002
tira;6;0.0001
écurie;21;0.0004
sœur;126;0.0023
prononcer;9;0.0002
gai;9;0.0002
homme;262;0.0047
livide;6;0.0001
culture;32;0.0006
taire;34;0.0006
rattraper;6;0.0001
flanc;16;0.0003
langue;16;0.0003
manière;7;0.0001
camarade;22;0.0004
pèr;7;0.0001
border;8;0.0001
polir;6;0.0001
continuer;97;0.0017
incendie;6;0.0001
canne;25;0.0005
réfléchir;22;0.0004
travailleur;6;0.0001
labourer;6;0.0001
poitrine;12;0.0002
tailler;6;0.0001
timbré;6;0.0001
assurer;15;0.0003
fertile;8;0.0001
rouge;61;0.0011
broyer;6;0.0001
inventer;6;0.0001
envoyer;41;0.0007
paix;34;0.0006
trombone;6;0.0001
vendange;9;0.0002
hier;8;0.0001
baisse;6;0.0001
ramener;40;0.0007
ricaner;31;0.0006
but;6;0.0001
retenir;16;0.0003
brutalité;6;0.0001
seau;6;0.0001
clerc;10;0.0002
entier;31;0.0006
ivre;11;0.0002
papa;18;0.0003
farce;22;0.0004
épouvanter;7;0.0001
doigt;32;0.0006
agir;20;0.0004
résoudre;25;0.0005
étroit;12;0.0002
droite;41;0.0007
gris;25;0.0005
longuement;12;0.0002
besogne;46;0.0008
trouille;48;0.0009
fille;198;0.0036
honneur;13;0.0002
accès;8;0.0001
large;32;0.0006
pot;12;0.0002
femelle;11;0.0002
mou;7;0.0001
manche;14;0.0003
brutal;20;0.0004
voisin;79;0.0014
entamer;12;0.0002
bile;6;0.0001
dîner;17;0.0003
fromage;20;0.0004
tache;12;0.0002
presque;26;0.0005
lorsqu’;118;0.0021
cent;53;0.001
tête;193;0.0035
honte;15;0.0003
sortie;6;0.0001
ranger;9;0.0002
mot;90;0.0016
éteindre;7;0.0001
pourrir;14;0.0003
ivresse;9;0.0002
lièvre;9;0.0002
pénétrer;7;0.0001
réveiller;14;0.0003
pouvoir;88;0.0016
hanche;13;0.0002
rudesse;7;0.0001
raison;45;0.0008
samedi;19;0.0003
pauvre;78;0.0014
enceint;8;0.0001
déférence;7;0.0001
charrier;6;0.0001
rare;8;0.0001
user;14;0.0003
cimetière;16;0.0003
aimer;74;0.0013
désir;37;0.0007
foule;9;0.0002
maîtresse;14;0.0003
mieux;86;0.0016
botte;11;0.0002
choisir;7;0.0001
outil;10;0.0002
pantalon;13;0.0002
boucher;12;0.0002
cabriolet;13;0.0002
craindre;30;0.0005
doute;56;0.001
voyant;24;0.0004
dépense;9;0.0002
respirer;14;0.0003
m.baillehach;17;0.0003
veux;22;0.0004
pension;7;0.0001
fiche;16;0.0003
conscrit;9;0.0002
m.baillehache;10;0.0002
barrière;6;0.0001
vieux;252;0.0045
maigre;31;0.0006
capitaine;7;0.0001
rafraîchir;7;0.0001
tonneau;9;0.0002
supérieur;10;0.0002
aimable;8;0.0001
répondre;95;0.0017
sourd;13;0.0002
arroser;9;0.0002
mois;64;0.0012
galant;12;0.0002
maladie;6;0.0001
déclarer;45;0.0008
lanterne;12;0.0002
docteur;9;0.0002
numéro;15;0.0003
fesse;13;0.0002
temps;105;0.0019
âme;6;0.0001
couleur;18;0.0003
exprès;11;0.0002
paternel;7;0.0001
traiter;13;0.0002
grogner;10;0.0002
retourne;6;0.0001
cadeau;7;0.0001
soulager;24;0.0004
tremper;18;0.0003
plaindre;19;0.0003
fait;19;0.0003
sou;22;0.0004
gras;22;0.0004
serrer;74;0.0013
église;51;0.0009
usage;14;0.0003
intérêt;21;0.0004
curé;60;0.0011
sembla;9;0.0002
député;19;0.0003
remonter;23;0.0004
carrémer;6;0.0001
payer;76;0.0014
mentir;15;0.0003
rêver;10;0.0002
vêtement;8;0.0001
roulement;6;0.0001
main;187;0.0034
bec;14;0.0003
lointain;18;0.0003
héritage;11;0.0002
corbeau;9;0.0002
vallon;9;0.0002
instant;58;0.001
couper;56;0.001
maintenir;9;0.0002
fête;21;0.0004
fortement;8;0.0001
fouet;29;0.0005
fuite;8;0.0001
bras;119;0.0021
fil;6;0.0001
fouiller;33;0.0006
entente;6;0.0001
sensation;10;0.0002
soulever;19;0.0003
occasion;15;0.0003
naturel;13;0.0002
écart;10;0.0002
jésus;33;0.0006
monseigneur;6;0.0001
rester;201;0.0036
masse;6;0.0001
chat;11;0.0002
muscle;9;0.0002
rapide;8;0.0001
admiration;8;0.0001
engrais;7;0.0001
secoua;7;0.0001
balayer;9;0.0002
malheur;35;0.0006
tas;29;0.0005
demander;110;0.002
décidément;6;0.0001
peuplier;6;0.0001
feignant;8;0.0001
pays;55;0.001
bien;588;0.0106
épargner;7;0.0001
morne;10;0.0002
lier;6;0.0001
grimace;6;0.0001
hectare;36;0.0006
souffler;41;0.0007
régaler;7;0.0001
passer;156;0.0028
malaise;11;0.0002
sorte;51;0.0009
prétendre;6;0.0001
paille;46;0.0008
vaste;18;0.0003
printemps;12;0.0002
heurter;7;0.0001
fleur;12;0.0002
abomination;9;0.0002
braconnier;11;0.0002
emparer;7;0.0001
chemin;63;0.0011
violemment;31;0.0006
renverser;18;0.0003
décharger;8;0.0001
feuille;15;0.0003
regarda;10;0.0002
chaîne;6;0.0001
voler;52;0.0009
appuyer;11;0.0002
faillir;9;0.0002
huissier;16;0.0003
taper;41;0.0007
verre;49;0.0009
embêtement;12;0.0002
auberge;6;0.0001
exécrer;8;0.0001
cadette;11;0.0002
partage;34;0.0006
oncle;23;0.0004
indifférence;6;0.0001
extraordinaire;12;0.0002
gonfler;16;0.0003
cousin;22;0.0004
fort;101;0.0018
pont;11;0.0002
dresser;10;0.0002
prêt;19;0.0003
gaieté;14;0.0003
passé;6;0.0001
tilleul;7;0.0001
gagner;41;0.0007
pouce;7;0.0001
bestial;6;0.0001
endroit;17;0.0003
estimer;6;0.0001
drapeau;6;0.0001
traîner;35;0.0006
pousse;6;0.0001
mouvement;13;0.0002
baquet;7;0.0001
meule;31;0.0006
sucre;9;0.0002
violence;12;0.0002
prairie;10;0.0002
vol;18;0.0003
rasoir;7;0.0001
habituer;9;0.0002
exiger;23;0.0004
justice;34;0.0006
clocher;9;0.0002
éclat;9;0.0002
fou;33;0.0006
tombe;18;0.0003
effrayer;14;0.0003
poule;14;0.0003
fixement;14;0.0003
tombant;7;0.0001
vierge;6;0.0001
reposer;8;0.0001
guère;61;0.0011
apprendre;27;0.0005
lentement;29;0.0005
culbute;7;0.0001
surprise;27;0.0005
menace;13;0.0002
baiser;7;0.0001
aiguille;7;0.0001
peur;52;0.0009
partout;38;0.0007
déranger;15;0.0003
emprunter;7;0.0001
battu;14;0.0003
membre;31;0.0006
cause;63;0.0011
circonstance;6;0.0001
service;19;0.0003
juron;6;0.0001
davantage;66;0.0012
battoir;6;0.0001
regret;20;0.0004
déjeuner;27;0.0005
comprendre;51;0.0009
ordre;17;0.0003
séance;6;0.0001
avaler;12;0.0002
chasser;26;0.0005
distinguer;17;0.0003
ensemble;26;0.0005
situation;16;0.0003
satisfaction;8;0.0001
tromper;10;0.0002
stupide;8;0.0001
épuiser;17;0.0003
double;7;0.0001
supprimer;6;0.0001
patienter;7;0.0001
angoisse;7;0.0001
répéta;18;0.0003
jamais;143;0.0026
demoiselle;9;0.0002
exhaler;7;0.0001
ras;14;0.0003
déluge;6;0.0001
coq;7;0.0001
certainement;17;0.0003
allumer;31;0.0006
opinion;10;0.0002
placer;13;0.0002
presser;25;0.0005
patte;14;0.0003
viande;18;0.0003
perte;13;0.0002
chance;20;0.0004
rigoler;11;0.0002
continuel;20;0.0004
pois;7;0.0001
gifler;8;0.0001
expulsion;6;0.0001
commun;10;0.0002
lait;12;0.0002
trop;151;0.0027
cadet;15;0.0003
marraine;9;0.0002
fond;125;0.0023
moisson;19;0.0003
disai;6;0.0001
putain;8;0.0001
accusait;6;0.0001
désespérer;20;0.0004
plateau;8;0.0001
reculer;16;0.0003
oublier;42;0.0008
flot;21;0.0004
court;17;0.0003
ballant;10;0.0002
folie;8;0.0001
voleur;15;0.0003
brigand;6;0.0001
grossesse;7;0.0001
commander;13;0.0002
déclara;23;0.0004
saleté;12;0.0002
courir;45;0.0008
être;444;0.008
borderie;48;0.0009
flatter;10;0.0002
route;113;0.002
laisser;127;0.0023
petit;288;0.0052
haut;69;0.0012
journée;17;0.0003
barbe;13;0.0002
arriver;139;0.0025
proposer;6;0.0001
blesser;18;0.0003
sort;25;0.0005
emporta;13;0.0002
vert;12;0.0002
tranquille;32;0.0006
lever;83;0.0015
salop;13;0.0002
croissant;8;0.0001
connaissance;8;0.0001
prochain;11;0.0002
émotionner;6;0.0001
oreille;36;0.0006
pensée;20;0.0004
rejoindre;14;0.0003
cou;37;0.0007
exemple;14;0.0003
fenil;10;0.0002
nuit;109;0.002
