mot;occurrence;frequence
ont;34;0.0012
enfin;36;0.0013
quatre;21;0.0008
œuvre;6;0.0002
’;7;0.0003
pourrais;10;0.0004
monte;9;0.0003
disparut;6;0.0002
étions;6;0.0002
figure;12;0.0004
heureuse;14;0.0005
emportait;6;0.0002
te;58;0.0021
homme;91;0.0033
pris;17;0.0006
tuerais;8;0.0003
gens;38;0.0014
détails;13;0.0005
langue;7;0.0003
espace;14;0.0005
canne;6;0.0002
possible;15;0.0005
poitrine;26;0.001
parfois;12;0.0004
rouge;32;0.0012
appelait;9;0.0003
paix;13;0.0005
eut;19;0.0007
supplie;6;0.0002
hier;6;0.0002
couché;6;0.0002
or;12;0.0004
boue;14;0.0005
ivre;6;0.0002
nostre;17;0.0006
horrible;12;0.0004
avenir;9;0.0003
bouge;8;0.0003
aime;40;0.0015
gris;7;0.0003
fille;30;0.0011
honneur;19;0.0007
poussant;6;0.0002
concierge;8;0.0003
large;7;0.0003
payé;6;0.0002
forme;17;0.0006
tes;17;0.0006
chaises;7;0.0003
a;169;0.0062
dîner;18;0.0007
noire;15;0.0005
dû;8;0.0003
désirs;10;0.0004
sentais;14;0.0005
presque;27;0.001
tête;99;0.0036
honte;8;0.0003
néant;7;0.0003
deux;96;0.0035
mot;15;0.0005
avais;157;0.0057
délicieux;10;0.0004
épaisse;6;0.0002
raison;11;0.0004
heures;37;0.0014
tirait;6;0.0002
pieds;21;0.0008
pauvre;68;0.0025
voulait;6;0.0002
cavaliers;6;0.0002
femmes;38;0.0014
aimer;21;0.0008
désir;12;0.0004
foule;11;0.0004
montrait;8;0.0003
maîtresse;14;0.0005
mieux;31;0.0011
voile;10;0.0004
allez;27;0.001
doute;23;0.0008
lumières;14;0.0005
voyant;6;0.0002
art;11;0.0004
osais;6;0.0002
éprouvai;6;0.0002
veux;60;0.0022
dettes;6;0.0002
vieux;36;0.0013
sombres;6;0.0002
furent;11;0.0004
aimez;6;0.0002
font;7;0.0003
robes;9;0.0003
mettait;7;0.0003
mois;33;0.0012
arrêté;7;0.0003
écoutais;8;0.0003
première;14;0.0005
temps;83;0.003
âme;36;0.0013
nouvelles;12;0.0004
oubli;8;0.0003
venez;16;0.0006
voilette;8;0.0003
fait;72;0.0026
devenaient;6;0.0002
ben;9;0.0003
colonel;6;0.0002
quelquefois;15;0.0005
clarté;12;0.0004
église;15;0.0005
espère;8;0.0003
mauvaise;8;0.0003
curé;11;0.0004
sembla;6;0.0002
traces;6;0.0002
dites;30;0.0011
mit;8;0.0003
main;40;0.0015
folle;11;0.0004
instant;25;0.0009
donnait;15;0.0005
bras;77;0.0028
sensation;6;0.0002
grands;21;0.0008
joies;10;0.0004
jésus;6;0.0002
rester;7;0.0003
chat;14;0.0005
collier;6;0.0002
longue;15;0.0005
retrouve;7;0.0003
malheur;15;0.0005
disant;9;0.0003
tas;7;0.0003
demander;16;0.0006
barricade;6;0.0002
pays;16;0.0006
bien;262;0.0096
épaules;15;0.0005
chiens;8;0.0003
passer;16;0.0006
sorte;38;0.0014
paille;7;0.0003
fleur;11;0.0004
