mot;occurrence;frequence
ont;71;0.0008
quatre;86;0.001
trompettes;7;0.0001
citadelle;11;0.0001
intenable;6;0.0001
planches;6;0.0001
comprenant;12;0.0001
plan;26;0.0003
effaré;8;0.0001
homme;203;0.0023
garenne;23;0.0003
peupliers;12;0.0001
bagages;17;0.0002
nationaux;7;0.0001
canal;25;0.0003
central;7;0.0001
afrique;28;0.0003
tut;7;0.0001
rabattre;7;0.0001
gris;10;0.0001
glacé;11;0.0001
héroïque;19;0.0002
a;296;0.0033
voisin;18;0.0002
régente;7;0.0001
semblaient;30;0.0003
silvine;106;0.0012
sortie;14;0.0002
deux;505;0.0057
mot;28;0.0003
avais;19;0.0002
farine;10;0.0001
vainqueurs;13;0.0001
pieds;51;0.0006
tonneaux;9;0.0001
fermée;7;0.0001
infirmiers;10;0.0001
soulevaient;8;0.0001
allez;18;0.0002
voyant;25;0.0003
retournant;7;0.0001
rez-de-chaussée;11;0.0001
fiche;13;0.0001
vieux;45;0.0005
capitaine;147;0.0016
arrêté;16;0.0002
détonations;10;0.0001
numéro;8;0.0001
trot;18;0.0002
augmentait;9;0.0001
donnés;7;0.0001
instinct;14;0.0002
âme;20;0.0002
nouvelles;59;0.0007
venez;12;0.0001
reconnaissance;8;0.0001
revenaient;17;0.0002
vineuil;33;0.0004
payer;11;0.0001
main;97;0.0011
folle;22;0.0002
singulière;6;0.0001
repos;11;0.0001
couper;24;0.0003
fête;10;0.0001
fil;7;0.0001
entendaient;8;0.0001
écart;6;0.0001
masse;23;0.0003
fusiller;8;0.0001
disant;22;0.0002
demander;27;0.0003
projet;12;0.0001
delaherche;181;0.002
couru;9;0.0001
couchée;6;0.0001
traversait;8;0.0001
remontait;12;0.0001
chemin;83;0.0009
mézières;19;0.0002
strasbourg;6;0.0001
millions;11;0.0001
aidait;7;0.0001
carrières;8;0.0001
moulin;6;0.0001
oncle;32;0.0004
mitrailleuses;7;0.0001
étage;14;0.0002
pont;58;0.0006
dresser;11;0.0001
pas;1348;0.0151
noires;22;0.0002
dehors;7;0.0001
drapeau;40;0.0004
mouvement;43;0.0005
avez;32;0.0004
république;12;0.0001
dormait;21;0.0002
baquet;7;0.0001
campagnes;7;0.0001
sucre;7;0.0001
vol;18;0.0002
éclat;18;0.0002
regardait;88;0.001
emporté;28;0.0003
hâtait;10;0.0001
avançait;15;0.0002
tombe;9;0.0001
lointains;9;0.0001
guettant;6;0.0001
exigences;6;0.0001
passant;18;0.0002
guère;39;0.0004
lentement;18;0.0002
pont-maugis;9;0.0001
huit;36;0.0004
canons;69;0.0008
rendu;15;0.0002
partout;25;0.0003
torcy;7;0.0001
murs;29;0.0003
cause;18;0.0002
davantage;46;0.0005
regret;6;0.0001
comprendre;32;0.0004
voulut;48;0.0005
feux;39;0.0004
impossible;21;0.0002
angoisse;42;0.0005
écoutaient;6;0.0001
jamais;138;0.0015
certainement;19;0.0002
illy;34;0.0004
perte;6;0.0001
raconta;9;0.0001
continuel;8;0.0001
pelouse;9;0.0001
fond;135;0.0015
anxiété;13;0.0001
plateau;57;0.0006
pareils;19;0.0002
gaillards;7;0.0001
court;13;0.0001
remettait;6;0.0001
déclara;20;0.0002
saleté;6;0.0001
deuxième;19;0.0002
être;389;0.0044
laisser;48;0.0005
petit;211;0.0024
sort;19;0.0002
lever;16;0.0002
gouttes;6;0.0001
nouvelle;60;0.0007
wissembourg;9;0.0001
enfermé;7;0.0001
plaie;20;0.0002
sait;15;0.0002
silencieux;16;0.0002
forces;14;0.0002
idée;102;0.0011
soldat;77;0.0009
attaque;29;0.0003
filé;7;0.0001
retourner;32;0.0004
hanté;7;0.0001
commerce;17;0.0002
servi;9;0.0001
tourment;6;0.0001
juré;8;0.0001
pût;13;0.0001
jaune;12;0.0001
exécration;8;0.0001
extraordinaires;8;0.0001
expliquer;17;0.0002
répondait;15;0.0002
seule;61;0.0007
montmartre;13;0.0001
carignan;13;0.0001
éperdu;10;0.0001
occupation;8;0.0001
consenti;6;0.0001
restèrent;13;0.0001
force;49;0.0005
puisqu’;28;0.0003
efforts;6;0.0001
fine;9;0.0001
cœur;112;0.0013
échappait;7;0.0001
agitant;7;0.0001
arbre;24;0.0003
étais;22;0.0002
compte;28;0.0003
otto;6;0.0001
cas;18;0.0002
tellement;30;0.0003
petites;31;0.0003
résolution;11;0.0001
mécanique;6;0.0001
passion;12;0.0001
devint;14;0.0002
légion;6;0.0001
décembre;9;0.0001
chargé;16;0.0002
recherches;6;0.0001
comprenait;8;0.0001
lente;17;0.0002
passèrent;8;0.0001
beaumont;32;0.0004
poussière;26;0.0003
était;1606;0.018
étroite;21;0.0002
demanda;31;0.0003
vendre;9;0.0001
mars;10;0.0001
savaient;10;0.0001
hôte;6;0.0001
lille;9;0.0001
pleines;6;0.0001
espérer;6;0.0001
vaincus;10;0.0001
chaussée;8;0.0001
redescendit;6;0.0001
entré;8;0.0001
levant;15;0.0002
oublia;8;0.0001
battue;17;0.0002
petits;42;0.0005
délire;8;0.0001
lointaines;8;0.0001
commune;29;0.0003
reçu;27;0.0003
indiquait;7;0.0001
sauter;16;0.0002
véritables;6;0.0001
autrefois;24;0.0003
gunther;7;0.0001
abord;76;0.0009
reparu;10;0.0001
tenez;33;0.0004
croyaient;7;0.0001
voilà;59;0.0007
soyez;7;0.0001
filèrent;7;0.0001
rudes;8;0.0001
brancardiers;9;0.0001
tendre;13;0.0001
rang;6;0.0001
ajouta;21;0.0002
venu;39;0.0004
kilomètre;6;0.0001
inutile;17;0.0002
rires;9;0.0001
battait;32;0.0004
ducat;17;0.0002
sujet;8;0.0001
brasier;6;0.0001
vas;14;0.0002
saint-pierremont;6;0.0001
vide;26;0.0003
solidement;7;0.0001
furieuse;25;0.0003
cassées;7;0.0001
regardaient;8;0.0001
chemins;28;0.0003
riait;12;0.0001
bataille;105;0.0012
éclataient;7;0.0001
énormes;11;0.0001
poings;24;0.0003
casser;19;0.0002
dominant;9;0.0001
onze;7;0.0001
ferait;11;0.0001
illusion;7;0.0001
prenaient;8;0.0001
passa;26;0.0003
si;56;0.0006
telle;50;0.0006
plutôt;18;0.0002
arrêter;31;0.0003
nécessaires;9;0.0001
crainte;36;0.0004
châlons;27;0.0003
étonna;9;0.0001
paraître;8;0.0001
envoyé;16;0.0002
képi;11;0.0001
genou;7;0.0001
poussé;12;0.0001
terre;142;0.0016
défense;23;0.0003
adolphe;10;0.0001
abattus;6;0.0001
nécessité;10;0.0001
toujours;213;0.0024
aube;20;0.0002
trois;221;0.0025
douloureux;7;0.0001
avant-garde;7;0.0001
suivait;18;0.0002
fenêtre;65;0.0007
grandi;14;0.0002
as;27;0.0003
désastres;11;0.0001
horizon;54;0.0006
iii;8;0.0001
avait;1462;0.0164
semaine;18;0.0002
jura;8;0.0001
comment;88;0.001
porte;118;0.0013
servir;16;0.0002
brûler;18;0.0002
sentinelles;16;0.0002
exaspération;8;0.0001
soi;9;0.0001
catastrophe;12;0.0001
avoir;230;0.0026
avant;28;0.0003
fusillade;21;0.0002
prenez;12;0.0001
campagne;40;0.0004
cru;14;0.0002
moindre;23;0.0003
durer;6;0.0001
rancune;8;0.0001
firent;15;0.0002
carreau;7;0.0001
poing;20;0.0002
bon;162;0.0018
hiver;10;0.0001
monter;21;0.0002
hurler;8;0.0001
mille;88;0.001
frémissant;6;0.0001
poignée;9;0.0001
ferme;70;0.0008
tombaient;25;0.0003
ira;6;0.0001
jeunesse;7;0.0001
pattes;13;0.0001
canonnade;12;0.0001
moins;64;0.0007
sambuc;34;0.0004
ponts;6;0.0001
infinie;19;0.0002
savez;32;0.0004
gloire;11;0.0001
traînards;8;0.0001
voix;138;0.0015
belgique;23;0.0003
piétinement;9;0.0001
réquisitions;8;0.0001
crier;21;0.0002
tu;122;0.0014
passe;13;0.0001
sol;33;0.0004
plein;52;0.0006
étonné;10;0.0001
revenait;34;0.0004
chargées;6;0.0001
dépêche;17;0.0002
tentes;21;0.0002
ah;207;0.0023
envahie;6;0.0001
questions;7;0.0001
