mot;occurrence;frequence
ont;23;0.0005
action;10;0.0002
enfin;103;0.0021
quatre;43;0.0009
pousser;6;0.0001
œuvre;51;0.001
rentrer;14;0.0003
tiède;16;0.0003
dure;8;0.0002
éprouvait;10;0.0002
planches;8;0.0002
pavé;8;0.0002
comprenant;6;0.0001
siècle;20;0.0004
éclatant;7;0.0001
plan;8;0.0002
figure;9;0.0002
taisait;6;0.0001
véritable;15;0.0003
aise;7;0.0001
heureuse;62;0.0013
emportait;12;0.0002
sœur;15;0.0003
te;68;0.0014
royale;7;0.0001
visites;14;0.0003
rendant;6;0.0001
homme;93;0.0019
gai;9;0.0002
pris;62;0.0013
livide;6;0.0001
promenades;6;0.0001
humaines;8;0.0002
né;6;0.0001
traînait;6;0.0001
aimaient;7;0.0001
gens;20;0.0004
eurent;8;0.0002
jetant;8;0.0002
soufflait;6;0.0001
dut;21;0.0004
espace;7;0.0001
comprit;11;0.0002
affecta;6;0.0001
existait;7;0.0001
incendie;9;0.0002
réfléchir;9;0.0002
conquête;10;0.0002
possible;35;0.0007
poitrine;22;0.0004
appris;13;0.0003
desséchée;7;0.0001
parfois;43;0.0009
assurer;8;0.0002
croissante;10;0.0002
rouge;19;0.0004
appelait;6;0.0001
envoyer;17;0.0003
paix;27;0.0005
frappé;8;0.0002
sorti;8;0.0002
eut;126;0.0025
hier;11;0.0002
emportant;7;0.0001
absolue;11;0.0002
but;15;0.0003
retenir;6;0.0001
or;37;0.0007
entier;8;0.0002
posa;6;0.0001
boue;6;0.0001
puisse;6;0.0001
doigt;9;0.0002
agir;10;0.0002
avenir;15;0.0003
droite;28;0.0006
labeur;15;0.0003
fatale;8;0.0002
aime;39;0.0008
longuement;7;0.0001
besogne;22;0.0004
debout;21;0.0004
parfaite;6;0.0001
fille;135;0.0027
accès;8;0.0002
large;21;0.0004
penses;6;0.0001
glacé;7;0.0001
éperdument;8;0.0002
héroïque;6;0.0001
riant;7;0.0001
tes;20;0.0004
chaises;6;0.0001
a;256;0.0052
closes;8;0.0002
objets;7;0.0001
voisin;7;0.0001
dîner;18;0.0004
noire;31;0.0006
frémissante;8;0.0002
france;9;0.0002
croyant;7;0.0001
bouleversé;8;0.0002
étant;16;0.0003
dû;33;0.0007
semblaient;15;0.0003
économie;6;0.0001
presque;26;0.0005
lorsqu’;87;0.0018
cent;26;0.0005
aimée;12;0.0002
honte;13;0.0003
ranger;9;0.0002
tête;104;0.0021
deux;190;0.0038
mot;19;0.0004
avais;23;0.0005
pouvoir;17;0.0003
pastels;9;0.0002
heures;139;0.0028
raison;46;0.0009
liqueur;11;0.0002
pieds;37;0.0007
pauvre;60;0.0012
déférence;6;0.0001
voulait;53;0.0011
femmes;33;0.0007
cédant;9;0.0002
aimer;20;0.0004
désir;33;0.0007
montrait;17;0.0003
maîtresse;11;0.0002
mieux;41;0.0008
gardé;9;0.0002
trente;19;0.0004
allez;15;0.0003
ignoré;6;0.0001
gardant;6;0.0001
boucher;6;0.0001
envolée;8;0.0002
caresse;9;0.0002
doute;76;0.0015
dura;8;0.0002
satisfaite;7;0.0001
voyant;17;0.0003
lieues;7;0.0001
rez-de-chaussée;6;0.0001
ardent;10;0.0002
veux;70;0.0014
exhalait;7;0.0001
fillette;11;0.0002
vieux;65;0.0013
phtisie;8;0.0002
aimez;7;0.0001
furent;23;0.0005
rappelait;7;0.0001
saint-saturnin;10;0.0002
mettait;18;0.0004
répondre;26;0.0005
sourd;10;0.0002
mois;56;0.0011
maladie;16;0.0003
injections;6;0.0001
calmait;6;0.0001
docteur;135;0.0027
vivait;25;0.0005
première;26;0.0005
temps;57;0.0012
âme;13;0.0003
vêtements;6;0.0001
couleur;11;0.0002
nouvelles;16;0.0003
oubli;9;0.0002
venez;6;0.0001
céda;8;0.0002
final;9;0.0002
forte;13;0.0003
immédiat;7;0.0001
soins;6;0.0001
cadeau;18;0.0004
revenaient;6;0.0001
fait;129;0.0026
plaindre;6;0.0001
sou;12;0.0002
cauchemar;9;0.0002
clarté;17;0.0003
hocha;8;0.0002
église;18;0.0004
intérêt;11;0.0002
mauvaise;16;0.0003
curé;6;0.0001
tremblante;6;0.0001
sembla;9;0.0002
servait;13;0.0003
remonter;6;0.0001
dites;11;0.0002
payer;10;0.0002
menue;7;0.0001
mentir;6;0.0001
mit;27;0.0005
main;44;0.0009
folle;19;0.0004
lointain;6;0.0001
héritage;6;0.0001
repos;10;0.0002
instant;60;0.0012
malades;18;0.0004
fête;6;0.0001
donnait;24;0.0005
crépuscule;10;0.0002
monument;6;0.0001
approcha;6;0.0001
bras;92;0.0019
fuite;7;0.0001
emplissait;10;0.0002
tenant;7;0.0001
sensation;17;0.0003
grands;49;0.001
joies;6;0.0001
occasion;8;0.0002
écart;12;0.0002
rester;23;0.0005
masse;7;0.0001
étienne;8;0.0002
collier;7;0.0001
souffrante;9;0.0002
remit;11;0.0002
admiration;8;0.0002
longue;32;0.0006
régime;7;0.0001
malheur;19;0.0004
disant;21;0.0004
tas;12;0.0002
demander;8;0.0002
pays;7;0.0001
bien;336;0.0068
tombait;20;0.0004
épaules;17;0.0003
osa;6;0.0001
morne;15;0.0003
admirables;6;0.0001
passer;28;0.0006
malaise;11;0.0002
sorte;40;0.0008
morceaux;8;0.0002
sunamite;6;0.0001
dossier;9;0.0002
vestibule;9;0.0002
couchée;6;0.0001
vaste;36;0.0007
printemps;9;0.0002
joues;16;0.0003
abomination;6;0.0001
fleur;15;0.0003
traversait;6;0.0001
commença;6;0.0001
dit;110;0.0022
chemin;19;0.0004
violemment;16;0.0003
préoccupation;8;0.0002
ouverte;24;0.0005
répète;7;0.0001
feuille;13;0.0003
regarda;31;0.0006
manuscrits;21;0.0004
pièces;7;0.0001
croyait;27;0.0005
voler;7;0.0001
quant;6;0.0001
sauta;6;0.0001
indifférente;6;0.0001
verre;7;0.0001
spectacle;6;0.0001
partait;7;0.0001
millions;6;0.0001
attendri;8;0.0002
sarteur;6;0.0001
ainsi;113;0.0023
emportement;6;0.0001
oncle;59;0.0012
extraordinaire;31;0.0006
passionné;6;0.0001
souffert;7;0.0001
fort;31;0.0006
seconde;11;0.0002
gaieté;14;0.0003
prêt;6;0.0001
pas;946;0.0191
noires;9;0.0002
traversa;6;0.0001
passé;24;0.0005
gagner;9;0.0002
dehors;11;0.0002
achevait;11;0.0002
avenue;7;0.0001
mouvement;18;0.0004
avez;33;0.0007
dormait;19;0.0004
regards;19;0.0004
violence;7;0.0001
justice;11;0.0002
éclat;6;0.0001
six;22;0.0004
regardait;47;0.0009
emporté;9;0.0002
nuits;13;0.0003
fou;29;0.0006
lointains;6;0.0001
tant;70;0.0014
détresse;11;0.0002
tous;148;0.003
vierge;12;0.0002
fixement;10;0.0002
bah;6;0.0001
passant;9;0.0002
es;22;0.0004
gardait;36;0.0007
entretien;7;0.0001
guère;25;0.0005
gratitude;13;0.0003
apprendre;7;0.0001
lentement;17;0.0003
surprise;26;0.0005
baiser;20;0.0004
souverain;6;0.0001
menace;11;0.0002
possibles;6;0.0001
huit;16;0.0003
cherchait;13;0.0003
peur;41;0.0008
partout;9;0.0002
membres;7;0.0001
murs;26;0.0005
portes;19;0.0004
endormie;6;0.0001
battu;7;0.0001
vint;13;0.0003
sérénité;15;0.0003
cause;15;0.0003
notes;23;0.0005
davantage;40;0.0008
regret;16;0.0003
déjeuner;24;0.0005
comprendre;22;0.0004
pins;6;0.0001
infiniment;8;0.0002
ordre;15;0.0003
image;10;0.0002
septembre;6;0.0001
marseille;10;0.0002
forçait;6;0.0001
ensemble;30;0.0006
voulut;31;0.0006
situation;14;0.0003
moindres;9;0.0002
assise;13;0.0003
maman;7;0.0001
impossible;13;0.0003
angoisse;17;0.0003
paupières;15;0.0003
pur;13;0.0003
cierges;8;0.0002
répéta;10;0.0002
albine;8;0.0002
entends;18;0.0004
jamais;149;0.003
abandonné;8;0.0002
certainement;21;0.0004
premiers;8;0.0002
chance;6;0.0001
perte;6;0.0001
retour;25;0.0005
laissait;19;0.0004
continuel;9;0.0002
manquait;10;0.0002
terres;10;0.0002
trop;94;0.0019
souriant;15;0.0003
lait;13;0.0003
tragique;9;0.0002
tâche;8;0.0002
fond;88;0.0018
pressait;6;0.0001
vivants;7;0.0001
anxiété;6;0.0001
attendrissement;10;0.0002
humaine;12;0.0002
david;8;0.0002
flot;27;0.0005
larges;11;0.0002
court;8;0.0002
folie;27;0.0005
remettait;11;0.0002
déclara;7;0.0001
façon;15;0.0003
admirable;7;0.0001
courir;13;0.0003
être;253;0.0051
route;9;0.0002
affaires;12;0.0002
laisser;35;0.0007
petit;116;0.0023
haut;72;0.0015
barbe;16;0.0003
journée;19;0.0004
allégresse;7;0.0001
arriver;8;0.0002
vert;6;0.0001
tranquille;30;0.0006
lever;14;0.0003
amours;10;0.0002
religion;6;0.0001
vive;14;0.0003
faubourg;11;0.0002
oreille;14;0.0003
allons;22;0.0004
pensée;53;0.0011
cou;31;0.0006
gouttes;8;0.0002
exemple;14;0.0003
nouvelle;36;0.0007
souples;10;0.0002
nuit;85;0.0017
crois;34;0.0007
héréditaire;8;0.0002
aurore;7;0.0001
crise;28;0.0006
prenait;21;0.0004
front;13;0.0003
irrésistible;8;0.0002
irréparable;6;0.0001
bornes;7;0.0001
sait;10;0.0002
bijou;7;0.0001
leçon;9;0.0002
crut;13;0.0003
frais;10;0.0002
trouvée;6;0.0001
forces;16;0.0003
pleurant;7;0.0001
idée;72;0.0015
souci;9;0.0002
posait;6;0.0001
vue;26;0.0005
peine;62;0.0013
rupture;8;0.0002
mourir;42;0.0008
continua;19;0.0004
retourner;6;0.0001
pire;6;0.0001
race;17;0.0003
elle-même;8;0.0002
ému;8;0.0002
refuser;6;0.0001
argent;69;0.0014
embrasser;8;0.0002
tourment;8;0.0002
présence;12;0.0002
moral;6;0.0001
claire;10;0.0002
