mot;occurrence;frequence
nu;7;0.0003
pousser;17;0.0007
rir;12;0.0005
ose;13;0.0006
réverbère;6;0.0003
rentrer;25;0.0011
lapin;17;0.0007
monte;12;0.0005
figure;16;0.0007
châl;6;0.0003
luire;6;0.0003
aise;6;0.0003
écurie;12;0.0005
sœur;7;0.0003
prononcer;6;0.0003
gai;11;0.0005
homme;82;0.0035
taire;11;0.0005
différence;6;0.0003
langue;16;0.0007
manière;11;0.0005
camarade;32;0.0014
pèr;17;0.0007
espace;7;0.0003
continuer;14;0.0006
réfléchir;6;0.0003
poitrine;22;0.0009
rouge;34;0.0015
envoyer;23;0.001
hier;9;0.0004
étonnement;8;0.0003
ramener;6;0.0003
retenir;12;0.0005
boue;12;0.0005
papa;8;0.0003
farce;11;0.0005
doigt;53;0.0023
agir;6;0.0003
droite;10;0.0004
aime;20;0.0009
gris;21;0.0009
fille;23;0.001
honneur;11;0.0005
large;11;0.0005
pot;15;0.0006
forme;9;0.0004
cahier;6;0.0003
mou;6;0.0003
tournure;7;0.0003
manche;9;0.0004
voisin;23;0.001
tache;11;0.0005
dîner;28;0.0012
fromage;10;0.0004
presque;31;0.0013
navire;10;0.0004
tête;124;0.0053
honte;9;0.0004
mot;51;0.0022
éteindre;7;0.0003
réveiller;9;0.0004
pouvoir;42;0.0018
raison;21;0.0009
samedi;13;0.0006
pauvre;60;0.0026
aimer;101;0.0043
foule;11;0.0005
mieux;47;0.002
botte;9;0.0004
choisir;10;0.0004
pantalon;30;0.0013
craindre;6;0.0003
doute;11;0.0005
censeur;12;0.0005
saute;8;0.0003
respirer;6;0.0003
poireau;6;0.0003
veux;12;0.0005
pension;19;0.0008
bonbon;7;0.0003
vieux;59;0.0025
maigre;11;0.0005
capitaine;10;0.0004
rosser;6;0.0003
répondre;44;0.0019
sourd;9;0.0004
mois;23;0.001
protestant;6;0.0003
cravate;11;0.0005
temps;109;0.0047
âme;23;0.001
couleur;27;0.0012
exprès;8;0.0003
traiter;7;0.0003
retourne;7;0.0003
tremper;9;0.0004
fait;6;0.0003
plaindre;9;0.0004
sou;10;0.0004
gras;23;0.001
quelquefois;55;0.0024
serrer;13;0.0006
église;9;0.0004
curé;7;0.0003
payer;18;0.0008
mentir;6;0.0003
main;111;0.0047
vinaigre;7;0.0003
remue;6;0.0003
instant;7;0.0003
couper;18;0.0008
fête;17;0.0007
fouet;8;0.0003
inspecteur;8;0.0003
bras;56;0.0024
fil;14;0.0006
soulever;13;0.0006
occasion;6;0.0003
lunette;8;0.0003
rester;51;0.0022
malheur;20;0.0009
agrégation;10;0.0004
tas;21;0.0009
demander;66;0.0028
pays;24;0.001
bien;278;0.0119
souffler;7;0.0003
passer;115;0.0049
oignon;20;0.0009
paille;6;0.0003
fleur;31;0.0013
chemin;23;0.001
renverser;6;0.0003
feuille;15;0.0006
voler;13;0.0006
appuyer;13;0.0006
faillir;14;0.0006
taper;13;0.0006
verre;30;0.0013
auberge;19;0.0008
oncle;54;0.0023
balançoire;6;0.0003
gonfler;12;0.0005
cousin;21;0.0009
fort;50;0.0021
pont;13;0.0006
gaieté;10;0.0004
prêt;10;0.0004
professeur;75;0.0032
cruel;13;0.0006
gagner;20;0.0009
paletot;7;0.0003
drapeau;12;0.0005
traîner;22;0.0009
pousse;11;0.0005
mouvement;10;0.0004
faculté;13;0.0006
prairie;6;0.0003
nègre;8;0.0003
version;8;0.0003
tombe;20;0.0009
fou;19;0.0008
rôle;7;0.0003
poule;6;0.0003
prison;11;0.0005
apprendre;34;0.0015
baiser;6;0.0003
piquant;6;0.0003
peur;59;0.0025
partout;10;0.0004
déranger;9;0.0004
battu;9;0.0004
cause;18;0.0008
service;6;0.0003
davantage;6;0.0003
regret;6;0.0003
côtelette;9;0.0004
comprendre;16;0.0007
ordre;7;0.0003
avaler;7;0.0003
chasser;6;0.0003
ensemble;6;0.0003
situation;9;0.0004
lycée;9;0.0004
tromper;10;0.0004
jamais;67;0.0029
coq;6;0.0003
allumer;7;0.0003
murmure;6;0.0003
presser;7;0.0003
placer;10;0.0004
patte;9;0.0004
espèce;8;0.0003
chance;8;0.0003
évanouir;7;0.0003
émouvoir;6;0.0003
trop;90;0.0038
lait;9;0.0004
fond;58;0.0025
écuyer;8;0.0003
restaurant;6;0.0003
oublier;30;0.0013
court;7;0.0003
moustache;8;0.0003
courir;17;0.0007
être;211;0.009
flatter;7;0.0003
route;12;0.0005
laisser;45;0.0019
petit;231;0.0099
haut;39;0.0017
barbe;13;0.0006
journée;9;0.0004
crie;18;0.0008
arriver;111;0.0047
blesser;12;0.0005
sort;10;0.0004
vert;17;0.0007
bossu;6;0.0003
lever;29;0.0012
grenouille;8;0.0003
tranquille;7;0.0003
oreille;47;0.002
pensée;10;0.0004
rejoindre;8;0.0003
cou;29;0.0012
exemple;15;0.0006
front;24;0.001
nuit;37;0.0016
frais;20;0.0009
leçon;24;0.001
apercevoir;20;0.0009
saigner;6;0.0003
idée;29;0.0012
brin;10;0.0004
soldat;9;0.0004
vue;6;0.0003
peine;39;0.0017
queue;25;0.0011
mourir;36;0.0015
retourner;19;0.0008
refuser;9;0.0004
argent;51;0.0022
mets;10;0.0004
embrasser;43;0.0018
tâter;11;0.0005
nourrir;7;0.0003
adresse;8;0.0003
poulet;6;0.0003
montre;10;0.0004
soupir;6;0.0003
tordre;14;0.0006
las;7;0.0003
lit;28;0.0012
général;9;0.0004
jaune;31;0.0013
béate;8;0.0003
rond;10;0.0004
expliquer;11;0.0005
drôle;11;0.0005
charbon;6;0.0003
veille;9;0.0004
grain;6;0.0003
fils;105;0.0045
oiseau;20;0.0009
glace;8;0.0003
canon;8;0.0003
fruit;11;0.0005
rôder;12;0.0005
soir;63;0.0027
bouquet;18;0.0008
force;12;0.0005
distribution;7;0.0003
bougie;6;0.0003
lendemain;11;0.0005
mener;18;0.0008
an;45;0.0019
rencontre;6;0.0003
cœur;27;0.0012
doux;13;0.0006
remplir;7;0.0003
arbre;17;0.0007
compte;15;0.0006
éloigner;6;0.0003
échapper;21;0.0009
blessure;8;0.0003
liberté;10;0.0004
couche;10;0.0004
rouler;18;0.0008
épaule;10;0.0004
philosophie;9;0.0004
médecin;9;0.0004
train;9;0.0004
promenade;7;0.0003
pourtant;24;0.001
ménage;10;0.0004
laisse;44;0.0019
