mot;occurrence;frequence
nu;6;0.0002
ont;23;0.0009
enfin;59;0.0023
quatre;30;0.0012
rentrer;6;0.0002
tiède;10;0.0004
éprouvait;6;0.0002
pavé;6;0.0002
siècle;13;0.0005
heureuse;31;0.0012
emportait;10;0.0004
te;11;0.0004
royale;6;0.0002
cœurs;7;0.0003
homme;41;0.0016
pris;18;0.0007
orgueilleuse;6;0.0002
pensait;6;0.0002
aimaient;7;0.0003
eurent;7;0.0003
taire;6;0.0002
dut;18;0.0007
comprit;8;0.0003
possible;6;0.0002
poitrine;11;0.0004
parfois;18;0.0007
rouge;27;0.0011
paix;22;0.0009
eut;70;0.0028
huiles;9;0.0004
étonnement;6;0.0002
absolue;6;0.0002
nuée;6;0.0002
or;86;0.0034
herbes;16;0.0006
entier;9;0.0004
doigt;10;0.0004
agir;8;0.0003
étroit;9;0.0004
droite;30;0.0012
saules;10;0.0004
aime;52;0.0021
longuement;6;0.0002
besogne;6;0.0002
debout;30;0.0012
hubert;117;0.0046
fille;74;0.0029
invisibles;10;0.0004
large;11;0.0004
refusant;6;0.0002
extrême;6;0.0002
soies;9;0.0004
chaises;7;0.0003
a;87;0.0035
noire;13;0.0005
croyant;6;0.0002
bouleversé;6;0.0002
dominus;6;0.0002
étant;7;0.0003
dû;13;0.0005
semblaient;9;0.0004
presque;15;0.0006
lorsqu’;49;0.0019
aimée;17;0.0007
tête;67;0.0027
deux;155;0.0062
mot;14;0.0006
avais;16;0.0006
pouvoir;13;0.0005
retrouvé;6;0.0002
raison;12;0.0005
heures;56;0.0022
pieds;65;0.0026
pauvre;22;0.0009
voulait;30;0.0012
femmes;14;0.0006
aimer;31;0.0012
désir;17;0.0007
foule;15;0.0006
montrait;8;0.0003
mieux;16;0.0006
doute;33;0.0013
envolée;7;0.0003
caresse;6;0.0002
voyant;9;0.0004
rez-de-chaussée;7;0.0003
art;7;0.0003
veux;23;0.0009
chasuble;11;0.0004
fillette;6;0.0002
vieux;31;0.0012
furent;11;0.0004
aimez;11;0.0004
saintes;32;0.0013
couchant;6;0.0002
mettait;12;0.0005
répondre;11;0.0004
mois;20;0.0008
brodeuse;14;0.0006
maladie;6;0.0002
vivait;17;0.0007
chœur;11;0.0004
première;18;0.0007
temps;33;0.0013
âme;26;0.001
éclatait;8;0.0003
couleur;9;0.0004
vêtements;6;0.0002
venez;8;0.0003
forte;7;0.0003
revenaient;6;0.0002
fait;58;0.0023
orgues;19;0.0008
clarté;16;0.0006
église;51;0.002
mauvaise;10;0.0004
brodait;10;0.0004
aiguilles;7;0.0003
dites;10;0.0004
mit;16;0.0006
main;41;0.0016
chapelles;13;0.0005
lointain;9;0.0004
géante;6;0.0002
boucles;6;0.0002
instant;21;0.0008
fête;6;0.0002
donnait;19;0.0008
crépuscule;9;0.0004
fuite;8;0.0003
bras;48;0.0019
fil;19;0.0008
tenant;13;0.0005
grands;28;0.0011
joies;6;0.0002
ange;9;0.0004
jésus;19;0.0008
monseigneur;103;0.0041
lisait;6;0.0002
masse;8;0.0003
rapide;8;0.0003
pénitence;6;0.0002
remit;7;0.0003
vives;7;0.0003
longue;11;0.0004
hubertine;120;0.0048
malheur;7;0.0003
disant;11;0.0004
encensoirs;7;0.0003
pays;6;0.0002
bien;107;0.0042
épaules;17;0.0007
tombait;13;0.0005
passer;11;0.0004
sorte;14;0.0006
couru;7;0.0003
vaste;12;0.0005
printemps;8;0.0003
joues;12;0.0005
fleur;6;0.0002
dit;59;0.0023
obéissance;6;0.0002
violemment;6;0.0002
ouverte;20;0.0008
éperdue;9;0.0004
pièces;13;0.0005
regarda;15;0.0006
voler;7;0.0003
croyait;19;0.0008
quant;9;0.0004
verre;7;0.0003
rues;8;0.0003
partait;7;0.0003
ignorante;8;0.0003
ainsi;95;0.0038
moulin;6;0.0002
élancement;7;0.0003
fort;15;0.0006
étage;10;0.0004
seconde;7;0.0003
gaieté;10;0.0004
pas;381;0.0151
noires;6;0.0002
passé;17;0.0007
magloire;8;0.0003
achevait;10;0.0004
distinguait;8;0.0003
avez;19;0.0008
