mot;occurrence;frequence
nu;6;0.0004
charmant;7;0.0004
pousser;22;0.0013
rentrer;23;0.0013
lapin;7;0.0004
vis-à-vis;8;0.0005
pavé;10;0.0006
figure;9;0.0005
luire;6;0.0004
aise;8;0.0005
sœur;71;0.0042
gai;6;0.0004
homme;188;0.011
foire;8;0.0005
taire;10;0.0006
rattraper;6;0.0004
langue;11;0.0006
manière;11;0.0006
camarade;25;0.0015
continuer;20;0.0012
réfléchir;11;0.0006
assurer;8;0.0005
rouge;42;0.0025
envoyer;10;0.0006
retenir;10;0.0006
boue;8;0.0005
doigt;45;0.0026
agir;9;0.0005
résoudre;13;0.0008
droite;12;0.0007
aime;7;0.0004
fille;120;0.007
large;19;0.0011
pot;7;0.0004
dessiner;7;0.0004
manche;7;0.0004
çà;11;0.0006
tache;7;0.0004
dîner;19;0.0011
éclabousser;6;0.0004
presque;23;0.0013
lorsqu’;48;0.0028
tête;78;0.0046
éteindre;9;0.0005
mot;42;0.0025
réveiller;13;0.0008
pouvoir;49;0.0029
hanche;7;0.0004
raison;24;0.0014
samedi;8;0.0005
pauvre;19;0.0011
user;9;0.0005
aimer;55;0.0032
désir;9;0.0005
foule;15;0.0009
maîtresse;22;0.0013
mieux;40;0.0023
pantalon;11;0.0006
craindre;18;0.0011
doute;16;0.0009
caresse;10;0.0006
voyant;6;0.0004
veux;10;0.0006
fiche;7;0.0004
fillette;7;0.0004
vieux;49;0.0029
maigre;8;0.0005
quête;6;0.0004
aimable;6;0.0004
répondre;51;0.003
considérer;13;0.0008
mois;14;0.0008
maladie;6;0.0004
déclarer;11;0.0006
lanterne;7;0.0004
cravate;8;0.0005
temps;69;0.004
âme;15;0.0009
couleur;19;0.0011
traiter;10;0.0006
tremper;10;0.0006
magasin;8;0.0005
plaindre;9;0.0005
sou;11;0.0006
gras;11;0.0006
serrer;18;0.0011
sembla;9;0.0005
remonter;9;0.0005
payer;26;0.0015
main;75;0.0044
boulevard;29;0.0017
bec;12;0.0007
instant;10;0.0006
couper;14;0.0008
débonnaire;11;0.0006
bras;63;0.0037
fil;9;0.0005
rester;53;0.0031
chat;8;0.0005
malheur;16;0.0009
tas;12;0.0007
demander;35;0.0021
bien;238;0.0139
souffler;22;0.0013
passer;37;0.0022
sorte;14;0.0008
prétendre;17;0.001
paille;6;0.0004
fleur;15;0.0009
chemin;17;0.001
renverser;7;0.0004
feuille;13;0.0008
taper;12;0.0007
verre;40;0.0023
fort;26;0.0015
pont;9;0.0005
dresser;11;0.0006
soudain;13;0.0008
gagner;28;0.0016
pouce;8;0.0005
endroit;14;0.0008
boule;6;0.0004
traîner;8;0.0005
mouvement;11;0.0006
sucre;10;0.0006
plaque;8;0.0005
fou;9;0.0005
détresse;7;0.0004
guère;14;0.0008
apprendre;12;0.0007
lentement;12;0.0007
aiguille;6;0.0004
baiser;13;0.0008
peur;17;0.001
cause;8;0.0005
davantage;15;0.0009
déjeuner;6;0.0004
comprendre;23;0.0013
ordre;6;0.0004
avaler;16;0.0009
ensemble;18;0.0011
situation;11;0.0006
tromper;9;0.0005
stupide;6;0.0004
maman;6;0.0004
jamais;48;0.0028
certainement;15;0.0009
allumer;13;0.0008
placer;10;0.0006
presser;13;0.0008
chance;7;0.0004
observer;6;0.0004
supporter;8;0.0005
commun;6;0.0004
trop;41;0.0024
fond;24;0.0014
oublier;6;0.0004
cassis;6;0.0004
commander;6;0.0004
moustache;8;0.0005
courir;24;0.0014
être;192;0.0113
route;13;0.0008
colonne;6;0.0004
laisser;52;0.003
petit;161;0.0094
haut;17;0.001
journée;15;0.0009
barbe;7;0.0004
allégresse;6;0.0004
arriver;31;0.0018
proposer;11;0.0006
franchir;7;0.0004
atelier;69;0.004
vert;8;0.0005
connaissance;7;0.0004
lever;33;0.0019
tranquille;6;0.0004
oreille;16;0.0009
pensée;16;0.0009
rejoindre;11;0.0006
cou;11;0.0006
exemple;17;0.001
front;7;0.0004
nuit;31;0.0018
bal;8;0.0005
frais;6;0.0004
dispute;11;0.0006
brailler;6;0.0004
apercevoir;21;0.0012
idée;26;0.0015
soldat;6;0.0004
vue;16;0.0009
peine;35;0.0021
queue;9;0.0005
mourir;10;0.0006
demeurer;18;0.0011
retourner;29;0.0017
ému;6;0.0004
refuser;14;0.0008
argent;35;0.0021
embrasser;34;0.002
égal;13;0.0008
soupir;8;0.0005
prise;12;0.0007
tordre;11;0.0006
marier;37;0.0022
lit;15;0.0009
présenter;7;0.0004
jaune;20;0.0012
rond;9;0.0005
croisée;6;0.0004
drôle;14;0.0008
veille;10;0.0006
fils;6;0.0004
glace;8;0.0005
soir;89;0.0052
force;17;0.001
lendemain;17;0.001
