mot;occurrence;frequence
nu;11;0.0002
normande;120;0.0025
belle-sœur;8;0.0002
ont;26;0.0005
pendaient;9;0.0002
enfin;75;0.0016
quatre;70;0.0015
navets;23;0.0005
pousser;10;0.0002
éventaire;8;0.0002
œuvre;8;0.0002
ruissellement;7;0.0001
rentrer;8;0.0002
tiède;12;0.0003
éprouvait;10;0.0002
planches;8;0.0002
pavé;16;0.0003
marmites;10;0.0002
disparut;8;0.0002
plan;8;0.0002
sournoisement;6;0.0001
figure;25;0.0005
aise;26;0.0005
heureuse;16;0.0003
véritable;10;0.0002
clémence;29;0.0006
emportait;14;0.0003
te;29;0.0006
sœur;11;0.0002
fortes;10;0.0002
trottoirs;17;0.0004
réguliers;7;0.0001
homme;148;0.0031
pris;43;0.0009
pensait;9;0.0002
volailles;35;0.0007
quitta;6;0.0001
gens;51;0.0011
traînait;10;0.0002
aimaient;9;0.0002
eurent;8;0.0002
taire;6;0.0001
détails;12;0.0003
jetant;8;0.0002
soufflait;7;0.0001
préparait;7;0.0001
dut;22;0.0005
langue;13;0.0003
zinc;13;0.0003
comprit;9;0.0002
continuer;6;0.0001
canne;8;0.0002
halles;158;0.0033
possible;9;0.0002
poitrine;17;0.0004
causait;11;0.0002
traversant;6;0.0001
parfois;40;0.0008
rouge;49;0.001
appelait;10;0.0002
délicatement;7;0.0001
paix;22;0.0005
eut;93;0.002
hier;9;0.0002
étonnement;8;0.0002
but;8;0.0002
couché;11;0.0002
or;32;0.0007
herbes;7;0.0001
entier;12;0.0003
boue;10;0.0002
brins;6;0.0001
doigt;13;0.0003
tut;7;0.0001
arrêtait;12;0.0003
étroit;12;0.0003
trous;18;0.0004
droite;27;0.0006
aime;12;0.0003
gris;23;0.0005
magasins;6;0.0001
législatif;6;0.0001
debout;32;0.0007
besogne;8;0.0002
fille;84;0.0018
honneur;8;0.0002
façades;6;0.0001
poussant;8;0.0002
large;29;0.0006
pot;11;0.0002
bagne;8;0.0002
riant;26;0.0005
tes;7;0.0001
offrait;6;0.0001
chaises;17;0.0004
a;202;0.0043
manche;12;0.0003
boîtes;12;0.0003
voisin;7;0.0001
tache;6;0.0001
dîner;25;0.0005
rangées;10;0.0002
fromage;7;0.0001
cabas;7;0.0001
queues;7;0.0001
noire;36;0.0008
france;13;0.0003
croyant;11;0.0002
criées;7;0.0001
dû;15;0.0003
presque;28;0.0006
semblaient;26;0.0005
lorsqu’;67;0.0014
cent;16;0.0003
tête;141;0.003
honte;13;0.0003
deux;289;0.0061
mot;23;0.0005
avais;24;0.0005
pouvoir;22;0.0005
épaisse;6;0.0001
raison;13;0.0003
heures;81;0.0017
mannes;12;0.0003
préfecture;16;0.0003
pieds;49;0.001
pots;8;0.0002
frères;6;0.0001
pauvre;33;0.0007
finissaient;7;0.0001
rognures;6;0.0001
lapins;6;0.0001
voulait;45;0.001
remarqué;9;0.0002
flairait;6;0.0001
femmes;69;0.0015
foule;16;0.0003
montrait;28;0.0006
mieux;34;0.0007
botte;6;0.0001
trente;13;0.0003
allez;29;0.0006
personnes;8;0.0002
pantalon;8;0.0002
doute;27;0.0006
royer;8;0.0002
lumières;6;0.0001
caves;10;0.0002
indigestion;9;0.0002
étalait;7;0.0001
voyant;20;0.0004
art;6;0.0001
veux;35;0.0007
étalages;9;0.0002
digestion;6;0.0001
vieux;30;0.0006
sombres;11;0.0002
maigre;37;0.0008
furent;20;0.0004
font;18;0.0004
allongeait;11;0.0002
couchant;9;0.0002
rappelait;9;0.0002
aimable;6;0.0001
mettait;42;0.0009
répondre;11;0.0002
balbutia;8;0.0002
guidons;7;0.0001
mois;36;0.0008
arrêté;6;0.0001
rentrait;14;0.0003
couverts;6;0.0001
maladie;8;0.0002
causaient;6;0.0001
andouilles;6;0.0001
troublait;6;0.0001
vivait;20;0.0004
poches;17;0.0004
crieur;6;0.0001
première;18;0.0004
temps;42;0.0009
vêtements;14;0.0003
âme;8;0.0002
couleur;13;0.0003
nouvelles;10;0.0002
florent;454;0.0096
venez;15;0.0003
groupes;7;0.0001
causèrent;6;0.0001
forte;31;0.0007
verdures;7;0.0001
revenaient;9;0.0002
fait;150;0.0032
côtés;13;0.0003
sou;18;0.0004
devenaient;9;0.0002
gras;61;0.0013
quelquefois;8;0.0002
clarté;13;0.0003
église;10;0.0002
intérêt;7;0.0001
mauvaise;19;0.0004
sembla;7;0.0001
servait;10;0.0002
baissant;7;0.0001
dites;13;0.0003
payer;13;0.0003
rêver;6;0.0001
mit;31;0.0007
roulement;7;0.0001
main;90;0.0019
boulevard;7;0.0001
bec;11;0.0002
folle;6;0.0001
héritage;19;0.0004
boucles;7;0.0001
gredins;6;0.0001
tapait;11;0.0002
langues;11;0.0002
instant;49;0.001
fouet;6;0.0001
fortement;7;0.0001
donnait;41;0.0009
inspecteur;30;0.0006
bras;83;0.0018
fil;7;0.0001
emplissait;16;0.0003
crépuscule;6;0.0001
tenant;12;0.0003
grands;53;0.0011
occasion;8;0.0002
rester;17;0.0004
lisait;6;0.0001
masse;12;0.0003
chat;7;0.0001
remit;15;0.0003
admiration;10;0.0002
goûtait;6;0.0001
vives;9;0.0002
photographie;9;0.0002
longue;13;0.0003
côtelettes;9;0.0002
malheur;6;0.0001
disant;61;0.0013
tas;63;0.0013
demander;7;0.0001
décidément;8;0.0002
barricade;6;0.0001
traitait;12;0.0003
pays;14;0.0003
bien;285;0.006
