mot;occurrence;frequence
oblique;7;0.0002
nu;33;0.0007
farceur;15;0.0003
charmant;12;0.0003
crétin;14;0.0003
pousser;68;0.0015
œuvre;142;0.0032
rir;14;0.0003
obscur;6;0.0001
questionner;9;0.0002
souple;9;0.0002
averse;8;0.0002
rentrer;54;0.0012
tiède;12;0.0003
rive;9;0.0002
culbuter;8;0.0002
maçon;7;0.0002
précaution;6;0.0001
pavé;25;0.0006
siècle;19;0.0004
plan;18;0.0004
éclatant;8;0.0002
figure;59;0.0013
luire;9;0.0002
véritable;11;0.0002
aise;12;0.0003
effacer;8;0.0002
ébaucher;8;0.0002
sœur;6;0.0001
prononcer;7;0.0002
gai;20;0.0005
homme;118;0.0027
somnolent;6;0.0001
arche;10;0.0002
taire;38;0.0009
confesser;6;0.0001
langue;8;0.0002
central;8;0.0002
zinc;7;0.0002
camarade;77;0.0017
pèr;10;0.0002
formule;17;0.0004
border;9;0.0002
espace;12;0.0003
continuer;71;0.0016
travailleur;6;0.0001
conquête;7;0.0002
poitrine;13;0.0003
tailler;6;0.0001
ider;7;0.0002
assurer;15;0.0003
rouge;51;0.0012
broyer;6;0.0001
paravent;13;0.0003
inventer;7;0.0002
paix;9;0.0002
envoyer;27;0.0006
frappé;8;0.0002
hier;9;0.0002
étonnement;8;0.0002
ricaner;8;0.0002
ramener;8;0.0002
but;7;0.0002
retenir;21;0.0005
nuée;6;0.0001
brutalité;10;0.0002
entier;44;0.001
boue;12;0.0003
farce;12;0.0003
ivre;7;0.0002
doigt;33;0.0007
agir;9;0.0002
amer;6;0.0001
avenir;12;0.0003
résoudre;9;0.0002
étroit;14;0.0003
rabattre;6;0.0001
droite;37;0.0008
aime;12;0.0003
gris;25;0.0006
besogne;32;0.0007
fille;94;0.0021
honneur;25;0.0006
concierge;11;0.0002
accès;6;0.0001
large;40;0.0009
extrême;10;0.0002
pot;13;0.0003
héroïque;6;0.0001
dessiner;8;0.0002
forme;10;0.0002
manche;8;0.0002
difficile;9;0.0002
brutal;14;0.0003
voisin;24;0.0005
tache;17;0.0004
dîner;33;0.0007
fromage;7;0.0002
éclabousser;6;0.0001
éperdre;6;0.0001
économie;6;0.0001
presque;26;0.0006
caprice;8;0.0002
lorsqu’;88;0.002
cent;21;0.0005
tête;162;0.0037
honte;24;0.0005
sortie;12;0.0003
ranger;14;0.0003
néant;6;0.0001
éteindre;15;0.0003
mot;54;0.0012
pourrir;7;0.0002
délicieux;6;0.0001
discret;13;0.0003
réveiller;9;0.0002
pénétrer;13;0.0003
pouvoir;76;0.0017
hanche;12;0.0003
rayonner;6;0.0001
toil;18;0.0004
jory;8;0.0002
rudesse;7;0.0002
raison;21;0.0005
pauvre;55;0.0012
menteur;6;0.0001
rare;15;0.0003
religieux;10;0.0002
paresseux;7;0.0002
user;10;0.0002
cimetière;16;0.0004
aimer;66;0.0015
désir;33;0.0007
foule;42;0.0009
jadi;9;0.0002
maîtresse;17;0.0004
mieux;32;0.0007
botte;6;0.0001
élancer;6;0.0001
choisir;15;0.0003
craindre;22;0.0005
boucher;6;0.0001
doute;62;0.0014
caresse;7;0.0002
voyant;12;0.0003
art;28;0.0006
respirer;8;0.0002
ardent;22;0.0005
pension;6;0.0001
fiche;7;0.0002
veux;12;0.0003
grue;6;0.0001
fillette;7;0.0002
vieux;178;0.004
maigre;15;0.0003
supérieur;8;0.0002
aimable;15;0.0003
répondre;55;0.0012
sourd;18;0.0004
agacer;6;0.0001
mois;62;0.0014
déclarer;21;0.0005
délicatesse;8;0.0002
numéro;12;0.0003
copie;8;0.0002
bronze;8;0.0002
temps;60;0.0014
âme;10;0.0002
couleur;48;0.0011
oubli;8;0.0002
traiter;11;0.0002
tempérament;6;0.0001
égarer;10;0.0002
tremper;14;0.0003
soulager;9;0.0002
plaindre;10;0.0002
fait;26;0.0006
sou;9;0.0002
gras;21;0.0005
talent;23;0.0005
serrer;59;0.0013
clarté;22;0.0005
église;11;0.0002
usage;9;0.0002
