mot;occurrence;frequence
nu;7;0.0004
bénédiction;7;0.0004
action;12;0.0008
pousser;10;0.0006
œuvre;13;0.0008
baioque;6;0.0004
rentrer;9;0.0006
pavé;11;0.0007
siècle;18;0.0011
figure;27;0.0017
effacer;7;0.0004
catholique;11;0.0007
sœur;23;0.0014
homme;62;0.0039
pro;8;0.0005
sensibilité;6;0.0004
m.flamen;6;0.0004
confesser;6;0.0004
langue;13;0.0008
continuer;16;0.001
poitrine;14;0.0009
fragment;9;0.0006
rouge;29;0.0018
envoyer;14;0.0009
ramener;8;0.0005
retenir;9;0.0006
entier;15;0.0009
écho;8;0.0005
doigt;19;0.0012
droite;16;0.001
entièrement;6;0.0004
fille;32;0.002
large;8;0.0005
extrême;6;0.0004
dessiner;6;0.0004
voisin;7;0.0004
çà;7;0.0004
aspiration;8;0.0005
dîner;17;0.0011
presque;97;0.0061
lorsqu’;6;0.0004
tête;73;0.0046
mot;40;0.0025
éteindre;9;0.0006
réveiller;6;0.0004
pouvoir;23;0.0014
raison;20;0.0013
pauvre;39;0.0025
rare;7;0.0004
religieux;30;0.0019
paresseux;9;0.0006
user;11;0.0007
aimer;45;0.0028
désir;15;0.0009
maîtresse;17;0.0011
mieux;11;0.0007
voile;7;0.0004
élancer;6;0.0004
craindre;12;0.0008
doute;8;0.0005
caresse;9;0.0006
respirer;11;0.0007
ardent;9;0.0006
vieux;44;0.0028
maigre;9;0.0006
supérieur;8;0.0005
aimable;8;0.0005
répondre;15;0.0009
sourd;13;0.0008
mois;22;0.0014
maladie;18;0.0011
docteur;33;0.0021
bronze;13;0.0008
temps;79;0.005
âme;36;0.0023
couleur;21;0.0013
fait;7;0.0004
quelquefois;6;0.0004
serrer;14;0.0009
clarté;7;0.0004
église;53;0.0033
intérêt;8;0.0005
remonter;11;0.0007
payer;6;0.0004
pieux;12;0.0008
main;82;0.0052
lointain;9;0.0006
repos;13;0.0008
romain;22;0.0014
instant;14;0.0009
couper;9;0.0006
fête;13;0.0008
monument;8;0.0005
bras;27;0.0017
fil;6;0.0004
sensation;11;0.0007
soulever;8;0.0005
ange;19;0.0012
naturel;9;0.0006
jésus;7;0.0004
rester;35;0.0022
séduction;6;0.0004
paysage;10;0.0006
pénitence;6;0.0004
malheur;6;0.0004
demander;20;0.0013
pays;29;0.0018
bien;89;0.0056
apôtre;7;0.0004
passer;88;0.0055
sorte;32;0.002
vaste;12;0.0008
fleur;25;0.0016
chemin;20;0.0013
renverser;11;0.0007
feuille;11;0.0007
voler;6;0.0004
appuyer;9;0.0006
verre;6;0.0004
spectacle;10;0.0006
humble;9;0.0006
élancement;6;0.0004
fort;12;0.0008
dresser;8;0.0005
prêt;8;0.0005
passé;15;0.0009
soudain;11;0.0007
traversa;6;0.0004
endroit;12;0.0008
traîner;6;0.0004
mouvement;35;0.0022
vol;6;0.0004
fou;12;0.0008
tombe;11;0.0007
vierge;6;0.0004
reposer;6;0.0004
apprendre;6;0.0004
lentement;14;0.0009
baiser;16;0.001
peur;18;0.0011
partout;19;0.0012
trinitaire;9;0.0006
membre;6;0.0004
service;6;0.0004
déjeuner;9;0.0006
comprendre;10;0.0006
ordre;31;0.002
image;22;0.0014
dou;8;0.0005
déchirer;7;0.0004
patience;6;0.0004
impossible;6;0.0004
angoisse;7;0.0004
jamais;27;0.0017
dessin;7;0.0004
presser;9;0.0006
espèce;30;0.0019
perte;6;0.0004
conversion;8;0.0005
continuel;6;0.0004
trop;22;0.0014
sensible;7;0.0004
fond;38;0.0024
oublier;15;0.0009
court;10;0.0006
être;109;0.0069
route;9;0.0006
colonne;18;0.0011
direction;13;0.0008
laisser;46;0.0029
petit;184;0.0116
directeur;11;0.0007
journée;24;0.0015
haut;24;0.0015
arriver;39;0.0025
blesser;7;0.0004
vert;9;0.0006
connaissance;6;0.0004
lever;36;0.0023
religion;21;0.0013
oreille;16;0.001
pensée;25;0.0016
cou;13;0.0008
front;17;0.0011
nuit;34;0.0021
crise;9;0.0006
imprudent;6;0.0004
frais;9;0.0006
leçon;12;0.0008
apercevoir;25;0.0016
saigner;7;0.0004
canapé;9;0.0006
idée;44;0.0028
vue;13;0.0008
peine;20;0.0013
cardinal;11;0.0007
mourir;29;0.0018
demeurer;10;0.0006
retourner;19;0.0012
mémoire;15;0.0009
calèche;8;0.0005
argent;16;0.001
embrasser;18;0.0011
présence;8;0.0005
moral;10;0.0006
prise;6;0.0004
dôme;7;0.0004
allée;10;0.0006
lit;26;0.0016
général;11;0.0007
jaune;19;0.0012
rond;6;0.0004
expliquer;7;0.0004
veille;6;0.0004
italien;28;0.0018
fils;47;0.003
oiseau;6;0.0004
communion;8;0.0005
occupation;6;0.0004
soir;29;0.0018
bouquet;15;0.0009
force;25;0.0016
lendemain;15;0.0009
romaine;7;0.0004
mener;7;0.0004
an;18;0.0011
arc;6;0.0004
rencontre;12;0.0008
cœur;37;0.0023
doux;13;0.0008
remplir;15;0.0009
majesté;6;0.0004
arbre;19;0.0012
compte;8;0.0005
temple;8;0.0005
éloigner;6;0.0004
singulier;6;0.0004
marbre;39;0.0025
échapper;9;0.0006
immobilité;6;0.0004
épaule;10;0.0006
rouler;12;0.0008
plafond;9;0.0006
médecin;18;0.0011
sacrifice;9;0.0006
promenade;20;0.0013
pourtant;15;0.0009
raconter;6;0.0004
laisse;8;0.0005
passion;17;0.0011
chaleur;12;0.0008
goutte;8;0.0005
terrasse;6;0.0004
orgueil;13;0.0008
affection;12;0.0008
suprême;7;0.0004
personne;14;0.0009
poussière;6;0.0004
enfoncer;13;0.0008
furieux;6;0.0004
étroite;6;0.0004
renvoyer;7;0.0004
attachement;8;0.0005
lueur;8;0.0005
apparaître;7;0.0004
passage;7;0.0004
pendre;8;0.0005
bas;12;0.0008
peindre;9;0.0006
remettre;9;0.0006
contemplation;11;0.0007
trouver;71;0.0045
là;18;0.0011
mépris;6;0.0004
cerveau;10;0.0006
demande;16;0.001
imagination;13;0.0008
redoutable;8;0.0005
rappeler;24;0.0015
oh;16;0.001
ecclésiastique;6;0.0004
tirer;11;0.0007
sauter;6;0.0004
gauche;10;0.0006
profondeur;6;0.0004
éclater;7;0.0004
appliquer;6;0.0004
riche;7;0.0004
fièvre;6;0.0004
soleil;30;0.0019
obtenir;7;0.0004
tendre;24;0.0015
approcher;18;0.0011
gros;20;0.0013
seigneur;6;0.0004
rue;33;0.0021
rejeter;8;0.0005
silence;21;0.0013
attacher;15;0.0009
maison;42;0.0026
falloir;34;0.0021
curiosité;10;0.0006
sang;26;0.0016
rayon;12;0.0008
antichambre;7;0.0004
consoler;6;0.0004
ancien;31;0.002
amour;41;0.0026
vide;26;0.0016
léger;13;0.0008
chapeau;10;0.0006
exposer;6;0.0004
dormir;12;0.0008
ailleurs;9;0.0006
coin;19;0.0012
finir;21;0.0013
baisser;8;0.0005
apparence;8;0.0005
prendre;68;0.0043
illusion;14;0.0009
lent;10;0.0006
galerie;11;0.0007
trou;16;0.001
lecture;15;0.0009
arrêter;43;0.0027
messe;10;0.0006
cadre;8;0.0005
crainte;8;0.0005
jeter;40;0.0025
paraître;32;0.002
offrir;8;0.0005
figurer;13;0.0008
genou;20;0.0013
mouchoir;6;0.0004
fatigue;9;0.0006
terre;43;0.0027
fermé;6;0.0004
défendre;8;0.0005
tandis;6;0.0004
jouer;11;0.0007
semblable;6;0.0004
devoir;16;0.001
filet;8;0.0005
marche;25;0.0016
aujourd’hui;10;0.0006
vision;9;0.0006
appartement;12;0.0008
fenêtre;33;0.0021
comtesse;9;0.0006
horizon;9;0.0006
cheval;11;0.0007
martyre;6;0.0004
semaine;18;0.0011
porte;58;0.0037
servir;8;0.0005
appétit;6;0.0004
brûler;6;0.0004
interrompre;6;0.0004
ambassadeur;7;0.0004
splendeur;6;0.0004
siége;6;0.0004
escalier;22;0.0014
événement;6;0.0004
avoir;57;0.0036
répugnance;7;0.0004
campagne;17;0.0011
disparaître;7;0.0004
mystère;10;0.0006
philosophe;6;0.0004
songer;7;0.0004
costume;10;0.0006
poindre;8;0.0005
cacher;14;0.0009
inquiet;7;0.0004
carreau;6;0.0004
haine;7;0.0004
accent;6;0.0004
bon;29;0.0018
livre;41;0.0026
hiver;6;0.0004
monter;27;0.0017
entrée;8;0.0005
toucher;21;0.0013
larme;19;0.0012
objet;11;0.0007
tourmenter;11;0.0007
souffle;14;0.0009
couler;7;0.0004
rose;23;0.0014
jeunesse;6;0.0004
type;6;0.0004
public;8;0.0005
beauté;23;0.0014
droit;13;0.0008
sortir;33;0.0021
étendre;13;0.0008
peuple;26;0.0016
minute;12;0.0008
peut-être;6;0.0004
ornement;6;0.0004
dos;10;0.0006
plier;6;0.0004
molle;7;0.0004
pièce;21;0.0013
cri;9;0.0006
voix;70;0.0044
ville;15;0.0009
précieux;6;0.0004
signe;12;0.0008
hasard;8;0.0005
voiler;7;0.0004
accepter;9;0.0006
opéra;7;0.0004
grâce;19;0.0012
renoncer;6;0.0004
sembler;35;0.0022
plein;11;0.0007
aveugle;6;0.0004
traverser;7;0.0004
moitié;11;0.0007
garçon;6;0.0004
détail;6;0.0004
courant;6;0.0004
dévotion;11;0.0007
nouveau;20;0.0013
travailler;10;0.0006
violet;8;0.0005
table;15;0.0009
moment;63;0.004
trovato;7;0.0004
dire;49;0.0031
jambe;10;0.0006
chaude;7;0.0004
reconnaître;16;0.001
salle;10;0.0006
attention;11;0.0007
chien;13;0.0008
animal;6;0.0004
demain;7;0.0004
besoin;17;0.0011
noyer;6;0.0004
visite;23;0.0014
vainement;8;0.0005
pose;8;0.0005
entraîner;6;0.0004
partir;10;0.0006
promettre;6;0.0004
éclairer;12;0.0008
état;19;0.0012
céleste;10;0.0006
sexe;8;0.0005
froid;13;0.0008
ciel;54;0.0034
secrète;6;0.0004
jaloux;6;0.0004
confiance;7;0.0004
empêcher;9;0.0006
noir;67;0.0042
goûter;7;0.0004
papier;13;0.0008
beaucoup;7;0.0004
froideur;8;0.0005
pareil;20;0.0013
loin;15;0.0009
douleur;13;0.0008
bête;6;0.0004
mettre;68;0.0043
ombre;41;0.0026
colère;11;0.0007
volonté;16;0.001
doucement;8;0.0005
mur;38;0.0024
milieu;36;0.0023
rompre;6;0.0004
étrange;6;0.0004
humanité;8;0.0005
revoir;11;0.0007
lac;7;0.0004
musique;19;0.0012
flotter;6;0.0004
sourire;15;0.0009
confession;10;0.0006
nerveux;9;0.0006
libre;6;0.0004
unique;11;0.0007
éprouver;15;0.0009
humain;27;0.0017
flamme;7;0.0004
hôtel;7;0.0004
dur;14;0.0009
faire;167;0.0105
travers;14;0.0009
mère;109;0.0069
amitié;13;0.0008
permettre;9;0.0006
plaisir;24;0.0015
manquer;7;0.0004
aller;84;0.0053
bouche;33;0.0021
ténèbre;7;0.0004
croix;12;0.0008
garde;10;0.0006
sombre;12;0.0008
préparer;7;0.0004
oraison;6;0.0004
caresser;6;0.0004
adoration;14;0.0009
mêler;17;0.0011
intelligence;28;0.0018
manger;13;0.0008
station;8;0.0005
ruine;12;0.0008
vertu;6;0.0004
intimité;6;0.0004
geste;15;0.0009
abbé;6;0.0004
fin;34;0.0021
chose;41;0.0026
secret;18;0.0011
magnifique;6;0.0004
recherche;6;0.0004
émotion;11;0.0007
âm;10;0.0006
nuage;6;0.0004
venir;87;0.0055
arrivée;9;0.0006
inconnu;8;0.0005
goût;15;0.0009
artiste;7;0.0004
champ;7;0.0004
imitation;6;0.0004
pied;40;0.0025
éclair;7;0.0004
pleine;7;0.0004
pencher;17;0.0011
non;28;0.0018
désert;7;0.0004
rire;6;0.0004
causer;6;0.0004
chair;11;0.0007
perdre;22;0.0014
marcher;18;0.0011
bout;46;0.0029
créature;13;0.0008
étonner;15;0.0009
science;7;0.0004
plaquer;10;0.0006
lettre;18;0.0011
appeler;22;0.0014
étranger;21;0.0013
pleurer;11;0.0007
chambre;49;0.0031
pareille;8;0.0005
bonté;6;0.0004
côte;6;0.0004
retirer;9;0.0006
aussitôt;16;0.001
remuer;7;0.0004
charité;7;0.0004
spirituel;15;0.0009
dieu;7;0.0004
grandeur;6;0.0004
arracher;7;0.0004
salon;17;0.0011
battre;7;0.0004
rendre;8;0.0005
sauver;6;0.0004
maître;20;0.0013
reprendre;23;0.0014
vent;7;0.0004
verdure;10;0.0006
courage;11;0.0007
beau;30;0.0019
exprimer;6;0.0004
frère;39;0.0025
cour;7;0.0004
impression;21;0.0013
souffrir;18;0.0011
air;54;0.0034
enfermer;6;0.0004
face;11;0.0007
sévère;9;0.0006
conversation;9;0.0006
réalité;7;0.0004
souffrance;19;0.0012
ordinaire;6;0.0004
étouffé;9;0.0006
sein;7;0.0004
cabinet;6;0.0004
gouvernement;9;0.0006
heureux;18;0.0011
jardin;7;0.0004
soutenir;11;0.0007
enfer;7;0.0004
note;13;0.0008
velours;7;0.0004
domestique;17;0.0011
princesse;18;0.0011
chef;8;0.0005
barbare;7;0.0004
rêve;6;0.0004
dégoût;7;0.0004
peau;8;0.0005
ami;22;0.0014
envelopper;10;0.0006
douceur;11;0.0007
toilette;6;0.0004
muet;14;0.0009
voir;105;0.0066
entrer;28;0.0018
sainteté;7;0.0004
eau;32;0.002
frapper;9;0.0006
revenir;43;0.0027
malade;34;0.0021
sentiment;21;0.0013
fondre;7;0.0004
félicité;7;0.0004
mouiller;8;0.0005
source;6;0.0004
forcer;7;0.0004
grand;150;0.0094
verser;7;0.0004
trait;6;0.0004
saint;52;0.0033
suite;9;0.0006
ignorer;8;0.0005
famille;11;0.0007
devenir;34;0.0021
naître;10;0.0006
montant;8;0.0005
statue;18;0.0011
vraie;8;0.0005
recevoir;20;0.0013
poudre;9;0.0006
nom;24;0.0015
quitter;17;0.0011
ramasser;6;0.0004
obscurité;9;0.0006
sentir;43;0.0027
cher;15;0.0009
bois;28;0.0018
asseoir;28;0.0018
quartier;10;0.0006
bientôt;14;0.0009
essayer;20;0.0013
divin;20;0.0013
monsieur;300;0.0189
au-dessus;15;0.0009
boutique;10;0.0006
connaître;8;0.0005
affreux;6;0.0004
suspendre;7;0.0004
conscience;26;0.0016
vouloir;74;0.0047
existence;11;0.0007
sortant;6;0.0004
amuser;7;0.0004
âge;9;0.0006
autel;14;0.0009
année;21;0.0013
jouissance;10;0.0006
sauvage;12;0.0008
pierre;29;0.0018
supplice;9;0.0006
chrétien;18;0.0011
tenture;6;0.0004
joie;14;0.0009
forum;7;0.0004
mauvais;10;0.0006
bruit;30;0.0019
répéter;14;0.0009
suivre;13;0.0008
malheureux;12;0.0008
bâton;6;0.0004
lèvre;17;0.0011
sommeil;10;0.0006
débris;6;0.0004
subitement;6;0.0004
vivre;28;0.0018
histoire;18;0.0011
bonheur;21;0.0013
décider;10;0.0006
linguer;10;0.0006
énorme;7;0.0004
femme;142;0.0089
vite;10;0.0006
troubler;6;0.0004
intérieur;16;0.001
éternel;18;0.0011
propre;8;0.0005
sec;7;0.0004
accrocher;6;0.0004
pénitent;11;0.0007
chaise;12;0.0008
tenir;23;0.0014
vrai;8;0.0005
puissance;6;0.0004
théâtre;7;0.0004
midi;8;0.0005
bord;6;0.0004
chemise;7;0.0004
profond;13;0.0008
vif;9;0.0006
sérieux;11;0.0007
mosaïque;8;0.0005
promener;16;0.001
exaltation;6;0.0004
oui;11;0.0007
innocent;7;0.0004
esprit;35;0.0022
œil;13;0.0008
mal;27;0.0017
avancer;16;0.001
expression;9;0.0006
élevé;10;0.0006
nouer;6;0.0004
méchant;6;0.0004
commencer;31;0.002
cuisine;6;0.0004
point;13;0.0008
immense;14;0.0009
paysan;6;0.0004
nombre;6;0.0004
fontaine;7;0.0004
charme;6;0.0004
couvent;9;0.0006
retrouver;20;0.0013
santé;13;0.0008
brusquement;9;0.0006
fer;10;0.0006
départ;6;0.0004
porter;42;0.0026
foi;24;0.0015
coup;45;0.0028
lieu;13;0.0008
chapitre;77;0.0048
privation;6;0.0004
sacrer;10;0.0006
page;10;0.0006
acte;6;0.0004
briser;19;0.0012
haie;7;0.0004
banc;7;0.0004
faiblesse;9;0.0006
voiture;30;0.0019
ici;35;0.0022
emporter;8;0.0005
groupe;6;0.0004
brique;6;0.0004
appel;7;0.0004
brun;8;0.0005
parole;45;0.0028
nature;28;0.0018
