mot;occurrence;frequence
vrai;18;0.0032
compagnes;6;0.0011
ont;9;0.0016
reste;9;0.0016
théâtre;13;0.0023
enfin;25;0.0044
froid;7;0.0012
quatre;8;0.0014
qu’;25;0.0044
soir;42;0.0075
francs;6;0.0011
chemise;9;0.0016
force;12;0.0021
fallait;6;0.0011
lendemain;11;0.002
noir;7;0.0012
cœur;8;0.0014
oui;7;0.0012
loin;7;0.0012
œil;16;0.0028
figure;7;0.0012
mal;14;0.0025
jeta;6;0.0011
te;16;0.0028
prit;11;0.002
bête;17;0.003
verres;10;0.0018
mettre;8;0.0014
homme;48;0.0085
que;11;0.002
gens;25;0.0044
camarades;10;0.0018
cuisine;6;0.0011
habilla;6;0.0011
point;25;0.0044
vin;16;0.0028
…;6;0.0011
rouge;19;0.0034
linge;7;0.0012
fer;6;0.0011
eut;24;0.0043
titine;6;0.0011
but;7;0.0012
or;6;0.0011
minutes;7;0.0012
coup;21;0.0037
était;132;0.0235
venait;9;0.0016
près;20;0.0036
fût;7;0.0012
fille;27;0.0048
faire;46;0.0082
concierge;8;0.0014
mère;11;0.002
tomba;9;0.0016
seulement;7;0.0012
hommes;16;0.0028
bas;20;0.0036
tes;9;0.0016
aller;21;0.0037
larmes;8;0.0014
a;27;0.0048
filles;14;0.0025
bouche;16;0.0028
trouver;6;0.0011
ici;10;0.0018
cria;6;0.0011
là;17;0.003
presque;19;0.0034
commençait;7;0.0012
lorsqu’;8;0.0014
tête;25;0.0044
deux;36;0.0064
mot;7;0.0012
métier;10;0.0018
manger;6;0.0011
;69;0.0123
oh;16;0.0028
heures;17;0.003
pieds;9;0.0016
devait;9;0.0016
faisait;7;0.0012
geste;6;0.0011
autrefois;9;0.0016
semblait;7;0.0012
femmes;21;0.0037
corps;13;0.0023
est;158;0.0281
maîtresse;11;0.002
mieux;10;0.0018
amant;26;0.0046
gorge;14;0.0025
doute;7;0.0012
mesure;6;0.0011
voilà;8;0.0014
poëte;11;0.002
connu;6;0.0011
artiste;8;0.0014
trouvait;7;0.0012
déjà;8;0.0014
habitude;6;0.0011
autres;25;0.0044
police;7;0.0012
pied;6;0.0011
rue;21;0.0037
rouges;10;0.0018
vieux;19;0.0034
maison;12;0.0021
font;6;0.0011
non;18;0.0032
moments;6;0.0011
mains;10;0.0018
rire;6;0.0011
suis;20;0.0036
amants;6;0.0011
fut;61;0.0109
mois;10;0.0018
autre;26;0.0046
pâle;6;0.0011
tout;71;0.0126
voyons;7;0.0012
amour;13;0.0023
vide;6;0.0011
battant;6;0.0011
ouvrit;9;0.0016
première;10;0.0018
temps;21;0.0037
premier;9;0.0016
couleur;10;0.0018
sont;8;0.0014
encore;34;0.0061
lettre;9;0.0016
triste;6;0.0011
comédien;7;0.0012
fleurs;6;0.0011
grande;8;0.0014
souvenir;6;0.0011
fait;28;0.005
sou;6;0.0011
demandant;6;0.0011
chambre;15;0.0027
scène;9;0.0016
fauteuil;11;0.002
ailleurs;9;0.0016
coin;7;0.0012
serait;12;0.0021
ventre;8;0.0014
jeunes;13;0.0023
sais;16;0.0028
peu;22;0.0039
mit;9;0.0016
main;16;0.0028
prendre;11;0.002
ai;38;0.0068
folle;6;0.0011
matin;15;0.0027
très;11;0.002
arrêter;6;0.0011
bras;28;0.005
jusqu’;22;0.0039
jambes;17;0.003
donc;27;0.0048
salon;8;0.0014
aussi;19;0.0034
terre;10;0.0018
nez;15;0.0027
va;12;0.0021
malheur;7;0.0012
tandis;6;0.0011
pu;11;0.002
jouer;6;0.0011
bien;67;0.0119
petite;18;0.0032
venaient;6;0.0011
elle;10;0.0018
vais;8;0.0014
feu;18;0.0032
passer;6;0.0011
toujours;12;0.0021
beau;7;0.0012
reprit;6;0.0011
trois;12;0.0021
jours;26;0.0046
—;27;0.0048
monde;6;0.0011
dit;44;0.0078
faisaient;7;0.0012
air;19;0.0034
maintenant;16;0.0028
regarda;17;0.003
face;8;0.0014
heure;22;0.0039
tel;6;0.0011
as;17;0.003
quant;6;0.0011
verre;14;0.0025
cheveux;12;0.0021
conversation;6;0.0011
sortit;6;0.0011
ainsi;13;0.0023
cependant;13;0.0023
long;11;0.002
avait;123;0.0219
étaient;35;0.0062
été;12;0.0021
tiens;22;0.0039
eh;16;0.0028
comment;6;0.0011
faut;6;0.0011
marthe;92;0.0164
toutes;43;0.0077
lèvres;19;0.0034
porte;33;0.0059
disait;12;0.0021
pont;7;0.0012
pas;165;0.0294
noires;6;0.0011
même;40;0.0071
assit;6;0.0011
boire;6;0.0011
escalier;10;0.0018
avoir;35;0.0062
père;10;0.0018
peau;6;0.0011
ami;10;0.0018
enfant;7;0.0012
eau;18;0.0032
voir;15;0.0027
bonne;11;0.002
regardait;14;0.0025
toi;16;0.0028
attendant;8;0.0014
tant;10;0.0018
jour;22;0.0039
rôle;6;0.0011
tous;53;0.0094
coups;9;0.0016
ginginet;44;0.0078
tour;6;0.0011
malade;10;0.0018
dents;10;0.0018
avaient;12;0.0021
marchand;8;0.0014
écoute;6;0.0011
huit;8;0.0014
grand;12;0.0021
ton;13;0.0023
peur;7;0.0012
bon;13;0.0023
bourdeau;6;0.0011
côté;6;0.0011
murs;6;0.0011
mort;6;0.0011
vint;12;0.0021
yeux;29;0.0052
nom;8;0.0014
voulut;6;0.0011
ne;301;0.0536
rose;12;0.0021
vins;15;0.0027
léo;46;0.0082
jamais;17;0.003
cher;7;0.0012
moins;13;0.0023
premiers;8;0.0014
sortir;6;0.0011
bois;7;0.0012
fit;25;0.0044
leva;12;0.0021
jupes;9;0.0016
dos;7;0.0012
trop;8;0.0014
robe;9;0.0016
sens;8;0.0014
fois;12;0.0021
fond;10;0.0018
monsieur;8;0.0014
bouteilles;7;0.0012
pièce;11;0.002
voix;13;0.0023
misère;12;0.0021
blanche;6;0.0011
oublier;7;0.0012
hasard;8;0.0014
odeur;6;0.0011
tu;78;0.0139
eût;7;0.0012
chercher;8;0.0014
arriva;6;0.0011
être;25;0.0044
laisser;8;0.0014
petit;10;0.0018
journée;6;0.0011
plus;138;0.0246
garçon;6;0.0011
perles;6;0.0011
visage;6;0.0011
cou;6;0.0011
songeait;9;0.0016
nouvelle;7;0.0012
nuit;16;0.0028
nouveau;15;0.0027
sera;6;0.0011
joie;6;0.0011
assez;10;0.0018
table;15;0.0027
ah;24;0.0043
moment;8;0.0014
dire;14;0.0025
paris;7;0.0012
toute;9;0.0016
vue;8;0.0014
peine;10;0.0018
jeune;20;0.0036
«;12;0.0021
place;8;0.0014
aurait;6;0.0011
argent;12;0.0021
pouvait;13;0.0023
salle;19;0.0034
adresse;6;0.0011
femme;52;0.0093
soie;11;0.002
faisant;6;0.0011
vite;8;0.0014
lit;17;0.003
mots;6;0.0011
allait;7;0.0012
vie;32;0.0057
embrassa;6;0.0011
café;7;0.0012
vois;12;0.0021
revint;7;0.0012
seule;7;0.0012
chairs;7;0.0012
alors;39;0.0069
