mot;occurrence;frequence
nu;11;0.0004
accord;8;0.0003
charmant;19;0.0008
pousser;26;0.0011
loque;6;0.0002
souple;10;0.0004
lave;8;0.0003
rentrer;26;0.0011
figure;18;0.0007
sœur;43;0.0018
prononcer;6;0.0002
gai;10;0.0004
homme;171;0.007
aspect;9;0.0004
taire;17;0.0007
épreuve;6;0.0002
flanc;8;0.0003
manière;12;0.0005
camarade;6;0.0002
continuer;17;0.0007
réfléchir;15;0.0006
assurer;11;0.0004
rouge;31;0.0013
envoyer;9;0.0004
hier;6;0.0002
étonnement;8;0.0003
retenir;14;0.0006
futur;6;0.0002
entier;23;0.0009
doigt;25;0.001
agir;15;0.0006
résoudre;6;0.0002
étroit;6;0.0002
droite;31;0.0013
aime;18;0.0007
gris;6;0.0002
fille;141;0.0058
honneur;10;0.0004
large;16;0.0007
extrême;10;0.0004
éperdument;7;0.0003
forme;15;0.0006
répond;8;0.0003
manche;8;0.0003
difficile;12;0.0005
analyse;7;0.0003
voisin;24;0.001
médical;9;0.0004
dîner;25;0.001
presque;67;0.0027
lorsqu’;19;0.0008
cent;8;0.0003
traitement;14;0.0006
tête;94;0.0038
sortie;6;0.0002
mot;37;0.0015
délicieux;11;0.0004
discret;8;0.0003
pénétrer;21;0.0009
réveiller;11;0.0004
pouvoir;48;0.002
raison;21;0.0009
pauvre;29;0.0012
caissier;10;0.0004
enceint;7;0.0003
user;7;0.0003
aimer;107;0.0044
désir;40;0.0016
foule;23;0.0009
maîtresse;14;0.0006
mieux;34;0.0014
élancer;13;0.0005
choisir;10;0.0004
craindre;6;0.0002
boucher;6;0.0002
doute;27;0.0011
caresse;12;0.0005
voyant;6;0.0002
ardent;12;0.0005
veux;9;0.0004
fillette;19;0.0008
vieux;67;0.0027
duchesse;21;0.0009
maigre;10;0.0004
thermal;12;0.0005
supérieur;10;0.0004
aimable;8;0.0003
répondre;95;0.0039
balbutia;10;0.0004
considérer;6;0.0002
mois;30;0.0012
galant;7;0.0003
maladie;15;0.0006
déclarer;9;0.0004
docteur;164;0.0067
instinct;9;0.0004
temps;63;0.0026
âme;45;0.0018
couleur;8;0.0003
traiter;8;0.0003
fait;16;0.0007
quelquefois;9;0.0004
serrer;24;0.001
clarté;9;0.0004
église;9;0.0004
intérêt;10;0.0004
remonter;13;0.0005
payer;14;0.0006
rêver;9;0.0004
atteindre;10;0.0004
main;124;0.0051
vallon;15;0.0006
repos;9;0.0004
cha;12;0.0005
instant;18;0.0007
couper;7;0.0003
fête;11;0.0004
inspecteur;17;0.0007
bras;80;0.0033
sensation;11;0.0004
soulever;12;0.0005
naturel;10;0.0004
rester;45;0.0018
principe;6;0.0002
rapide;22;0.0009
malheur;7;0.0003
demander;86;0.0035
pays;63;0.0026
bien;290;0.0119
morne;16;0.0007
lier;8;0.0003
souffler;10;0.0004
passer;90;0.0037
frôler;6;0.0002
minéral;16;0.0007
projet;7;0.0003
sorte;20;0.0008
actionnaire;6;0.0002
prétendre;6;0.0002
nourriture;6;0.0002
paille;8;0.0003
vaste;13;0.0005
heurter;6;0.0002
fleur;14;0.0006
