mot;occurrence;frequence
nu;35;0.0007
charmant;13;0.0003
pousser;82;0.0017
vexer;20;0.0004
rir;28;0.0006
tribune;18;0.0004
questionner;11;0.0002
souple;12;0.0002
obscur;9;0.0002
averse;8;0.0002
rentrer;34;0.0007
tiède;15;0.0003
pavé;16;0.0003
monte;6;0.0001
laure;7;0.0001
foyer;21;0.0004
plan;10;0.0002
figure;56;0.0011
luire;12;0.0002
véritable;7;0.0001
aise;13;0.0003
effacer;9;0.0002
écurie;23;0.0005
prononcer;7;0.0001
gai;17;0.0003
homme;339;0.0068
livide;6;0.0001
foire;6;0.0001
taire;48;0.001
rattraper;7;0.0001
langue;7;0.0001
manière;8;0.0002
camarade;12;0.0002
dédaigneux;7;0.0001
polir;8;0.0002
récrier;6;0.0001
continuer;57;0.0011
canne;7;0.0001
poitrine;17;0.0003
ider;8;0.0002
assurer;16;0.0003
rouge;77;0.0015
envoyer;29;0.0006
inventer;9;0.0002
paix;29;0.0006
frappé;7;0.0001
hier;21;0.0004
étonnement;11;0.0002
ricaner;8;0.0002
ramener;19;0.0004
retenir;25;0.0005
nuée;7;0.0001
brutalité;10;0.0002
entier;30;0.0006
boue;13;0.0003
farce;8;0.0002
papa;10;0.0002
doigt;36;0.0007
agir;13;0.0003
résoudre;7;0.0001
étroit;8;0.0002
rabattre;8;0.0002
droite;36;0.0007
aime;8;0.0002
gris;26;0.0005
longuement;9;0.0002
coiffure;6;0.0001
fille;155;0.0031
honneur;23;0.0005
concierge;27;0.0005
accès;6;0.0001
large;32;0.0006
pot;13;0.0003
forme;8;0.0002
mou;10;0.0002
manche;6;0.0001
brutal;16;0.0003
voisin;28;0.0006
entamer;7;0.0001
bile;6;0.0001
dîner;52;0.001
tache;25;0.0005
presque;26;0.0005
caprice;21;0.0004
lorsqu’;100;0.002
cent;32;0.0006
tête;205;0.0041
honte;19;0.0004
sortie;10;0.0002
ranger;12;0.0002
jardinier;14;0.0003
mot;99;0.002
éteindre;11;0.0002
estelle;26;0.0005
délicieux;7;0.0001
discret;16;0.0003
ivresse;14;0.0003
