mot;occurrence;frequence
ont;20;0.001
charmant;13;0.0007
enfin;30;0.0015
baron;6;0.0003
quatre;12;0.0006
œuvre;9;0.0005
souple;6;0.0003
figure;21;0.0011
cœurs;9;0.0005
visites;7;0.0004
homme;88;0.0045
pris;17;0.0009
pensait;19;0.001
né;6;0.0003
gens;21;0.0011
détails;6;0.0003
manière;7;0.0004
coquette;9;0.0005
comprit;9;0.0005
conquête;6;0.0003
possible;8;0.0004
parfois;16;0.0008
auteuil;16;0.0008
eut;46;0.0024
or;8;0.0004
entier;6;0.0003
papa;8;0.0004
tut;8;0.0004
droite;13;0.0007
aime;52;0.0027
gris;6;0.0003
debout;14;0.0007
fille;21;0.0011
large;8;0.0004
artistes;14;0.0007
a;92;0.0047
objets;10;0.0005
dîner;22;0.0011
noire;12;0.0006
étant;7;0.0004
dû;11;0.0006
semblaient;17;0.0009
désirs;6;0.0003
presque;69;0.0035
lorsqu’;15;0.0008
tête;36;0.0019
sortie;6;0.0003
deux;125;0.0064
mot;12;0.0006
délicieux;9;0.0005
ivresse;10;0.0005
pouvoir;13;0.0007
raison;11;0.0006
heures;46;0.0024
pieds;17;0.0009
pauvre;11;0.0006
rare;10;0.0005
voulait;14;0.0007
femmes;75;0.0039
aimer;32;0.0016
désir;26;0.0013
montrait;6;0.0003
maîtresse;24;0.0012
mieux;25;0.0013
allez;9;0.0005
doute;17;0.0009
maltry;17;0.0009
caresse;6;0.0003
satisfaite;8;0.0004
voyant;6;0.0003
art;12;0.0006
veux;14;0.0007
fillette;6;0.0003
vieux;7;0.0004
furent;9;0.0005
aimez;9;0.0005
font;7;0.0004
répondre;6;0.0003
balbutia;6;0.0003
mois;22;0.0011
vivait;7;0.0004
tourmenté;6;0.0003
instinct;8;0.0004
inexprimable;9;0.0005
première;24;0.0012
temps;54;0.0028
âme;62;0.0032
reconnaissance;8;0.0004
fait;117;0.006
quelquefois;8;0.0004
écrivit;8;0.0004
intérêt;7;0.0004
reconnaissant;6;0.0003
dites;6;0.0003
mit;40;0.0021
main;34;0.0017
donnait;8;0.0004
approcha;8;0.0004
fuite;9;0.0005
bras;43;0.0022
bibelots;6;0.0003
sensation;16;0.0008
grands;23;0.0012
naturel;8;0.0004
rester;10;0.0005
séduction;10;0.0005
