mot;occurrence;frequence
pousser;20;0.0016
œuvre;15;0.0012
souple;6;0.0005
rentrer;24;0.0019
foyer;6;0.0005
figure;21;0.0017
effacer;6;0.0005
prononcer;10;0.0008
homme;96;0.0077
aspect;6;0.0005
taire;14;0.0011
manière;18;0.0014
continuer;8;0.0006
réfléchir;9;0.0007
poitrine;6;0.0005
rouge;9;0.0007
retenir;6;0.0005
entier;13;0.001
doigt;10;0.0008
agir;19;0.0015
étroit;6;0.0005
droite;8;0.0006
gris;6;0.0005
fille;17;0.0014
large;13;0.001
forme;7;0.0006
voisin;11;0.0009
dîner;22;0.0018
presque;37;0.003
navire;19;0.0015
lorsqu’;12;0.001
cent;8;0.0006
tête;38;0.003
mot;30;0.0024
réveiller;6;0.0005
pénétrer;6;0.0005
pouvoir;35;0.0028
raison;18;0.0014
liqueur;9;0.0007
pauvre;31;0.0025
rare;8;0.0006
aimer;58;0.0046
désir;12;0.001
foule;11;0.0009
mieux;12;0.001
voile;7;0.0006
choisir;6;0.0005
doute;22;0.0018
caresse;8;0.0006
voyant;6;0.0005
vieux;22;0.0018
capitaine;22;0.0018
répondre;48;0.0038
mois;19;0.0015
déclarer;8;0.0006
docteur;42;0.0034
temps;47;0.0037
âme;26;0.0021
paternel;9;0.0007
tempérament;9;0.0007
brasserie;7;0.0006
fait;14;0.0011
talent;6;0.0005
quelquefois;6;0.0005
serrer;15;0.0012
intérêt;13;0.001
matelot;8;0.0006
rêver;7;0.0006
atteindre;6;0.0005
main;74;0.0059
bec;7;0.0006
lointain;7;0.0006
héritage;19;0.0015
repos;9;0.0007
instant;12;0.001
couper;6;0.0005
bras;39;0.0031
soulever;13;0.001
naturel;14;0.0011
rester;21;0.0017
rapide;6;0.0005
tas;6;0.0005
demander;50;0.004
pays;6;0.0005
bien;153;0.0122
passer;52;0.0041
brouillard;8;0.0006
prétendre;6;0.0005
vaste;6;0.0005
fleur;8;0.0006
appuyer;6;0.0005
verre;24;0.0019
varech;6;0.0005
fort;29;0.0023
étage;6;0.0005
seconde;9;0.0007
pont;6;0.0005
soudain;25;0.002
gagner;14;0.0011
traîner;6;0.0005
mouvement;25;0.002
bock;10;0.0008
fou;7;0.0006
détresse;6;0.0005
dévoiler;6;0.0005
guère;9;0.0007
lentement;9;0.0007
surprise;6;0.0005
baiser;14;0.0011
peur;13;0.001
mystérieux;6;0.0005
circonstance;7;0.0006
cause;12;0.001
pharmacien;6;0.0005
marowsko;15;0.0012
regret;6;0.0005
déjeuner;10;0.0008
comprendre;40;0.0032
ordre;9;0.0007
distinguer;10;0.0008
ensemble;8;0.0006
situation;9;0.0007
tromper;15;0.0012
impossible;8;0.0006
angoisse;6;0.0005
pur;6;0.0005
jamais;65;0.0052
certainement;7;0.0006
allumer;6;0.0005
opinion;8;0.0006
chance;8;0.0006
commun;6;0.0005
trop;31;0.0025
fond;23;0.0018
oublier;16;0.0013
flot;7;0.0006
court;8;0.0006
commander;6;0.0005
courir;16;0.0013
être;145;0.0116
route;10;0.0008
laisser;24;0.0019
petit;100;0.008
haut;11;0.0009
barbe;11;0.0009
arriver;25;0.002
connaissance;8;0.0006
tranquille;9;0.0007
lever;43;0.0034
prochain;10;0.0008
oreille;8;0.0006
pensée;30;0.0024
nuit;12;0.001
apercevoir;33;0.0026
idée;34;0.0027
vue;16;0.0013
peine;19;0.0015
mourir;11;0.0009
demeurer;24;0.0019
retourner;11;0.0009
mémoire;7;0.0006
argent;21;0.0017
embrasser;21;0.0017
adresse;6;0.0005
présence;7;0.0006
soupir;7;0.0006
confus;6;0.0005
lit;20;0.0016
présenter;6;0.0005
jaune;6;0.0005
rond;7;0.0006
expliquer;11;0.0009
tendance;7;0.0006
veille;9;0.0007
avis;7;0.0006
miniature;7;0.0006
fils;89;0.0071
soir;29;0.0023
bouquet;6;0.0005
force;17;0.0014
bougie;8;0.0006
lendemain;11;0.0009
an;19;0.0015
cœur;36;0.0029
doux;15;0.0012
tai;6;0.0005
galet;6;0.0005
échapper;6;0.0005
épaule;10;0.0008
médecin;18;0.0014
résolution;14;0.0011
promenade;9;0.0007
pourtant;17;0.0014
raconter;9;0.0007
laisse;9;0.0007
passion;7;0.0006
craintif;6;0.0005
bureau;6;0.0005
linge;9;0.0007
simplement;8;0.0006
lutte;6;0.0005
arrière;10;0.0008
enfoncer;8;0.0006
phare;6;0.0005
contempler;11;0.0009
crisper;9;0.0007
vendre;7;0.0006
apparaître;10;0.0008
espérer;9;0.0007
bas;10;0.0008
principal;6;0.0005
remettre;13;0.001
trouver;56;0.0045
là;20;0.0016
imagination;6;0.0005
rappeler;12;0.001
calme;9;0.0007
oh;11;0.0009
tirer;11;0.0009
gauche;7;0.0006
riche;17;0.0014
soleil;10;0.0008
obtenir;6;0.0005
tendre;28;0.0022
approcher;10;0.0008
gros;21;0.0017
rue;28;0.0022
inutile;8;0.0006
rejeter;8;0.0006
bonhomme;11;0.0009
transatlantique;7;0.0006
maison;34;0.0027
silence;11;0.0009
falloir;77;0.0061
veuve;14;0.0011
sujet;7;0.0006
ramer;8;0.0006
sang;7;0.0006
envier;6;0.0005
ancien;12;0.001
léger;22;0.0018
vide;11;0.0009
amour;22;0.0018
chapeau;11;0.0009
charger;7;0.0006
planche;6;0.0005
dormir;16;0.0013
ailleurs;22;0.0018
bâtiment;6;0.0005
baisser;6;0.0005
finir;19;0.0015
ventre;13;0.001
remords;6;0.0005
composer;8;0.0006
prendre;91;0.0073
illusion;9;0.0007
lent;6;0.0005
arrêter;16;0.0013
crainte;6;0.0005
jeter;30;0.0024
paraître;24;0.0019
offrir;12;0.001
voyage;6;0.0005
terre;20;0.0016
fermé;7;0.0006
tandis;16;0.0013
devoir;54;0.0043
filet;8;0.0006
juge;7;0.0006
marche;9;0.0007
intention;7;0.0006
aujourd’hui;24;0.0019
douloureux;9;0.0007
prévoir;9;0.0007
appartement;13;0.001
fenêtre;12;0.001
horizon;11;0.0009
découvrir;14;0.0011
cheval;6;0.0005
brave;7;0.0006
