mot;occurrence;frequence
oblique;7;0.0001
nu;28;0.0006
accord;8;0.0002
charmant;19;0.0004
pousser;88;0.0019
vexer;7;0.0001
rir;12;0.0003
obscur;7;0.0001
questionner;8;0.0002
souple;7;0.0001
rentrer;60;0.0013
tiède;12;0.0003
lapin;7;0.0001
précaution;8;0.0002
pavé;8;0.0002
plan;8;0.0002
figure;23;0.0005
châl;10;0.0002
luire;11;0.0002
véritable;8;0.0002
aise;12;0.0003
clémence;13;0.0003
effacer;11;0.0002
sœur;73;0.0015
prononcer;7;0.0001
gai;9;0.0002
homme;267;0.0057
embrocher;6;0.0001
confier;16;0.0003
taire;31;0.0007
rattraper;7;0.0001
ténor;7;0.0001
romance;8;0.0002
confesser;7;0.0001
langue;11;0.0002
pèr;8;0.0002
dédaigneux;7;0.0001
border;6;0.0001
polir;7;0.0001
récrier;7;0.0001
continuer;80;0.0017
réfléchir;17;0.0004
poitrine;15;0.0003
assurer;19;0.0004
rouge;48;0.001
envoyer;28;0.0006
inventer;8;0.0002
paix;22;0.0005
égout;6;0.0001
supplie;6;0.0001
hier;18;0.0004
étonnement;9;0.0002
ramener;20;0.0004
retenir;39;0.0008
brutalité;7;0.0001
entier;20;0.0004
ivre;8;0.0002
papa;10;0.0002
farce;6;0.0001
doigt;34;0.0007
agir;20;0.0004
avenir;7;0.0001
résoudre;17;0.0004
étroit;17;0.0004
droite;18;0.0004
gris;12;0.0003
besogne;17;0.0004
corvée;8;0.0002
fade;6;0.0001
fille;286;0.0061
honneur;45;0.001
concierge;37;0.0008
accès;10;0.0002
large;25;0.0005
pot;12;0.0003
brutal;12;0.0003
voisin;38;0.0008
tache;16;0.0003
dîner;62;0.0013
économie;6;0.0001
presque;15;0.0003
lorsqu’;111;0.0024
cent;18;0.0004
tête;180;0.0038
honte;27;0.0006
sortie;15;0.0003
ranger;11;0.0002
mot;80;0.0017
éteindre;11;0.0002
ivresse;10;0.0002
discret;7;0.0001
pénétrer;13;0.0003
réveiller;16;0.0003
pouvoir;78;0.0017
raison;32;0.0007
samedi;9;0.0002
pauvre;74;0.0016
enceint;6;0.0001
rare;11;0.0002
religieux;9;0.0002
cimetière;6;0.0001
aimer;105;0.0022
désir;32;0.0007
maîtresse;32;0.0007
mieux;85;0.0018
botte;8;0.0002
choisir;12;0.0003
pantalon;7;0.0001
craindre;17;0.0004
doute;83;0.0018
caresse;10;0.0002
voyant;26;0.0006
dépense;7;0.0001
respirer;6;0.0001
fantaisie;6;0.0001
ardent;16;0.0003
pension;8;0.0002
fiche;25;0.0005
veux;8;0.0002
fillette;6;0.0001
vieux;97;0.0021
maigre;25;0.0005
terrifier;6;0.0001
satisfait;6;0.0001
supérieur;6;0.0001
aimable;36;0.0008
répondre;94;0.002
balbutia;18;0.0004
sourd;15;0.0003
mois;49;0.001
idéal;9;0.0002
maladie;11;0.0002
déclarer;49;0.001
délicatesse;9;0.0002
docteur;76;0.0016
numéro;10;0.0002
chœur;13;0.0003
instinct;7;0.0001
cravate;10;0.0002
temps;85;0.0018
âme;11;0.0002
couleur;6;0.0001
exprès;6;0.0001
débarbouiller;9;0.0002
traiter;15;0.0003
reconnaissance;8;0.0002
cadeau;20;0.0004
soulager;21;0.0004
tremper;13;0.0003
magasin;42;0.0009
plaindre;29;0.0006
sou;19;0.0004
fait;26;0.0006
gras;18;0.0004
talent;6;0.0001
serrer;56;0.0012
clarté;13;0.0003
église;35;0.0007
intérêt;19;0.0004
remonter;27;0.0006
carrémer;13;0.0003
payer;61;0.0013
tâcha;9;0.0002
mentir;7;0.0001
rêver;18;0.0004
main;167;0.0035
bec;8;0.0002
lointain;14;0.0003
repos;7;0.0001
instant;63;0.0013
couper;24;0.0005
fête;14;0.0003
fortement;7;0.0001
fuite;6;0.0001
sous-sol;11;0.0002
bras;98;0.0021
fouiller;22;0.0005
soulever;10;0.0002
occasion;22;0.0005
idiot;10;0.0002
écart;9;0.0002
grenier;13;0.0003
monseigneur;6;0.0001
rester;175;0.0037
chat;9;0.0002
naturel;12;0.0003
principe;8;0.0002
omnibus;6;0.0001
avocat;6;0.0001
malheur;26;0.0006
disant;11;0.0002
tas;9;0.0002
demander;160;0.0034
décidément;21;0.0004
pays;6;0.0001
bien;410;0.0087
tapage;7;0.0001
morne;7;0.0001
souffler;17;0.0004
passer;161;0.0034
malaise;16;0.0003
projet;6;0.0001
complaisance;12;0.0003
sorte;25;0.0005
vestibule;16;0.0003
nourriture;7;0.0001
vaste;6;0.0001
barrer;6;0.0001
fleur;32;0.0007
chemin;8;0.0002
violemment;18;0.0004
renverser;13;0.0003
voler;22;0.0005
regarda;12;0.0003
appuyer;11;0.0002
sirop;7;0.0001
faillir;8;0.0002
taper;17;0.0004
verre;22;0.0005
spectacle;8;0.0002
oncle;156;0.0033
indifférence;6;0.0001
extraordinaire;16;0.0003
gonfler;6;0.0001
cousin;34;0.0007
madameduveyrier;36;0.0008
fort;57;0.0012
étage;40;0.0008
maussade;7;0.0001
prêt;11;0.0002
gaieté;17;0.0004
verdier;9;0.0002
cruel;10;0.0002
passé;6;0.0001
gagner;34;0.0007
endroit;9;0.0002
rapidement;9;0.0002
estimer;6;0.0001
traîner;36;0.0008
mouvement;24;0.0005
agrément;7;0.0001
sucre;14;0.0003
violence;16;0.0003
habituer;9;0.0002
exiger;19;0.0004
léon;13;0.0003
éclat;11;0.0002
pudeur;6;0.0001
fou;50;0.0011
tombe;12;0.0003
rôle;16;0.0003
solennel;12;0.0003
effrayer;6;0.0001
fixement;8;0.0002
vierge;10;0.0002
renseignement;7;0.0001
reposer;6;0.0001
guère;15;0.0003
apprendre;27;0.0006
lentement;23;0.0005
surprise;38;0.0008
baiser;39;0.0008
déshabiller;19;0.0004
aiguille;7;0.0001
violer;7;0.0001
peur;63;0.0013
partout;17;0.0004
déranger;25;0.0005
membre;15;0.0003
cause;21;0.0004
circonstance;7;0.0001
service;33;0.0007
davantage;43;0.0009
regret;10;0.0002
déjeuner;29;0.0006
comprendre;83;0.0018
ordre;31;0.0007
image;6;0.0001
avaler;7;0.0001
chasser;11;0.0002
distraction;6;0.0001
ensemble;20;0.0004
casserole;8;0.0002
situation;27;0.0006
satisfaction;8;0.0002
tromper;20;0.0004
stupide;9;0.0002
épuiser;10;0.0002
assise;6;0.0001
double;7;0.0001
patience;6;0.0001
madamedambreville;19;0.0004
impossible;13;0.0003
angoisse;15;0.0003
jamais;188;0.004
demoiselle;28;0.0006
exhaler;6;0.0001
certainement;13;0.0003
allumer;20;0.0004
opinion;12;0.0003
murmure;6;0.0001
presser;22;0.0005
placer;15;0.0003
patte;8;0.0002
chance;13;0.0003
viande;11;0.0002
supporter;6;0.0001
continuel;16;0.0003
coupable;12;0.0003
gifler;9;0.0002
souriant;11;0.0002
trop;158;0.0034
fond;108;0.0023
restaurant;6;0.0001
conduite;9;0.0002
attendrissement;13;0.0003
reculer;21;0.0004
désespérer;17;0.0004
oublier;56;0.0012
flot;21;0.0004
court;9;0.0002
sévèrement;7;0.0001
voleur;10;0.0002
déclara;14;0.0003
saleté;9;0.0002
courir;22;0.0005
être;336;0.0071
flatter;13;0.0003
laisser;111;0.0024
petit;262;0.0056
haut;63;0.0013
barbe;12;0.0003
journée;23;0.0005
change;8;0.0002
arriver;98;0.0021
blesser;13;0.0003
buffet;8;0.0002
tranquille;43;0.0009
connaissance;8;0.0002
lever;91;0.0019
prochain;14;0.0003
religion;17;0.0004
fourneau;8;0.0002
oreille;58;0.0012
pensée;17;0.0004
rejoindre;13;0.0003
cou;32;0.0007
exemple;23;0.0005
front;20;0.0004
nuit;86;0.0018
bal;15;0.0003
éclata;13;0.0003
crise;26;0.0006
frais;12;0.0003
révolution;6;0.0001
leçon;14;0.0003
silencieux;11;0.0002
fiacr;10;0.0002
cigare;11;0.0002
apercevoir;73;0.0015
absence;6;0.0001
saigner;13;0.0003
canapé;18;0.0004
idée;106;0.0022
convoi;7;0.0001
ravir;11;0.0002
vue;34;0.0007
peine;60;0.0013
queue;8;0.0002
attaque;13;0.0003
mourir;41;0.0009
passionner;12;0.0003
continua;19;0.0004
retourner;48;0.001
demeurer;19;0.0004
commerce;21;0.0004
ému;9;0.0002
refuser;52;0.0011
argent;78;0.0017
embrasser;36;0.0008
tâter;7;0.0001
nourrir;14;0.0003
égal;8;0.0002
présence;19;0.0004
gamme;7;0.0001
adresse;21;0.0004
moral;6;0.0001
soupir;10;0.0002
prise;22;0.0005
tordre;7;0.0001
las;16;0.0003
marier;67;0.0014
lit;78;0.0017
présenter;22;0.0005
jaune;18;0.0004
glacer;22;0.0005
façade;8;0.0002
rond;10;0.0002
expliquer;48;0.001
drôle;32;0.0007
madamepichon;6;0.0001
avis;8;0.0002
veille;45;0.001
fils;31;0.0007
tranquillement;17;0.0004
glace;20;0.0004
écriture;8;0.0002
lassitude;7;0.0001
soir;119;0.0025
raide;10;0.0002
bouquet;9;0.0002
force;30;0.0006
bougie;24;0.0005
lendemain;40;0.0008
commis;6;0.0001
an;98;0.0021
facture;9;0.0002
mener;19;0.0004
bonsoir;8;0.0002
rencontre;9;0.0002
cœur;45;0.001
doux;19;0.0004
malpropre;10;0.0002
accabler;17;0.0004
remplir;7;0.0001
soierie;8;0.0002
auprès;19;0.0004
compte;14;0.0003
singulier;6;0.0001
éloigner;6;0.0001
marbre;12;0.0003
échapper;33;0.0007
politesse;12;0.0003
cas;12;0.0003
lustre;6;0.0001
liberté;6;0.0001
victoire;23;0.0005
couche;18;0.0004
rouler;27;0.0006
épaule;64;0.0014
plafond;8;0.0002
conseiller;45;0.001
trouva;6;0.0001
médecin;16;0.0003
train;30;0.0006
promenade;8;0.0002
pourtant;100;0.0021
mécanique;6;0.0001
ménage;62;0.0013
nécessaire;8;0.0002
emplir;25;0.0005
raconter;27;0.0006
laisse;7;0.0001
passion;27;0.0006
devint;7;0.0001
féliciter;7;0.0001
chaleur;15;0.0003
discussion;6;0.0001
bureau;21;0.0004
impatience;7;0.0001
mourant;13;0.0003
thé;6;0.0001
linge;19;0.0004
simplement;55;0.0012
détester;9;0.0002
vider;17;0.0004
affection;9;0.0002
grandir;9;0.0002
personne;17;0.0004
redouter;14;0.0003
enfoncer;14;0.0003
grêle;6;0.0001
contempler;9;0.0002
furieux;33;0.0007
amie;18;0.0004
étroite;23;0.0005
renvoyer;20;0.0004
phras;15;0.0003
meilleur;12;0.0003
cocotte;7;0.0001
résigner;18;0.0004
vendre;20;0.0004
prouver;10;0.0002
passage;20;0.0004
passaient;7;0.0001
journal;6;0.0001
espérer;19;0.0004
pardonner;8;0.0002
clotilde;36;0.0008
pendre;10;0.0002
bas;18;0.0004
pincer;20;0.0004
parut;13;0.0003
souhaiter;16;0.0003
pichon;8;0.0002
curieux;6;0.0001
remettre;59;0.0013
parla;16;0.0003
ensembl;9;0.0002
trouver;242;0.0051
recommander;8;0.0002
mépris;19;0.0004
là;53;0.0011
abominable;15;0.0003
récompenser;6;0.0001
demande;20;0.0004
succès;8;0.0002
rappeler;31;0.0007
intéresser;17;0.0004
profonde;11;0.0002
oh;81;0.0017
calme;8;0.0002
grasse;7;0.0001
préoccuper;6;0.0001
tirer;55;0.0012
bourse;8;0.0002
sauter;13;0.0003
gauche;32;0.0007
sangloter;16;0.0003
conclure;12;0.0003
gentillesse;6;0.0001
bousculer;7;0.0001
accoucher;10;0.0002
éclater;27;0.0006
élargir;12;0.0003
égayer;10;0.0002
amant;30;0.0006
chatouiller;6;0.0001
ébranler;8;0.0002
gêner;32;0.0007
riche;18;0.0004
échanger;30;0.0006
bouton;13;0.0003
poignet;8;0.0002
fièvre;17;0.0004
réflexion;12;0.0003
soleil;6;0.0001
obtenir;10;0.0002
tendre;60;0.0013
bégayer;32;0.0007
approcher;15;0.0003
ajouta;32;0.0007
clouer;8;0.0002
gros;71;0.0015
seigneur;6;0.0001
rue;141;0.003
dégoûter;7;0.0001
inutile;15;0.0003
produire;9;0.0002
convenable;18;0.0004
silence;83;0.0018
bonhomme;6;0.0001
maison;201;0.0043
supplier;17;0.0004
mine;11;0.0002
cruche;7;0.0001
falloir;169;0.0036
veuve;11;0.0002
curiosité;19;0.0004
sujet;21;0.0004
vêtir;15;0.0003
logement;6;0.0001
sang;36;0.0008
madamejosserand;35;0.0007
mademoiselle;11;0.0002
envier;8;0.0002
antichambre;30;0.0006
rayon;8;0.0002
consoler;10;0.0002
ancien;44;0.0009
amour;41;0.0009
vide;36;0.0008
léger;30;0.0006
chapeau;23;0.0005
charger;18;0.0004
galop;8;0.0002
hâter;15;0.0003
planche;10;0.0002
surpris;15;0.0003
salir;10;0.0002
engager;14;0.0003
colique;10;0.0002
dormir;45;0.001
blagu;6;0.0001
casser;23;0.0005
ailleurs;121;0.0026
coin;52;0.0011
finir;131;0.0028
inutilement;6;0.0001
baisser;27;0.0006
ventre;46;0.001
poids;6;0.0001
prendre;232;0.0049
menu;7;0.0001
lent;6;0.0001
trou;16;0.0003
lecture;6;0.0001
arrêter;43;0.0009
messe;11;0.0002
loyer;10;0.0002
gêne;17;0.0004
crainte;14;0.0003
jeter;102;0.0022
scandale;22;0.0005
essouffler;7;0.0001
paraître;62;0.0013
crème;6;0.0001
offrir;21;0.0004
rougir;21;0.0004
voyage;8;0.0002
genou;17;0.0004
beurre;12;0.0003
mouchoir;6;0.0001
discrétion;10;0.0002
duveyrier;108;0.0023
fatigue;13;0.0003
terre;28;0.0006
fermé;9;0.0002
remplacer;6;0.0001
défendre;28;0.0006
cracher;9;0.0002
agiter;6;0.0001
tandis;74;0.0016
essuyer;8;0.0002
jouer;19;0.0004
vou;21;0.0004
devoir;239;0.0051
attarder;7;0.0001
canaille;10;0.0002
nécessité;9;0.0002
filet;7;0.0001
insister;9;0.0002
bougeoir;6;0.0001
moralité;8;0.0002
estomac;7;0.0001
marche;25;0.0005
elle;19;0.0004
regretter;22;0.0005
contrat;10;0.0002
aujourd’hui;23;0.0005
déborder;8;0.0002
tapis;9;0.0002
douloureux;9;0.0002
embarrasser;13;0.0003
prévoir;7;0.0001
plainte;7;0.0001
appartement;38;0.0008
fenêtre;74;0.0016
reprocher;13;0.0003
demi-voi;8;0.0002
madamejuzeur;23;0.0005
tort;20;0.0004
précipiter;9;0.0002
découcher;6;0.0001
découvrir;10;0.0002
cheval;13;0.0003
brave;12;0.0003
vivement;17;0.0004
vitre;8;0.0002
débauche;7;0.0001
chaire;6;0.0001
douter;9;0.0002
rapport;11;0.0002
semaine;26;0.0006
nue;11;0.0002
fourrer;9;0.0002
porte;243;0.0052
mariage;77;0.0016
servir;26;0.0006
appétit;16;0.0003
réussir;7;0.0001
brûler;23;0.0005
interrompre;11;0.0002
exaspération;7;0.0001
boire;28;0.0006
escalier;89;0.0019
madamedambrevill;22;0.0005
vaisselle;9;0.0002
catastrophe;14;0.0003
avoir;313;0.0066
cocher;24;0.0005
répugnance;7;0.0001
somme;17;0.0004
campagne;11;0.0002
rage;21;0.0004
blême;9;0.0002
avouer;23;0.0005
affecter;29;0.0006
moindre;17;0.0004
aurai;6;0.0001
mystère;7;0.0001
disparaître;25;0.0005
bouleverser;18;0.0004
entêter;17;0.0004
songer;41;0.0009
torturer;9;0.0002
poindre;6;0.0001
cacher;54;0.0011
patron;8;0.0002
inquiet;40;0.0008
rancune;9;0.0002
haine;11;0.0002
poing;8;0.0002
teint;12;0.0003
attitude;10;0.0002
bon;226;0.0048
imposer;6;0.0001
reine;6;0.0001
