mot;occurrence;frequence
roulé;9;0.0002
ont;54;0.001
invités;28;0.0005
enfin;141;0.0025
baron;6;0.0001
quatre;49;0.0009
pousser;15;0.0003
œuvre;10;0.0002
tribune;32;0.0006
souple;7;0.0001
rentrer;12;0.0002
tiède;8;0.0001
opposition;9;0.0002
éprouvait;10;0.0002
pavé;13;0.0002
disparut;6;0.0001
travaille;6;0.0001
plan;14;0.0002
figure;38;0.0007
aise;19;0.0003
procureur;7;0.0001
taisait;7;0.0001
véritable;13;0.0002
tribunal;8;0.0001
te;10;0.0002
tira;10;0.0002
écurie;9;0.0002
trottoirs;10;0.0002
sœur;19;0.0003
fortes;7;0.0001
emportait;10;0.0002
prononcer;6;0.0001
visites;7;0.0001
extrémité;6;0.0001
gai;7;0.0001
homme;175;0.0031
pris;50;0.0009
cassée;6;0.0001
quitta;13;0.0002
gens;43;0.0008
traînait;10;0.0002
eurent;12;0.0002
taire;7;0.0001
détails;35;0.0006
jetant;8;0.0001
soufflait;9;0.0002
allongée;8;0.0001
confesser;6;0.0001
langue;7;0.0001
central;11;0.0002
dut;26;0.0005
lancé;10;0.0002
comprit;9;0.0002
affecta;7;0.0001
publique;11;0.0002
possible;12;0.0002
poitrine;20;0.0004
appris;15;0.0003
causait;22;0.0004
penché;8;0.0001
libres;7;0.0001
parfois;23;0.0004
réussi;8;0.0001
rouge;49;0.0009
appelait;14;0.0002
délicatement;6;0.0001
paix;14;0.0002
sorti;6;0.0001
eut;161;0.0028
hier;21;0.0004
but;12;0.0002
brutalité;6;0.0001
or;38;0.0007
entier;9;0.0002
posa;9;0.0002
avenir;13;0.0002
agir;7;0.0001
tut;16;0.0003
arrêtait;7;0.0001
parrain;14;0.0002
étroit;10;0.0002
droite;35;0.0006
aime;22;0.0004
gris;15;0.0003
longuement;14;0.0002
législatif;22;0.0004
debout;84;0.0015
besogne;12;0.0002
parfaite;6;0.0001
herminie;16;0.0003
fille;61;0.0011
chapeaux;7;0.0001
honneur;11;0.0002
poussant;11;0.0002
large;40;0.0007
extrême;6;0.0001
riant;30;0.0005
madamemartineau;13;0.0002
offrait;7;0.0001
personnages;15;0.0003
chaises;10;0.0002
a;413;0.0073
manche;9;0.0002
objets;7;0.0001
parbleu;15;0.0003
voisin;18;0.0003
tache;8;0.0001
dîner;25;0.0004
rangées;9;0.0002
comptoirs;8;0.0001
noire;27;0.0005
gonflait;6;0.0001
croyant;11;0.0002
chapelet;6;0.0001
france;44;0.0008
étant;16;0.0003
dû;28;0.0005
presque;40;0.0007
semblaient;14;0.0002
avoué;11;0.0002
caprice;6;0.0001
lorsqu’;74;0.0013
promenant;6;0.0001
tête;197;0.0035
cent;55;0.001
sortie;9;0.0002
valets;14;0.0002
deux;272;0.0048
mot;86;0.0015
avais;29;0.0005
discret;12;0.0002
pouvoir;66;0.0012
épaisse;6;0.0001
rudesse;8;0.0001
raison;18;0.0003
heures;91;0.0016
tirait;7;0.0001
préfecture;25;0.0004
pieds;36;0.0006
moustaches;10;0.0002
pauvre;30;0.0005
commence;6;0.0001
voulait;58;0.001
dévote;10;0.0002
tenu;9;0.0002
femmes;56;0.001
désir;17;0.0003
foule;45;0.0008
montrait;29;0.0005
maîtresse;14;0.0002
mieux;35;0.0006
gardé;13;0.0002
louis;7;0.0001
allez;27;0.0005
gardant;7;0.0001
remercia;6;0.0001
doute;60;0.0011
personnes;23;0.0004
quadrille;6;0.0001
voyant;22;0.0004
lieues;6;0.0001
gâchis;6;0.0001
ardent;7;0.0001
services;13;0.0002
veux;25;0.0004
vieux;26;0.0005
maigre;9;0.0002
étrangères;7;0.0001
furent;19;0.0003
satisfait;8;0.0001
entrez;7;0.0001
font;7;0.0001
affectant;12;0.0002
rappelait;8;0.0001
supérieur;9;0.0002
aimable;14;0.0002
mettait;36;0.0006
répondre;26;0.0005
conservateur;6;0.0001
balbutia;9;0.0002
orchère;22;0.0004
sourd;9;0.0002
mois;60;0.0011
chuchotements;7;0.0001
arrêté;12;0.0002
rentrait;12;0.0002
couverts;9;0.0002
causaient;8;0.0001
vivait;15;0.0003
autrement;6;0.0001
cravate;6;0.0001
première;40;0.0007
nomination;7;0.0001
vêtements;10;0.0002
temps;69;0.0012
couleur;11;0.0002
nouvelles;23;0.0004
