mot;occurrence;frequence
ont;31;0.0011
invités;25;0.0009
enfin;38;0.0014
quatre;16;0.0006
pousser;7;0.0003
œuvre;16;0.0006
souple;7;0.0003
rentrer;6;0.0002
tiède;11;0.0004
silencieuse;6;0.0002
éprouvait;22;0.0008
comprenant;6;0.0002
foyer;8;0.0003
plan;7;0.0003
figure;13;0.0005
véritable;11;0.0004
aise;15;0.0005
heureuse;20;0.0007
te;30;0.0011
homme;88;0.0032
pris;30;0.0011
pensait;18;0.0007
quitta;9;0.0003
traînait;18;0.0007
gens;29;0.0011
eurent;18;0.0007
jetant;6;0.0002
détails;6;0.0002
langue;6;0.0002
camarade;7;0.0003
irritation;8;0.0003
comprit;12;0.0004
clouée;6;0.0002
possible;8;0.0003
poitrine;27;0.001
causait;12;0.0004
cicatrice;10;0.0004
parfois;34;0.0012
rouge;17;0.0006
paix;19;0.0007
eut;74;0.0027
étonnement;6;0.0002
but;7;0.0003
couché;10;0.0004
brutalité;9;0.0003
entier;9;0.0003
voluptés;10;0.0004
agir;6;0.0002
horrible;13;0.0005
avenir;16;0.0006
étroit;8;0.0003
arrêtait;8;0.0003
sinistre;16;0.0006
droite;10;0.0004
cauchemars;6;0.0002
fatale;7;0.0003
aime;9;0.0003
gris;7;0.0003
besogne;6;0.0002
ardentes;7;0.0003
fade;7;0.0003
fille;28;0.001
large;21;0.0008
suzanne;27;0.001
riant;10;0.0004
mou;8;0.0003
tes;15;0.0005
a;86;0.0031
objets;6;0.0002
brutal;7;0.0003
dîner;9;0.0003
noire;13;0.0005
croyant;6;0.0002
raquin;105;0.0038
dû;8;0.0003
semblaient;12;0.0004
désirs;22;0.0008
presque;24;0.0009
lorsqu’;80;0.0029
repentir;11;0.0004
cent;8;0.0003
tête;96;0.0035
assassins;7;0.0003
deux;123;0.0045
mot;17;0.0006
avais;11;0.0004
pouvoir;15;0.0005
épaisse;6;0.0002
raison;8;0.0003
heures;77;0.0028
tirait;9;0.0003
pieds;24;0.0009
pauvre;45;0.0016
atroces;7;0.0003
voulait;31;0.0011
tièdes;6;0.0002
appuya;6;0.0002
femmes;28;0.001
aimer;10;0.0004
désir;24;0.0009
montrait;13;0.0005
maîtresse;22;0.0008
mieux;12;0.0004
trente;6;0.0002
châtiment;8;0.0003
doute;17;0.0006
comédie;11;0.0004
étalait;9;0.0003
voyant;11;0.0004
art;6;0.0002
veux;25;0.0009
vieux;32;0.0012
sombres;6;0.0002
maigre;8;0.0003
furent;17;0.0006
clartés;6;0.0002
rappelait;10;0.0004
mettait;18;0.0007
répondre;12;0.0004
sourd;8;0.0003
mois;34;0.0012
blafarde;8;0.0003
rentrait;6;0.0002
maladie;6;0.0002
vivait;10;0.0004
instinct;7;0.0003
première;19;0.0007
temps;32;0.0012
âme;6;0.0002
effusions;6;0.0002
vêtements;11;0.0004
nouvelles;7;0.0003
tempérament;8;0.0003
forte;7;0.0003
soins;14;0.0005
revenaient;6;0.0002
fait;51;0.0019
magasin;8;0.0003
thérèse;469;0.0172
sou;6;0.0002
devenaient;8;0.0003
gras;14;0.0005
clarté;10;0.0004
intérêt;7;0.0003
mauvaise;7;0.0003
sembla;14;0.0005
servait;7;0.0003
remonter;6;0.0002
rêver;6;0.0002
mit;45;0.0016
spectre;12;0.0004
main;56;0.002
folle;12;0.0004
mercière;30;0.0011
