mot;occurrence;frequence
nu;17;0.0007
charmant;8;0.0003
baron;151;0.0065
pousser;37;0.0016
obscur;6;0.0003
rentrer;35;0.0015
tiède;10;0.0004
figure;32;0.0014
luire;7;0.0003
effacer;8;0.0003
sœur;8;0.0003
jeanne;179;0.0077
accorder;6;0.0003
prononcer;20;0.0009
gai;6;0.0003
homme;110;0.0047
aspect;7;0.0003
confier;6;0.0003
taire;20;0.0009
flanc;11;0.0005
espace;6;0.0003
continuer;15;0.0006
réfléchir;13;0.0006
poitrine;24;0.001
rouge;26;0.0011
envoyer;14;0.0006
retenir;7;0.0003
cribler;8;0.0003
entier;17;0.0007
papa;11;0.0005
doigt;26;0.0011
agir;6;0.0003
horrible;11;0.0005
avenir;13;0.0006
résoudre;9;0.0004
droite;30;0.0013
gris;11;0.0005
coiffure;6;0.0003
fille;112;0.0048
large;16;0.0007
éperdument;8;0.0003
dessiner;6;0.0003
forme;6;0.0003
voisin;24;0.001
tache;9;0.0004
dîner;26;0.0011
presque;59;0.0025
navire;6;0.0003
lorsqu’;22;0.0009
cent;14;0.0006
tête;106;0.0046
honte;7;0.0003
ranger;8;0.0003
mot;40;0.0017
pénétrer;34;0.0015
réveiller;12;0.0005
pouvoir;50;0.0021
raison;15;0.0006
pauvre;26;0.0011
religieux;9;0.0004
user;8;0.0003
aimer;51;0.0022
désir;23;0.001
jadi;6;0.0003
foule;9;0.0004
maîtresse;23;0.001
mieux;18;0.0008
voile;16;0.0007
élancer;16;0.0007
craindre;16;0.0007
doute;25;0.0011
caresse;15;0.0006
respirer;7;0.0003
veux;11;0.0005
fillette;7;0.0003
barrière;14;0.0006
vieux;82;0.0035
maigre;13;0.0006
aimable;8;0.0003
répondre;69;0.003
balbutia;15;0.0006
considérer;15;0.0006
mois;44;0.0019
déclarer;10;0.0004
trot;12;0.0005
instinct;10;0.0004
temps;101;0.0043
âme;44;0.0019
traiter;8;0.0003
tremper;8;0.0003
fait;9;0.0004
gras;6;0.0003
quelquefois;7;0.0003
serrer;23;0.001
clarté;8;0.0003
église;25;0.0011
intérêt;7;0.0003
matelot;11;0.0005
curé;43;0.0018
sembla;16;0.0007
remonter;12;0.0005
payer;14;0.0006
rêver;18;0.0008
vêtement;7;0.0003
atteindre;6;0.0003
main;139;0.006
lointain;11;0.0005
repos;8;0.0003
instant;11;0.0005
couper;10;0.0004
fête;6;0.0003
bras;96;0.0041
sensation;18;0.0008
soulever;19;0.0008
mélancolie;7;0.0003
naturel;12;0.0005
grenier;7;0.0003
révéler;7;0.0003
rester;86;0.0037
rapide;13;0.0006
paysage;6;0.0003
normand;6;0.0003
malheur;12;0.0005
tas;7;0.0003
demander;82;0.0035
pays;41;0.0018
guide;8;0.0003
bien;183;0.0079
morne;19;0.0008
lier;6;0.0003
souffler;7;0.0003
passer;91;0.0039
projet;8;0.0003
sorte;53;0.0023
vaste;18;0.0008
printemps;14;0.0006
heurter;7;0.0003
fleur;17;0.0007
chemin;25;0.0011
océan;6;0.0003
feuille;23;0.001
voler;7;0.0003
appuyer;8;0.0003
verre;10;0.0004
unir;8;0.0003
humble;8;0.0003
fort;37;0.0016
seconde;6;0.0003
dresser;15;0.0006
prêt;16;0.0007
gaieté;16;0.0007
interminable;8;0.0003
soudain;64;0.0028
tilleul;6;0.0003
découvrit;8;0.0003
gagner;15;0.0006
avenue;7;0.0003
traîner;13;0.0006
mouvement;13;0.0006
vol;7;0.0003
habituer;12;0.0005
fou;28;0.0012
tant;14;0.0006
reposer;12;0.0005
guère;18;0.0008
apprendre;17;0.0007
lentement;25;0.0011
surprise;9;0.0004
baiser;34;0.0015
peur;26;0.0011
partout;12;0.0005
mystérieux;14;0.0006
cause;7;0.0003
service;9;0.0004
davantage;10;0.0004
déjeuner;18;0.0008
comprendre;46;0.002
chasser;8;0.0003
raisonnement;6;0.0003
précéder;6;0.0003
distinguer;6;0.0003
radieux;10;0.0004
ensemble;6;0.0003
situation;8;0.0003
tromper;8;0.0003
abri;7;0.0003
épuiser;6;0.0003
déchirer;12;0.0005
impossible;6;0.0003
angoisse;12;0.0005
pur;7;0.0003
jamais;66;0.0028
exhaler;7;0.0003
allumer;6;0.0003
placer;7;0.0003
presser;6;0.0003
espèce;12;0.0005
trop;31;0.0013
souriant;6;0.0003
lait;7;0.0003
fond;37;0.0016
désespérer;7;0.0003
conduite;6;0.0003
oublier;22;0.0009
flot;17;0.0007
court;10;0.0004
moustache;6;0.0003
déclara;7;0.0003
courir;29;0.0012
être;274;0.0118
route;43;0.0018
colonne;6;0.0003
laisser;35;0.0015
petit;284;0.0122
haut;22;0.0009
journée;15;0.0006
barbe;6;0.0003
arriver;47;0.002
emporta;6;0.0003
connaissance;15;0.0006
tranquille;22;0.0009
lever;64;0.0028
prochain;6;0.0003
religion;8;0.0003
oreille;17;0.0007
pensée;43;0.0018
agitation;6;0.0003
cou;11;0.0005
exemple;8;0.0003
front;20;0.0009
nuit;78;0.0034
engourdir;6;0.0003
aurore;6;0.0003
crise;7;0.0003
frais;16;0.0007
silencieux;9;0.0004
apercevoir;61;0.0026
absence;6;0.0003
idée;27;0.0012
vue;19;0.0008
peine;33;0.0014
tolbiac;7;0.0003
mourir;34;0.0015
passionner;6;0.0003
demeurer;54;0.0023
retourner;31;0.0013
mémoire;8;0.0003
calèche;13;0.0006
ému;11;0.0005
refuser;22;0.0009
argent;33;0.0014
embrasser;41;0.0018
poulet;11;0.0005
soupir;7;0.0003
confus;6;0.0003
prise;10;0.0004
parcourir;13;0.0006
tordre;7;0.0003
marier;20;0.0009
allée;19;0.0008
contrée;6;0.0003
las;6;0.0003
lit;69;0.003
présenter;16;0.0007
jaune;11;0.0005
glacer;16;0.0007
façade;6;0.0003
rond;9;0.0004
expliquer;15;0.0006
avis;6;0.0003
veille;12;0.0005
fils;42;0.0018
oiseau;21;0.0009
rôder;7;0.0003
éperdu;9;0.0004
soir;75;0.0032
force;21;0.0009
bougie;7;0.0003
lendemain;21;0.0009
an;50;0.0021
cœur;67;0.0029
doux;17;0.0007
apparut;6;0.0003
accabler;9;0.0004
galet;8;0.0003
remplir;6;0.0003
auprès;30;0.0013
arbre;42;0.0018
compte;8;0.0003
singulier;13;0.0006
éloigner;8;0.0003
couche;12;0.0005
épaule;12;0.0005
rouler;25;0.0011
médecin;14;0.0006
promenade;15;0.0006
pourtant;17;0.0007
platane;14;0.0006
emplir;7;0.0003
raconter;10;0.0004
chaleur;15;0.0006
passion;11;0.0005
monotone;10;0.0004
impatience;10;0.0004
linge;11;0.0005
simplement;7;0.0003
affection;18;0.0008
grandir;6;0.0003
arrière;8;0.0003
enfoncer;17;0.0007
contempler;7;0.0003
furieux;17;0.0007
amie;10;0.0004
lueur;11;0.0005
enfuir;14;0.0006
résigner;10;0.0004
vendre;11;0.0005
crisper;7;0.0003
vallée;8;0.0003
apparaître;15;0.0006
loi;7;0.0003
soin;9;0.0004
espérer;9;0.0004
pardonner;8;0.0003
bas;10;0.0004
fourville;10;0.0004
sieu;10;0.0004
parut;14;0.0006
galoper;6;0.0003
tiroir;8;0.0003
remettre;30;0.0013
ensembl;10;0.0004
trouver;76;0.0033
là;30;0.0013
rappeler;22;0.0009
calme;8;0.0003
oh;45;0.0019
atteler;10;0.0004
tirer;16;0.0007
sauter;13;0.0006
gauche;19;0.0008
sangloter;11;0.0005
poil;6;0.0003
gêner;8;0.0003
riche;6;0.0003
fièvre;7;0.0003
soleil;47;0.002
élégance;7;0.0003
tendre;53;0.0023
approcher;19;0.0008
ajouta;11;0.0005
gros;60;0.0026
rue;13;0.0006
village;11;0.0005
rejeter;8;0.0003
bonhomme;7;0.0003
silence;8;0.0003
maison;71;0.0031
vitesse;7;0.0003
attacher;7;0.0003
falloir;69;0.003
veuve;11;0.0005
vêtir;8;0.0003
sang;12;0.0005
envier;11;0.0005
rayon;7;0.0003
partit;13;0.0006
ancien;21;0.0009
amour;48;0.0021
vide;21;0.0009
léger;22;0.0009
chapeau;13;0.0006
charger;8;0.0003
saisie;10;0.0004
sapin;6;0.0003
dormir;31;0.0013
casser;8;0.0003
fermier;17;0.0007
ailleurs;18;0.0008
curer;6;0.0003
coin;18;0.0008
bâtiment;7;0.0003
baisser;12;0.0005
finir;38;0.0016
ventre;10;0.0004
office;9;0.0004
apparence;7;0.0003
demeure;12;0.0005
neige;9;0.0004
prendre;121;0.0052
lent;14;0.0006
trou;15;0.0006
arrêter;52;0.0022
vicomte;40;0.0017
crainte;12;0.0005
jeter;51;0.0022
paraître;29;0.0012
déposer;8;0.0003
semer;7;0.0003
offrir;7;0.0003
rougir;6;0.0003
voyage;31;0.0013
genou;27;0.0012
figurer;6;0.0003
mouchoir;9;0.0004
fatigue;6;0.0003
terre;61;0.0026
essuyer;6;0.0003
agiter;13;0.0006
tandis;23;0.001
jouer;8;0.0003
devoir;45;0.0019
filet;10;0.0004
palpiter;8;0.0003
marche;16;0.0007
mignonne;6;0.0003
aujourd’hui;10;0.0004
douloureux;12;0.0005
vision;6;0.0003
appartement;8;0.0003
fenêtre;39;0.0017
affoler;9;0.0004
comtesse;22;0.0009
val;9;0.0004
précipiter;10;0.0004
timide;7;0.0003
horizon;17;0.0007
découvrir;11;0.0005
cheval;48;0.0021
brave;7;0.0003
vivement;7;0.0003
vitre;6;0.0003
été;6;0.0003
semaine;13;0.0006
lune;13;0.0006
porte;59;0.0025
mariage;19;0.0008
servir;8;0.0003
brûler;8;0.0003
sécher;6;0.0003
boire;20;0.0009
escalier;13;0.0006
événement;12;0.0005
mèr;9;0.0004
avoir;146;0.0063
étang;7;0.0003
lamare;8;0.0003
création;6;0.0003
campagne;26;0.0011
disparaître;27;0.0012
mystère;8;0.0003
bouleverser;8;0.0003
songer;35;0.0015
chagrin;12;0.0005
poindre;46;0.002
cacher;45;0.0019
inquiet;9;0.0004
carreau;7;0.0003
haine;8;0.0003
bon;82;0.0035
grandissant;7;0.0003
livre;10;0.0004
hiver;10;0.0004
monter;47;0.002
hurler;6;0.0003
entrée;6;0.0003
toucher;17;0.0007
larme;31;0.0013
objet;17;0.0007
souffle;18;0.0008
ferme;44;0.0019
couler;6;0.0003
tante;29;0.0012
homm;7;0.0003
défaillant;6;0.0003
rose;10;0.0004
jeunesse;8;0.0003
soutane;6;0.0003
répétant;10;0.0004
droit;19;0.0008
sortir;57;0.0024
étendre;18;0.0008
leva;8;0.0003
peuple;55;0.0024
minute;23;0.001
peut-être;24;0.001
paquet;9;0.0004
dos;25;0.0011
molle;6;0.0003
infinie;6;0.0003
pièce;17;0.0007
ajouter;7;0.0003
cri;22;0.0009
voix;76;0.0033
ville;10;0.0004
hasard;19;0.0008
étreindre;10;0.0004
voiler;7;0.0003
poésie;7;0.0003
crier;42;0.0018
repas;9;0.0004
errer;9;0.0004
sembler;99;0.0043
plein;27;0.0012
hypertrophie;7;0.0003
boulanger;6;0.0003
traverser;25;0.0011
garçon;21;0.0009
traînée;6;0.0003
détail;12;0.0005
inquiéter;7;0.0003
discuter;6;0.0003
violent;7;0.0003
courant;12;0.0005
fumer;8;0.0003
nouveau;41;0.0018
travailler;13;0.0006
table;23;0.001
moment;41;0.0018
servante;9;0.0004
dire;73;0.0031
jambe;32;0.0014
attendrir;12;0.0005
saluer;16;0.0007
chauffer;6;0.0003
talus;8;0.0003
reconnaître;22;0.0009
éveiller;11;0.0005
salle;12;0.0005
chien;16;0.0007
animal;8;0.0003
couvrir;13;0.0006
besoin;26;0.0011
visite;21;0.0009
effleurer;11;0.0005
partir;42;0.0018
aider;7;0.0003
promettre;10;0.0004
café;7;0.0003
frémir;11;0.0005
froid;35;0.0015
surgir;6;0.0003
ciel;46;0.002
empêcher;14;0.0006
noir;33;0.0014
papier;14;0.0006
beaucoup;24;0.001
pareil;14;0.0006
loin;46;0.002
désirer;6;0.0003
frotter;6;0.0003
maire;8;0.0003
douleur;19;0.0008
jeta;6;0.0003
chère;18;0.0008
trembler;25;0.0011
bête;38;0.0016
mettre;139;0.006
ombre;21;0.0009
fatiguer;10;0.0004
colère;15;0.0006
rentraire;7;0.0003
frisson;13;0.0006
partie;13;0.0006
volonté;11;0.0005
murmurer;20;0.0009
doucement;29;0.0012
éviter;7;0.0003
calmer;8;0.0003
mur;17;0.0007
milieu;24;0.001
parti;7;0.0003
étrange;8;0.0003
contact;6;0.0003
revoir;16;0.0007
cheveu;9;0.0004
stupéfaire;6;0.0003
terminer;6;0.0003
répondit;19;0.0008
sourire;34;0.0015
nerveux;8;0.0003
valoir;13;0.0006
chéri;13;0.0006
libre;10;0.0004
éprouver;7;0.0003
humain;6;0.0003
suivit;7;0.0003
insecte;6;0.0003
haleine;6;0.0003
flamme;8;0.0003
charmer;6;0.0003
hôtel;12;0.0005
dur;10;0.0004
haleter;7;0.0003
faire;243;0.0104
travers;30;0.0013
mère;141;0.0061
permettre;11;0.0005
falaise;13;0.0006
plaisir;11;0.0005
manquer;6;0.0003
aller;163;0.007
continu;7;0.0003
bouche;21;0.0009
ressembler;9;0.0004
garde;15;0.0006
sombre;18;0.0008
préparer;6;0.0003
régler;7;0.0003
visiter;7;0.0003
secrétaire;7;0.0003
caresser;8;0.0003
mêler;20;0.0009
manger;28;0.0012
deviner;12;0.0005
taille;18;0.0008
remarquer;7;0.0003
geste;19;0.0008
abbé;45;0.0019
jonc;6;0.0003
fin;35;0.0015
allonger;10;0.0004
chose;92;0.004
secret;19;0.0008
émotion;17;0.0007
âm;10;0.0004
nuage;11;0.0005
venir;131;0.0056
arrivée;11;0.0005
sentit;10;0.0004
inconnu;17;0.0007
champ;17;0.0007
accompagner;10;0.0004
pied;63;0.0027
nourrice;7;0.0003
pleine;17;0.0007
perron;15;0.0006
pencher;18;0.0008
non;43;0.0018
rire;41;0.0018
causer;18;0.0008
chair;19;0.0008
poche;12;0.0005
marcher;32;0.0014
perdre;45;0.0019
m;38;0.0016
conseil;7;0.0003
courut;11;0.0005
bout;55;0.0024
étonner;21;0.0009
collège;6;0.0003
coucha;7;0.0003
affaisser;7;0.0003
vit;7;0.0003
lettre;35;0.0015
appeler;31;0.0013
aventure;7;0.0003
réponse;7;0.0003
marquer;6;0.0003
étranger;7;0.0003
épouser;8;0.0003
pleurer;50;0.0021
muraille;7;0.0003
chambre;80;0.0034
pareille;6;0.0003
bonté;7;0.0003
achever;6;0.0003
lâcher;6;0.0003
recommencer;16;0.0007
côte;28;0.0012
retirer;10;0.0004
aussitôt;28;0.0012
remuer;34;0.0015
murmura;8;0.0003
rapprocher;7;0.0003
inquiétude;10;0.0004
venue;9;0.0004
exaspérer;9;0.0004
salon;32;0.0014
battre;16;0.0007
rendre;21;0.0009
sauver;18;0.0008
maître;15;0.0006
reprendre;47;0.002
vent;33;0.0014
adresser;7;0.0003
ensuite;13;0.0006
poisson;8;0.0003
fortune;6;0.0003
roue;9;0.0004
beau;22;0.0009
frère;8;0.0003
cour;16;0.0007
reprit;21;0.0009
affaire;24;0.001
fixe;6;0.0003
couvert;6;0.0003
annoncer;17;0.0007
souffrir;19;0.0008
air;68;0.0029
