mot;occurrence;frequence
farceur;48;0.0
équipe;39;0.0
chausser;13;0.0
cendrier;7;0.0
tribune;73;0.0001
citadelle;11;0.0
intenable;7;0.0
ardenne;8;0.0
prostitution;19;0.0
vis-à-vis;8;0.0
laure;46;0.0
foyer;83;0.0001
éclatant;52;0.0
plan;241;0.0002
verger;17;0.0
effaré;24;0.0
javelle;6;0.0
effacer;217;0.0002
agrandissement;7;0.0
tribunal;33;0.0
feuilleter;20;0.0
poissonnier;26;0.0
supplia;8;0.0
homme;6478;0.0056
arche;10;0.0
changement;29;0.0
confier;124;0.0001
canal;64;0.0001
épreuve;6;0.0
différence;24;0.0
romance;8;0.0
confesser;110;0.0001
m.flamen;6;0.0
revêtir;13;0.0
central;79;0.0001
formule;23;0.0
dédaigneux;14;0.0
baraque;30;0.0
pape;18;0.0
tracé;6;0.0
timbré;6;0.0
ider;15;0.0
fertile;8;0.0
nuire;6;0.0
réchauffer;6;0.0
broyer;48;0.0
émeute;6;0.0
égout;6;0.0
baisse;58;0.0001
ramener;392;0.0003
brutalité;74;0.0001
ramier;6;0.0
papa;103;0.0001
farce;103;0.0001
agir;453;0.0004
résoudre;289;0.0002
parrain;16;0.0
rabattre;39;0.0
gris;501;0.0004
désespérémer;6;0.0
épanoui;6;0.0
pot;165;0.0001
condamner;84;0.0001
bagne;17;0.0
canard;13;0.0
héroïque;47;0.0
déclaration;6;0.0
éperdument;23;0.0
grimacer;6;0.0
tournure;22;0.0
difficile;108;0.0001
voisin;813;0.0007
chapelet;6;0.0
occultiste;6;0.0
joug;6;0.0
navire;35;0.0
caprice;137;0.0001
silvine;32;0.0
consister;7;0.0
sortie;156;0.0001
mot;1823;0.0016
éteindre;248;0.0002
interrogatoire;21;0.0
âpreté;6;0.0
farine;7;0.0
cachemire;7;0.0
charrier;30;0.0
allez;8;0.0
censeur;19;0.0
voyant;436;0.0004
adosser;41;0.0
poëte;14;0.0
rez-de-chaussée;65;0.0001
gâchis;14;0.0
art;61;0.0001
esseinte;97;0.0001
serrurier;12;0.0
zut;8;0.0
négoce;8;0.0
fiche;116;0.0001
chasuble;28;0.0
bonbon;19;0.0
cisaille;6;0.0
vieux;3101;0.0027
duchesse;131;0.0001
capitaine;235;0.0002
solidité;8;0.0
satisfait;54;0.0
thermal;12;0.0
hautain;13;0.0
saule;37;0.0
réplique;14;0.0
mouchard;8;0.0
considérer;93;0.0001
