mot;occurrence;frequence
torrents;8;0.0012
ont;36;0.0055
céleste;6;0.0009
reste;6;0.0009
enfin;11;0.0017
quatre;7;0.0011
qu’;30;0.0046
ciel;28;0.0043
bord;16;0.0024
soir;9;0.0014
aurais;8;0.0012
lendemain;8;0.0012
vain;6;0.0009
arc;7;0.0011
natchez;8;0.0012
beaucoup;8;0.0012
cœur;52;0.0079
doux;7;0.0011
oui;7;0.0011
loin;9;0.0014
esprit;15;0.0023
oiseaux;9;0.0014
restes;10;0.0015
douleur;20;0.003
heureuse;6;0.0009
fleuves;7;0.0011
auprès;15;0.0023
arbre;17;0.0026
étais;22;0.0034
sœur;13;0.002
te;10;0.0015
chère;10;0.0015
époux;11;0.0017
homme;48;0.0073
eaux;15;0.0023
pris;8;0.0012
ombre;8;0.0012
orient;6;0.0009
couche;16;0.0024
que;8;0.0012
muscogulges;8;0.0012
sacrifice;10;0.0015
point;53;0.0081
flambeau;7;0.0011
colombe;6;0.0009
milieu;26;0.004
…;10;0.0015
fontaine;6;0.0009
longtemps;13;0.002
paix;13;0.002
bocages;6;0.0009
exil;6;0.0009
aura;6;0.0009
répondit;12;0.0018
sourire;7;0.0011
or;7;0.0011
coutume;6;0.0009
coup;12;0.0018
était;71;0.0108
lianes;7;0.0011
lieu;16;0.0024
nord;6;0.0009
écorce;6;0.0009
chrétienne;10;0.0015
pleurs;14;0.0021
près;13;0.002
rocher;13;0.002
vallée;6;0.0009
abîme;6;0.0009
montagnes;12;0.0018
fille;50;0.0076
vierges;6;0.0009
faire;17;0.0026
travers;8;0.0012
airs;7;0.0011
mère;52;0.0079
seulement;6;0.0009
hommes;39;0.0059
tes;14;0.0021
larmes;24;0.0037
a;76;0.0116
forêts;28;0.0043
bouche;9;0.0014
avons;6;0.0009
solitudes;7;0.0011
fais;6;0.0009
genoux;16;0.0024
ici;14;0.0021
indienne;15;0.0023
croix;8;0.0012
arbres;16;0.0024
petits;8;0.0012
là;18;0.0027
savane;9;0.0014
âmes;6;0.0009
presque;7;0.0011
lorsqu’;8;0.0012
voyait;6;0.0009
tête;22;0.0034
prisonnier;7;0.0011
deux;31;0.0047
avais;17;0.0026
donna;7;0.0011
sommes;8;0.0012
profonde;6;0.0009
;64;0.0098
calme;10;0.0015
peaux;8;0.0012
pieds;18;0.0027
pauvre;8;0.0012
vertu;9;0.0014
outalissi;9;0.0014
nature;13;0.002
religieux;10;0.0015
mêmes;9;0.0014
chose;16;0.0024
secret;9;0.0014
femmes;7;0.0011
missionnaire;14;0.0021
voit;6;0.0009
corps;17;0.0026
tombeaux;6;0.0009
est;105;0.016
doute;10;0.0015
voilà;7;0.0011
soleil;18;0.0027
providence;7;0.0011
déjà;12;0.0018
veux;6;0.0009
autres;11;0.0017
simplicité;6;0.0009
pied;14;0.0021
village;7;0.0011
vieux;16;0.0024
pleine;6;0.0009
orage;9;0.0014
empire;6;0.0009
furent;9;0.0014
silence;14;0.0021
sommet;9;0.0014
non;10;0.0015
couchant;6;0.0009
mains;18;0.0027
désert;31;0.0047
donné;7;0.0011
suis;17;0.0026
écria;11;0.0017
fut;26;0.004
sang;10;0.0015
autre;17;0.0026
tout;43;0.0066
conseil;9;0.0014
bout;7;0.0011
amour;28;0.0043
déserts;8;0.0012
première;10;0.0015
temps;14;0.0021
âme;24;0.0037
premier;9;0.0014
sont;44;0.0067
tronc;6;0.0009
venez;6;0.0009
encore;31;0.0047
grande;9;0.0014
anges;6;0.0009
fleurs;13;0.002
lumière;8;0.0012
peut;6;0.0009
fait;34;0.0052
simaghan;11;0.0017
étranger;7;0.0011
scène;9;0.0014
digne;7;0.0011
quelquefois;8;0.0012
coucher;6;0.0009
indiens;13;0.002
sais;14;0.0021
blanc;6;0.0009
lieux;6;0.0009
immobile;7;0.0011
êtes;7;0.0011
mit;6;0.0009
peu;22;0.0034
main;33;0.005
ai;53;0.0081
chantait;6;0.0009
atala;120;0.0183
aussitôt;6;0.0009
cris;8;0.0012
jette;6;0.0009
ayant;6;0.0009
instant;6;0.0009
meschacebé;14;0.0021
donnait;6;0.0009
dieu;53;0.0081
bras;20;0.003
rené;12;0.0018
jusqu’;11;0.0017
tenant;6;0.0009
nuages;10;0.0015
grands;6;0.0009
mélancolie;6;0.0009
jésus;8;0.0012
donc;24;0.0037
divine;7;0.0011
lopez;14;0.0021
aussi;18;0.0027
terre;40;0.0061
longue;7;0.0011
années;9;0.0014
va;9;0.0014
tandis;9;0.0014
pu;7;0.0011
chactas;42;0.0064
rendre;12;0.0018
pays;12;0.0018
sauver;6;0.0009
bien;34;0.0052
vent;6;0.0009
cyprès;6;0.0009
vœux;10;0.0015
ensuite;16;0.0024
marche;7;0.0011
elle;12;0.0018
feu;15;0.0023
toujours;21;0.0032
vient;6;0.0009
instants;6;0.0009
aujourd’hui;7;0.0011
frère;7;0.0011
reprit;8;0.0012
trois;16;0.0024
jours;20;0.003
fleur;7;0.0011
monde;14;0.0021
dit;50;0.0076
»;38;0.0058
ô;35;0.0053
air;6;0.0009
cours;6;0.0009
maintenant;10;0.0015
nid;6;0.0009
parler;8;0.0012
maux;10;0.0015
cabane;15;0.0023
as;9;0.0014
spectacle;6;0.0009
cheveux;7;0.0011
élève;7;0.0011
ainsi;22;0.0034
cependant;13;0.002
colonnes;6;0.0009
avait;60;0.0091
étaient;26;0.004
été;38;0.0058
afin;6;0.0009
eh;10;0.0015
sein;35;0.0053
français;7;0.0011
lune;12;0.0018
heureux;11;0.0017
comment;10;0.0015
destinée;7;0.0011
faut;13;0.002
vieillard;15;0.0023
toutes;21;0.0032
lèvres;13;0.002
porte;6;0.0009
disait;9;0.0014
guerre;8;0.0012
pont;6;0.0009
pas;72;0.011
chef;13;0.002
passé;10;0.0015
paroles;22;0.0034
même;29;0.0044
avez;20;0.003
écriai;13;0.002
choses;8;0.0012
avoir;19;0.0029
père;39;0.0059
voyageurs;6;0.0009
ami;10;0.0015
enfant;26;0.004
eau;10;0.0015
voir;16;0.0024
toi;27;0.0041
vis;8;0.0012
tant;16;0.0024
tombe;13;0.002
jour;21;0.0032
tous;30;0.0046
tour;12;0.0018
vierge;11;0.0017
es;6;0.0009
félicité;7;0.0011
grandes;8;0.0012
vu;14;0.0021
sentis;6;0.0009
avaient;10;0.0015
génie;8;0.0012
grand;27;0.0041
ton;21;0.0032
mousse;7;0.0011
autour;7;0.0011
champs;6;0.0009
ours;8;0.0012
aïeux;8;0.0012
mort;38;0.0058
vint;8;0.0012
mille;13;0.002
fleuve;22;0.0034
pins;7;0.0011
souvent;8;0.0012
yeux;33;0.005
assis;13;0.002
souffle;6;0.0009
ombres;8;0.0012
ensemble;8;0.0012
nom;11;0.0017
ne;255;0.0389
solitaire;18;0.0027
rose;6;0.0009
quitter;7;0.0011
jeunesse;9;0.0014
récit;6;0.0009
jamais;17;0.0026
cher;9;0.0014
moins;13;0.002
beauté;7;0.0011
montagne;20;0.003
premiers;7;0.0011
présent;6;0.0009
bois;24;0.0037
fit;9;0.0014
grotte;17;0.0026
faible;10;0.0015
bientôt;13;0.002
peut-être;10;0.0015
trop;14;0.0021
fois;25;0.0038
épouse;10;0.0015
fond;13;0.002
allais;7;0.0011
répondis;7;0.0011
florides;6;0.0009
↑;18;0.0027
cri;8;0.0012
voix;24;0.0037
blanche;9;0.0014
au-dessus;7;0.0011
douleurs;7;0.0011
passions;19;0.0029
érable;6;0.0009
solitude;13;0.002
tu;52;0.0079
guerrier;13;0.002
soit;10;0.0015
eût;8;0.0012
prière;8;0.0012
chercher;6;0.0009
chrétiens;8;0.0012
chute;6;0.0009
malheurs;13;0.002
flammes;6;0.0009
seul;10;0.0015
être;32;0.0049
chênes;9;0.0014
tombeau;15;0.0023
rivages;8;0.0012
plus;81;0.0124
antique;6;0.0009
sagesse;7;0.0011
sort;9;0.0014
pères;12;0.0018
rochers;7;0.0011
amours;6;0.0009
religion;29;0.0044
