mot;occurrence;frequence
oiseau;10;0.0014
puissance;7;0.001
état;10;0.0014
divinité;6;0.0008
céleste;8;0.0011
froid;6;0.0008
séparer;9;0.0013
ciel;26;0.0036
soir;12;0.0017
obscur;7;0.001
empêcher;9;0.0013
sérieux;6;0.0008
force;33;0.0046
profond;6;0.0008
vif;6;0.0008
rentrer;8;0.0011
vain;7;0.001
an;8;0.0011
juger;10;0.0014
colorer;6;0.0008
papier;8;0.0011
teindre;7;0.001
beaucoup;17;0.0024
cœur;25;0.0035
doux;13;0.0018
promener;11;0.0015
pareil;8;0.0011
siècle;9;0.0013
loin;18;0.0025
bénir;6;0.0008
esprit;72;0.0101
figure;32;0.0045
douleur;14;0.002
mal;20;0.0028
arbre;11;0.0015
compte;7;0.001
mettre;30;0.0042
réunir;9;0.0013
homme;40;0.0056
ombre;13;0.0018
facile;7;0.001
succéder;7;0.001
aspect;11;0.0015
partie;15;0.0021
épreuve;10;0.0014
commencer;10;0.0014
résolution;6;0.0008
pourtant;9;0.0013
revêtir;6;0.0008
point;22;0.0031
mur;11;0.0015
espace;8;0.0011
immense;6;0.0008
continuer;7;0.001
passion;12;0.0017
milieu;13;0.0018
étrange;16;0.0022
combat;6;0.0008
nombre;9;0.0013
trésor;6;0.0008
masque;6;0.0008
extérieur;6;0.0008
dominer;7;0.001
retrouver;18;0.0025
fer;6;0.0008
hier;6;0.0008
affection;7;0.001
terrible;12;0.0017
suprême;8;0.0011
personne;12;0.0017
sourire;13;0.0018
porter;21;0.0029
préciser;6;0.0008
amie;10;0.0014
nerval;12;0.0017
entier;8;0.0011
coup;21;0.0029
influence;6;0.0008
agir;8;0.0011
lieu;11;0.0015
éprouver;13;0.0018
résoudre;11;0.0015
avenir;10;0.0014
tracer;8;0.0011
humain;14;0.002
résigner;7;0.001
apparaître;14;0.002
soin;13;0.0018
fille;10;0.0014
espérer;9;0.0013
faire;86;0.0121
travers;14;0.002
pardonner;6;0.0008
mère;8;0.0011
briser;12;0.0017
forme;33;0.0046
plaisir;6;0.0008
manquer;8;0.0011
former;9;0.0013
aller;47;0.0066
peindre;6;0.0008
remettre;7;0.001
trouver;54;0.0076
ici;16;0.0022
visiter;9;0.0013
tête;17;0.0024
mêler;6;0.0008
néant;6;0.0008
mot;17;0.0024
réveiller;7;0.001
pouvoir;38;0.0053
rappeler;10;0.0014
oh;20;0.0028
raison;16;0.0022
pauvre;20;0.0028
parole;19;0.0027
risquer;8;0.0011
nature;10;0.0014
chose;43;0.006
fixer;11;0.0015
secret;14;0.002
bel;14;0.002
cercle;10;0.0014
émotion;11;0.0015
cimetière;9;0.0013
âm;11;0.0015
aimer;46;0.0064
résonner;6;0.0008
nuage;10;0.0014
corps;17;0.0024
venir;42;0.0059
élancer;8;0.0011
ennemi;7;0.001
craindre;15;0.0021
doute;18;0.0025
inconnu;10;0.0014
soleil;26;0.0036
voyant;7;0.001
obtenir;6;0.0008
créer;10;0.0014
tendre;6;0.0008
accompagner;7;0.001
mystique;10;0.0014
pied;10;0.0014
rue;20;0.0028
éclair;7;0.001
livrer;9;0.0013
vieux;12;0.0017
maison;27;0.0038
non;24;0.0034
chevalier;8;0.0011
falloir;27;0.0038
tard;14;0.002
rire;10;0.0014
répondre;12;0.0017
rassurer;7;0.001
écrir;8;0.0011
sang;11;0.0015
pâle;6;0.0008
perdre;29;0.0041
marcher;10;0.0014
rayon;13;0.0018
docteur;6;0.0008
ancien;21;0.0029
amour;46;0.0064
léger;7;0.001
charger;6;0.0008
briller;8;0.0011
étonner;7;0.001
temps;46;0.0064
âme;42;0.0059
premier;14;0.002
couleur;11;0.0015
science;13;0.0018
lettre;53;0.0074
dernier;26;0.0036
transport;6;0.0008
triste;11;0.0015
appeler;15;0.0021
admettre;7;0.001
lumière;13;0.0018
écrier;8;0.0011
souvenir;24;0.0034
pleurer;9;0.0013
chambre;11;0.0015
bonté;7;0.001
digne;6;0.0008
ailleurs;8;0.0011
scène;6;0.0008
clarté;6;0.0008
fatal;18;0.0025
intérêt;8;0.0011
église;7;0.001
phrase;9;0.0013
coucher;8;0.0011
sembla;9;0.0013
blanc;6;0.0008
composer;10;0.0014
demeure;10;0.0014
vêtement;7;0.001
main;13;0.0018
prendre;44;0.0062
illusion;12;0.0017
matin;7;0.001
pardon;10;0.0014
galerie;6;0.0008
aussitôt;14;0.002
arrêter;14;0.002
instant;25;0.0035
appartenir;6;0.0008
dieu;17;0.0024
bras;9;0.0013
diriger;16;0.0022
crainte;11;0.0015
garder;9;0.0013
jeter;15;0.0021
paraître;20;0.0028
naturel;6;0.0008
ouvrir;8;0.0011
harmonie;6;0.0008
rester;8;0.0011
regarder;9;0.0013
offrir;9;0.0013
figurer;7;0.001
arracher;7;0.001
écrire;16;0.0022
fatigue;6;0.0008
terre;46;0.0064
malheur;12;0.0017
rendre;14;0.002
