mot;occurrence;frequence
pousser;7;0.003
bord;7;0.003
empêcher;7;0.003
force;6;0.0025
noir;51;0.0215
avancer;6;0.0025
œil;6;0.0025
singulier;6;0.0025
prononcer;6;0.0025
mettre;17;0.0072
homme;17;0.0072
rouler;6;0.0025
taire;7;0.003
commencer;8;0.0034
pourtant;6;0.0025
camarade;6;0.0025
acul;7;0.003
continuer;8;0.0034
milieu;14;0.0059
balle;7;0.003
rouge;13;0.0055
porter;7;0.003
coup;14;0.0059
lieu;7;0.003
flamme;6;0.0025
vallée;8;0.0034
faire;59;0.0249
aller;6;0.0025
voisin;7;0.003
pierrot;19;0.008
trouver;13;0.0055
ici;9;0.0038
garde;8;0.0034
sombre;7;0.003
là;6;0.0025
tête;17;0.0072
prisonnier;8;0.0034
pouvoir;17;0.0072
pauvre;13;0.0055
parole;20;0.0084
sauter;7;0.003
gauche;8;0.0034
remarquer;8;0.0034
geste;7;0.003
chose;7;0.003
venir;27;0.0114
mieux;6;0.0025
doute;12;0.0051
soleil;10;0.0042
compagnie;6;0.0025
approcher;6;0.0025
ajouta;8;0.0034
pied;15;0.0063
vieux;17;0.0072
capitaine;65;0.0275
liane;7;0.003
silence;12;0.0051
non;11;0.0046
falloir;9;0.0038
rire;7;0.003
répondre;10;0.0042
perdre;11;0.0046
marcher;6;0.0025
esclave;16;0.0068
étonner;8;0.0034
temps;15;0.0063
premier;6;0.0025
montrer;6;0.0025
dernier;10;0.0042
écrier;10;0.0042
scène;7;0.003
coucher;8;0.0034
pic;10;0.0042
blanc;13;0.0055
main;33;0.0139
prendre;24;0.0101
retirer;6;0.0025
arrêter;12;0.0051
instant;10;0.0042
bras;21;0.0089
jeter;12;0.0051
paraître;21;0.0089
sergent;23;0.0097
rester;7;0.003
offrir;8;0.0034
regarder;13;0.0055
rebelle;6;0.0025
malheur;6;0.0025
rendre;7;0.003
tandis;9;0.0038
demander;11;0.0046
devoir;20;0.0084
bien;32;0.0135
reprendre;15;0.0063
sauver;6;0.0025
maître;16;0.0068
savoir;14;0.0059
colon;7;0.003
permission;10;0.0042
passer;18;0.0076
feu;6;0.0025
donner;13;0.0055
frère;18;0.0076
couvert;7;0.003
air;24;0.0101
parler;6;0.0025
heure;13;0.0055
milice;11;0.0046
oncle;25;0.0106
extraordinaire;6;0.0025
français;6;0.0025
fort;24;0.0101
prêt;9;0.0038
chef;10;0.0042
interrompre;6;0.0025
endroit;6;0.0025
drapeau;10;0.0042
thader;12;0.0051
plaine;8;0.0034
avoir;15;0.0063
père;6;0.0025
nègre;31;0.0131
enfant;7;0.003
voir;41;0.0173
entrer;8;0.0034
hache;7;0.003
jour;26;0.011
armée;8;0.0034
croire;26;0.011
inquiet;6;0.0025
surprise;6;0.0025
grand;27;0.0114
trait;14;0.0059
bon;10;0.0042
autour;7;0.003
côté;9;0.0038
croiser;6;0.0025
mort;17;0.0072
cause;7;0.003
plantation;6;0.0025
ouverture;6;0.0025
cachot;6;0.0025
comprendre;6;0.0025
famille;6;0.0025
jamais;6;0.0025
sentir;7;0.003
moyen;6;0.0025
montagne;7;0.003
sortir;8;0.0034
bientôt;10;0.0042
fois;8;0.0034
monsieur;26;0.011
voix;11;0.0046
tomber;10;0.0042
connaître;6;0.0025
poursuivre;6;0.0025
crier;11;0.0046
regard;8;0.0034
sembler;7;0.003
chercher;6;0.0025
camp;15;0.0063
être;49;0.0207
vouloir;19;0.008
laisser;11;0.0046
conduire;7;0.003
arriver;14;0.0059
lever;16;0.0068
visage;9;0.0038
joie;6;0.0025
cap;13;0.0055
moment;25;0.0106
bruit;14;0.0059
apercevoir;9;0.0038
dire;9;0.0038
idée;8;0.0034
roc;9;0.0038
soldat;11;0.0046
vue;8;0.0034
suivre;6;0.0025
mourir;10;0.0042
dragon;9;0.0038
retourner;9;0.0038
malheureux;10;0.0042
jeune;12;0.0051
place;8;0.0034
reconnaître;11;0.0046
chien;37;0.0156
vivre;8;0.0034
énorme;7;0.003
torrent;9;0.0038
entendre;21;0.0089
jaune;8;0.0034
vie;13;0.0055
promettre;6;0.0025
lieutenant;7;0.003
fils;9;0.0038
oeil;11;0.0046
