mot;occurrence;frequence
ont;59;0.0022
action;10;0.0004
enfin;43;0.0016
quatre;15;0.0006
pourrais;7;0.0003
mœurs;11;0.0004
siècle;6;0.0002
étions;16;0.0006
figure;21;0.0008
aise;7;0.0003
pique;7;0.0003
écurie;8;0.0003
tira;11;0.0004
te;36;0.0014
homme;94;0.0036
pris;26;0.001
pensait;7;0.0003
gens;45;0.0017
changement;7;0.0003
détails;6;0.0002
langue;31;0.0012
manière;15;0.0006
romi;6;0.0002
camarade;9;0.0003
poitrine;8;0.0003
naroumof;11;0.0004
appris;7;0.0003
parfois;6;0.0002
rouge;9;0.0003
carmen;91;0.0035
eut;25;0.0009
or;13;0.0005
espagnol;10;0.0004
puisse;8;0.0003
doigt;6;0.0002
horrible;6;0.0002
droite;8;0.0003
aime;33;0.0013
debout;7;0.0003
fille;67;0.0025
honneur;16;0.0006
riant;8;0.0003
répond;6;0.0002
tes;6;0.0002
personnages;7;0.0003
a;394;0.0149
difficile;13;0.0005
dîner;18;0.0007
france;7;0.0003
peuvent;7;0.0003
dû;9;0.0003
presque;26;0.001
lorsqu’;33;0.0013
repentir;11;0.0004
cent;13;0.0005
aimée;7;0.0003
honte;10;0.0004
tête;82;0.0031
deux;111;0.0042
mot;50;0.0019
avais;82;0.0031
pouvoir;15;0.0006
raison;15;0.0006
heures;28;0.0011
pieds;23;0.0009
pauvre;70;0.0027
commence;8;0.0003
voulait;16;0.0006
remarqué;7;0.0003
femmes;42;0.0016
aimer;14;0.0005
montrait;6;0.0002
maîtresse;12;0.0005
mieux;47;0.0018
trente;8;0.0003
allez;12;0.0005
doute;27;0.001
castagnettes;6;0.0002
voyant;6;0.0002
lieues;7;0.0003
facilement;6;0.0002
veux;54;0.002
dettes;7;0.0003
vieux;26;0.001
furent;7;0.0003
revanche;6;0.0002
font;19;0.0007
aimable;6;0.0002
répondre;13;0.0005
horde;7;0.0003
mois;12;0.0005
grèce;9;0.0003
galant;11;0.0004
docteur;17;0.0006
n;7;0.0003
autrement;6;0.0002
première;32;0.0012
temps;75;0.0028
âme;25;0.0009
couleur;8;0.0003
