mot;occurrence;frequence
accord;8;0.0001
ont;151;0.0024
jusques;11;0.0002
action;11;0.0002
enfin;75;0.0012
quatre;51;0.0008
trompettes;6;0.0001
œuvre;15;0.0002
conjuration;32;0.0005
ose;11;0.0002
étrangère;8;0.0001
veuille;7;0.0001
capucins;6;0.0001
rentrer;13;0.0002
henry;45;0.0007
rive;6;0.0001
pourrais;7;0.0001
courrier;9;0.0001
précaution;6;0.0001
silencieuse;7;0.0001
planches;10;0.0002
siècle;10;0.0002
étions;6;0.0001
figure;28;0.0004
aise;9;0.0001
heureuse;6;0.0001
véritable;15;0.0002
catholique;35;0.0005
tribunal;8;0.0001
te;34;0.0005
jeanne;14;0.0002
tira;8;0.0001
sœur;24;0.0004
bastille;8;0.0001
fortes;10;0.0002
royale;18;0.0003
cœurs;7;0.0001
prisonniers;17;0.0003
extrémité;11;0.0002
choisi;7;0.0001
homme;262;0.0041
pris;37;0.0006
prononcer;6;0.0001
pensait;9;0.0001
accorder;7;0.0001
orient;7;0.0001
lèze;6;0.0001
quitta;7;0.0001
aspect;16;0.0003
gens;110;0.0017
taire;8;0.0001
détails;17;0.0003
jetant;19;0.0003
langue;14;0.0002
manière;34;0.0005
grandier;32;0.0005
espace;10;0.0002
continuer;11;0.0002
affecta;6;0.0001
publique;15;0.0002
réfléchir;6;0.0001
possible;14;0.0002
poitrine;21;0.0003
appris;12;0.0002
marca;6;0.0001
assurer;9;0.0001
rouge;40;0.0006
bastion;15;0.0002
appelait;6;0.0001
envoyer;6;0.0001
émeute;7;0.0001
paix;20;0.0003
frappé;16;0.0003
eut;61;0.001
supplie;8;0.0001
hier;9;0.0001
étonnement;15;0.0002
but;23;0.0004
couché;7;0.0001
or;39;0.0006
suivez;7;0.0001
mil;7;0.0001
espagnol;32;0.0005
entier;22;0.0003
boue;6;0.0001
puisse;20;0.0003
principaux;7;0.0001
sûrs;7;0.0001
horrible;6;0.0001
avenir;29;0.0005
tut;13;0.0002
doigt;13;0.0002
sinistre;10;0.0002
agir;8;0.0001
droite;30;0.0005
étroit;7;0.0001
amer;7;0.0001
aime;36;0.0006
entièrement;22;0.0003
pleurs;8;0.0001
gris;8;0.0001
rocher;11;0.0002
debout;32;0.0005
parfaite;7;0.0001
valette;11;0.0002
fille;31;0.0005
honneur;33;0.0005
poussant;10;0.0002
large;17;0.0003
extrême;10;0.0002
éminence;43;0.0007
condamner;7;0.0001
déclaration;7;0.0001
eust;9;0.0001
forme;27;0.0004
riant;22;0.0003
important;10;0.0002
saisissant;9;0.0001
guéménée;10;0.0002
tes;12;0.0002
personnages;24;0.0004
a;671;0.0105
parbleu;10;0.0002
difficile;15;0.0002
voisin;8;0.0001
non-seulement;6;0.0001
dîner;9;0.0001
noire;12;0.0002
france;135;0.0021
étant;21;0.0003
peuvent;21;0.0003
presque;65;0.001
semblaient;24;0.0004
dû;15;0.0002
armé;12;0.0002
repentir;10;0.0002
lorsqu’;57;0.0009
cent;20;0.0003
tête;184;0.0029
honte;7;0.0001
sortie;11;0.0002
aimée;6;0.0001
deux;320;0.005
mot;72;0.0011
avais;39;0.0006
interrogatoire;8;0.0001
madrid;7;0.0001
pouvoir;45;0.0007
party;6;0.0001
raison;33;0.0005
heures;45;0.0007
pieds;70;0.0011
pauvre;40;0.0006
religieux;7;0.0001
voulait;38;0.0006
cavaliers;14;0.0002
milton;10;0.0002
tenu;6;0.0001
femmes;49;0.0008
désir;12;0.0002
aimer;12;0.0002
infanterie;10;0.0002
foule;58;0.0009
montrait;6;0.0001
maîtresse;14;0.0002
mieux;72;0.0011
voile;14;0.0002
botte;6;0.0001
louis;44;0.0007
choisir;12;0.0002
allez;40;0.0006
personnes;26;0.0004
profondes;9;0.0001
doute;50;0.0008
poignard;11;0.0002
roy;63;0.001
oubliez;10;0.0002
poëte;6;0.0001
voyant;27;0.0004
lieues;6;0.0001
retournant;7;0.0001
facilement;6;0.0001
ordonnance;6;0.0001
art;14;0.0002
respirer;6;0.0001
veux;59;0.0009
pension;6;0.0001
services;6;0.0001
