mot;occurrence;frequence
public;6;0.0048
pauvre;11;0.0088
parole;7;0.0056
savoir;24;0.0192
jamais;6;0.0048
nature;6;0.0048
passer;10;0.008
chose;24;0.0192
faim;7;0.0056
sorte;8;0.0064
soir;8;0.0064
donner;13;0.0104
espèce;7;0.0056
aimer;7;0.0056
peuple;14;0.0112
an;11;0.0088
venir;16;0.0128
mieux;8;0.0064
fois;13;0.0104
œil;7;0.0056
monsieur;20;0.016
mal;9;0.0072
voler;9;0.0072
parler;6;0.0048
heure;21;0.0168
voix;6;0.0048
mettre;14;0.0112
travail;6;0.0048
homme;47;0.0377
clairvau;8;0.0064
voleur;7;0.0056
partager;6;0.0048
penser;6;0.0048
fort;6;0.0048
être;27;0.0217
vouloir;10;0.008
répondre;11;0.0088
porte;10;0.008
directeur;54;0.0433
petit;7;0.0056
arriver;9;0.0072
m;13;0.0104
société;8;0.0064
bout;7;0.0056
atelier;27;0.0217
lire;13;0.0104
lever;8;0.0064
claude;18;0.0144
question;15;0.012
temps;6;0.0048
fer;7;0.0056
avoir;17;0.0136
prêtre;6;0.0048
guichetier;7;0.0056
travailler;7;0.0056
appeler;10;0.008
ami;7;0.0056
tuer;11;0.0088
porter;6;0.0048
voir;9;0.0072
enfant;8;0.0064
fait;10;0.008
ration;7;0.0056
coup;14;0.0112
hache;6;0.0048
pain;12;0.0096
jour;24;0.0192
moment;21;0.0168
prison;14;0.0112
droite;8;0.0064
condamné;8;0.0064
croire;7;0.0056
loi;8;0.0064
peine;8;0.0064
ciseau;9;0.0072
faire;39;0.0313
main;16;0.0128
prendre;10;0.008
grand;14;0.0112
novembre;7;0.0056
jeune;8;0.0064
contenir;6;0.0048
important;6;0.0048
bon;14;0.0112
livre;6;0.0048
côté;7;0.0056
aller;10;0.008
salle;7;0.0056
mort;8;0.0064
jeter;6;0.0048
banc;6;0.0048
paraître;15;0.012
femme;9;0.0072
remettre;7;0.0056
trouver;6;0.0048
cachot;10;0.008
regarder;9;0.0072
part;7;0.0056
là;13;0.0104
tête;18;0.0144
prisonnier;16;0.0128
vie;6;0.0048
métier;7;0.0056
manger;6;0.0048
demander;6;0.0048
pouvoir;10;0.008
devoir;9;0.0072
bien;27;0.0217
reprendre;10;0.008
tenir;8;0.0064
